time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.63,2.24,3.4,4.4,-       
0.05,-0.63,2.24,3.4,4.4,-       
0.1,-0.63,2.24,3.4,4.38,-       
0.15,-0.63,2.24,3.4,4.37,-       
0.2,-0.62,2.24,3.4,4.37,-       
0.25,-0.62,2.24,3.4,4.34,-       
0.3,-0.62,2.24,3.4,4.34,-       
0.35,-0.62,2.24,3.4,4.34,-       
0.4,-0.62,2.24,3.4,4.34,-       
0.45,-0.62,2.24,3.4,4.34,-       
0.5,-0.62,2.24,3.4,4.34,-       
0.55,-0.62,2.24,3.4,4.34,-       
0.6,-0.62,2.24,3.4,4.34,-       
0.65,-0.62,2.24,3.4,4.34,-       
0.7,-0.62,2.24,3.4,4.34,-       
0.75,-0.62,2.24,3.4,4.16,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_expedia_30s_50nd.mp4
0.8,-0.62,2.23,3.4,4.14,-       
0.85,-0.62,2.23,3.4,4.14,-       
0.9,-0.61,2.23,3.4,4.09,-       
0.95,-0.6,2.23,3.4,4.07,-       
1.0,-0.6,2.23,3.4,4.05,-       
1.05,-0.6,2.23,3.4,4.05,-       
1.1,-0.26,2.07,3.4,4.1,-       
1.15,0.15,1.7,3.4,4.06,-       
1.2,0.15,1.7,3.4,4.06,-       
1.25,0.07,1.74,3.4,4.11,gaze started: p_3_3
1.3,0.07,1.75,3.4,4.14,gaze started: p_3_2
1.35,0.09,1.73,3.4,4.17,-       
1.4,0.09,1.73,3.4,4.23,-       
1.45,0.09,1.73,3.4,4.23,-       
1.5,0.06,1.74,3.4,4.3,-       
1.55,0.17,1.63,3.4,4.17,-       
1.6,0.28,1.28,3.4,4.24,gaze started: p_3_3
1.65,0.24,1.11,3.4,4.38,gaze started: p_4_3
1.7,0.24,1.11,3.4,4.38,gaze started: p_4_3
1.75,0.2,1.06,3.4,4.38,-       
1.8,0.23,1.06,3.4,4.44,-       
1.85,-0.1,0.71,3.57,4.5,-       
1.9,-0.21,0.53,3.52,4.49,-       
1.95,-0.26,0.54,3.57,4.49,-       
2.0,-0.25,0.55,3.57,4.49,-       
2.05,-0.25,0.55,3.57,4.49,-       
2.1,-0.28,0.57,3.57,4.54,-       
2.15,-0.03,1.4,3.4,4.67,-       
2.2,-0.02,1.41,3.4,4.37,gaze started: p_3_2
2.25,-0.08,1.48,3.4,4.25,-       
2.3,-0.08,1.48,3.4,4.25,-       
2.35,-0.06,1.47,3.4,4.05,-       
2.4,-0.04,1.47,3.4,3.8,-       
2.45,-0.01,1.45,3.4,3.61,-       
2.5,-0.03,1.47,3.4,3.45,gaze fixated: p_3_2
2.55,-0.03,1.48,3.4,3.31,-       
2.6,0.02,1.46,3.4,3.23,-       
2.65,0.02,1.46,3.4,3.23,-       
2.7,-0.06,1.5,3.4,3.14,-       
2.75,-0.07,1.52,3.4,3.11,-       
2.8,0.03,1.48,3.4,3.06,-       
2.85,0.03,1.48,3.4,3.05,-       
2.9,-0.02,1.5,3.4,3.04,-       
2.95,-0.02,1.51,3.4,3.03,-       
3.0,-0.02,1.5,3.4,3.02,-       
3.05,-0.01,1.5,3.4,2.98,-       
3.1,-0.01,1.5,3.4,2.98,-       
3.15,0.03,1.81,3.46,2.97,-       
3.2,-0.05,2.04,3.4,3.08,gaze ended: p_3_2
3.25,-0.04,2.04,3.4,3.11,gaze started: p_2_2
3.3,-0.06,2.05,3.4,3.14,-       
3.35,-0.06,2.05,3.4,3.14,-       
3.4,0.15,2.05,3.4,3.18,-       
3.45,0.26,2.06,3.4,3.25,gaze started: p_2_3
3.5,0.27,2.06,3.4,3.28,-       
3.55,0.24,2.07,3.4,3.41,-       
3.6,-0.06,1.82,3.4,3.2,-       
3.65,-0.06,1.82,3.4,3.2,-       
3.7,-0.07,1.74,3.4,3.39,gaze started: p_2_2
3.75,-0.02,1.71,3.4,3.42,gaze started: p_3_2
3.8,-1.12,0.7,3.57,3.35,-       
3.85,-1.17,0.53,3.22,3.41,-       
