time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.56,1.97,3.4,3.78,gaze started: p_2_2
0.05,-0.52,1.88,3.4,3.67,-       
0.1,-0.51,1.9,3.4,3.75,-       
0.15,-0.44,1.84,3.4,3.74,-       
0.2,-0.42,1.82,3.4,3.72,-       
0.25,-0.43,1.82,3.4,3.76,gaze fixated: p_2_2
0.3,-0.45,1.84,3.4,3.77,-       
0.35,-0.5,1.87,3.4,3.71,-       
0.4,-0.63,2.21,3.4,3.86,-       
0.45,-0.67,2.25,3.4,3.85,-       
0.5,-0.59,2.13,3.4,3.87,-       
0.55,-0.59,2.13,3.4,3.87,-       
0.6,-0.59,2.13,3.4,3.87,-       
0.65,-0.59,2.13,3.4,3.87,-       
0.7,-0.59,2.13,3.4,3.87,-       
0.75,-0.59,2.13,3.4,3.87,-       
0.8,-0.59,2.13,3.4,3.87,-       
0.85,-0.59,2.13,3.4,3.87,-       
0.9,-0.59,2.13,3.4,3.87,-       
0.95,-0.67,2.22,3.4,3.79,-       
1.0,-0.62,2.12,3.4,3.81,-       
1.05,-0.59,2.11,3.4,3.85,-       
1.1,-0.61,2.07,3.4,3.84,-       
1.15,-0.6,2.13,3.4,3.84,-       
1.2,-0.58,2.13,3.4,3.85,-       
1.25,-0.56,2.09,3.4,3.86,-       
1.3,-0.5,2.05,3.4,3.88,-       
1.35,-0.46,2.0,3.4,3.9,-       
1.4,-0.5,2.07,3.4,3.94,-       
1.45,-0.59,2.15,3.4,3.98,-       
1.5,-0.55,2.13,3.4,4.03,-       
1.55,-0.47,2.09,3.4,4.1,-       
1.6,-0.53,2.12,3.4,4.12,-       
1.65,-0.43,2.08,3.4,4.18,-       
1.7,-0.42,2.05,3.4,4.28,-       
1.75,0.73,0.76,-0.48,,-       
1.8,0.73,0.77,-0.49,,-       
1.85,0.73,0.78,-0.49,,-       
1.9,0.74,0.77,-0.49,,-       
1.95,-0.33,2.03,3.4,4.04,-       
2.0,-0.27,2.07,3.4,4.2,-       
2.05,-0.37,2.2,3.4,4.39,-       
2.1,-0.3,2.18,3.4,4.4,-       
2.15,-0.3,2.15,3.4,4.41,-       
2.2,-0.31,2.16,3.4,4.47,-       
2.25,-0.33,2.2,3.4,4.51,-       
2.3,-0.32,2.15,3.4,4.52,-       
2.35,-0.09,2.0,3.4,4.44,-       
2.4,0.47,1.57,3.4,4.37,gaze started: p_3_3
2.45,0.51,1.78,3.4,4.51,-       
2.5,0.54,1.6,3.4,4.0,-       
2.55,0.48,1.48,3.4,3.57,-       
2.6,0.45,1.5,3.4,3.54,-       
2.65,0.4,1.46,3.4,3.34,-       
2.7,0.4,1.5,3.4,3.31,-       
2.75,0.37,1.43,3.4,3.12,-       
2.8,0.38,1.46,3.4,3.05,-       
2.85,0.38,1.42,3.4,3.01,-       
2.9,0.35,1.47,3.4,2.95,-       
2.95,0.34,1.46,3.4,2.94,-       
3.0,0.37,1.42,3.4,2.9,-       
3.05,0.37,1.41,3.4,2.87,-       
3.1,0.37,1.4,3.4,2.81,-       
3.15,0.37,1.42,3.4,2.8,-       
3.2,0.39,1.41,3.4,2.77,-       
3.25,0.38,1.43,3.4,2.77,-       
3.3,0.39,1.42,3.4,2.77,-       
3.35,0.01,1.55,3.4,2.7,-       
3.4,-0.01,1.59,3.4,2.78,-       
3.45,-0.05,1.61,3.4,2.79,-       
3.5,-0.04,1.6,3.4,2.81,-       
3.55,-0.03,1.6,3.4,2.83,-       
3.6,0.08,1.52,3.4,2.84,-       
3.65,-0.07,1.6,3.4,2.86,-       
3.7,-0.07,1.6,3.4,2.86,-       
3.75,0.08,1.6,3.4,2.94,-       
3.8,0.24,1.54,3.4,2.99,gaze ended: p_3_2
3.85,0.24,1.54,3.4,3.02,gaze started: p_3_3
3.9,0.25,1.54,3.4,3.05,-       
3.95,0.25,1.55,3.4,3.07,-       
4.0,0.24,1.56,3.4,3.09,-       
4.05,0.06,1.72,3.4,3.12,-       
4.1,0.61,0.86,-0.54,,gaze started: p_3_2
4.15,0.61,0.86,-0.54,,-       
4.2,0.61,0.86,-0.55,,-       
4.25,0.61,0.86,-0.55,,-       
4.3,0.61,0.86,-0.55,,-       
4.35,-0.08,2.36,3.4,3.56,-       
4.4,-0.03,2.23,3.4,3.54,gaze started: p_1_2
4.45,0.01,2.12,3.4,3.48,gaze started: p_2_2
4.5,-0.04,2.14,3.4,3.53,-       
4.55,-0.04,2.14,3.4,3.54,-       
4.6,0.01,2.12,3.4,3.52,-       
4.65,0.03,2.07,3.4,3.42,-       
4.7,0.02,2.09,3.4,3.36,-       
4.75,0.01,2.05,3.4,3.33,-       
4.8,0.03,2.07,3.4,3.31,-       
4.85,0.05,2.02,3.4,3.29,-       
4.9,0.15,2.0,3.4,3.34,gaze started: p_2_3
4.95,0.1,2.01,3.4,3.35,-       
5.0,0.08,2.02,3.4,3.39,gaze started: p_2_2
5.05,0.12,2.06,3.4,3.57,-       
5.1,0.05,2.07,3.4,3.5,-       
5.15,0.03,2.08,3.4,3.52,-       
5.2,0.12,2.0,3.4,3.53,-       
5.25,0.02,2.07,3.4,3.6,gaze fixated: p_2_2
5.3,0.1,2.0,3.4,3.61,-       
5.35,0.12,1.98,3.4,3.61,-       
5.4,0.15,1.96,3.4,3.63,-       
5.45,0.15,1.99,3.4,3.62,gaze started: p_2_3
5.5,0.05,2.03,3.4,3.59,gaze started: p_2_2
5.55,0.06,2.05,3.4,3.53,-       
5.6,0.13,1.96,3.4,3.46,-       
5.65,0.13,1.95,3.4,3.38,-       
5.7,0.16,1.9,3.4,3.34,gaze started: p_2_3
5.75,0.14,1.9,3.4,3.31,-       
5.8,0.14,1.92,3.4,3.29,-       
5.85,0.15,1.92,3.4,3.3,-       
5.9,0.13,1.93,3.4,3.32,-       
5.95,0.09,1.9,3.4,3.38,gaze started: p_2_2
6.0,0.1,1.88,3.4,3.37,-       
6.05,0.13,1.84,3.4,3.42,-       
6.1,0.13,1.85,3.4,3.46,-       
6.15,0.12,1.87,3.4,3.49,-       
6.2,0.12,1.84,3.4,3.51,gaze fixated: p_2_2
6.25,0.1,1.86,3.4,3.52,-       
6.3,0.14,1.84,3.46,3.53,-       
6.35,0.13,1.84,3.4,3.53,gaze ended: p_2_2
6.4,0.14,1.83,3.4,3.54,gaze started: p_2_2
6.45,0.09,1.86,3.4,3.53,-       
6.5,0.13,1.82,3.4,3.53,gaze started: p_2_2
6.55,0.15,1.83,3.4,3.52,-       
6.6,0.15,1.82,3.4,3.51,gaze started: p_2_3
6.65,0.15,1.81,3.4,3.47,-       
6.7,0.15,1.81,3.46,3.47,gaze started: p_2_3
6.75,0.13,1.81,3.4,3.48,-       
6.8,0.13,1.82,3.4,3.48,gaze started: p_2_2
6.85,0.14,1.81,3.4,3.5,-       
6.9,0.15,1.81,3.46,3.52,gaze started: p_2_3
6.95,0.14,1.82,3.46,3.54,-       
7.0,0.13,1.82,3.4,3.57,-       
7.05,0.15,1.81,3.4,3.57,gaze started: p_2_2
7.1,0.15,1.81,3.4,3.58,gaze started: p_2_3
7.15,0.14,1.83,3.46,3.6,-       
7.2,0.14,1.82,3.4,3.6,gaze started: p_2_3
7.25,0.14,1.82,3.46,3.63,-       
7.3,0.13,1.83,3.4,3.62,-       
7.35,0.13,1.83,3.4,3.64,gaze started: p_2_2
7.4,0.14,1.83,3.46,3.64,-       
7.45,0.13,1.83,3.4,3.68,-       
7.5,0.14,1.82,3.4,3.68,gaze started: p_2_2
7.55,0.14,1.84,3.46,3.69,gaze started: p_2_3
7.6,0.14,1.84,3.46,3.68,-       
7.65,0.15,1.83,3.4,3.66,-       
7.7,0.15,1.82,3.4,3.64,-       
7.75,0.15,1.82,3.4,3.65,-       
7.8,0.15,1.81,3.4,3.67,-       
7.85,0.15,1.82,3.4,3.66,-       
7.9,0.14,1.83,3.4,3.66,-       
7.95,0.15,1.82,3.4,3.67,gaze fixated: p_2_3
8.0,0.15,1.81,3.4,3.68,-       
8.05,0.14,1.82,3.46,3.72,-       
8.1,0.15,1.82,3.4,3.73,gaze ended: p_2_3
8.15,0.15,1.82,3.4,3.74,gaze started: p_2_3
8.2,0.15,1.81,3.4,3.76,-       
8.25,0.15,1.81,3.4,3.75,-       
8.3,0.14,1.83,3.46,3.75,-       
8.35,0.15,1.82,3.4,3.78,-       
8.4,0.14,1.82,3.46,3.77,gaze started: p_2_3
8.45,0.15,1.81,3.46,3.76,-       
8.5,0.15,1.81,3.46,3.71,-       
8.55,0.15,1.8,3.46,3.66,-       
8.6,0.15,1.81,3.46,3.56,-       
8.65,0.16,1.8,3.46,3.38,gaze started: p_3_3
8.7,0.15,1.79,3.4,3.31,-       
8.75,0.15,1.79,3.4,3.26,gaze started: p_3_3
8.8,0.15,1.79,3.4,3.22,-       
8.85,0.15,1.78,3.4,3.18,-       
8.9,0.15,1.78,3.4,3.17,-       
8.95,0.14,1.81,3.46,3.19,-       
9.0,0.17,1.8,3.46,3.19,-       
9.05,0.16,1.79,3.4,3.18,-       
9.1,0.15,1.81,3.46,3.2,gaze started: p_3_3
9.15,0.15,1.81,3.4,3.23,-       
9.2,0.17,1.8,3.46,3.25,gaze started: p_2_3
9.25,0.15,1.8,3.46,3.27,-       
9.3,0.15,1.8,3.46,3.28,-       
9.35,0.16,1.8,3.46,3.32,-       
9.4,0.14,1.79,3.4,3.32,-       
9.45,0.15,1.81,3.4,3.3,gaze started: p_3_3
9.5,0.15,1.81,3.46,3.27,gaze started: p_2_3
9.55,0.15,1.8,3.46,3.24,-       
9.6,0.15,1.8,3.46,3.24,-       
9.65,0.13,1.81,3.46,3.24,-       
9.7,0.16,1.8,3.46,3.21,-       
9.75,0.16,1.83,3.4,3.21,-       
9.8,0.15,1.83,3.4,3.19,gaze started: p_2_3
9.85,0.17,1.81,3.4,3.18,-       
9.9,0.14,1.84,3.46,3.15,-       
9.95,0.17,1.81,3.4,3.14,-       
10.0,0.15,1.83,3.4,3.13,gaze started: p_2_3
10.05,0.11,1.87,3.4,3.13,-       
10.1,0.17,1.83,3.4,3.12,gaze started: p_2_3
10.15,0.11,1.89,3.4,3.11,-       
10.2,0.12,1.86,3.4,3.09,gaze started: p_2_2
10.25,0.14,1.84,3.46,3.11,-       
10.3,0.17,1.81,3.4,3.18,gaze started: p_2_2
10.35,0.19,1.78,3.4,3.18,gaze started: p_2_3
10.4,0.11,1.83,3.4,3.21,gaze started: p_3_3
10.45,0.14,1.81,3.46,3.21,gaze started: p_2_2
10.5,-0.35,1.93,3.4,3.25,gaze started: p_2_2
10.55,-0.16,1.91,3.4,3.25,-       
10.6,-0.28,1.91,3.4,3.25,-       
10.65,-0.27,1.9,3.4,3.25,-       
10.7,-0.25,1.9,3.4,3.27,-       
10.75,-0.53,1.99,3.4,3.34,-       
10.8,-0.39,2.01,3.4,3.37,gaze fixated: p_2_2
10.85,-0.53,1.98,3.4,3.41,-       
10.9,-0.52,1.97,3.4,3.42,-       
10.95,-0.52,1.98,3.4,3.49,-       
11.0,-0.51,1.99,3.4,3.5,-       
11.05,-0.38,1.98,3.4,3.54,-       
11.1,-0.51,1.98,3.4,3.56,-       
11.15,-0.51,1.98,3.4,3.57,-       
11.2,-0.44,1.99,3.4,3.59,-       
11.25,-0.4,1.98,3.4,3.64,-       
11.3,-0.41,1.99,3.4,3.65,-       
11.35,-0.41,1.98,3.4,3.68,-       
11.4,-0.37,2.01,3.4,3.73,-       
11.45,-0.38,2.02,3.4,3.78,-       
11.5,-0.38,2.02,3.4,3.81,-       
11.55,-0.38,2.03,3.4,3.84,-       
11.6,-0.37,2.04,3.4,3.91,-       
11.65,-0.34,2.07,3.4,3.98,-       
11.7,-0.34,2.08,3.4,4.03,-       
11.75,-0.35,2.09,3.4,4.05,-       
11.8,-0.35,2.08,3.4,4.06,-       
11.85,-0.36,2.08,3.4,4.1,-       
11.9,-0.36,2.08,3.4,4.12,-       
11.95,-0.35,2.07,3.4,4.12,-       
12.0,-0.36,2.08,3.4,4.16,-       
12.05,-0.36,2.09,3.4,4.16,-       
12.1,-0.36,2.08,3.4,4.16,-       
12.15,-0.36,2.06,3.4,4.16,-       
12.2,-0.37,2.06,3.4,4.19,-       
12.25,-0.39,2.07,3.4,4.24,-       
12.3,-0.41,2.13,3.4,4.25,-       
12.35,-0.45,2.17,3.4,4.26,-       
12.4,-0.49,2.17,3.4,4.29,-       
12.45,-0.48,2.15,3.4,4.29,-       
12.5,-0.49,2.17,3.4,4.31,-       
12.55,-0.48,2.17,3.4,4.35,-       
12.6,-0.49,2.15,3.4,4.39,-       
12.65,-0.5,2.17,3.4,4.4,-       
12.7,-0.52,2.17,3.4,4.42,-       
12.75,-0.53,2.16,3.4,4.43,-       
12.8,-0.46,2.17,3.4,4.47,-       
12.85,-0.5,2.16,3.4,4.55,-       
12.9,-0.38,2.19,3.4,4.58,-       
12.95,-0.47,2.17,3.4,4.59,-       
13.0,-0.48,2.16,3.4,4.68,-       
13.05,-0.48,2.15,3.4,4.72,-       
13.1,-0.48,2.14,3.4,4.75,-       
13.15,-0.47,2.16,3.4,4.77,-       
13.2,-0.3,2.13,3.4,4.76,-       
13.25,-0.35,2.1,3.4,4.76,-       
13.3,-0.4,2.09,3.4,4.75,-       
13.35,-0.39,2.09,3.4,4.74,-       
13.4,-0.39,2.1,3.4,4.74,-       
