time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.68,0.78,-0.32,,-       
0.05,0.31,1.87,3.4,3.93,gaze started: p_2_3
0.1,0.31,1.94,3.4,4.02,-       
0.15,0.29,1.89,3.4,4.05,-       
0.2,0.09,2.2,3.4,4.12,-       
0.25,0.12,2.16,3.4,4.16,-       
0.3,0.17,2.17,3.4,4.16,-       
0.35,0.2,2.16,3.4,4.15,-       
0.4,0.18,2.16,3.4,4.12,-       
0.45,0.18,2.16,3.4,4.08,-       
0.5,0.19,2.16,3.4,4.08,-       
0.55,0.1,2.14,3.4,4.07,-       
0.6,0.1,2.14,3.4,4.07,-       
0.65,0.1,2.14,3.4,4.07,-       
0.7,0.1,2.14,3.4,4.07,-       
0.75,0.1,2.14,3.4,4.07,-       
0.8,0.1,2.14,3.4,4.07,-       
0.85,0.1,2.14,3.4,4.07,-       
0.9,0.1,2.14,3.4,4.07,-       
0.95,0.1,2.14,3.4,4.07,-       
1.0,0.1,2.14,3.4,4.07,-       
1.05,-0.56,2.5,3.4,4.29,-       
1.1,-0.56,2.5,3.4,4.29,-       
1.15,-0.56,2.5,3.4,4.29,-       
1.2,-0.56,2.5,3.4,4.3,-       
1.25,-0.52,2.46,3.4,4.25,-       
1.3,0.68,0.78,-0.32,,-       
1.35,0.68,0.78,-0.32,,-       
1.4,0.68,0.78,-0.32,,-       
1.45,0.68,0.78,-0.32,,-       
1.5,0.11,1.84,3.4,4.39,-       
1.55,0.07,1.85,3.4,4.44,-       
1.6,0.09,1.86,3.4,4.45,-       
1.65,0.03,1.89,3.4,4.46,-       
1.7,0.05,1.87,3.4,4.48,-       
1.75,0.06,1.85,3.4,4.51,-       
1.8,0.04,1.86,3.4,4.51,-       
1.85,0.03,1.86,3.4,4.51,-       
1.9,0.04,1.86,3.4,4.55,-       
1.95,0.04,1.86,3.4,4.56,-       
2.0,0.05,1.86,3.4,4.58,-       
2.05,0.04,1.86,3.4,4.59,-       
2.1,0.04,1.86,3.4,4.6,-       
2.15,0.05,1.85,3.4,4.6,-       
2.2,0.05,1.85,3.4,4.61,-       
2.25,0.05,1.85,3.4,4.61,-       
2.3,0.04,1.85,3.4,4.61,-       
2.35,0.04,1.86,3.4,4.62,-       
2.4,0.05,1.87,3.4,4.63,-       
2.45,0.06,1.86,3.4,4.62,-       
2.5,0.05,1.87,3.4,4.5,-       
2.55,0.05,1.87,3.4,4.14,-       
2.6,0.06,1.87,3.4,3.87,-       
2.65,0.06,1.86,3.4,3.56,-       
2.7,0.05,1.87,3.4,3.37,-       
2.75,0.06,1.88,3.4,3.24,-       
2.8,0.05,1.88,3.4,3.15,-       
2.85,0.07,1.87,3.4,3.09,-       
2.9,0.08,1.87,3.4,3.07,-       
2.95,0.07,1.88,3.4,3.05,-       
3.0,0.07,1.87,3.4,3.04,-       
3.05,0.06,1.88,3.4,3.04,-       
3.1,0.05,1.88,3.4,3.05,-       
3.15,0.11,1.88,3.4,3.07,-       
3.2,0.07,1.88,3.4,3.1,-       
3.25,0.07,1.88,3.4,3.15,-       
3.3,0.09,1.88,3.4,3.22,-       
3.35,0.07,1.88,3.4,3.29,-       
3.4,0.06,1.88,3.4,3.33,-       
3.45,0.1,1.89,3.4,3.37,-       
3.5,0.07,1.88,3.4,3.38,-       
3.55,0.07,1.88,3.4,3.39,-       
3.6,0.06,1.87,3.4,3.41,-       
3.65,0.06,1.88,3.4,3.42,-       
3.7,0.05,1.88,3.4,3.45,-       
3.75,0.08,1.88,3.4,3.54,-       
3.8,0.06,1.87,3.4,3.57,-       
3.85,0.05,1.88,3.4,3.61,-       
3.9,0.06,1.88,3.4,3.64,-       
3.95,0.05,1.88,3.4,3.66,-       
4.0,0.05,1.88,3.4,3.67,-       
4.05,0.05,1.88,3.4,3.69,-       
4.1,0.05,1.88,3.4,3.72,-       
4.15,0.05,1.88,3.4,3.74,-       
4.2,0.04,1.88,3.4,3.74,-       
