time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.61,2.26,3.4,2.22,-       
0.05,-0.61,2.26,3.4,2.22,-       
0.1,0.91,0.86,-0.55,,-       
0.15,0.91,0.86,-0.55,,-       
0.2,0.91,0.86,-0.55,,-       
0.25,0.91,0.86,-0.55,,-       
0.3,0.91,0.86,-0.55,,-       
0.35,0.91,0.86,-0.55,,-       
0.4,0.91,0.86,-0.55,,-       
0.45,0.91,0.86,-0.54,,-       
0.5,0.9,0.86,-0.54,,-       
0.55,0.9,0.86,-0.54,,-       
0.6,0.9,0.86,-0.54,,-       
0.65,0.9,0.86,-0.54,,-       
0.7,0.9,0.86,-0.54,,-       
0.75,0.91,0.86,-0.54,,-       
0.8,0.92,0.85,-0.54,,-       
0.85,0.92,0.85,-0.53,,-       
0.9,0.92,0.85,-0.53,,-       
0.95,0.92,0.85,-0.54,,-       
1.0,0.92,0.85,-0.54,,-       
1.05,0.92,0.85,-0.54,,-       
1.1,0.92,0.85,-0.54,,-       
1.15,0.92,0.85,-0.54,,-       
1.2,0.92,0.85,-0.54,,-       
1.25,0.92,0.85,-0.54,,-       
1.3,0.92,0.85,-0.54,,-       
1.35,0.92,0.85,-0.54,,-       
1.4,0.92,0.85,-0.54,,-       
1.45,0.92,0.85,-0.54,,-       
1.5,-0.26,2.06,3.4,2.3,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_expedia_30s_50wd.mp4
1.55,-0.42,2.03,3.4,2.28,gaze started: p_2_2
1.6,-0.41,2.15,3.4,2.13,-       
1.65,-0.51,2.13,3.4,2.1,-       
1.7,-0.52,2.16,3.4,2.05,-       
1.75,-0.51,2.16,3.4,2.03,-       
1.8,-0.45,2.18,3.4,2.02,gaze fixated: p_2_2
1.85,-0.51,1.93,3.4,1.84,-       
1.9,-0.51,1.93,3.4,1.84,-       
1.95,0.91,0.85,-0.53,,-       
2.0,0.91,0.85,-0.53,,gaze ended: p_2_2
2.05,0.91,0.85,-0.53,,-       
2.1,0.91,0.85,-0.53,,-       
2.15,0.91,0.85,-0.53,,-       
2.2,0.91,0.85,-0.53,,-       
2.25,0.91,0.85,-0.53,,-       
2.3,0.91,0.85,-0.53,,-       
2.35,0.91,0.85,-0.53,,-       
2.4,0.91,0.85,-0.54,,-       
2.45,0.91,0.85,-0.54,,-       
2.5,0.91,0.85,-0.53,,-       
2.55,0.91,0.85,-0.53,,-       
2.6,0.91,0.85,-0.53,,-       
2.65,0.91,0.85,-0.53,,-       
2.7,0.91,0.85,-0.53,,-       
2.75,0.91,0.85,-0.53,,-       
2.8,0.91,0.85,-0.54,,-       
2.85,0.91,0.85,-0.53,,-       
2.9,0.91,0.85,-0.53,,-       
2.95,0.91,0.85,-0.53,,-       
3.0,0.9,0.85,-0.53,,-       
3.05,0.91,0.85,-0.53,,-       
3.1,0.91,0.85,-0.53,,-       
3.15,0.91,0.85,-0.53,,-       
3.2,0.4,1.81,3.4,1.95,-       
3.25,0.4,1.81,3.4,1.95,-       
3.3,0.21,1.82,3.4,2.01,gaze started: p_2_3
3.35,-0.2,1.96,3.4,2.0,-       
3.4,-0.23,1.96,3.4,1.93,gaze started: p_2_2
3.45,0.12,1.86,3.4,1.93,-       
3.5,-0.25,1.96,3.4,1.85,-       
3.55,-0.32,1.93,3.4,1.76,-       
3.6,-0.14,1.87,3.4,1.71,-       
3.65,-0.01,1.88,3.4,1.71,gaze fixated: p_2_2
3.7,-0.36,1.85,3.4,1.72,-       
3.75,-0.36,1.84,3.4,1.68,-       
3.8,-0.39,1.95,3.4,1.69,-       
3.85,-0.4,2.01,3.4,1.71,-       
3.9,-0.0,1.88,3.4,1.66,-       
3.95,-0.27,2.07,3.4,2.08,-       
4.0,0.9,0.85,-0.53,,-       
4.05,0.91,0.85,-0.53,,gaze ended: p_2_2
4.1,0.91,0.85,-0.53,,-       
4.15,0.91,0.85,-0.53,,-       
4.2,0.91,0.85,-0.53,,-       
4.25,0.91,0.85,-0.53,,-       
4.3,0.9,0.85,-0.53,,-       
4.35,0.91,0.85,-0.53,,-       
4.4,0.91,0.85,-0.53,,-       
4.45,0.9,0.85,-0.53,,-       
4.5,0.9,0.85,-0.53,,-       
4.55,0.9,0.85,-0.53,,-       
4.6,0.91,0.85,-0.53,,-       
4.65,0.91,0.85,-0.53,,-       
4.7,0.91,0.85,-0.53,,-       
4.75,0.9,0.85,-0.53,,-       
4.8,0.91,0.85,-0.53,,-       
4.85,0.91,0.85,-0.53,,-       
4.9,0.91,0.85,-0.53,,-       
4.95,0.91,0.85,-0.53,,-       
5.0,0.9,0.85,-0.53,,-       
5.05,0.91,0.85,-0.53,,-       
5.1,0.9,0.85,-0.53,,-       
5.15,0.91,0.85,-0.53,,-       
5.2,0.9,0.85,-0.53,,-       
5.25,0.9,0.85,-0.53,,-       
5.3,0.9,0.85,-0.53,,-       
5.35,0.9,0.85,-0.53,,-       
5.4,0.9,0.85,-0.53,,-       
5.45,0.9,0.85,-0.53,,-       
5.5,0.9,0.85,-0.53,,-       
5.55,0.9,0.85,-0.53,,-       
5.6,0.9,0.85,-0.53,,-       
5.65,0.9,0.85,-0.53,,-       
5.7,0.9,0.85,-0.53,,-       
5.75,0.9,0.85,-0.53,,-       
5.8,0.9,0.85,-0.53,,-       
5.85,0.9,0.85,-0.53,,-       
5.9,0.9,0.85,-0.53,,-       
5.95,0.89,0.85,-0.53,,-       
6.0,0.9,0.85,-0.53,,-       
6.05,0.9,0.85,-0.53,,-       
6.1,0.9,0.85,-0.53,,-       
6.15,0.9,0.85,-0.53,,-       
6.2,0.9,0.85,-0.53,,-       
6.25,0.9,0.85,-0.53,,-       
6.3,0.9,0.85,-0.53,,-       
6.35,0.9,0.85,-0.53,,-       
6.4,0.9,0.85,-0.53,,-       
6.45,0.9,0.85,-0.53,,-       
6.5,0.9,0.85,-0.53,,-       
6.55,0.9,0.85,-0.53,,-       
6.6,0.9,0.85,-0.53,,-       
6.65,0.9,0.85,-0.53,,-       
6.7,0.9,0.85,-0.53,,-       
6.75,0.9,0.85,-0.53,,-       
6.8,0.91,0.85,-0.53,,-       
6.85,0.91,0.85,-0.53,,-       
6.9,0.91,0.85,-0.53,,-       
6.95,0.91,0.85,-0.53,,-       
7.0,-0.52,1.97,3.4,2.24,-       
7.05,-0.43,2.12,3.4,2.33,gaze started: p_2_2
7.1,-0.37,2.25,3.4,2.38,-       
7.15,-0.54,2.11,3.4,2.31,-       
7.2,0.07,2.25,3.4,2.21,-       
7.25,0.07,2.25,3.4,2.21,-       
7.3,0.0,1.58,3.4,2.11,-       
7.35,-0.03,1.54,3.4,2.0,gaze started: p_3_2
7.4,0.46,1.55,3.4,1.97,-       
7.45,0.25,1.59,3.4,1.95,gaze started: p_3_3
7.5,0.34,1.57,3.4,1.92,-       
7.55,0.32,1.59,3.4,1.91,-       
7.6,0.34,1.6,3.4,1.91,-       
7.65,0.3,1.6,3.4,1.91,-       
7.7,0.28,1.6,3.4,1.92,gaze fixated: p_3_3
7.75,0.25,1.6,3.4,1.93,-       
7.8,0.26,1.6,3.4,1.96,-       
7.85,0.22,1.62,3.4,1.96,-       
7.9,0.9,0.99,3.4,2.21,-       
7.95,1.03,0.95,3.4,2.16,gaze started: p_4_3
8.0,1.04,0.97,3.4,2.12,gaze started: p_4_4
8.05,1.04,0.97,3.4,2.12,gaze started: p_4_4
8.1,1.07,0.93,3.4,2.13,-       
8.15,1.59,0.59,3.07,2.05,-       
8.2,1.62,0.59,3.0,2.05,-       
8.25,1.64,0.58,2.99,2.06,-       
8.3,1.64,0.54,2.99,2.07,-       
8.35,1.63,0.56,2.99,2.06,-       
8.4,1.68,0.54,2.99,2.07,-       
8.45,1.59,0.53,2.94,2.13,-       
8.5,1.71,0.54,2.99,2.16,-       
8.55,1.64,0.56,2.99,2.2,-       
8.6,1.65,0.57,2.99,2.35,-       
8.65,1.8,0.55,3.13,2.44,-       
8.7,1.7,0.59,3.57,2.23,-       
8.75,1.56,0.64,3.57,2.43,-       
8.8,1.56,0.64,3.57,2.43,-       
8.85,1.57,0.62,3.57,2.27,-       
8.9,1.59,0.6,3.57,2.29,-       
8.95,1.6,0.6,3.57,2.46,-       
9.0,1.53,0.67,3.57,2.48,-       
9.05,1.45,0.67,3.57,2.51,-       
9.1,1.47,0.68,3.57,2.53,-       
9.15,1.51,0.68,3.57,2.53,-       
9.2,1.54,0.66,3.57,2.54,-       
9.25,1.53,0.69,3.57,2.57,-       
9.3,1.51,0.67,3.57,2.55,-       
9.35,1.6,0.65,3.57,2.54,-       
9.4,1.62,0.6,3.57,2.54,-       
9.45,1.62,0.6,3.57,2.54,-       
9.5,1.6,0.62,3.57,2.34,-       
9.55,1.54,0.64,3.57,2.56,-       
9.6,1.54,0.64,3.57,2.56,-       
9.65,1.49,0.63,3.57,2.24,-       
9.7,1.48,0.7,3.57,2.53,-       
9.75,1.48,0.7,3.57,2.53,-       
9.8,1.46,0.77,3.57,2.52,-       
9.85,1.48,0.76,3.57,2.49,-       
9.9,1.52,0.72,3.57,2.48,-       
9.95,1.47,0.76,3.57,2.52,-       
10.0,1.45,0.74,3.57,2.47,-       
10.05,1.49,0.72,3.57,2.48,-       
10.1,1.54,0.65,3.57,2.21,-       
10.15,1.56,0.64,3.57,2.54,-       
10.2,1.51,0.7,3.57,2.61,-       
10.25,1.49,0.68,3.57,2.29,-       
10.3,1.06,1.12,3.4,2.36,-       
10.35,0.54,1.61,3.4,2.63,gaze started: p_4_4
10.4,0.43,1.69,3.4,2.62,gaze started: p_3_3
10.45,0.47,1.7,3.4,2.67,-       
10.5,-0.1,1.76,3.4,2.63,-       
10.55,0.2,1.75,3.4,2.6,gaze started: p_3_2
10.6,0.2,1.75,3.4,2.6,gaze started: p_3_2
10.65,0.32,1.83,3.4,2.42,gaze started: p_3_3
10.7,0.21,1.9,3.4,2.41,gaze started: p_2_3
10.75,0.31,1.84,3.4,2.38,-       
10.8,0.32,1.86,3.4,2.35,-       
10.85,0.14,1.88,3.46,2.26,-       
10.9,0.15,1.86,3.4,2.26,-       
10.95,0.32,1.81,3.4,2.29,gaze started: p_2_3
11.0,0.32,1.84,3.4,2.29,-       
11.05,0.3,1.82,3.4,2.42,-       
11.1,0.24,1.84,3.4,2.39,-       
11.15,0.24,1.83,3.4,2.61,-       
11.2,-0.16,2.04,3.4,2.53,gaze fixated: p_2_3
11.25,-0.16,2.04,3.4,2.53,gaze fixated: p_2_3
11.3,-0.24,1.96,3.4,2.57,gaze started: p_2_2
11.35,-0.24,2.0,3.4,2.59,-       
11.4,-0.22,2.03,3.4,2.63,-       
11.45,-0.22,2.02,3.4,2.63,-       
11.5,-0.22,2.01,3.4,2.62,-       
11.55,-0.24,2.02,3.4,2.64,gaze fixated: p_2_2
11.6,-0.24,2.02,3.4,2.64,-       
11.65,-0.25,2.03,3.4,2.66,-       
11.7,-0.23,2.07,3.4,2.68,-       
11.75,-0.44,2.11,3.4,2.65,-       
11.8,-0.66,2.11,3.4,2.7,-       
11.85,-0.65,2.1,3.4,2.7,-       
11.9,-0.65,2.06,3.4,2.69,-       
11.95,-0.65,2.1,3.4,2.61,-       
12.0,-0.61,2.06,3.4,2.59,-       
12.05,-0.39,2.15,3.4,2.61,-       
12.1,-0.38,2.09,3.4,2.63,-       
12.15,-0.38,2.13,3.4,2.56,-       
12.2,-0.35,2.12,3.4,2.74,-       
12.25,1.08,0.84,-0.74,,-       
12.3,1.08,0.84,-0.74,,-       
12.35,1.09,0.84,-0.75,,gaze ended: p_2_2
12.4,1.09,0.84,-0.75,,-       
12.45,1.09,0.84,-0.76,,-       
12.5,1.1,0.84,-0.77,,-       
12.55,-0.2,2.2,3.4,2.6,-       
12.6,-0.21,2.18,3.4,2.59,gaze started: p_2_2
12.65,-0.19,2.12,3.4,2.6,-       
12.7,-0.18,2.11,3.4,2.65,-       
12.75,-0.34,2.18,3.4,2.73,-       
12.8,-0.76,2.25,3.4,2.83,-       
12.85,-0.73,2.23,3.4,2.88,gaze started: p_2_1
12.9,-0.74,2.24,3.4,2.82,-       
12.95,-0.71,2.24,3.4,2.77,-       
13.0,-0.74,2.23,3.4,2.75,-       
13.05,-0.77,2.21,3.4,2.75,-       
13.1,-0.8,2.19,3.4,2.75,gaze fixated: p_2_1
13.15,-0.84,2.28,3.46,2.63,-       
13.2,-0.88,2.29,3.4,2.63,gaze ended: p_2_1
13.25,-0.88,2.29,3.4,2.63,gaze ended: p_2_1
13.3,-0.88,2.19,3.4,2.63,gaze started: p_1_1
13.35,-0.87,2.2,3.4,2.63,gaze started: p_2_1
13.4,-0.88,2.25,3.4,2.63,-       
13.45,-0.92,2.28,3.46,2.62,-       
13.5,-0.92,2.25,3.4,2.6,-       
13.55,-0.56,2.11,3.4,2.53,gaze started: p_2_1
13.6,-0.53,2.04,3.4,2.54,gaze started: p_2_2
13.65,-0.51,2.14,3.4,2.57,-       
13.7,-0.52,2.16,3.4,2.58,-       
13.75,-0.53,2.13,3.4,2.59,-       
13.8,-0.53,2.13,3.4,2.64,-       
13.85,-0.54,2.11,3.4,2.64,gaze fixated: p_2_2
13.9,-0.5,2.16,3.4,2.64,-       
13.95,-0.56,2.12,3.4,2.52,-       
14.0,1.07,0.84,-0.74,,-       
14.05,1.07,0.84,-0.75,,gaze ended: p_2_2
14.1,1.06,0.84,-0.75,,-       
14.15,1.06,0.84,-0.74,,-       
14.2,1.06,0.84,-0.73,,-       
14.25,-0.79,2.28,3.4,2.73,-       
14.3,-0.79,2.28,3.4,2.73,-       
14.35,-0.82,2.28,3.4,2.67,gaze started: p_1_1
14.4,-0.81,2.28,3.46,2.68,-       
14.45,-0.79,2.28,3.46,2.7,-       
