time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.12,2.02,3.4,4.09,-       
0.05,-0.12,2.02,3.4,4.09,-       
0.1,-0.33,1.97,3.4,3.95,gaze started: p_2_2
0.15,-0.36,1.96,3.4,3.94,-       
0.2,-0.51,1.67,3.4,4.01,-       
0.25,-0.52,1.68,3.4,4.06,gaze started: p_3_2
0.3,-0.53,1.69,3.4,4.02,-       
0.35,-0.53,1.69,3.4,4.02,-       
0.4,-0.53,1.69,3.4,4.02,-       
0.45,-0.53,1.69,3.4,4.02,-       
0.5,-0.53,1.69,3.4,4.02,-       
0.55,-0.53,1.69,3.4,4.02,-       
0.6,-0.53,1.69,3.4,4.02,-       
0.65,-0.53,1.69,3.4,4.02,-       
0.7,-0.53,1.69,3.4,4.02,-       
0.75,-0.53,1.69,3.4,4.02,-       
0.8,-0.73,2.25,3.4,4.11,gaze fixated: p_3_2
0.85,1.06,0.66,-0.44,,gaze started: p_2_1
0.9,1.06,0.66,-0.44,,-       
0.95,1.06,0.66,-0.44,,-       
1.0,1.06,0.66,-0.44,,-       
1.05,-0.59,1.69,3.4,4.3,-       
1.1,-0.55,2.05,3.4,4.49,gaze started: p_3_2
1.15,-0.57,1.81,3.46,4.51,gaze started: p_2_2
1.2,-0.59,1.82,3.4,4.42,-       
1.25,-0.62,1.81,3.4,4.43,gaze started: p_2_2
1.3,-0.61,1.85,3.4,4.59,-       
1.35,-0.61,1.85,3.4,4.59,-       
1.4,-0.61,1.92,3.4,4.57,-       
1.45,-0.58,1.82,3.4,4.58,-       
1.5,-0.64,1.93,3.4,4.58,-       
1.55,-0.41,1.7,3.4,4.43,gaze fixated: p_2_2
1.6,1.07,0.66,-0.44,,gaze started: p_3_2
1.65,1.07,0.66,-0.44,,-       
1.7,1.07,0.66,-0.44,,-       
1.75,1.07,0.66,-0.44,,-       
1.8,1.07,0.66,-0.44,,-       
1.85,-0.08,1.62,3.4,3.85,-       
1.9,-0.06,1.85,3.4,4.32,gaze started: p_3_2
1.95,-0.04,1.91,3.4,4.2,gaze started: p_2_2
2.0,-0.03,1.97,3.4,4.36,-       
2.05,-0.03,1.97,3.4,4.36,-       
2.1,-0.02,1.94,3.4,4.2,-       
2.15,0.21,1.95,3.4,4.44,-       
2.2,0.11,1.93,3.4,4.38,gaze started: p_2_3
2.25,0.21,1.89,3.4,4.38,gaze started: p_2_2
2.3,0.75,1.68,3.4,4.19,gaze started: p_2_3
2.35,0.81,1.63,3.4,3.98,gaze started: p_3_3
2.4,0.75,1.61,3.4,3.75,-       
2.45,0.75,1.61,3.4,3.59,-       
2.5,0.75,1.61,3.4,3.59,-       
2.55,0.73,1.61,3.4,3.32,-       
2.6,0.7,1.61,3.4,3.1,-       
2.65,0.1,1.65,3.4,2.86,gaze fixated: p_3_3
2.7,0.04,1.68,3.4,2.86,gaze started: p_3_2
2.75,0.05,1.68,3.4,2.77,-       
2.8,0.09,1.68,3.4,2.74,-       
2.85,0.09,1.68,3.4,2.74,-       
2.9,0.09,1.68,3.4,2.71,-       
2.95,0.07,1.68,3.4,2.69,-       
3.0,0.09,1.68,3.4,2.67,gaze fixated: p_3_2
3.05,0.08,1.69,3.4,2.66,-       
3.1,0.08,1.69,3.4,2.66,-       
3.15,-0.04,1.77,3.4,2.68,-       
3.2,-0.04,1.77,3.4,2.68,-       
3.25,-0.11,1.97,3.4,2.73,-       
3.3,-0.09,2.0,3.4,2.78,gaze started: p_2_2
3.35,-0.04,1.99,3.4,2.79,-       
3.4,-0.01,1.99,3.4,2.81,-       
3.45,-0.01,1.99,3.4,2.86,-       
3.5,0.0,1.99,3.4,2.88,-       
3.55,-0.0,2.0,3.4,2.93,gaze fixated: p_2_2
3.6,-0.02,2.0,3.4,2.95,-       
3.65,-0.02,2.0,3.4,2.95,-       
3.7,-0.03,2.0,3.4,2.99,-       
3.75,-0.01,1.99,3.4,3.05,-       
3.8,-0.01,1.99,3.4,3.13,-       
3.85,0.13,2.0,3.4,3.2,-       
3.9,-0.06,2.01,3.4,3.28,-       
3.95,-0.06,2.02,3.4,3.35,-       
4.0,-0.12,2.01,3.4,3.4,-       
4.05,-0.0,2.0,3.4,3.43,-       
4.1,-0.0,2.0,3.4,3.43,-       
4.15,0.02,2.0,3.4,3.44,-       
4.2,-0.01,2.0,3.4,3.46,-       
4.25,0.01,2.0,3.4,3.47,-       
4.3,0.13,1.99,3.4,3.46,-       
4.35,-0.01,2.0,3.4,3.49,-       
4.4,-0.11,2.0,3.4,3.47,-       
4.45,-0.11,2.01,3.4,3.49,-       
4.5,-0.03,2.02,3.4,3.52,-       
4.55,-0.03,2.02,3.4,3.52,-       
4.6,-0.0,2.02,3.4,3.53,-       
4.65,-0.1,2.0,3.4,3.56,-       
4.7,-0.04,2.0,3.4,3.61,-       
4.75,-0.03,2.01,3.4,3.63,-       
4.8,-0.03,2.01,3.4,3.67,-       
4.85,-0.05,2.0,3.4,3.69,-       
4.9,-0.05,2.0,3.4,3.69,-       
4.95,1.06,0.67,-0.45,,-       
5.0,1.06,0.67,-0.45,,gaze ended: p_2_2
5.05,1.06,0.67,-0.45,,-       
5.1,1.06,0.67,-0.45,,-       
5.15,1.07,0.67,-0.45,,-       
5.2,-0.09,1.71,3.4,3.65,-       
5.25,-0.09,1.71,3.4,3.65,-       
5.3,-0.05,1.75,3.4,3.52,gaze started: p_3_2
5.35,-0.03,1.84,3.4,3.65,-       
5.4,0.01,1.8,3.46,3.66,gaze started: p_2_2
5.45,-0.06,1.79,3.4,3.54,-       
5.5,-0.03,1.78,3.4,3.48,gaze started: p_3_2
5.55,-0.03,1.75,3.4,3.36,-       
5.6,0.03,1.79,3.4,3.37,-       
5.65,0.02,1.79,3.4,3.36,-       
5.7,0.02,1.79,3.4,3.36,-       
5.75,0.03,1.78,3.4,3.35,-       
5.8,0.04,1.79,3.4,3.34,gaze fixated: p_3_2
5.85,0.02,1.79,3.4,3.34,-       
5.9,0.11,1.81,3.4,3.29,-       
5.95,0.11,1.81,3.4,3.29,-       
6.0,0.05,1.8,3.46,3.32,gaze started: p_2_2
