time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.82,2.14,3.4,4.41,-       
0.05,-0.82,2.14,3.4,4.41,-       
0.1,-0.72,2.09,3.4,4.41,gaze started: p_2_1
0.15,-0.71,2.08,3.4,4.43,-       
0.2,-0.64,2.07,3.4,4.47,-       
0.25,-0.72,2.1,3.4,4.48,gaze started: p_2_2
0.3,-0.74,2.11,3.4,4.51,gaze started: p_2_1
0.35,-0.74,2.11,3.4,4.51,gaze started: p_2_1
0.4,-0.75,2.11,3.4,4.53,-       
0.45,-0.88,2.32,3.4,4.62,-       
0.5,-0.88,2.31,3.4,4.62,gaze started: p_1_1
0.55,-0.75,2.3,3.4,4.63,-       
0.6,-0.78,2.31,3.4,4.69,-       
0.65,-0.78,2.31,3.4,4.69,-       
0.7,-0.78,2.31,3.4,4.69,-       
0.75,-0.78,2.31,3.4,4.69,-       
0.8,-0.78,2.31,3.4,4.69,-       
0.85,-0.78,2.31,3.4,4.69,-       
0.9,-0.78,2.31,3.4,4.69,-       
0.95,-0.78,2.31,3.4,4.69,-       
1.0,-0.78,2.31,3.4,4.69,-       
1.05,-0.78,2.31,3.4,4.69,-       
1.1,-0.78,2.31,3.4,4.69,-       
1.15,-0.75,2.2,3.4,4.72,gaze fixated: p_1_1
1.2,-0.61,2.31,3.4,4.72,gaze started: p_2_1
1.25,-0.61,2.33,3.4,4.8,gaze started: p_1_2
1.3,-0.53,2.28,3.46,4.79,-       
1.35,-0.53,2.28,3.46,4.79,-       
1.4,-0.53,2.28,3.46,4.81,-       
1.45,-0.43,2.18,3.4,4.8,-       
1.5,-0.5,2.24,3.4,4.81,gaze started: p_2_2
1.55,-0.58,2.02,3.4,4.55,-       
1.6,-0.58,2.02,3.4,4.55,-       
1.65,0.6,0.58,-0.23,,-       
1.7,-1.14,0.58,3.57,3.88,-       
1.75,-1.13,0.87,3.4,4.55,-       
1.8,-1.12,0.95,3.4,4.69,gaze started: p_4_1
1.85,-1.12,0.95,3.4,4.69,gaze started: p_4_1
1.9,-1.21,0.96,3.4,4.69,-       
1.95,-1.25,0.96,3.4,4.72,-       
2.0,-1.25,0.97,3.4,4.74,-       
2.05,-1.36,0.84,3.48,4.8,-       
2.1,-1.46,0.78,3.57,4.81,-       
2.15,-1.46,0.78,3.57,4.81,-       
2.2,-1.47,0.77,3.57,4.81,-       
2.25,-1.46,0.73,3.42,4.77,-       
2.3,-1.45,0.71,3.37,4.8,-       
2.35,-1.51,0.78,3.57,4.82,-       
2.4,-1.51,0.78,3.57,4.82,-       
2.45,0.59,0.58,-0.24,,-       
2.5,0.59,0.58,-0.24,,-       
2.55,0.6,0.58,-0.23,,-       
2.6,-0.09,1.91,3.4,4.48,-       
2.65,-0.2,1.97,3.4,4.15,gaze started: p_2_2
2.7,-0.2,1.97,3.4,4.15,gaze started: p_2_2
2.75,-0.14,1.97,3.4,3.92,-       
2.8,-0.09,1.98,3.4,3.75,-       
2.85,-0.09,1.98,3.4,3.53,-       
2.9,-0.13,2.01,3.4,3.44,-       
2.95,-0.13,2.01,3.4,3.44,-       
3.0,0.02,1.94,3.4,3.34,gaze fixated: p_2_2
3.05,-0.1,2.02,3.4,3.29,-       
3.1,0.1,1.9,3.4,3.2,-       
3.15,0.35,1.82,3.46,3.17,-       
3.2,0.38,1.81,3.46,3.17,gaze ended: p_2_2
3.25,0.38,1.81,3.46,3.17,gaze ended: p_2_2
3.3,0.39,1.81,3.46,3.17,-       
3.35,0.38,1.81,3.46,3.15,-       
3.4,0.38,1.81,3.46,3.12,-       
3.45,0.39,1.81,3.46,3.12,-       
3.5,0.22,1.88,3.4,3.1,-       
3.55,0.22,1.88,3.4,3.1,-       
3.6,0.03,2.03,3.4,3.04,gaze started: p_2_3
3.65,-0.19,2.07,3.4,3.06,gaze started: p_2_2
3.7,-0.19,2.06,3.4,3.08,-       
3.75,0.08,2.11,3.4,3.13,-       
3.8,0.16,2.08,3.4,3.14,-       
3.85,0.16,2.08,3.4,3.14,-       
3.9,0.18,2.09,3.4,3.25,gaze started: p_2_3
3.95,0.34,2.13,3.4,3.29,-       
4.0,0.34,2.13,3.4,3.28,-       
4.05,0.34,2.13,3.4,3.3,-       
4.1,0.21,2.11,3.4,3.29,-       
4.15,0.21,2.11,3.4,3.29,-       
4.2,0.1,1.89,3.4,3.34,gaze fixated: p_2_3
4.25,0.04,1.95,3.4,3.37,gaze started: p_2_2
4.3,0.06,1.93,3.4,3.37,-       
4.35,0.09,1.91,3.4,3.38,-       
4.4,0.09,1.91,3.4,3.38,-       
4.45,-0.06,1.97,3.4,3.39,-       
4.5,-0.06,1.97,3.4,3.4,gaze fixated: p_2_2
4.55,0.43,1.89,3.4,3.37,-       
4.6,0.4,1.9,3.4,3.4,gaze started: p_2_3
4.65,0.4,1.9,3.4,3.4,gaze started: p_2_3
4.7,0.4,1.9,3.4,3.4,-       
4.75,0.25,1.83,3.4,3.37,-       
4.8,0.22,1.82,3.4,3.33,-       
4.85,0.22,1.81,3.46,3.31,-       
4.9,0.15,1.61,3.4,3.33,-       
4.95,0.12,1.61,3.4,3.32,gaze started: p_3_3
5.0,0.12,1.61,3.4,3.32,gaze started: p_3_3
5.05,0.12,1.61,3.4,3.34,gaze started: p_3_2
5.1,0.12,1.58,3.4,3.32,-       
5.15,0.16,1.45,3.4,3.4,-       
5.2,0.16,1.45,3.4,3.37,gaze started: p_3_3
5.25,0.16,1.45,3.4,3.37,gaze started: p_3_3
5.3,0.16,1.45,3.4,3.34,-       
5.35,0.13,1.52,3.4,3.31,-       
5.4,0.12,1.53,3.4,3.31,gaze started: p_3_2
5.45,0.18,1.81,3.46,3.27,-       
5.5,0.18,1.81,3.46,3.27,-       
5.55,0.19,1.85,3.4,3.31,-       
5.6,0.19,1.85,3.4,3.3,gaze started: p_2_3
5.65,0.17,1.82,3.46,3.32,-       
5.7,0.59,0.59,-0.24,,-       
5.75,0.59,0.59,-0.24,,-       
5.8,0.59,0.59,-0.24,,-       
5.85,0.59,0.59,-0.24,,-       
5.9,0.59,0.59,-0.24,,-       
5.95,0.36,2.09,3.4,3.23,-       
6.0,0.33,2.12,3.4,3.3,gaze started: p_2_3
6.05,0.36,2.22,3.4,3.32,-       
6.1,0.36,2.22,3.4,3.32,-       
6.15,0.37,2.29,3.4,3.38,-       
6.2,0.38,2.31,3.4,3.4,gaze started: p_1_3
6.25,0.39,2.34,3.4,3.48,-       
6.3,0.42,2.38,3.4,3.5,-       
6.35,0.43,2.38,3.4,3.5,-       
6.4,0.43,2.38,3.4,3.5,-       
6.45,0.36,2.37,3.4,3.52,gaze fixated: p_1_3
6.5,0.3,2.33,3.4,3.53,-       
6.55,0.29,2.33,3.4,3.53,-       
6.6,0.29,2.33,3.4,3.53,-       
6.65,0.3,2.18,3.4,3.63,-       
6.7,0.31,2.16,3.4,3.58,gaze started: p_2_3
6.75,0.2,1.87,3.4,3.54,-       
6.8,0.14,1.86,3.4,3.54,-       
6.85,0.15,1.85,3.4,3.53,-       
6.9,0.15,1.85,3.4,3.53,-       
6.95,0.15,1.85,3.4,3.51,-       
7.0,0.16,1.86,3.4,3.47,gaze fixated: p_2_3
7.05,0.16,1.86,3.4,3.41,-       
7.1,0.16,1.86,3.4,3.35,-       
7.15,0.16,1.86,3.4,3.3,-       
7.2,0.16,1.86,3.4,3.3,-       
7.25,0.16,1.85,3.4,3.27,-       
7.3,0.15,1.85,3.4,3.26,-       
7.35,0.59,0.59,-0.24,,-       
7.4,0.59,0.59,-0.24,,-       
7.45,0.59,0.6,-0.24,,gaze ended: p_2_3
7.5,0.59,0.59,-0.24,,-       
7.55,0.59,0.59,-0.24,,-       
7.6,0.24,1.77,3.4,3.3,-       
7.65,0.24,1.78,3.4,3.26,gaze started: p_3_3
7.7,0.1,1.78,3.4,3.28,-       
7.75,0.1,1.78,3.4,3.28,-       
7.8,0.1,1.77,3.4,3.31,gaze started: p_3_2
7.85,0.08,1.77,3.4,3.34,-       
7.9,0.16,1.77,3.4,3.28,-       
7.95,0.16,1.78,3.4,3.28,gaze started: p_3_3
8.0,0.16,1.78,3.4,3.27,-       
8.05,0.15,1.84,3.4,3.31,-       
8.1,0.15,1.84,3.4,3.31,-       
8.15,0.12,1.86,3.4,3.22,gaze started: p_2_3
8.2,0.13,1.87,3.4,3.21,gaze started: p_2_2
8.25,0.15,1.89,3.4,3.23,-       
8.3,0.18,1.9,3.4,3.22,gaze started: p_2_3
8.35,0.15,1.93,3.4,3.22,-       
8.4,0.15,1.93,3.4,3.22,-       
8.45,0.13,1.91,3.4,3.25,-       
8.5,0.12,1.91,3.4,3.25,gaze started: p_2_2
8.55,0.13,1.93,3.4,3.25,-       
8.6,0.07,1.93,3.4,3.32,-       
8.65,0.07,1.93,3.4,3.29,-       
8.7,0.06,1.92,3.4,3.28,-       
8.75,0.06,1.92,3.4,3.28,-       
8.8,0.11,1.9,3.4,3.24,gaze fixated: p_2_2
8.85,0.12,1.9,3.4,3.23,-       
8.9,0.13,1.9,3.4,3.2,-       
8.95,0.14,1.9,3.4,3.15,-       
9.0,0.17,1.9,3.4,3.15,gaze started: p_2_3
9.05,0.15,1.93,3.4,3.17,-       
9.1,0.15,1.93,3.4,3.17,-       
9.15,0.13,1.88,3.4,3.19,-       
9.2,0.15,1.88,3.4,3.19,gaze started: p_2_2
9.25,0.17,1.88,3.4,3.2,gaze started: p_2_3
9.3,0.15,1.91,3.4,3.2,-       
9.35,0.12,1.91,3.4,3.22,-       
9.4,0.12,1.91,3.4,3.22,-       
