time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.6,1.87,3.4,4.57,gaze started: p_3_2
0.05,-0.58,1.91,3.4,4.6,gaze started: p_2_2
0.1,-0.58,1.9,3.4,4.59,-       
0.15,-0.58,1.9,3.4,4.59,-       
0.2,-0.58,1.9,3.4,4.59,-       
0.25,-0.58,1.9,3.4,4.59,-       
0.3,-0.58,1.9,3.4,4.59,-       
0.35,-0.58,1.9,3.4,4.59,-       
0.4,-0.58,1.9,3.4,4.59,-       
0.45,-0.58,1.9,3.4,4.59,-       
0.5,-0.58,1.9,3.4,4.59,-       
0.55,-0.58,1.9,3.4,4.59,-       
0.6,-0.58,1.9,3.4,4.59,-       
0.65,-0.64,2.13,3.4,4.65,gaze fixated: p_2_2
0.7,-0.64,2.13,3.4,4.65,gaze fixated: p_2_2
0.75,-0.64,2.13,3.4,4.65,gaze fixated: p_2_2
0.8,-0.64,2.13,3.4,4.65,gaze fixated: p_2_2
0.85,0.61,0.81,-0.34,,-       
0.9,0.61,0.81,-0.34,,gaze ended: p_2_2
0.95,0.61,0.81,-0.34,,-       
1.0,-0.58,2.07,3.4,4.59,-       
1.05,-0.54,1.98,3.4,4.56,gaze started: p_2_2
1.1,-0.54,1.98,3.4,4.56,gaze started: p_2_2
1.15,-0.53,2.02,3.4,4.54,-       
1.2,-0.53,2.02,3.4,4.54,-       
1.25,0.03,1.17,3.4,4.37,-       
1.3,0.17,0.93,3.4,4.34,gaze started: p_4_2
1.35,0.12,1.15,3.4,4.34,gaze started: p_4_3
1.4,0.12,1.15,3.4,4.34,gaze started: p_4_3
1.45,0.17,1.13,3.4,4.43,gaze started: p_4_2
1.5,0.02,1.09,3.4,4.48,gaze started: p_4_3
1.55,0.23,1.75,3.4,4.72,gaze started: p_4_2
1.6,0.23,1.84,3.4,4.65,gaze started: p_3_3
1.65,0.18,1.85,3.4,4.67,gaze started: p_2_3
1.7,0.2,1.85,3.4,4.65,-       
1.75,0.2,1.84,3.4,4.65,-       
1.8,0.2,1.84,3.4,4.66,-       
1.85,0.21,1.84,3.4,4.68,-       
1.9,0.21,1.83,3.4,4.69,-       
1.95,0.21,1.81,3.4,4.68,gaze fixated: p_2_3
2.0,0.2,1.82,3.46,4.7,-       
2.05,0.19,1.81,3.4,4.7,gaze ended: p_2_3
2.1,0.15,1.73,3.4,4.29,gaze started: p_2_3
2.15,0.65,1.51,3.4,4.18,gaze started: p_3_3
2.2,0.62,1.55,3.4,3.92,-       
2.25,0.6,1.54,3.4,3.83,-       
2.3,0.6,1.55,3.4,3.72,-       
2.35,0.59,1.55,3.4,3.55,-       
2.4,0.57,1.55,3.4,3.42,gaze fixated: p_3_3
2.45,0.56,1.55,3.4,3.31,-       
2.5,0.56,1.55,3.4,3.24,-       
2.55,0.55,1.53,3.4,3.17,-       
2.6,0.54,1.52,3.4,3.12,-       
2.65,0.55,1.53,3.4,3.09,-       
2.7,0.57,1.53,3.4,3.07,-       
2.75,0.56,1.53,3.4,3.06,-       
2.8,0.56,1.54,3.4,3.04,-       
2.85,0.56,1.53,3.4,3.02,-       
2.9,0.57,1.56,3.4,3.03,-       
2.95,0.58,1.56,3.4,3.02,-       
3.0,0.57,1.55,3.4,3.01,-       
3.05,0.56,1.55,3.4,3.01,-       
3.1,0.56,1.56,3.4,3.04,-       
