time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.65,2.54,3.4,3.32,-       
0.05,-0.66,2.56,3.4,3.34,-       
0.1,-0.67,2.57,3.4,3.35,-       
0.15,-0.68,2.59,3.4,3.35,-       
0.2,-0.68,2.59,3.4,3.32,-       
0.25,-0.6,2.53,3.4,3.23,-       
0.3,-0.61,2.55,3.4,3.23,-       
0.35,-0.61,2.55,3.4,3.23,-       
0.4,-0.61,2.55,3.4,3.23,-       
0.45,-0.61,2.55,3.4,3.23,-       
0.5,-0.61,2.55,3.4,3.23,-       
0.55,-0.61,2.55,3.4,3.23,-       
0.6,-0.61,2.55,3.4,3.23,-       
0.65,-0.61,2.55,3.4,3.23,-       
0.7,-0.61,2.55,3.4,3.23,-       
0.75,-0.61,2.55,3.4,3.23,-       
0.8,-0.61,2.55,3.4,3.23,-       
0.85,-0.6,2.54,3.4,3.28,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_google_pixel_30s_50wd.mp4
0.9,0.85,0.83,-0.51,,-       
0.95,0.85,0.83,-0.51,,gaze ended: p_1_2
1.0,0.85,0.83,-0.51,,-       
1.05,0.85,0.83,-0.51,,-       
1.1,0.85,0.83,-0.51,,-       
1.15,0.85,0.83,-0.51,,-       
1.2,-0.16,1.45,3.4,3.29,-       
1.25,-0.67,1.04,3.4,3.41,gaze started: p_3_2
1.3,-1.24,0.73,3.49,3.42,gaze started: p_4_2
1.35,-1.37,0.75,3.57,3.56,-       
1.4,-1.23,0.8,3.45,3.44,-       
1.45,-1.25,0.76,3.37,3.6,-       
1.5,-1.25,0.71,3.46,3.62,-       
1.55,-0.26,0.53,3.0,3.42,-       
1.6,-0.34,0.53,3.09,3.58,-       
1.65,-0.23,0.43,2.94,3.38,-       
1.7,-0.22,0.47,2.94,3.4,-       
1.75,-0.23,0.5,2.93,3.5,-       
1.8,-0.17,0.51,2.93,3.49,-       
1.85,-0.12,0.38,2.94,3.13,-       
1.9,0.85,0.83,-0.51,,-       
1.95,0.85,0.83,-0.51,,-       
2.0,0.85,0.83,-0.51,,-       
2.05,0.85,0.83,-0.51,,-       
2.1,0.85,0.83,-0.51,,-       
2.15,-0.1,0.38,2.94,3.34,-       
2.2,-0.1,0.48,2.94,3.63,-       
2.25,0.85,0.83,-0.51,,-       
2.3,0.85,0.83,-0.51,,-       
2.35,0.85,0.83,-0.51,,-       
2.4,0.85,0.83,-0.51,,-       
2.45,-0.07,1.22,3.4,2.63,-       
2.5,0.5,1.52,3.4,3.02,gaze started: p_4_2
2.55,0.48,1.56,3.4,2.73,gaze started: p_3_3
2.6,0.5,1.54,3.4,2.85,-       
2.65,0.4,1.52,3.4,2.82,-       
2.7,0.37,1.51,3.4,2.78,-       
2.75,0.02,1.63,3.4,2.78,-       
2.8,-0.21,1.6,3.4,2.62,gaze started: p_3_2
2.85,-0.22,1.58,3.4,2.66,-       
2.9,-0.23,1.57,3.4,2.64,-       
2.95,-0.24,1.58,3.4,2.62,-       
3.0,-0.26,1.58,3.4,2.6,-       
3.05,-0.25,1.59,3.4,2.55,gaze fixated: p_3_2
3.1,-0.3,1.58,3.4,2.52,-       
3.15,-0.31,1.58,3.4,2.51,-       
3.2,-0.26,1.6,3.4,2.52,-       
3.25,-0.26,1.59,3.4,2.54,-       
3.3,-0.25,1.6,3.4,2.55,-       
3.35,-0.26,1.59,3.4,2.57,-       
3.4,-0.27,1.6,3.4,2.61,-       
3.45,-0.27,1.6,3.4,2.64,-       
3.5,-0.31,1.62,3.4,2.8,-       
3.55,0.12,1.4,3.4,2.88,-       
3.6,0.12,1.39,3.4,2.89,-       
3.65,0.13,1.43,3.4,2.96,-       
3.7,0.12,1.41,3.4,2.96,-       
3.75,0.07,1.38,3.4,2.97,-       
3.8,0.07,1.37,3.4,2.98,-       
3.85,0.07,1.37,3.4,2.99,-       
3.9,0.07,1.36,3.4,2.99,-       
3.95,0.09,1.38,3.4,2.99,-       
