time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.66,2.25,3.4,2.86,gaze started: p_1_3
0.05,0.66,2.25,3.4,2.86,gaze started: p_1_3
0.1,0.66,2.26,3.4,2.88,gaze started: p_2_3
0.15,0.62,2.26,3.4,2.92,-       
0.2,0.33,2.22,3.4,2.83,-       
0.25,0.41,2.25,3.4,2.81,-       
0.3,0.4,2.24,3.4,2.78,-       
0.35,0.44,2.26,3.4,2.78,gaze fixated: p_2_3
0.4,0.26,2.24,3.4,2.79,-       
0.45,0.24,2.23,3.4,2.8,-       
0.5,0.24,2.23,3.4,2.8,-       
0.55,0.24,2.23,3.4,2.8,-       
0.6,0.24,2.23,3.4,2.8,-       
0.65,0.24,2.23,3.4,2.8,-       
0.7,0.24,2.23,3.4,2.8,-       
0.75,0.24,2.23,3.4,2.8,-       
0.8,0.24,2.23,3.4,2.8,-       
0.85,0.24,2.23,3.4,2.8,-       
0.9,0.24,2.23,3.4,2.8,-       
0.95,0.98,0.78,-0.49,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_google_pixel_30s_50wd.mp4
1.0,0.98,0.78,-0.49,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_google_pixel_30s_50wd.mp4
1.05,0.98,0.78,-0.49,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_google_pixel_30s_50wd.mp4
1.1,-0.96,1.77,3.4,2.9,gaze ended: p_2_3
1.15,-0.92,1.83,3.4,2.95,gaze started: p_3_1
1.2,-0.92,1.83,3.4,2.95,gaze started: p_3_1
1.25,-0.97,1.79,3.4,2.92,gaze started: p_2_1
1.3,-0.89,1.79,3.4,2.86,gaze started: p_3_1
1.35,-0.92,1.8,3.46,2.82,-       
1.4,-0.93,1.8,3.46,2.8,-       
1.45,-0.28,1.7,3.4,2.71,-       
1.5,0.24,1.62,3.4,2.92,gaze started: p_3_2
1.55,0.98,0.78,-0.49,,gaze started: p_3_3
1.6,0.98,0.78,-0.49,,-       
1.65,0.98,0.78,-0.49,,-       
1.7,0.98,0.78,-0.49,,-       
1.75,0.98,0.78,-0.49,,-       
1.8,0.98,0.79,-0.49,,-       
1.85,0.95,1.03,3.4,3.05,-       
1.9,0.96,1.24,3.4,3.12,gaze started: p_4_3
1.95,0.36,0.97,3.4,3.08,-       
2.0,-0.3,0.55,3.57,2.68,-       
2.05,0.98,0.79,-0.49,,-       
2.1,-0.19,0.55,3.57,2.64,-       
2.15,0.98,0.79,-0.49,,-       
2.2,0.98,0.79,-0.49,,-       
2.25,0.98,0.79,-0.49,,-       
2.3,-0.41,0.66,3.57,3.06,-       
2.35,-0.3,0.92,3.4,2.56,-       
2.4,0.27,1.75,3.4,3.16,gaze started: p_4_2
2.45,0.39,1.74,3.4,2.95,gaze started: p_3_3
2.5,0.39,1.71,3.4,2.8,-       
2.55,0.38,1.7,3.4,2.67,-       
2.6,0.31,1.7,3.4,2.56,-       
2.65,0.35,1.71,3.4,2.43,-       
2.7,0.35,1.72,3.4,2.31,gaze fixated: p_3_3
2.75,0.32,1.71,3.4,2.17,-       
2.8,0.3,1.71,3.4,2.15,-       
2.85,0.31,1.71,3.4,2.12,-       
2.9,0.32,1.72,3.4,2.07,-       
2.95,-0.03,1.91,3.4,2.1,-       
3.0,0.03,1.87,3.4,2.05,gaze started: p_2_2
3.05,0.2,1.87,3.4,2.04,-       
3.1,0.06,1.87,3.4,2.05,gaze started: p_2_3
3.15,0.09,1.88,3.4,2.03,gaze started: p_2_2
3.2,-0.03,1.86,3.4,2.01,-       
3.25,0.16,1.89,3.4,2.04,-       
3.3,0.1,1.88,3.4,2.03,gaze started: p_2_3
3.35,0.12,1.88,3.4,2.04,gaze started: p_2_2
3.4,0.16,1.89,3.4,2.06,-       
3.45,0.16,1.89,3.4,2.08,gaze started: p_2_3
3.5,0.14,1.89,3.46,2.09,-       
3.55,0.11,1.88,3.4,2.09,-       
3.6,0.12,1.88,3.4,2.08,gaze started: p_2_2
3.65,0.12,1.88,3.4,2.08,gaze started: p_2_2
3.7,0.11,1.88,3.4,2.11,-       
3.75,0.11,1.88,3.4,2.11,-       
3.8,0.12,1.88,3.4,2.11,-       
3.85,0.12,1.88,3.4,2.12,gaze fixated: p_2_2
3.9,0.11,1.87,3.4,2.15,-       
3.95,0.11,1.87,3.4,2.17,-       
4.0,0.13,1.87,3.4,2.2,-       
4.05,0.14,1.88,3.46,2.24,-       
4.1,0.12,1.88,3.4,2.26,gaze ended: p_2_2
4.15,0.12,1.88,3.4,2.28,gaze started: p_2_2
4.2,0.11,1.87,3.4,2.31,-       
4.25,0.11,1.87,3.4,2.31,-       
4.3,0.12,1.87,3.4,2.39,-       
4.35,0.12,1.87,3.4,2.39,-       
4.4,0.13,1.87,3.4,2.41,-       
4.45,0.15,1.87,3.4,2.42,gaze fixated: p_2_2
4.5,0.14,1.87,3.4,2.45,gaze started: p_2_3
4.55,0.11,1.86,3.4,2.45,-       
4.6,0.14,1.85,3.4,2.44,gaze started: p_2_2
4.65,0.13,1.85,3.4,2.43,gaze started: p_2_3
4.7,0.13,1.86,3.46,2.41,gaze started: p_2_2
4.75,0.1,1.86,3.4,2.39,-       
4.8,0.17,1.87,3.4,2.37,gaze started: p_2_2
4.85,0.09,1.86,3.4,2.34,gaze started: p_2_3
4.9,0.11,1.86,3.4,2.32,gaze started: p_2_2
4.95,0.11,1.86,3.4,2.29,-       
5.0,0.09,1.86,3.4,2.3,-       
5.05,0.09,1.86,3.4,2.3,-       
5.1,0.09,1.86,3.4,2.33,-       
5.15,0.1,1.86,3.4,2.34,gaze fixated: p_2_2
5.2,0.09,1.85,3.4,2.38,-       
5.25,0.08,1.85,3.4,2.44,-       
5.3,0.1,1.86,3.4,2.47,-       
5.35,0.1,1.85,3.4,2.53,-       
5.4,0.11,1.85,3.4,2.55,-       
5.45,0.1,1.85,3.4,2.55,-       
5.5,0.1,1.85,3.4,2.51,-       
5.55,0.11,1.86,3.4,2.46,-       
5.6,0.11,1.85,3.4,2.4,-       
5.65,0.12,1.86,3.4,2.32,-       
5.7,0.12,1.87,3.4,2.28,-       
5.75,0.1,1.87,3.4,2.26,-       
5.8,0.1,1.87,3.4,2.23,-       
5.85,0.11,1.87,3.4,2.22,-       
5.9,0.12,1.88,3.4,2.2,-       
5.95,0.08,1.88,3.4,2.19,-       
6.0,0.11,1.88,3.4,2.19,-       
6.05,0.11,1.89,3.4,2.2,-       
6.1,0.1,1.88,3.4,2.21,-       
6.15,0.1,1.89,3.4,2.23,-       
6.2,0.1,1.89,3.4,2.23,-       
6.25,0.11,1.89,3.4,2.24,-       
6.3,0.11,1.89,3.4,2.25,-       
6.35,0.11,1.89,3.4,2.26,-       
6.4,0.11,1.89,3.4,2.25,-       
6.45,0.11,1.88,3.4,2.26,-       
6.5,0.11,1.89,3.4,2.28,-       
6.55,0.11,1.88,3.4,2.27,-       
6.6,0.11,1.88,3.4,2.28,-       
6.65,0.11,1.88,3.4,2.27,-       
6.7,0.11,1.88,3.4,2.27,-       
6.75,0.11,1.88,3.4,2.25,-       
6.8,0.11,1.89,3.4,2.24,-       
6.85,0.11,1.89,3.4,2.24,-       
6.9,0.11,1.89,3.4,2.25,-       
