time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.66,2.35,3.4,3.61,-       
0.05,-0.66,2.35,3.4,3.61,-       
0.1,-0.72,2.4,3.46,3.62,gaze fixated: p_1_2
0.15,-0.74,2.46,3.4,3.7,gaze ended: p_1_2
0.2,-0.76,2.45,3.4,3.71,gaze started: p_1_1
0.25,-0.77,2.41,3.4,3.72,-       
0.3,-0.77,2.41,3.4,3.71,-       
0.35,-0.76,2.4,3.4,3.71,-       
0.4,-0.62,2.43,3.4,3.72,-       
0.45,-0.53,2.4,3.4,3.69,gaze started: p_1_2
0.5,-0.53,2.4,3.4,3.69,gaze started: p_1_2
0.55,-0.53,2.4,3.4,3.69,gaze started: p_1_2
0.6,-0.53,2.4,3.4,3.69,gaze started: p_1_2
0.65,-0.53,2.4,3.4,3.69,gaze started: p_1_2
0.7,-0.53,2.4,3.4,3.69,gaze started: p_1_2
0.75,-0.53,2.4,3.4,3.69,gaze started: p_1_2
0.8,-0.53,2.4,3.4,3.69,gaze started: p_1_2
0.85,-0.53,2.4,3.4,3.69,gaze started: p_1_2
0.9,-0.53,2.4,3.4,3.69,gaze started: p_1_2
0.95,-0.75,2.29,3.4,3.84,gaze fixated: p_1_2
1.0,-0.75,2.31,3.4,3.85,gaze started: p_1_1
1.05,-0.75,2.31,3.4,3.85,-       
1.1,-0.75,2.3,3.4,3.85,-       
1.15,-0.76,2.31,3.4,3.85,-       
1.2,-0.76,2.33,3.4,3.84,-       
1.25,-0.75,2.32,3.4,3.81,-       
1.3,-0.75,2.33,3.4,3.81,gaze fixated: p_1_1
1.35,-0.75,2.33,3.4,3.81,gaze fixated: p_1_1
1.4,-0.69,2.28,3.46,3.74,-       
1.45,-0.69,2.28,3.46,3.74,-       
1.5,-0.61,2.28,3.46,3.75,gaze ended: p_1_1
1.55,-0.6,2.28,3.46,3.75,-       
1.6,-0.58,2.23,3.4,3.75,-       
1.65,-0.59,2.22,3.4,3.78,gaze started: p_2_2
1.7,-0.58,2.23,3.4,3.8,-       
1.75,-0.57,2.26,3.4,3.84,-       
1.8,-0.55,2.08,3.4,3.69,-       
1.85,0.96,0.71,-0.46,,-       
1.9,0.96,0.71,-0.46,,-       
1.95,0.96,0.71,-0.46,,-       
2.0,0.96,0.71,-0.46,,-       
2.05,0.96,0.71,-0.46,,-       
2.1,0.96,0.71,-0.46,,-       
2.15,-0.63,2.17,3.4,3.75,-       
2.2,-0.64,2.23,3.4,3.81,gaze started: p_2_2
2.25,-0.72,2.24,3.46,3.76,-       
2.3,-0.73,2.23,3.4,3.79,-       
2.35,-0.65,2.21,3.4,3.75,gaze started: p_2_1
2.4,0.31,1.69,3.4,3.61,gaze started: p_2_2
2.45,0.55,1.69,3.4,3.61,gaze started: p_3_3
2.5,0.54,1.69,3.4,3.47,-       
2.55,0.54,1.74,3.4,3.39,-       
2.6,0.54,1.72,3.4,3.25,-       
2.65,0.55,1.71,3.4,3.09,-       
2.7,0.01,1.65,3.4,2.83,gaze fixated: p_3_3
2.75,-0.18,1.64,3.4,2.76,gaze started: p_3_2
2.8,-0.19,1.65,3.4,2.72,-       
2.85,-0.2,1.65,3.4,2.69,-       
2.9,-0.19,1.65,3.4,2.65,-       
2.95,-0.18,1.66,3.4,2.6,-       
3.0,-0.18,1.66,3.4,2.57,gaze fixated: p_3_2
3.05,-0.18,1.65,3.4,2.57,-       
3.1,-0.14,1.66,3.4,2.6,-       
3.15,-0.15,1.66,3.4,2.56,-       
3.2,0.01,1.71,3.4,2.55,-       
3.25,-0.01,1.69,3.4,2.59,-       
3.3,0.0,1.69,3.4,2.57,-       
3.35,-0.02,1.7,3.4,2.58,-       
3.4,0.01,1.88,3.4,2.61,-       
3.45,0.02,1.87,3.4,2.58,gaze started: p_2_2
3.5,0.87,0.83,-0.51,,-       
3.55,0.87,0.83,-0.51,,-       
3.6,0.87,0.83,-0.51,,-       
3.65,0.87,0.83,-0.51,,-       
3.7,0.87,0.82,-0.5,,-       
3.75,0.19,2.16,3.4,2.62,-       
3.8,0.23,2.16,3.4,2.59,gaze started: p_2_3
3.85,0.2,2.15,3.4,2.66,-       
3.9,0.14,2.17,3.46,2.7,-       
3.95,0.11,2.14,3.4,2.71,-       
4.0,0.15,2.14,3.4,2.73,gaze started: p_2_2
4.05,0.14,2.16,3.46,2.74,gaze started: p_2_3
4.1,0.13,2.16,3.4,2.75,-       
4.15,0.12,2.03,3.4,2.74,gaze started: p_2_2
4.2,-0.0,1.92,3.4,2.72,-       
4.25,0.04,1.91,3.4,2.74,-       
4.3,0.03,1.91,3.4,2.74,-       
4.35,0.04,1.91,3.4,2.77,-       
4.4,0.03,1.91,3.4,2.78,gaze fixated: p_2_2
4.45,0.04,1.9,3.4,2.77,-       
4.5,0.04,1.89,3.4,2.74,-       
4.55,0.03,1.9,3.4,2.73,-       
4.6,0.12,1.69,3.4,2.73,-       
4.65,0.12,1.69,3.4,2.76,gaze started: p_3_2
4.7,0.12,1.69,3.4,2.76,gaze started: p_3_2
4.75,0.12,1.69,3.4,2.76,-       
4.8,0.13,1.68,3.4,2.78,-       
4.85,0.12,1.64,3.4,2.83,-       
4.9,0.12,1.64,3.4,2.81,-       
4.95,0.13,1.65,3.4,2.8,gaze fixated: p_3_2
5.0,0.12,1.63,3.4,2.74,-       
5.05,0.88,0.82,-0.5,,-       
5.1,0.88,0.82,-0.5,,gaze ended: p_3_2
5.15,0.88,0.82,-0.5,,-       
5.2,0.88,0.82,-0.5,,-       
5.25,0.31,1.92,3.4,2.93,-       
5.3,0.88,0.82,-0.51,,gaze started: p_2_3
5.35,0.88,0.82,-0.51,,-       
5.4,0.88,0.82,-0.51,,-       
5.45,0.88,0.83,-0.51,,-       
5.5,0.19,1.91,3.4,2.81,-       
5.55,0.16,1.85,3.4,2.68,gaze started: p_2_3
5.6,0.17,1.94,3.4,2.82,-       
5.65,0.25,1.88,3.4,2.86,-       
5.7,0.88,0.82,-0.5,,-       
5.75,0.88,0.82,-0.5,,-       
5.8,0.88,0.82,-0.5,,-       
5.85,0.25,1.92,3.4,2.72,-       
5.9,0.28,1.88,3.4,2.61,gaze started: p_2_3
5.95,0.29,1.87,3.4,2.59,-       
6.0,0.19,1.88,3.4,2.6,-       
6.05,0.21,1.87,3.4,2.62,-       
6.1,0.23,1.82,3.4,2.57,gaze started: p_2_2
6.15,0.88,0.82,-0.5,,gaze started: p_2_3
6.2,0.88,0.82,-0.5,,-       
6.25,0.87,0.82,-0.5,,-       
6.3,0.87,0.82,-0.5,,-       
6.35,0.32,1.84,3.4,2.66,-       
6.4,0.26,1.86,3.4,2.61,gaze started: p_2_3
6.45,0.87,0.82,-0.5,,-       
6.5,0.87,0.82,-0.5,,-       
6.55,0.87,0.82,-0.5,,-       
6.6,0.87,0.82,-0.5,,-       
6.65,0.87,0.82,-0.5,,-       
6.7,0.87,0.82,-0.5,,-       
6.75,0.02,1.96,3.4,2.88,-       
6.8,0.2,1.78,3.4,2.63,gaze started: p_2_2
6.85,0.87,0.82,-0.5,,gaze started: p_3_3
6.9,0.87,0.82,-0.5,,-       
6.95,0.87,0.82,-0.5,,-       
7.0,0.87,0.82,-0.5,,-       
7.05,0.87,0.82,-0.5,,-       
7.1,0.87,0.82,-0.5,,-       
7.15,0.87,0.82,-0.5,,-       
7.2,0.28,1.81,3.46,2.56,-       
7.25,0.88,0.82,-0.5,,-       
7.3,0.88,0.82,-0.5,,-       
7.35,0.88,0.82,-0.5,,-       
7.4,0.88,0.82,-0.5,,-       
7.45,0.88,0.81,-0.5,,-       
7.5,0.88,0.81,-0.5,,-       
7.55,0.88,0.82,-0.5,,-       
7.6,0.88,0.81,-0.5,,-       
7.65,0.88,0.81,-0.5,,-       
7.7,0.88,0.81,-0.5,,-       
7.75,0.88,0.81,-0.5,,-       
7.8,0.12,1.88,3.4,2.61,-       
7.85,0.1,1.93,3.4,2.62,gaze started: p_2_2
7.9,0.05,1.9,3.4,2.59,-       
7.95,0.07,1.88,3.4,2.65,-       
8.0,0.07,1.88,3.4,2.66,-       
8.05,0.06,1.89,3.4,2.64,-       
8.1,0.11,1.91,3.4,2.51,-       
8.15,0.1,1.91,3.4,2.48,gaze fixated: p_2_2
8.2,0.1,1.91,3.4,2.41,-       
8.25,0.13,1.92,3.4,2.36,-       
8.3,0.1,1.89,3.4,2.31,-       
8.35,0.12,1.88,3.4,2.31,-       
8.4,0.12,1.88,3.4,2.31,-       
8.45,0.11,1.88,3.4,2.29,-       
8.5,0.12,1.88,3.4,2.3,-       
8.55,0.11,1.88,3.4,2.32,-       
8.6,0.12,1.87,3.4,2.34,-       
8.65,0.12,1.87,3.4,2.36,-       
8.7,0.12,1.86,3.4,2.36,-       
8.75,0.13,1.85,3.4,2.36,-       
8.8,0.13,1.85,3.4,2.35,-       
8.85,0.12,1.86,3.4,2.36,-       
8.9,0.13,1.85,3.4,2.38,-       
8.95,0.12,1.85,3.4,2.38,-       
9.0,0.13,1.85,3.4,2.39,-       
9.05,0.13,1.85,3.4,2.39,-       
9.1,0.13,1.84,3.4,2.41,-       
9.15,0.13,1.84,3.4,2.41,-       
9.2,0.08,1.88,3.4,2.47,-       
9.25,0.09,1.88,3.4,2.47,-       
9.3,0.12,1.87,3.4,2.48,-       
9.35,0.12,1.87,3.4,2.49,-       
9.4,0.11,1.87,3.4,2.5,-       
9.45,0.12,1.86,3.4,2.53,-       
9.5,0.11,1.86,3.4,2.56,-       
9.55,0.12,1.85,3.4,2.58,-       
9.6,0.12,1.85,3.4,2.61,-       
9.65,0.09,1.89,3.4,2.66,-       
9.7,0.14,1.88,3.46,2.67,-       
9.75,0.16,1.88,3.4,2.67,gaze ended: p_2_2
9.8,0.15,1.87,3.4,2.68,gaze started: p_2_3
9.85,0.16,1.88,3.4,2.68,-       
9.9,0.15,1.88,3.4,2.68,-       
9.95,0.16,1.87,3.4,2.71,-       
10.0,0.16,1.87,3.4,2.72,-       
10.05,0.14,1.88,3.46,2.73,gaze fixated: p_2_3
10.1,0.15,1.87,3.4,2.73,gaze ended: p_2_3
10.15,0.15,1.87,3.4,2.78,gaze started: p_2_3
10.2,0.15,1.88,3.4,2.79,-       
10.25,0.19,1.88,3.4,2.79,-       
10.3,0.15,1.88,3.4,2.81,-       
10.35,0.16,1.87,3.4,2.82,-       
10.4,0.13,1.88,3.46,2.79,gaze fixated: p_2_3
10.45,0.16,1.87,3.4,2.75,gaze ended: p_2_3
10.5,0.06,2.14,3.4,2.63,gaze started: p_2_3
10.55,0.03,2.11,3.4,2.65,gaze started: p_2_2
10.6,-0.03,2.11,3.4,2.65,-       
10.65,-0.04,2.11,3.4,2.67,-       
10.7,0.37,2.05,3.4,2.74,-       
10.75,0.4,2.04,3.4,2.75,gaze started: p_2_3
10.8,0.32,2.06,3.4,2.78,-       
