time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.11,1.62,3.4,3.6,-       
0.05,0.11,1.62,3.4,3.6,-       
0.1,0.08,1.62,3.4,3.61,-       
0.15,0.08,1.62,3.4,3.61,-       
0.2,0.08,1.62,3.4,3.61,-       
0.25,0.08,1.62,3.4,3.61,-       
0.3,0.08,1.62,3.4,3.61,-       
0.35,0.08,1.62,3.4,3.61,-       
0.4,0.08,1.62,3.4,3.61,-       
0.45,0.08,1.62,3.4,3.61,-       
0.5,0.08,1.62,3.4,3.61,-       
0.55,0.08,1.62,3.4,3.61,-       
0.6,-0.31,1.56,3.4,3.61,gaze fixated: p_3_2
0.65,-0.29,1.53,3.4,3.65,-       
0.7,-0.28,1.5,3.4,3.68,-       
0.75,-0.26,1.53,3.4,3.69,-       
0.8,-0.25,1.5,3.4,3.72,-       
0.85,-0.28,1.52,3.4,3.73,-       
0.9,-0.28,1.52,3.4,3.73,-       
0.95,-0.16,1.51,3.4,3.76,-       
1.0,0.12,1.77,3.4,3.88,-       
1.05,0.24,1.58,3.4,3.81,-       
1.1,0.26,1.62,3.4,3.85,gaze started: p_3_3
1.15,0.26,1.67,3.4,3.96,-       
1.2,0.26,1.67,3.4,3.96,-       
1.25,0.2,1.62,3.4,3.91,-       
1.3,0.16,1.7,3.4,3.96,-       
1.35,0.19,1.71,3.4,4.07,-       
1.4,0.18,1.71,3.4,3.99,gaze fixated: p_3_3
1.45,0.19,1.7,3.4,4.16,-       
1.5,0.08,1.72,3.4,4.12,-       
1.55,0.14,1.7,3.4,4.15,gaze started: p_3_2
1.6,0.14,1.7,3.4,4.15,gaze started: p_3_2
1.65,0.93,0.83,-0.51,,gaze started: p_3_3
1.7,0.93,0.83,-0.51,,-       
1.75,0.93,0.83,-0.51,,-       
1.8,0.93,0.83,-0.51,,-       
1.85,0.93,0.83,-0.51,,-       
1.9,0.93,0.83,-0.51,,-       
1.95,0.93,0.83,-0.51,,-       
2.0,0.93,0.83,-0.51,,-       
2.05,0.93,0.83,-0.51,,-       
2.1,0.93,0.83,-0.51,,-       
2.15,0.02,0.95,3.4,1.94,-       
2.2,0.02,0.95,3.4,1.94,-       
2.25,-0.09,1.55,3.4,3.26,gaze started: p_4_2
2.3,0.01,1.39,3.4,3.3,gaze started: p_3_2
2.35,-0.02,1.37,3.4,3.15,-       
2.4,0.03,1.59,3.4,3.12,-       
2.45,0.07,1.6,3.4,3.02,-       
2.5,0.07,1.6,3.4,2.92,-       
2.55,0.09,1.62,3.4,2.85,gaze fixated: p_3_2
2.6,0.09,1.63,3.4,2.75,-       
2.65,0.09,1.62,3.4,2.72,-       
2.7,0.08,1.64,3.4,2.63,-       
2.75,0.12,1.61,3.4,2.44,-       
2.8,0.15,1.62,3.4,2.41,-       
2.85,0.13,1.67,3.46,2.32,gaze started: p_3_3
2.9,0.13,1.67,3.46,2.32,gaze started: p_3_3
2.95,0.93,0.83,-0.51,,-       
3.0,0.17,2.3,3.4,2.39,-       
3.05,0.1,2.11,3.4,2.27,gaze started: p_1_3
3.1,0.34,2.05,3.4,2.43,gaze started: p_2_2
3.15,0.54,2.08,3.4,2.32,gaze started: p_2_3
3.2,0.54,2.08,3.4,2.32,gaze started: p_2_3
3.25,0.44,2.08,3.4,2.29,-       
3.3,0.42,2.09,3.4,2.33,-       
3.35,0.28,1.94,3.4,2.32,-       
3.4,0.11,2.04,3.4,2.29,-       
3.45,0.13,1.97,3.4,2.3,gaze started: p_2_2
3.5,0.11,1.94,3.4,2.42,-       
3.55,0.06,1.9,3.4,2.47,-       
3.6,0.42,1.82,3.4,2.63,-       
3.65,0.43,1.86,3.4,2.67,gaze started: p_2_3
3.7,0.3,1.9,3.4,2.67,-       
3.75,0.3,1.86,3.4,2.68,-       
3.8,0.37,1.86,3.4,2.67,-       
3.85,0.17,1.72,3.4,2.73,-       
3.9,0.0,1.56,3.4,2.68,gaze started: p_3_3
3.95,0.01,1.55,3.4,2.63,gaze started: p_3_2
4.0,0.17,1.63,3.4,2.6,-       
4.05,0.17,1.63,3.4,2.6,-       
4.1,0.07,1.56,3.4,2.6,gaze started: p_3_3
4.15,0.11,1.59,3.4,2.57,gaze started: p_3_2
4.2,0.15,1.61,3.4,2.53,-       
4.25,0.1,1.59,3.4,2.48,gaze started: p_3_3
4.3,0.26,1.72,3.4,2.4,gaze started: p_3_2
4.35,0.26,1.75,3.4,2.4,gaze started: p_3_3
4.4,0.26,1.75,3.4,2.4,gaze started: p_3_3
4.45,0.29,1.74,3.4,2.39,-       
4.5,0.34,1.68,3.4,2.3,-       
4.55,0.93,0.83,-0.51,,-       
4.6,0.93,0.83,-0.51,,-       
4.65,0.93,0.83,-0.51,,-       
4.7,0.93,0.83,-0.51,,-       
4.75,0.93,0.83,-0.51,,-       
4.8,0.93,0.83,-0.51,,-       
4.85,0.93,0.83,-0.51,,-       
4.9,0.93,0.83,-0.51,,-       
4.95,0.93,0.83,-0.51,,-       
5.0,0.93,0.83,-0.51,,-       
5.05,0.35,1.71,3.4,2.42,-       
5.1,0.31,1.7,3.4,2.46,gaze started: p_3_3
5.15,0.27,1.81,3.4,2.65,-       
5.2,0.28,1.64,3.4,2.61,gaze started: p_2_3
5.25,0.24,1.62,3.4,2.59,gaze started: p_3_3
5.3,0.1,1.81,3.4,2.58,-       
5.35,0.11,1.82,3.4,2.59,gaze started: p_2_2
5.4,0.28,1.71,3.4,2.48,-       
