time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.54,2.24,3.4,3.64,-       
0.05,-0.51,2.26,3.4,3.44,-       
0.1,-0.49,2.19,3.4,3.43,-       
0.15,-0.53,2.2,3.4,3.53,-       
0.2,-0.62,2.24,3.4,3.45,-       
0.25,1.13,0.65,-0.44,,-       
0.3,1.13,0.65,-0.44,,gaze ended: p_2_2
0.35,1.14,0.65,-0.44,,-       
0.4,1.14,0.65,-0.44,,-       
0.45,1.14,0.65,-0.44,,-       
0.5,1.14,0.65,-0.44,,-       
0.55,1.14,0.65,-0.44,,-       
0.6,1.14,0.65,-0.44,,-       
0.65,1.14,0.65,-0.44,,-       
0.7,1.14,0.65,-0.44,,-       
0.75,1.14,0.65,-0.44,,-       
0.8,1.14,0.65,-0.44,,-       
0.85,-0.43,2.32,3.4,3.32,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_hr_block_30s_50nd.mp4
0.9,-0.44,2.33,3.4,3.33,gaze started: p_1_2
0.95,-0.44,2.33,3.4,3.36,-       
1.0,-0.45,2.31,3.4,3.36,-       
1.05,-0.44,2.32,3.4,3.36,-       
1.1,-0.44,2.32,3.4,3.36,-       
1.15,-0.43,2.29,3.4,3.31,gaze fixated: p_1_2
1.2,-0.44,2.32,3.4,3.36,-       
1.25,-0.49,2.27,3.4,3.26,-       
1.3,-0.41,2.23,3.4,3.32,-       
1.35,-0.34,2.2,3.4,3.39,gaze started: p_2_2
1.4,-0.29,2.3,3.4,3.59,-       
1.45,-0.28,2.05,3.4,3.35,gaze started: p_1_2
1.5,-0.28,2.33,3.4,4.03,gaze started: p_2_2
1.55,-0.24,2.2,3.4,3.77,gaze started: p_1_2
1.6,-0.28,2.25,3.4,3.97,gaze started: p_2_2
1.65,-0.21,2.28,3.4,4.09,-       
1.7,-0.25,2.33,3.4,4.12,gaze started: p_1_2
1.75,-0.26,2.29,3.4,4.02,-       
1.8,-0.23,2.24,3.4,3.36,-       
1.85,-0.34,2.25,3.4,4.03,gaze started: p_2_2
1.9,-0.28,2.21,3.4,3.97,-       
1.95,-0.34,2.21,3.4,3.95,-       
2.0,1.14,0.65,-0.44,,-       
2.05,1.14,0.65,-0.44,,-       
2.1,1.14,0.65,-0.44,,-       
2.15,1.14,0.65,-0.44,,-       
2.2,1.14,0.65,-0.44,,-       
2.25,1.14,0.65,-0.44,,-       
2.3,1.15,0.65,-0.44,,-       
2.35,-0.21,2.23,3.4,3.42,-       
2.4,-0.25,2.37,3.4,3.65,gaze started: p_2_2
2.45,-0.18,2.31,3.4,3.36,gaze started: p_1_2
2.5,-0.13,2.32,3.4,3.42,-       
2.55,-0.06,2.29,3.4,3.31,-       
2.6,-0.13,2.17,3.4,3.13,-       
2.65,-0.13,2.17,3.4,3.13,-       
2.7,1.14,0.65,-0.44,,-       
2.75,1.14,0.65,-0.44,,-       
2.8,1.14,0.65,-0.44,,-       
2.85,1.15,0.65,-0.44,,-       
2.9,1.15,0.65,-0.44,,-       
2.95,1.14,0.65,-0.44,,-       
3.0,1.14,0.65,-0.44,,-       
3.05,1.14,0.65,-0.44,,-       
3.1,1.14,0.65,-0.44,,-       
3.15,1.14,0.65,-0.44,,-       
3.2,1.14,0.65,-0.44,,-       
3.25,1.14,0.65,-0.44,,-       
3.3,1.14,0.65,-0.44,,-       
3.35,1.14,0.65,-0.44,,-       
3.4,1.14,0.65,-0.44,,-       
3.45,1.14,0.65,-0.44,,-       
3.5,1.14,0.65,-0.44,,-       
3.55,1.14,0.65,-0.44,,-       
3.6,1.14,0.65,-0.44,,-       
3.65,1.14,0.65,-0.44,,-       
3.7,1.14,0.65,-0.44,,-       
3.75,1.14,0.65,-0.44,,-       
3.8,1.14,0.65,-0.44,,-       
3.85,1.14,0.64,-0.44,,-       
3.9,-0.07,2.42,3.4,2.79,-       
3.95,-0.07,2.47,3.4,2.87,gaze started: p_1_2
4.0,-0.01,2.4,3.4,2.69,-       
4.05,0.03,2.31,3.4,2.69,-       
4.1,0.08,2.33,3.4,2.81,-       
4.15,1.14,0.65,-0.44,,-       
4.2,1.14,0.65,-0.44,,-       
4.25,1.14,0.65,-0.44,,-       
4.3,1.14,0.65,-0.44,,-       
4.35,1.14,0.64,-0.44,,-       
4.4,1.14,0.65,-0.44,,-       
4.45,1.13,0.65,-0.44,,-       
4.5,1.14,0.65,-0.44,,-       
4.55,1.14,0.65,-0.44,,-       
4.6,1.14,0.65,-0.44,,-       
4.65,1.13,0.65,-0.44,,-       
4.7,1.13,0.65,-0.44,,-       
4.75,1.13,0.65,-0.44,,-       
4.8,1.13,0.65,-0.44,,-       
4.85,1.13,0.65,-0.44,,-       
4.9,1.13,0.65,-0.44,,-       
4.95,1.13,0.65,-0.44,,-       
5.0,1.13,0.65,-0.44,,-       
5.05,1.14,0.65,-0.44,,-       
5.1,1.13,0.65,-0.44,,-       
5.15,1.13,0.65,-0.44,,-       
5.2,1.13,0.65,-0.44,,-       
5.25,1.13,0.65,-0.44,,-       
5.3,1.13,0.65,-0.44,,-       
5.35,1.14,0.64,-0.44,,-       
5.4,1.13,0.64,-0.44,,-       
5.45,1.13,0.64,-0.44,,-       
5.5,1.13,0.65,-0.44,,-       
5.55,1.13,0.65,-0.44,,-       
5.6,-0.05,2.91,3.42,2.79,-       
5.65,-0.17,3.06,3.42,3.51,-       
5.7,-0.13,2.61,3.4,2.88,-       
5.75,-0.22,2.41,3.4,2.97,gaze started: p_1_2
5.8,-0.17,2.42,3.4,2.94,-       
5.85,0.06,2.35,3.4,2.92,-       
5.9,0.09,2.36,3.4,2.96,-       
5.95,0.1,2.25,3.4,2.9,-       
6.0,-0.08,2.19,3.4,2.88,gaze started: p_2_2
6.05,-0.07,2.05,3.4,2.67,-       
6.1,0.15,2.03,3.4,2.72,-       
6.15,0.17,2.08,3.4,2.7,gaze started: p_2_3
6.2,0.19,2.05,3.4,2.68,-       
6.25,0.21,2.17,3.4,2.73,-       
6.3,0.18,2.16,3.4,2.84,-       
6.35,0.31,2.12,3.4,2.77,-       
6.4,0.09,2.0,3.4,2.56,gaze started: p_2_2
6.45,0.09,2.0,3.4,2.56,gaze started: p_2_2
6.5,0.14,2.13,3.46,2.72,-       
6.55,0.16,2.13,3.4,2.73,-       
6.6,0.12,2.17,3.4,2.71,gaze started: p_2_3
6.65,1.14,0.65,-0.44,,gaze started: p_2_2
6.7,0.07,2.21,3.4,2.69,-       
6.75,0.06,2.17,3.4,2.58,gaze started: p_2_2
6.8,-0.1,2.19,3.4,2.94,-       
6.85,1.14,0.65,-0.44,,-       
6.9,1.14,0.65,-0.44,,-       
6.95,1.14,0.65,-0.44,,-       
7.0,1.14,0.65,-0.44,,-       
7.05,-0.1,2.36,3.4,2.69,-       
7.1,-0.11,2.41,3.4,2.78,gaze started: p_1_2
7.15,1.15,0.65,-0.44,,-       
7.2,1.15,0.65,-0.44,,-       
7.25,1.15,0.65,-0.44,,-       
7.3,1.15,0.64,-0.44,,-       
7.35,1.14,0.65,-0.44,,-       
7.4,1.14,0.65,-0.44,,-       
7.45,1.14,0.65,-0.44,,-       
7.5,1.14,0.65,-0.44,,-       
7.55,1.14,0.65,-0.44,,-       
7.6,-2.36,0.18,3.55,2.52,-       
7.65,1.14,0.65,-0.44,,-       
7.7,1.14,0.65,-0.44,,-       
7.75,1.14,0.65,-0.44,,-       
7.8,1.14,0.65,-0.44,,-       
7.85,1.14,0.65,-0.44,,-       
7.9,1.14,0.65,-0.44,,-       
7.95,1.14,0.65,-0.44,,-       
8.0,1.14,0.65,-0.44,,-       
8.05,1.14,0.65,-0.44,,-       
8.1,1.14,0.65,-0.44,,-       
8.15,1.14,0.65,-0.44,,-       
8.2,1.14,0.65,-0.44,,-       
8.25,1.14,0.65,-0.44,,-       
8.3,1.14,0.65,-0.44,,-       
8.35,1.14,0.65,-0.44,,-       
8.4,1.14,0.65,-0.44,,-       
8.45,1.14,0.65,-0.44,,-       
8.5,1.14,0.65,-0.44,,-       
8.55,1.14,0.65,-0.44,,-       
8.6,1.14,0.65,-0.44,,-       
8.65,1.14,0.65,-0.44,,-       
8.7,1.14,0.65,-0.44,,-       
8.75,1.14,0.65,-0.44,,-       
8.8,1.14,0.65,-0.44,,-       
8.85,1.14,0.65,-0.44,,-       
8.9,1.14,0.65,-0.44,,-       
8.95,1.14,0.65,-0.44,,-       
9.0,1.14,0.65,-0.44,,-       
9.05,1.14,0.65,-0.44,,-       
9.1,1.14,0.65,-0.44,,-       
9.15,1.14,0.65,-0.44,,-       
9.2,0.07,2.49,3.4,2.62,-       
9.25,0.02,2.52,3.4,2.93,gaze started: p_1_2
9.3,-0.02,2.38,3.4,2.93,-       
9.35,-0.04,2.34,3.4,2.98,-       
9.4,-0.03,2.36,3.4,3.14,-       
9.45,-0.04,2.37,3.4,3.02,-       
9.5,-0.02,2.36,3.4,2.96,-       
9.55,-0.07,2.33,3.4,2.92,gaze fixated: p_1_2
