time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.87,0.86,-0.55,,-       
0.05,0.87,0.86,-0.55,,-       
0.1,0.87,0.86,-0.55,,-       
0.15,0.87,0.86,-0.55,,-       
0.2,0.87,0.86,-0.55,,-       
0.25,0.87,0.86,-0.55,,-       
0.3,0.87,0.86,-0.55,,-       
0.35,0.87,0.86,-0.55,,-       
0.4,0.87,0.86,-0.55,,-       
0.45,0.87,0.86,-0.55,,-       
0.5,0.87,0.86,-0.55,,-       
0.55,0.87,0.86,-0.55,,-       
0.6,0.87,0.86,-0.55,,-       
0.65,0.87,0.86,-0.55,,-       
0.7,0.87,0.86,-0.55,,-       
0.75,0.87,0.86,-0.55,,-       
0.8,0.87,0.86,-0.55,,-       
0.85,0.87,0.86,-0.55,,-       
0.9,0.87,0.86,-0.55,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_hr_block_30s_50nd.mp4
0.95,0.87,0.86,-0.55,,-       
1.0,0.87,0.86,-0.55,,-       
1.05,0.88,0.86,-0.55,,-       
1.1,0.88,0.86,-0.55,,-       
1.15,0.88,0.86,-0.55,,-       
1.2,0.87,0.86,-0.55,,-       
1.25,0.87,0.86,-0.55,,-       
1.3,0.87,0.86,-0.55,,-       
1.35,0.87,0.86,-0.55,,-       
1.4,0.87,0.86,-0.54,,-       
1.45,0.87,0.86,-0.54,,-       
1.5,-0.58,0.53,3.37,2.21,-       
1.55,-0.39,1.53,3.4,3.03,-       
1.6,-0.42,1.61,3.4,3.15,gaze started: p_3_2
1.65,-0.3,1.9,3.4,3.48,-       
1.7,-0.36,1.88,3.4,3.46,gaze started: p_2_2
1.75,-0.14,1.91,3.4,3.97,-       
1.8,-0.16,1.84,3.4,3.92,-       
1.85,-0.11,1.81,3.46,3.91,-       
1.9,-0.13,1.83,3.4,3.94,-       
1.95,-0.12,1.81,3.46,3.88,gaze started: p_2_2
2.0,-0.12,1.82,3.4,3.89,-       
2.05,-0.11,1.8,3.46,3.88,gaze started: p_2_2
2.1,-0.17,1.83,3.4,3.89,-       
2.15,-0.17,1.8,3.46,3.86,gaze started: p_2_2
2.2,-0.12,1.86,3.4,3.96,-       
2.25,-0.13,1.85,3.4,3.95,gaze started: p_2_2
2.3,-0.15,1.94,3.4,3.8,-       
2.35,-0.04,1.91,3.4,3.56,-       
2.4,0.06,1.9,3.4,3.35,-       
2.45,0.06,1.9,3.4,3.35,-       
2.5,-0.03,1.96,3.4,3.13,-       
2.55,-0.07,1.86,3.4,2.91,gaze fixated: p_2_2
2.6,-0.01,1.83,3.4,2.83,-       
2.65,0.09,1.85,3.4,2.7,-       
2.7,-0.01,1.82,3.4,2.7,-       
2.75,-0.01,1.83,3.4,2.68,-       
2.8,-0.02,1.82,3.4,2.67,-       
2.85,-0.01,1.79,3.4,2.6,-       
2.9,0.01,1.81,3.46,2.59,gaze started: p_3_2
2.95,0.03,1.74,3.4,2.54,-       
