time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.54,1.69,3.4,4.69,-       
0.05,-0.54,1.67,3.4,4.64,gaze fixated: p_3_2
0.1,-0.52,1.67,3.4,4.58,-       
0.15,-0.52,1.67,3.4,4.53,-       
0.2,-0.5,1.67,3.4,4.45,-       
0.25,-0.45,1.7,3.4,4.43,-       
0.3,-0.44,1.7,3.4,4.46,-       
0.35,-0.46,1.72,3.4,4.44,-       
0.4,-0.47,1.69,3.4,4.4,-       
0.45,-0.48,1.67,3.4,4.33,-       
0.5,-0.53,1.7,3.4,4.32,-       
0.55,-0.53,1.7,3.4,4.32,-       
0.6,-0.53,1.7,3.4,4.32,-       
0.65,-0.53,1.7,3.4,4.32,-       
0.7,-0.53,1.7,3.4,4.32,-       
0.75,-0.53,1.7,3.4,4.32,-       
0.8,-0.53,1.7,3.4,4.32,-       
0.85,-0.53,1.7,3.4,4.32,-       
0.9,-0.53,1.7,3.4,4.32,-       
0.95,-0.53,1.7,3.4,4.32,-       
1.0,-0.54,1.6,3.4,4.43,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_hr_block_30s_50nd.mp4
1.05,-0.57,1.57,3.4,4.33,-       
1.1,-0.53,1.59,3.4,4.34,-       
1.15,-0.56,1.57,3.4,4.34,-       
1.2,-0.54,1.56,3.4,4.31,-       
1.25,-0.52,1.59,3.4,4.52,-       
1.3,-0.51,1.6,3.4,4.49,-       
1.35,-0.58,1.47,3.4,4.22,-       
1.4,0.88,0.66,-0.34,,-       
1.45,0.88,0.66,-0.34,,gaze ended: p_3_2
1.5,0.88,0.66,-0.34,,-       
1.55,0.88,0.66,-0.34,,-       
1.6,0.88,0.66,-0.34,,-       
1.65,0.88,0.66,-0.34,,-       
1.7,-0.32,1.33,3.46,3.83,-       
1.75,-0.33,1.27,3.4,4.02,-       
1.8,-0.3,1.47,3.4,4.31,gaze started: p_4_2
1.85,-0.28,1.45,3.4,4.33,gaze started: p_3_2
1.9,-0.28,1.5,3.4,4.37,-       
1.95,-0.26,1.51,3.4,4.42,-       
2.0,-0.28,1.53,3.4,4.43,-       
2.05,-0.26,1.55,3.4,4.45,-       
2.1,-0.26,1.57,3.4,4.47,gaze fixated: p_3_2
2.15,-0.27,1.56,3.4,4.46,-       
2.2,-0.28,1.56,3.4,4.45,-       
2.25,-0.29,1.56,3.4,4.46,-       
2.3,-0.27,1.56,3.4,4.46,-       
2.35,-0.25,1.53,3.4,4.43,-       
2.4,-0.26,1.53,3.4,4.41,-       
2.45,-0.26,1.55,3.4,4.23,-       
2.5,-0.29,1.71,3.4,4.15,-       
2.55,-0.31,1.72,3.4,4.12,-       
2.6,-0.31,1.84,3.4,3.87,-       
2.65,-0.32,1.9,3.4,3.75,gaze started: p_2_2
2.7,-0.33,1.92,3.4,3.73,-       
2.75,-0.32,1.96,3.4,3.68,-       
2.8,-0.39,2.08,3.4,3.62,-       
2.85,-0.4,2.11,3.4,3.57,-       
2.9,-0.39,2.1,3.4,3.52,-       
2.95,-0.32,1.95,3.4,3.41,-       
3.0,-0.32,1.95,3.4,3.41,-       
3.05,-0.28,1.89,3.4,3.26,-       
3.1,-0.3,1.91,3.4,3.31,-       
3.15,-0.3,1.97,3.4,3.32,-       
3.2,-0.32,1.99,3.4,3.34,-       
3.25,-0.31,1.96,3.4,3.34,-       
3.3,-0.31,1.99,3.4,3.35,-       
3.35,-0.31,1.98,3.4,3.38,-       
3.4,-0.23,1.71,3.4,2.98,-       
3.45,0.89,0.66,-0.34,,gaze started: p_3_2
3.5,0.88,0.66,-0.34,,-       
3.55,0.88,0.66,-0.34,,-       
3.6,0.88,0.66,-0.34,,-       
3.65,0.88,0.66,-0.34,,-       
3.7,-0.19,1.62,3.4,2.91,-       
3.75,0.1,1.62,3.4,3.28,gaze started: p_3_2
3.8,0.15,1.7,3.4,3.35,gaze started: p_3_3
3.85,0.14,1.74,3.46,3.49,-       
3.9,0.19,1.72,3.4,3.53,-       
3.95,0.19,1.71,3.4,3.56,gaze started: p_3_3
4.0,0.2,1.71,3.4,3.62,-       
4.05,0.29,1.6,3.4,3.67,-       
4.1,0.24,1.67,3.4,3.69,-       
4.15,0.27,1.64,3.4,3.74,-       
4.2,0.27,1.64,3.4,3.75,-       
4.25,0.27,1.65,3.4,3.74,-       
4.3,0.31,1.6,3.4,3.73,-       
4.35,0.31,1.61,3.4,3.73,-       
4.4,0.24,1.6,3.4,3.63,-       
4.45,0.13,1.67,3.4,3.55,-       
4.5,0.12,1.67,3.4,3.55,gaze started: p_3_2
4.55,0.14,1.67,3.46,3.55,-       
4.6,0.13,1.68,3.4,3.55,gaze started: p_3_2
4.65,0.21,1.6,3.4,3.54,-       
4.7,0.13,1.67,3.4,3.61,gaze started: p_3_3
4.75,0.15,1.66,3.4,3.62,gaze started: p_3_2
4.8,0.12,1.64,3.4,3.59,gaze started: p_3_3
4.85,0.11,1.64,3.4,3.46,gaze started: p_3_2
4.9,0.09,1.65,3.4,3.49,-       
4.95,0.08,1.65,3.4,3.52,-       
5.0,0.08,1.65,3.4,3.53,-       
5.05,0.09,1.64,3.4,3.63,-       
5.1,0.09,1.64,3.4,3.63,-       
5.15,0.08,1.65,3.4,3.43,-       
5.2,0.08,1.67,3.4,3.4,-       
5.25,0.08,1.68,3.4,3.36,-       
5.3,0.11,1.64,3.4,3.36,-       
5.35,0.12,1.66,3.4,3.38,-       
5.4,0.12,1.67,3.4,3.32,-       
5.45,0.11,1.68,3.4,3.31,-       
5.5,0.12,1.67,3.4,3.31,-       
5.55,0.14,1.51,3.4,3.29,-       
5.6,0.17,1.58,3.4,3.42,gaze started: p_3_3
5.65,0.17,1.58,3.4,3.43,-       
5.7,0.18,1.6,3.4,3.42,-       
5.75,0.18,1.62,3.4,3.43,-       
5.8,0.1,1.61,3.4,3.41,-       
5.85,0.1,1.61,3.4,3.4,gaze started: p_3_2
5.9,0.08,1.6,3.4,3.4,-       
5.95,0.11,1.55,3.4,3.42,-       
6.0,0.09,1.54,3.4,3.4,-       
6.05,0.15,1.54,3.4,3.42,-       
6.1,0.14,1.52,3.46,3.39,gaze started: p_3_3
6.15,0.15,1.55,3.4,3.37,-       
6.2,0.14,1.56,3.46,3.37,gaze started: p_3_3
6.25,0.14,1.55,3.46,3.37,-       
6.3,0.14,1.52,3.46,3.34,-       
6.35,0.09,1.54,3.4,3.35,-       
6.4,0.08,1.56,3.4,3.37,gaze started: p_3_2
6.45,0.07,1.55,3.4,3.37,-       
6.5,0.06,1.57,3.4,3.39,-       
6.55,0.08,1.58,3.4,3.43,-       
