time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.37,2.24,3.4,5.26,-       
0.05,-0.37,2.23,3.4,5.27,-       
0.1,-0.37,2.24,3.4,5.28,-       
0.15,-0.36,2.25,3.4,5.29,-       
0.2,-0.37,2.28,3.46,5.28,-       
0.25,-0.35,2.25,3.4,5.28,gaze ended: p_2_2
0.3,-0.35,2.24,3.4,5.26,gaze started: p_2_2
0.35,-0.35,2.24,3.4,5.24,-       
0.4,-0.34,2.24,3.4,5.23,-       
0.45,-0.35,2.25,3.4,5.24,-       
0.5,-0.34,2.25,3.4,5.23,-       
0.55,-0.69,2.35,3.4,5.17,gaze fixated: p_2_2
0.6,-0.69,2.35,3.4,5.17,gaze fixated: p_2_2
0.65,-0.69,2.35,3.4,5.17,gaze fixated: p_2_2
0.7,-0.69,2.35,3.4,5.17,gaze fixated: p_2_2
0.75,-0.69,2.35,3.4,5.17,gaze fixated: p_2_2
0.8,-0.69,2.35,3.4,5.17,gaze fixated: p_2_2
0.85,-0.69,2.35,3.4,5.17,gaze fixated: p_2_2
0.9,-0.69,2.35,3.4,5.17,gaze fixated: p_2_2
0.95,-0.69,2.35,3.4,5.17,gaze fixated: p_2_2
1.0,-0.69,2.35,3.4,5.17,gaze fixated: p_2_2
1.05,-0.39,2.32,3.4,5.17,gaze started: p_1_2
1.1,-0.39,2.3,3.4,5.17,-       
1.15,-0.72,2.36,3.4,5.2,-       
1.2,-0.8,2.37,3.4,5.18,gaze started: p_1_1
1.25,-0.8,2.37,3.4,5.19,-       
1.3,-0.8,2.38,3.4,5.19,-       
1.35,-0.83,2.31,3.4,5.1,-       
1.4,0.57,0.77,-0.31,,-       
1.45,0.57,0.77,-0.31,,-       
1.5,0.57,0.77,-0.31,,-       
1.55,0.57,0.77,-0.31,,-       
1.6,0.57,0.77,-0.31,,-       
1.65,0.57,0.77,-0.31,,-       
1.7,0.57,0.78,-0.31,,-       
1.75,0.56,0.78,-0.31,,-       
1.8,0.57,0.78,-0.31,,-       
1.85,0.56,0.78,-0.31,,-       
1.9,0.13,1.25,3.46,5.1,-       
1.95,0.13,1.28,3.4,5.15,-       
2.0,0.12,1.37,3.4,5.13,gaze started: p_4_2
2.05,-0.22,0.88,3.4,5.09,gaze started: p_3_2
2.1,-0.21,0.94,3.4,5.08,gaze started: p_4_2
2.15,-0.22,0.93,3.4,5.08,-       
2.2,-0.2,0.88,3.4,5.12,-       
2.25,-0.19,0.86,3.46,5.1,-       
2.3,-0.19,0.94,3.4,5.1,-       
2.35,-0.21,0.94,3.4,5.05,gaze started: p_4_2
2.4,-0.2,0.89,3.4,5.06,-       
2.45,-0.17,0.91,3.4,4.98,-       
2.5,0.64,1.46,3.4,4.74,-       
2.55,0.65,1.5,3.4,4.5,gaze started: p_3_3
