time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.68,2.19,3.4,4.2,-       
0.05,-0.72,2.13,3.46,4.15,gaze started: p_2_2
0.1,0.7,0.46,-0.18,,-       
0.15,0.7,0.46,-0.18,,-       
0.2,0.7,0.46,-0.19,,-       
0.25,0.7,0.45,-0.19,,-       
0.3,0.7,0.46,-0.19,,-       
0.35,-0.78,2.29,3.46,4.13,-       
0.4,-0.75,2.21,3.4,4.06,-       
0.45,-0.68,2.21,3.4,4.05,gaze started: p_2_1
0.5,-0.68,2.22,3.4,4.03,gaze started: p_2_2
0.55,-0.68,2.22,3.4,4.03,-       
0.6,-0.68,2.22,3.4,4.07,-       
0.65,-0.72,2.23,3.46,4.1,-       
0.7,-0.72,2.24,3.46,4.13,-       
0.75,-0.72,2.24,3.46,4.13,-       
0.8,-0.72,2.24,3.46,4.13,-       
0.85,-0.72,2.24,3.46,4.13,-       
0.9,-0.72,2.24,3.46,4.13,-       
0.95,-0.72,2.24,3.46,4.13,-       
1.0,-0.72,2.24,3.46,4.13,-       
1.05,-0.72,2.24,3.46,4.13,-       
1.1,-0.72,2.24,3.46,4.13,-       
1.15,-0.72,2.24,3.46,4.13,-       
1.2,-0.72,2.24,3.46,4.13,-       
1.25,-0.78,2.25,3.4,4.09,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_jersey_mikes_30s_100.mp4
1.3,-0.73,2.23,3.4,4.07,gaze started: p_2_1
1.35,-1.02,2.14,3.4,4.1,-       
1.4,-1.07,2.15,3.4,4.09,-       
1.45,-1.07,2.16,3.4,4.06,-       
1.5,-1.06,2.15,3.4,4.03,-       
1.55,-1.03,2.1,3.4,4.03,gaze fixated: p_2_1
1.6,-1.05,2.12,3.4,4.02,-       
1.65,-1.06,2.13,3.4,4.01,-       
1.7,-1.02,2.11,3.4,4.04,-       
1.75,-1.02,2.12,3.4,4.06,-       
1.8,-1.03,2.12,3.4,4.06,-       
1.85,-1.04,2.1,3.4,4.08,-       
1.9,-1.04,2.09,3.4,4.1,-       
1.95,-1.04,2.08,3.4,4.14,-       
2.0,-0.79,1.87,3.4,4.17,-       
2.05,-0.39,1.51,3.4,4.35,-       
2.1,-0.61,1.12,3.4,4.43,gaze started: p_3_2
2.15,0.08,1.47,3.4,4.04,gaze started: p_4_2
2.2,-0.46,1.07,3.4,4.1,gaze started: p_3_2
2.25,-0.39,1.29,3.4,4.14,gaze started: p_4_2
2.3,-0.34,1.18,3.4,4.09,-       
2.35,0.71,0.43,-0.2,,-       
2.4,0.71,0.43,-0.2,,-       
2.45,0.71,0.43,-0.2,,-       
2.5,0.71,0.43,-0.2,,-       
2.55,0.71,0.44,-0.2,,-       
2.6,0.7,0.46,-0.2,,-       
2.65,0.69,0.49,-0.2,,-       
2.7,0.69,0.51,-0.21,,-       
2.75,0.69,0.52,-0.21,,-       
2.8,0.69,0.53,-0.22,,-       
2.85,0.68,0.56,-0.22,,-       
2.9,0.68,0.58,-0.23,,-       
2.95,0.67,0.62,-0.23,,-       
3.0,0.66,0.65,-0.24,,-       
3.05,0.68,0.68,-0.25,,-       
3.1,0.72,0.67,-0.28,,-       
3.15,0.76,0.67,-0.29,,-       
3.2,0.78,0.67,-0.31,,-       
3.25,0.82,0.67,-0.32,,-       
3.3,0.83,0.67,-0.33,,-       
3.35,0.84,0.67,-0.33,,-       
3.4,0.84,0.67,-0.34,,-       
3.45,0.85,0.67,-0.34,,-       
3.5,0.84,0.67,-0.35,,-       
3.55,0.86,0.66,-0.37,,-       
3.6,0.87,0.65,-0.38,,-       
3.65,0.87,0.65,-0.38,,-       
