time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.13,1.75,3.4,3.94,-       
0.05,-0.11,1.76,3.4,4.0,-       
0.1,0.24,1.74,3.4,3.94,-       
0.15,0.22,1.78,3.4,3.92,gaze started: p_3_3
0.2,0.19,1.75,3.4,3.93,-       
0.25,0.2,1.75,3.4,3.92,-       
0.3,0.26,1.84,3.4,3.93,-       
0.35,0.34,1.78,3.4,3.92,gaze started: p_2_3
0.4,0.33,1.78,3.4,3.94,-       
0.45,0.3,1.83,3.4,3.98,-       
0.5,0.61,0.84,-0.42,,gaze started: p_2_3
0.55,0.61,0.84,-0.42,,-       
0.6,0.61,0.84,-0.42,,-       
0.65,0.61,0.84,-0.42,,-       
0.7,0.61,0.84,-0.42,,-       
0.75,0.61,0.84,-0.42,,-       
0.8,0.61,0.84,-0.42,,-       
0.85,0.61,0.84,-0.42,,-       
0.9,0.61,0.84,-0.42,,-       
0.95,0.61,0.84,-0.42,,-       
1.0,0.61,0.84,-0.42,,-       
1.05,0.12,0.45,1.01,3.68,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_jersey_mikes_30s_50nd.mp4
1.1,0.07,0.46,0.93,3.94,-       
1.15,0.07,0.43,0.88,4.03,-       
1.2,0.61,0.84,-0.42,,-       
1.25,0.61,0.84,-0.42,,-       
1.3,0.61,0.84,-0.42,,-       
1.35,-0.02,0.46,0.93,3.47,-       
1.4,-0.02,0.46,0.9,3.46,-       
1.45,0.0,0.45,0.88,3.49,-       
1.5,0.15,0.4,0.88,3.26,-       
1.55,0.61,0.84,-0.42,,-       
1.6,0.61,0.84,-0.42,,-       
1.65,0.61,0.84,-0.42,,-       
1.7,0.61,0.84,-0.42,,-       
1.75,0.48,-0.02,2.63,2.79,-       
1.8,0.5,-0.02,2.74,2.78,-       
1.85,0.25,0.28,2.94,3.49,-       
1.9,-0.04,0.35,2.94,3.43,-       
1.95,0.13,0.47,2.93,3.62,-       
