time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.99,2.13,3.4,4.43,-       
0.05,-0.97,2.17,3.4,4.46,gaze started: p_2_1
0.1,-0.98,2.24,3.4,4.48,-       
0.15,-0.98,2.21,3.4,4.48,-       
0.2,-0.98,2.19,3.4,4.51,-       
0.25,-0.94,2.23,3.4,4.51,-       
0.3,-0.84,2.13,3.4,4.34,gaze fixated: p_2_1
0.35,-0.82,2.14,3.4,4.35,-       
0.4,-0.82,2.14,3.4,4.35,-       
0.45,-0.62,2.45,3.4,4.35,-       
0.5,-0.62,2.45,3.4,4.35,-       
0.55,-0.58,2.49,3.4,4.35,gaze started: p_1_2
0.6,-0.58,2.49,3.4,4.35,gaze started: p_1_2
0.65,-0.58,2.49,3.4,4.35,gaze started: p_1_2
0.7,-0.58,2.49,3.4,4.35,gaze started: p_1_2
0.75,-0.58,2.49,3.4,4.35,gaze started: p_1_2
0.8,-0.58,2.49,3.4,4.35,gaze started: p_1_2
0.85,-0.58,2.49,3.4,4.35,gaze started: p_1_2
0.9,-0.58,2.49,3.4,4.35,gaze started: p_1_2
0.95,-0.58,2.49,3.4,4.35,gaze started: p_1_2
1.0,-0.58,2.49,3.4,4.35,gaze started: p_1_2
1.05,-0.6,2.46,3.4,4.25,gaze fixated: p_1_2
1.1,-0.98,2.3,3.4,4.33,-       
1.15,-0.95,2.32,3.4,4.33,gaze started: p_1_1
1.2,-0.95,2.3,3.4,4.35,-       
1.25,-0.96,2.31,3.4,4.35,-       
1.3,-0.97,2.32,3.4,4.37,-       
1.35,-0.98,2.32,3.4,4.39,-       
1.4,-0.98,2.32,3.4,4.4,gaze fixated: p_1_1
1.45,-0.15,2.18,3.4,4.28,-       
1.5,-0.15,2.19,3.4,4.33,gaze started: p_2_2
1.55,-0.17,2.17,3.4,4.35,-       
1.6,-0.2,2.14,3.4,4.34,-       
1.65,-0.19,2.16,3.4,4.34,-       
1.7,-0.21,2.16,3.4,4.34,-       
1.75,-0.21,2.16,3.4,4.37,-       
1.8,-0.21,2.16,3.4,4.37,gaze fixated: p_2_2
1.85,-0.2,2.16,3.4,4.38,-       
1.9,-0.22,2.19,3.4,4.43,-       
1.95,-0.08,2.09,3.4,4.45,-       
2.0,0.04,2.05,3.4,4.42,-       
2.05,-0.1,2.09,3.4,4.43,-       
2.1,-0.04,2.06,3.4,4.42,-       
2.15,-0.06,2.03,3.4,4.41,-       
2.2,-0.05,2.03,3.4,4.44,-       
2.25,-0.04,2.07,3.4,4.42,-       
2.3,-0.04,2.05,3.4,4.42,-       
2.35,-0.07,2.04,3.4,4.4,-       
2.4,0.82,0.86,-0.55,,-       
2.45,0.82,0.86,-0.54,,gaze ended: p_2_2
2.5,0.82,0.85,-0.54,,-       
2.55,0.83,0.85,-0.54,,-       
2.6,0.83,0.86,-0.54,,-       
2.65,0.83,0.86,-0.55,,-       
2.7,0.26,1.98,3.4,3.36,-       
2.75,0.29,1.9,3.4,3.14,gaze started: p_2_3
2.8,0.36,1.91,3.4,2.98,-       
2.85,0.19,1.96,3.4,2.98,-       
2.9,0.18,1.95,3.4,2.93,-       
2.95,0.33,1.83,3.4,2.89,-       
3.0,0.13,1.71,3.4,2.86,gaze fixated: p_2_3
3.05,0.11,1.73,3.4,2.84,gaze started: p_3_2
3.1,0.16,1.73,3.4,2.83,-       
3.15,0.11,1.74,3.4,2.88,gaze started: p_3_3
3.2,0.1,1.74,3.4,2.82,gaze started: p_3_2
3.25,-0.02,1.78,3.4,2.86,-       
3.3,-0.02,1.79,3.4,2.86,-       
3.35,0.06,1.77,3.4,2.88,-       
3.4,0.1,1.73,3.4,2.86,-       
3.45,0.06,1.75,3.4,2.92,-       
3.5,0.03,1.77,3.4,2.93,gaze fixated: p_3_2
3.55,0.03,1.77,3.4,2.97,-       
