time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.16,1.43,3.4,2.42,-       
0.05,0.13,1.42,3.4,2.36,-       
0.1,0.21,1.44,3.4,2.43,gaze started: p_3_2
0.15,0.2,1.45,3.4,2.43,gaze started: p_3_3
0.2,0.29,1.44,3.4,2.42,-       
0.25,0.29,1.45,3.4,2.42,-       
0.3,0.29,1.45,3.4,2.43,-       
0.35,0.31,1.44,3.4,2.43,-       
0.4,0.24,1.46,3.4,2.48,-       
0.45,0.05,1.81,3.4,2.55,gaze fixated: p_3_3
0.5,0.05,1.81,3.4,2.55,gaze fixated: p_3_3
0.55,0.05,1.81,3.4,2.55,gaze fixated: p_3_3
0.6,0.05,1.81,3.4,2.55,gaze fixated: p_3_3
0.65,0.05,1.81,3.4,2.55,gaze fixated: p_3_3
0.7,0.05,1.81,3.4,2.55,gaze fixated: p_3_3
0.75,0.05,1.81,3.4,2.55,gaze fixated: p_3_3
0.8,0.05,1.81,3.4,2.55,gaze fixated: p_3_3
0.85,0.05,1.81,3.4,2.55,gaze fixated: p_3_3
0.9,0.05,1.81,3.4,2.55,gaze fixated: p_3_3
0.95,-1.03,1.15,3.4,2.17,gaze started: p_2_2
1.0,-1.05,1.18,3.4,2.13,gaze started: p_4_1
1.05,-1.0,1.16,3.4,2.23,-       
1.1,-0.22,1.32,3.4,2.31,-       
1.15,-0.04,1.6,3.4,2.38,gaze started: p_4_2
1.2,-0.04,1.57,3.4,2.42,gaze started: p_3_2
1.25,-0.03,1.56,3.4,2.41,-       
1.3,0.08,1.6,3.4,2.39,-       
1.35,-0.33,1.2,3.4,2.28,-       
1.4,-0.85,0.65,3.57,2.43,gaze started: p_4_2
1.45,-0.85,0.7,3.57,2.42,-       
1.5,-0.82,0.71,3.57,2.47,-       
1.55,-0.82,0.72,3.57,2.51,-       
1.6,-0.4,0.53,3.4,2.58,-       
1.65,-0.12,0.53,2.97,2.6,-       
1.7,-0.14,0.53,3.0,2.61,-       
1.75,-0.14,0.53,3.02,2.63,-       
1.8,-0.15,0.53,3.01,2.67,-       
1.85,-0.15,0.53,2.95,2.75,-       
1.9,-0.15,0.53,2.97,2.76,-       
1.95,-0.05,0.52,2.93,2.9,-       
2.0,1.0,0.57,3.57,3.0,-       
2.05,1.24,0.55,3.57,3.08,-       
2.1,1.24,0.59,3.42,3.07,-       
2.15,1.25,0.59,3.4,3.08,-       
2.2,1.24,0.59,3.41,3.05,-       
2.25,1.46,0.71,3.57,3.13,-       
2.3,1.5,0.69,3.57,3.14,-       
2.35,0.22,1.47,3.4,3.02,-       
2.4,0.18,1.71,3.4,2.92,gaze started: p_3_3
2.45,0.39,1.6,3.4,2.71,-       
2.5,0.28,1.66,3.4,2.63,-       
2.55,0.27,1.66,3.4,2.53,-       
2.6,0.24,1.64,3.4,2.23,-       
2.65,0.14,1.69,3.46,2.18,gaze fixated: p_3_3
2.7,0.5,1.68,3.4,2.13,gaze ended: p_3_3
2.75,0.5,1.68,3.4,2.13,gaze ended: p_3_3
2.8,0.32,1.68,3.4,2.05,-       
2.85,0.24,1.68,3.4,2.07,-       
2.9,0.3,1.68,3.4,2.08,-       
2.95,-0.44,1.4,3.4,2.13,-       
3.0,-0.54,1.24,3.4,2.17,gaze started: p_3_2
3.05,-0.54,1.24,3.4,2.17,gaze started: p_3_2
3.1,-0.56,1.25,3.4,2.21,gaze started: p_4_2
3.15,-0.55,1.28,3.4,2.23,-       
3.2,-0.55,1.28,3.4,2.26,-       
3.25,-0.57,1.28,3.4,2.27,-       
3.3,0.14,1.78,3.46,2.44,-       
3.35,0.04,1.81,3.46,2.38,-       
3.4,-0.01,1.78,3.4,2.42,-       
3.45,-0.02,1.78,3.4,2.45,gaze started: p_3_2
3.5,-0.02,1.77,3.4,2.46,-       
3.55,-0.23,2.1,3.4,2.55,-       
3.6,-0.22,2.11,3.4,2.58,gaze started: p_2_2
3.65,-0.15,2.07,3.4,2.57,-       
3.7,-0.14,2.06,3.4,2.59,-       
3.75,-0.14,2.06,3.4,2.6,-       
3.8,-0.15,2.05,3.4,2.65,-       
3.85,-0.15,2.05,3.4,2.68,gaze fixated: p_2_2
3.9,-0.15,2.05,3.4,2.72,-       
3.95,-0.15,2.05,3.4,2.76,-       
4.0,-0.15,2.05,3.4,2.81,-       
4.05,-0.15,2.02,3.4,2.82,-       
4.1,0.12,1.74,3.4,2.83,-       
4.15,0.09,1.76,3.4,2.84,gaze started: p_3_2
4.2,0.08,1.76,3.4,2.85,-       
4.25,0.04,1.74,3.4,2.85,-       
4.3,0.17,1.99,3.4,2.92,-       
4.35,0.22,2.04,3.4,2.88,gaze started: p_2_3
4.4,0.29,2.08,3.4,2.82,-       
4.45,0.29,2.08,3.4,2.81,-       
4.5,0.21,2.04,3.4,2.76,-       
4.55,0.27,2.02,3.4,2.7,-       
4.6,0.07,1.54,3.4,2.63,gaze fixated: p_2_3
4.65,0.09,1.57,3.4,2.67,gaze started: p_3_2
4.7,0.07,1.58,3.4,2.64,-       
4.75,0.06,1.58,3.4,2.65,-       
4.8,0.06,1.59,3.4,2.66,-       
4.85,0.07,1.6,3.4,2.72,-       
4.9,0.06,1.62,3.4,2.78,gaze fixated: p_3_2
4.95,0.07,1.63,3.4,2.81,-       
5.0,0.08,1.63,3.4,2.83,-       
5.05,0.08,1.63,3.4,2.86,-       
5.1,0.07,1.62,3.4,2.89,-       
5.15,0.07,1.63,3.4,2.91,-       
5.2,0.07,1.63,3.4,2.95,-       
5.25,0.08,1.64,3.4,2.97,-       
5.3,0.08,1.63,3.4,2.98,-       
5.35,0.08,1.62,3.4,2.99,-       
5.4,0.07,1.63,3.4,2.99,-       
5.45,0.07,1.63,3.4,2.95,-       
5.5,0.06,1.62,3.4,2.83,-       
5.55,0.06,1.61,3.4,2.75,-       
5.6,0.05,1.61,3.4,2.69,-       
5.65,0.05,1.59,3.4,2.63,-       
5.7,0.05,1.6,3.4,2.6,-       
5.75,0.04,1.6,3.4,2.59,-       
5.8,0.04,1.6,3.4,2.58,-       
5.85,0.04,1.61,3.4,2.6,-       
5.9,0.04,1.62,3.4,2.62,-       
5.95,0.03,1.63,3.4,2.65,-       
6.0,0.03,1.63,3.4,2.68,-       
6.05,0.04,1.63,3.4,2.7,-       
6.1,0.04,1.62,3.4,2.73,-       
6.15,0.03,1.62,3.4,2.75,-       
6.2,0.03,1.63,3.4,2.78,-       
6.25,0.03,1.63,3.4,2.8,-       
6.3,0.02,1.63,3.4,2.81,-       
6.35,0.03,1.63,3.4,2.83,-       
6.4,0.03,1.63,3.4,2.83,-       
6.45,0.02,1.62,3.4,2.84,-       
6.5,0.02,1.63,3.4,2.85,-       
6.55,0.01,1.63,3.4,2.82,-       
6.6,0.02,1.63,3.4,2.8,-       
6.65,0.02,1.63,3.4,2.78,-       
6.7,0.03,1.62,3.4,2.75,-       
6.75,0.03,1.63,3.4,2.74,-       
6.8,0.03,1.63,3.4,2.72,-       
6.85,0.04,1.64,3.4,2.71,-       
6.9,-0.01,1.63,3.4,2.73,-       
6.95,0.09,1.62,3.4,2.64,-       
7.0,0.11,1.64,3.4,2.67,-       
7.05,0.12,1.65,3.4,2.69,-       
7.1,0.11,1.66,3.4,2.7,-       
7.15,0.11,1.66,3.4,2.7,-       
7.2,0.11,1.66,3.4,2.72,-       
7.25,0.11,1.67,3.4,2.74,-       
7.3,0.11,1.67,3.4,2.74,-       
7.35,0.1,1.67,3.4,2.78,-       
7.4,0.1,1.67,3.4,2.79,-       
7.45,0.1,1.67,3.4,2.8,-       
7.5,0.1,1.67,3.4,2.82,-       
7.55,0.08,1.66,3.4,2.82,-       
7.6,0.08,1.67,3.4,2.83,-       
7.65,0.09,1.66,3.4,2.82,-       
7.7,0.08,1.66,3.4,2.83,-       
7.75,0.08,1.66,3.4,2.85,-       
7.8,0.08,1.65,3.4,2.88,-       
7.85,0.09,1.66,3.4,2.91,-       
7.9,0.09,1.66,3.4,2.91,-       
7.95,0.09,1.66,3.4,2.93,-       
8.0,0.09,1.66,3.4,2.93,-       
8.05,0.1,1.67,3.4,2.93,-       
8.1,0.1,1.66,3.4,2.94,-       
8.15,0.09,1.66,3.4,2.92,-       
8.2,0.09,1.66,3.4,2.87,-       
8.25,0.08,1.66,3.4,2.86,-       
8.3,0.08,1.66,3.4,2.86,-       
8.35,0.08,1.66,3.4,2.86,-       
8.4,0.08,1.66,3.4,2.85,-       
8.45,0.1,1.66,3.4,2.83,-       
8.5,0.11,1.7,3.4,2.82,-       
8.55,0.11,1.72,3.4,2.75,-       
8.6,0.09,1.7,3.4,2.7,-       
8.65,0.1,1.7,3.4,2.64,-       
8.7,0.09,1.69,3.4,2.59,-       
8.75,0.08,1.7,3.4,2.57,-       
8.8,0.14,1.76,3.46,2.53,-       
8.85,0.09,1.72,3.4,2.51,gaze ended: p_3_2
8.9,0.08,1.73,3.4,2.52,gaze started: p_3_2
8.95,0.02,1.67,3.4,2.55,-       
9.0,0.03,1.67,3.4,2.58,-       
9.05,0.08,1.73,3.4,2.59,-       
9.1,0.04,1.66,3.4,2.61,-       
9.15,0.09,1.72,3.4,2.63,-       
9.2,0.1,1.72,3.4,2.65,gaze fixated: p_3_2
9.25,0.1,1.75,3.4,2.66,-       
9.3,0.14,1.76,3.46,2.69,-       
9.35,0.12,1.78,3.4,2.66,gaze ended: p_3_2
9.4,-0.01,1.31,3.4,2.6,gaze started: p_3_2
9.45,0.14,1.78,3.46,2.69,gaze started: p_4_2
9.5,0.13,1.76,3.4,2.7,-       
9.55,0.1,1.73,3.4,2.73,gaze started: p_3_2
9.6,0.1,1.74,3.4,2.74,-       
9.65,0.1,1.73,3.4,2.74,-       
9.7,0.09,1.73,3.4,2.75,-       
9.75,0.14,1.75,3.46,2.72,-       
9.8,0.11,1.77,3.4,2.6,-       
9.85,0.02,1.51,3.4,2.59,gaze started: p_3_2
9.9,0.04,1.53,3.4,2.61,-       
9.95,0.18,1.76,3.4,2.67,-       
10.0,0.14,1.79,3.46,2.65,gaze started: p_3_3
10.05,0.1,1.76,3.4,2.67,-       
10.1,0.11,1.75,3.4,2.67,gaze started: p_3_2
10.15,0.11,1.69,3.4,2.68,-       
10.2,0.11,1.66,3.4,2.69,-       
10.25,0.15,1.79,3.4,2.66,-       
10.3,0.15,1.79,3.4,2.63,gaze started: p_3_3
10.35,0.28,1.61,3.4,2.59,-       
10.4,0.23,1.61,3.4,2.64,-       
10.45,0.23,1.61,3.4,2.64,-       
10.5,0.26,1.59,3.4,2.71,-       
10.55,0.26,1.59,3.4,2.71,-       
10.6,0.42,0.98,3.4,2.69,gaze started: p_4_3
10.65,0.41,1.0,3.4,2.69,-       
10.7,0.41,1.0,3.4,2.69,-       
10.75,0.42,0.99,3.4,2.73,-       
10.8,0.06,1.49,3.4,2.91,-       
10.85,0.06,1.49,3.4,2.91,-       
10.9,1.01,0.86,-0.55,,-       
10.95,1.01,0.86,-0.55,,-       
11.0,-0.63,2.41,3.4,3.21,gaze started: p_1_2
11.05,-0.63,2.41,3.4,3.21,gaze started: p_1_2
11.1,-0.92,2.45,3.4,3.1,-       
11.15,-0.84,2.43,3.4,3.14,gaze started: p_1_1
11.2,-0.96,2.39,3.4,3.17,-       
11.25,-0.93,2.42,3.4,3.17,-       
11.3,-0.92,2.42,3.4,3.17,-       
11.35,-0.9,2.43,3.4,3.2,-       
11.4,-0.88,2.43,3.4,3.23,gaze fixated: p_1_1
11.45,-0.88,2.43,3.4,3.23,gaze fixated: p_1_1
11.5,-0.86,2.43,3.4,3.27,-       
11.55,-0.86,2.43,3.4,3.32,-       
11.6,-0.85,2.44,3.4,3.32,-       
11.65,-0.79,2.44,3.4,3.32,-       
11.7,-0.38,2.16,3.4,3.48,-       
11.75,-0.24,1.15,3.4,3.27,gaze started: p_2_2
11.8,-0.24,1.25,3.4,3.21,gaze started: p_4_2
11.85,-0.21,1.33,3.46,3.21,-       
11.9,-0.26,1.31,3.4,3.22,-       
11.95,-0.13,1.25,3.4,3.27,gaze started: p_4_2
12.0,-0.11,1.22,3.4,3.2,-       
12.05,-0.1,1.17,3.4,3.2,-       
12.1,-0.08,1.17,3.4,3.16,-       
12.15,-0.14,1.21,3.4,3.03,-       
12.2,0.45,2.46,3.4,3.32,gaze fixated: p_4_2
12.25,0.44,2.36,3.4,3.29,gaze started: p_1_3
12.3,0.43,2.37,3.4,3.28,-       
12.35,0.45,2.37,3.4,3.27,-       
12.4,0.44,2.36,3.4,3.26,-       
12.45,0.44,2.35,3.4,3.26,-       
12.5,0.43,2.35,3.4,3.26,gaze fixated: p_1_3
12.55,0.42,2.34,3.4,3.24,-       
12.6,0.44,2.38,3.4,3.22,-       
12.65,0.56,2.47,3.4,3.3,-       
12.7,0.58,2.44,3.4,3.29,-       
12.75,0.56,2.44,3.4,3.3,-       
12.8,0.7,2.52,3.4,3.4,-       
12.85,0.78,2.51,3.4,3.39,-       
12.9,0.81,2.51,3.4,3.39,-       
12.95,0.81,2.5,3.4,3.41,-       
13.0,0.71,2.53,3.4,3.47,-       
13.05,-0.42,2.47,3.4,3.51,-       
13.1,-0.48,2.44,3.4,3.55,gaze started: p_1_2
13.15,-0.46,2.46,3.4,3.52,-       
13.2,-0.43,2.45,3.4,3.5,-       
13.25,-0.42,2.44,3.4,3.5,-       
13.3,-0.42,2.44,3.4,3.49,-       
13.35,-0.42,2.45,3.4,3.49,gaze fixated: p_1_2
13.4,-0.42,2.45,3.4,3.5,-       
13.45,-0.52,2.41,3.4,3.47,-       
13.5,-0.52,2.41,3.4,3.47,-       
13.55,-0.47,2.47,3.4,3.47,-       
13.6,-0.48,2.48,3.4,3.47,-       
13.65,-0.52,2.41,3.4,3.48,-       
13.7,-0.43,1.1,3.4,3.23,-       
13.75,-0.41,1.13,3.4,3.23,gaze started: p_4_2
13.8,-0.44,1.12,3.4,3.24,-       
13.85,-0.43,1.14,3.4,3.24,-       
13.9,-0.43,1.14,3.4,3.23,-       
13.95,-0.42,1.16,3.4,3.24,-       
14.0,-0.41,1.17,3.4,3.22,gaze fixated: p_4_2
14.05,-0.4,1.15,3.4,3.2,-       
14.1,-0.4,1.14,3.4,3.17,-       
14.15,-0.48,1.14,3.4,3.19,-       
14.2,-0.96,2.35,3.4,3.52,-       
14.25,-0.96,2.2,3.4,3.37,gaze started: p_1_1
14.3,-0.96,2.19,3.4,3.37,gaze started: p_2_1
14.35,-0.97,2.19,3.4,3.38,-       
14.4,-0.97,2.18,3.4,3.38,-       
14.45,-0.46,2.11,3.4,3.52,-       
14.5,-0.3,1.98,3.4,3.42,gaze started: p_2_2
14.55,-0.31,1.95,3.4,3.47,-       
14.6,-0.33,2.0,3.4,3.52,-       
14.65,-0.34,2.08,3.4,3.55,-       
14.7,-0.34,2.07,3.4,3.57,-       
14.75,-0.6,2.22,3.4,3.56,gaze fixated: p_2_2
14.8,-0.73,2.23,3.4,3.64,-       
14.85,-0.72,2.18,3.4,3.61,gaze started: p_2_1
14.9,-0.73,2.19,3.4,3.63,-       
