time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.49,2.38,3.4,4.61,-       
0.05,-0.96,2.38,3.4,4.61,-       
0.1,-0.95,2.36,3.4,4.6,gaze started: p_1_1
0.15,-0.93,2.39,3.4,4.6,-       
0.2,-0.93,2.4,3.4,4.58,-       
0.25,-0.93,2.4,3.4,4.58,-       
0.3,-0.93,2.4,3.4,4.58,-       
0.35,-0.93,2.4,3.4,4.58,-       
0.4,-0.93,2.4,3.4,4.58,-       
0.45,-0.93,2.4,3.4,4.58,-       
0.5,-0.93,2.4,3.4,4.58,-       
0.55,-0.93,2.4,3.4,4.58,-       
0.6,-0.93,2.4,3.4,4.58,-       
0.65,-0.93,2.4,3.4,4.58,-       
0.7,-0.93,2.4,3.4,4.58,-       
0.75,-0.5,2.41,3.4,4.65,gaze started: p_1_2
0.8,-0.5,2.4,3.4,4.63,-       
0.85,-0.51,2.36,3.4,4.63,-       
0.9,-0.52,2.32,3.4,4.62,-       
0.95,-0.52,2.31,3.4,4.61,-       
1.0,0.91,0.86,-0.6,,gaze fixated: p_1_2
1.05,0.9,0.86,-0.6,,gaze ended: p_1_2
1.1,0.9,0.86,-0.6,,-       
1.15,0.91,0.86,-0.6,,-       
1.2,0.9,0.86,-0.6,,-       
1.25,0.9,0.86,-0.6,,-       
1.3,0.27,2.21,3.4,4.51,-       
1.35,0.27,2.16,3.4,4.5,gaze started: p_2_3
1.4,0.8,2.11,3.4,4.52,gaze started: p_1_3
1.45,1.15,2.0,3.4,4.61,gaze started: p_2_3
1.5,1.19,2.05,3.4,4.59,gaze started: p_2_4
1.55,1.2,2.04,3.4,4.6,-       
1.6,1.21,2.05,3.4,4.59,-       
1.65,1.2,2.05,3.4,4.6,-       
1.7,1.19,2.04,3.4,4.61,-       
1.75,1.19,2.04,3.4,4.61,gaze fixated: p_2_4
1.8,0.93,1.85,3.4,4.55,-       
1.85,0.18,1.47,3.4,4.52,gaze started: p_2_3
1.9,0.06,1.33,3.46,4.49,gaze started: p_3_3
1.95,0.1,1.36,3.4,4.45,-       
2.0,0.08,1.33,3.46,4.46,gaze started: p_3_2
2.05,0.07,1.32,3.46,4.44,-       
2.1,0.12,1.38,3.4,4.45,-       
2.15,0.59,1.66,3.4,4.39,gaze started: p_3_3
2.2,0.57,1.63,3.4,4.28,-       
2.25,0.57,1.64,3.4,4.22,-       
2.3,0.64,1.66,3.4,3.97,-       
2.35,0.65,1.65,3.4,3.76,-       
2.4,0.65,1.66,3.4,3.63,-       
2.45,0.65,1.67,3.4,3.51,gaze fixated: p_3_3
2.5,0.91,0.86,-0.6,,-       
2.55,0.9,0.86,-0.6,,gaze ended: p_3_3
2.6,0.91,0.86,-0.6,,-       
2.65,0.91,0.86,-0.6,,-       
2.7,0.9,0.86,-0.6,,-       
2.75,0.9,0.86,-0.6,,-       
2.8,0.38,1.36,3.4,2.97,-       
2.85,0.37,1.32,3.46,2.92,gaze started: p_3_3
2.9,0.39,1.35,3.4,2.91,gaze started: p_3_3
2.95,0.17,1.62,3.4,3.04,-       
3.0,0.08,1.84,3.4,3.08,-       
3.05,0.17,1.85,3.4,3.05,gaze started: p_2_2
3.1,0.18,1.85,3.4,3.05,gaze started: p_2_3
3.15,0.2,1.86,3.4,3.04,-       
3.2,0.19,1.86,3.4,3.02,-       
3.25,0.18,1.85,3.4,3.0,-       
3.3,0.1,1.82,3.4,2.99,gaze fixated: p_2_3
3.35,0.14,1.83,3.46,2.98,gaze started: p_2_2
3.4,0.17,1.84,3.4,2.97,-       
3.45,0.2,1.84,3.4,2.95,gaze started: p_2_3
3.5,0.39,2.1,3.4,2.99,-       
3.55,0.52,2.08,3.4,2.98,-       
3.6,0.43,2.08,3.4,2.97,-       
3.65,0.41,2.07,3.4,2.98,-       
3.7,0.42,2.07,3.4,2.98,-       
3.75,0.42,2.08,3.4,2.99,gaze fixated: p_2_3
3.8,0.39,2.06,3.4,3.01,-       
3.85,0.24,2.17,3.4,3.05,-       
3.9,-0.14,2.22,3.4,3.07,-       
3.95,-0.17,2.21,3.4,3.06,gaze started: p_2_2
4.0,-0.17,2.19,3.4,3.07,-       
4.05,-0.15,2.18,3.4,3.08,-       
4.1,-0.16,2.17,3.4,3.1,-       
4.15,0.21,2.16,3.4,3.11,-       
4.2,0.35,2.11,3.4,3.04,gaze started: p_2_3
4.25,0.4,2.08,3.4,3.12,-       
4.3,0.9,0.86,-0.6,,-       
4.35,0.9,0.86,-0.6,,-       
4.4,0.9,0.86,-0.6,,-       
4.45,0.9,0.86,-0.6,,-       
4.5,0.91,0.86,-0.6,,-       
4.55,0.91,0.86,-0.6,,-       
4.6,0.91,0.86,-0.6,,-       
4.65,0.21,1.83,3.4,3.3,-       
4.7,0.22,1.84,3.4,3.27,gaze started: p_2_3
4.75,0.22,1.84,3.4,3.3,-       
4.8,0.29,1.86,3.4,3.34,-       
4.85,0.23,1.82,3.4,3.36,-       
4.9,0.1,1.73,3.4,3.32,-       
4.95,0.19,1.73,3.4,3.3,gaze started: p_3_3
5.0,0.21,1.74,3.4,3.29,-       
5.05,0.2,1.74,3.4,3.26,-       
5.1,0.28,1.75,3.4,3.21,-       
5.15,0.28,1.76,3.4,3.18,-       
5.2,0.29,1.75,3.4,3.17,-       
5.25,0.29,1.73,3.4,3.09,-       
5.3,0.2,1.74,3.4,3.07,-       
5.35,0.25,1.74,3.4,3.03,-       
5.4,0.29,1.74,3.4,3.03,-       
5.45,0.3,1.74,3.4,3.01,-       
5.5,0.3,1.74,3.4,2.99,-       
5.55,0.21,1.73,3.4,2.97,-       
5.6,0.2,1.74,3.4,2.98,-       
5.65,0.22,1.73,3.4,2.98,-       
5.7,0.22,1.72,3.4,2.98,-       
