time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.61,2.17,3.4,5.11,-       
0.05,-0.62,2.17,3.4,5.12,-       
0.1,-0.62,2.17,3.4,5.12,-       
0.15,-0.62,2.18,3.4,5.08,-       
0.2,-0.62,2.18,3.4,5.08,-       
0.25,-0.61,2.18,3.4,5.07,-       
0.3,-0.61,2.18,3.4,5.07,-       
0.35,-0.61,2.18,3.4,5.07,-       
0.4,-0.61,2.18,3.4,5.07,-       
0.45,-0.61,2.18,3.4,5.07,-       
0.5,-0.61,2.18,3.4,5.07,-       
0.55,-0.61,2.18,3.4,5.07,-       
0.6,-0.61,2.18,3.4,5.07,-       
0.65,-0.61,2.18,3.4,5.07,-       
0.7,-0.61,2.18,3.4,5.07,-       
0.75,-0.42,2.39,3.4,5.1,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_lego_30s_100.mp4
0.8,-0.42,2.39,3.4,5.1,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_lego_30s_100.mp4
0.85,-0.42,2.39,3.4,5.1,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_lego_30s_100.mp4
0.9,-0.42,2.39,3.4,5.1,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_lego_30s_100.mp4
0.95,-0.5,2.29,3.4,5.09,gaze started: p_1_2
1.0,-0.5,2.29,3.4,5.08,-       
1.05,-0.5,2.29,3.4,5.08,-       
1.1,-0.49,2.3,3.4,5.06,gaze fixated: p_1_2
1.15,-0.48,2.29,3.4,5.06,-       
1.2,-0.48,2.3,3.4,5.04,-       
1.25,-0.48,2.29,3.4,5.04,-       
1.3,-0.51,2.29,3.46,5.03,-       
1.35,-0.51,2.3,3.46,5.03,gaze ended: p_1_2
1.4,-0.49,2.28,3.4,5.02,-       
1.45,-0.5,2.28,3.4,5.02,gaze started: p_1_2
1.5,-0.49,2.28,3.4,5.04,-       
1.55,-0.49,2.29,3.4,5.05,-       
1.6,-0.48,2.3,3.4,5.06,-       
1.65,-0.49,2.29,3.4,5.07,-       
1.7,-0.48,2.29,3.4,5.07,gaze fixated: p_1_2
1.75,-0.47,2.28,3.4,5.08,-       
1.8,-0.47,2.28,3.4,5.08,-       
1.85,-0.47,2.29,3.4,5.11,-       
1.9,-0.46,2.29,3.4,5.13,-       
1.95,-0.45,2.3,3.4,5.15,-       
2.0,-0.45,2.3,3.4,5.17,-       
2.05,-0.46,2.3,3.4,5.18,-       
2.1,-0.45,2.32,3.4,5.17,-       
2.15,-0.43,2.35,3.4,5.2,-       
2.2,-0.47,2.37,3.4,5.16,-       
2.25,-0.47,2.37,3.4,5.16,-       
2.3,-0.44,2.3,3.4,4.73,-       
2.35,-0.45,2.24,3.4,4.46,-       
2.4,-0.45,2.21,3.4,4.35,gaze started: p_2_2
2.45,-0.43,2.2,3.4,4.16,-       
2.5,-0.44,2.19,3.4,4.01,-       
2.55,-0.46,2.17,3.4,3.8,-       
2.6,-0.46,2.19,3.4,3.72,-       
2.65,-0.46,2.2,3.4,3.6,-       
2.7,-0.46,2.2,3.4,3.51,gaze fixated: p_2_2
2.75,-0.46,2.2,3.4,3.51,gaze fixated: p_2_2
2.8,-0.47,2.21,3.4,3.36,-       
2.85,-0.47,2.21,3.4,3.36,-       
2.9,-0.46,2.21,3.4,3.32,-       
2.95,-0.46,2.21,3.4,3.28,-       
3.0,-0.47,2.21,3.4,3.25,-       
3.05,-0.47,2.22,3.4,3.25,-       
3.1,-0.46,2.21,3.4,3.24,-       
3.15,-0.46,2.21,3.4,3.24,-       
3.2,-0.45,2.2,3.4,3.25,-       
3.25,-0.46,2.21,3.4,3.25,-       
3.3,-0.45,2.21,3.4,3.26,-       
3.35,-0.46,2.2,3.4,3.27,-       
3.4,-0.46,2.2,3.4,3.31,-       
3.45,-0.47,2.2,3.4,3.33,-       
3.5,-0.44,2.2,3.4,3.37,-       
3.55,-0.43,2.2,3.4,3.38,-       
3.6,-0.43,2.19,3.4,3.42,-       
3.65,-0.46,2.13,3.4,3.44,-       
3.7,-0.45,2.14,3.4,3.46,-       
3.75,-0.46,2.12,3.4,3.48,-       
3.8,-0.45,2.13,3.4,3.52,-       
3.85,-0.44,2.14,3.4,3.55,-       
3.9,-0.44,2.14,3.4,3.55,-       
3.95,-0.42,2.21,3.4,3.61,-       
4.0,-0.43,2.18,3.4,3.65,-       
4.05,-0.45,2.14,3.4,3.68,-       
4.1,-0.44,2.13,3.4,3.75,-       
4.15,-0.41,2.17,3.4,3.77,-       
4.2,-0.45,2.16,3.4,3.79,-       
4.25,-0.43,2.15,3.4,3.79,-       
4.3,-0.46,2.15,3.4,3.78,-       
4.35,-0.49,2.1,3.4,3.76,-       
4.4,-0.47,2.13,3.4,3.75,-       
4.45,-0.47,2.12,3.4,3.76,-       
4.5,-0.5,2.07,3.4,3.77,-       
4.55,-0.48,2.13,3.4,3.78,-       
4.6,-0.44,2.18,3.4,3.78,-       
4.65,-0.43,2.18,3.4,3.81,-       
4.7,-0.42,2.19,3.4,3.8,-       
4.75,-0.46,2.14,3.4,3.82,-       
4.8,-0.43,2.16,3.4,3.84,-       
4.85,-0.44,2.16,3.4,3.86,-       
4.9,-0.49,2.14,3.4,3.88,-       
4.95,-0.49,2.14,3.4,3.88,-       
5.0,-0.44,2.12,3.4,3.93,-       
5.05,-0.42,2.14,3.4,3.97,-       
5.1,-0.48,2.13,3.4,4.01,-       
5.15,-0.52,2.12,3.4,4.02,-       
5.2,-0.43,2.15,3.4,4.01,-       
5.25,-0.43,2.12,3.4,3.98,-       
5.3,-0.44,2.11,3.4,3.96,-       
5.35,-0.46,2.1,3.4,3.9,-       
5.4,-0.46,2.11,3.4,3.84,-       
5.45,-0.42,2.13,3.4,3.83,-       
5.5,-0.42,2.15,3.4,3.78,-       
5.55,-0.45,2.11,3.4,3.74,-       
5.6,-0.39,2.11,3.4,3.77,-       
5.65,-0.41,2.1,3.4,3.8,-       
5.7,-0.43,2.1,3.4,3.8,-       
5.75,-0.44,2.11,3.4,3.82,-       
5.8,-0.49,2.08,3.4,3.81,-       
5.85,-0.44,2.11,3.4,3.85,-       
5.9,-0.41,2.16,3.4,3.85,-       
5.95,-0.41,2.16,3.4,3.85,-       
6.0,-0.46,2.1,3.4,3.8,-       
6.05,-0.43,2.15,3.4,3.79,-       
6.1,-0.42,2.16,3.4,3.79,-       
6.15,-0.43,2.15,3.4,3.79,-       
6.2,-0.36,2.21,3.4,3.74,-       
6.25,-0.36,2.17,3.4,3.79,-       
6.3,-0.42,2.1,3.4,3.78,-       
6.35,-0.34,2.16,3.4,3.75,-       
6.4,-0.4,2.16,3.4,3.76,-       
6.45,-0.41,2.12,3.4,3.77,-       
6.5,-0.45,2.12,3.4,3.79,-       
6.55,-0.45,2.08,3.4,3.78,-       
6.6,-0.44,2.09,3.4,3.78,-       
6.65,-0.44,2.1,3.4,3.79,-       
6.7,-0.44,2.11,3.4,3.8,-       
6.75,-0.42,2.11,3.4,3.83,-       
6.8,-0.4,2.09,3.4,3.82,-       
6.85,-0.4,2.09,3.4,3.83,-       
6.9,-0.39,2.14,3.4,3.9,-       
6.95,-0.38,2.13,3.4,3.92,-       
7.0,-0.38,2.13,3.4,3.92,-       
7.05,-0.42,2.11,3.4,3.91,-       
7.1,-0.4,2.11,3.4,3.94,-       
7.15,-0.42,2.12,3.4,3.98,-       
7.2,-0.46,2.14,3.4,3.95,-       
7.25,-0.4,2.14,3.4,3.93,-       
7.3,-0.41,2.11,3.4,3.91,-       
7.35,-0.44,2.13,3.4,3.91,-       
7.4,-0.41,2.14,3.4,3.9,-       
7.45,-0.4,2.15,3.4,3.86,-       
7.5,-0.42,2.14,3.4,3.79,-       
7.55,-0.43,2.13,3.4,3.81,-       
7.6,-0.42,2.12,3.4,3.83,-       
7.65,-0.41,2.11,3.4,3.81,-       
7.7,-0.39,2.1,3.4,3.8,-       
