time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.24,2.37,3.4,4.8,gaze started: p_2_2
0.05,-0.24,2.37,3.4,4.8,gaze started: p_2_2
0.1,-0.19,2.35,3.4,4.79,gaze started: p_1_2
0.15,-0.16,2.36,3.4,4.76,-       
0.2,-0.18,2.36,3.4,4.67,-       
0.25,-0.18,2.36,3.4,4.67,-       
0.3,-0.15,2.34,3.4,4.63,-       
0.35,-0.08,2.34,3.4,4.57,gaze fixated: p_1_2
0.4,-0.08,2.34,3.4,4.57,gaze fixated: p_1_2
0.45,0.01,2.3,3.4,4.65,-       
0.5,-0.09,2.35,3.4,4.67,-       
0.55,-0.09,2.35,3.4,4.69,-       
0.6,-0.09,2.35,3.4,4.69,-       
0.65,-0.07,2.29,3.4,4.79,-       
0.7,-0.2,2.31,3.4,4.81,-       
0.75,-0.22,2.32,3.4,4.86,-       
0.8,-0.22,2.32,3.4,4.86,-       
0.85,-0.14,2.15,3.4,4.9,-       
0.9,-0.22,2.17,3.4,4.89,gaze started: p_2_2
0.95,-0.22,2.17,3.4,4.89,gaze started: p_2_2
1.0,-0.2,2.17,3.4,4.89,-       
1.05,-0.24,1.99,3.4,4.86,-       
1.1,-0.21,1.82,3.4,4.8,-       
1.15,-0.21,1.82,3.4,4.8,-       
1.2,0.58,0.36,-0.09,,gaze fixated: p_2_2
1.25,-0.15,1.87,3.4,4.65,gaze ended: p_2_2
1.3,-0.1,1.88,3.4,4.31,gaze started: p_2_2
1.35,-0.1,1.88,3.4,4.31,gaze started: p_2_2
1.4,-0.09,1.95,3.4,4.07,-       
1.45,-0.07,2.01,3.4,3.91,-       
1.5,-0.06,2.06,3.4,3.68,-       
1.55,-0.06,2.06,3.4,3.68,-       
1.6,-0.06,2.06,3.4,3.43,gaze fixated: p_2_2
1.65,0.09,1.88,3.4,3.26,-       
1.7,0.09,1.88,3.4,3.26,-       
1.75,0.12,1.69,3.4,3.18,-       
1.8,0.12,1.69,3.4,3.15,gaze started: p_3_2
1.85,0.13,1.69,3.46,3.11,-       
1.9,0.13,1.69,3.46,3.11,-       
1.95,0.12,1.68,3.4,3.12,-       
2.0,0.12,1.69,3.4,3.13,gaze started: p_3_2
2.05,0.12,1.7,3.4,3.17,-       
2.1,0.12,1.7,3.4,3.17,-       
2.15,0.11,1.69,3.4,3.2,-       
2.2,0.11,1.68,3.4,3.23,-       
2.25,0.11,1.68,3.4,3.27,gaze fixated: p_3_2
2.3,0.11,1.68,3.4,3.27,gaze fixated: p_3_2
2.35,0.12,1.67,3.4,3.28,-       
2.4,0.11,1.55,3.4,3.31,-       
2.45,0.08,1.04,3.4,3.38,-       
2.5,0.08,1.04,3.4,3.38,-       
2.55,0.09,1.07,3.4,3.43,gaze started: p_4_2
2.6,0.09,1.09,3.4,3.51,-       
2.65,0.09,1.09,3.4,3.51,-       
2.7,0.42,0.93,3.4,3.65,-       
2.75,1.04,0.66,3.57,3.51,gaze started: p_4_3
2.8,1.04,0.66,3.57,3.51,gaze started: p_4_3
2.85,1.06,0.62,3.57,3.51,-       
2.9,1.04,0.62,3.57,3.51,-       
2.95,1.02,0.61,3.57,3.49,-       
3.0,1.02,0.61,3.57,3.49,-       
3.05,0.91,0.78,3.57,3.47,-       
3.1,0.12,1.67,3.4,3.51,-       
3.15,0.17,1.71,3.4,3.63,gaze started: p_3_2
3.2,0.17,1.71,3.4,3.63,gaze started: p_3_2
3.25,0.13,1.64,3.4,3.56,gaze started: p_3_3
3.3,0.06,1.65,3.4,3.5,gaze started: p_3_2
3.35,0.59,0.36,-0.12,,-       
3.4,0.59,0.36,-0.12,,-       
3.45,0.6,0.35,-0.13,,-       
3.5,0.6,0.36,-0.14,,-       
3.55,0.6,0.35,-0.16,,-       
3.6,0.6,0.35,-0.16,,-       
3.65,0.59,0.36,-0.16,,-       
3.7,-0.05,1.92,3.4,3.51,-       
3.75,0.36,1.67,3.4,3.61,gaze started: p_2_2
3.8,0.36,1.67,3.4,3.61,gaze started: p_2_2
3.85,0.58,1.41,3.4,3.6,gaze started: p_3_3
3.9,0.58,1.43,3.4,3.62,-       
3.95,0.56,1.45,3.4,3.69,-       
4.0,0.56,1.45,3.4,3.69,-       
4.05,0.59,1.45,3.4,3.75,-       
4.1,0.58,1.43,3.4,3.73,gaze fixated: p_3_3
4.15,0.55,1.43,3.4,3.72,-       
