time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.22,2.09,3.4,3.91,-       
0.05,-0.09,2.1,3.4,3.88,-       
0.1,-0.09,2.07,3.4,3.86,-       
0.15,-0.14,1.98,3.4,3.82,-       
0.2,-0.14,1.98,3.4,3.82,-       
0.25,-0.13,1.97,3.4,3.79,-       
0.3,-0.13,1.97,3.4,3.79,-       
0.35,-0.13,1.96,3.4,3.78,-       
0.4,-0.13,1.96,3.4,3.78,-       
0.45,-0.13,1.96,3.4,3.78,-       
0.5,-0.13,1.96,3.4,3.78,-       
0.55,-0.13,1.96,3.4,3.78,-       
0.6,-0.13,1.96,3.4,3.78,-       
0.65,-0.13,1.96,3.4,3.78,-       
0.7,-0.13,1.96,3.4,3.78,-       
0.75,-0.13,1.96,3.4,3.78,-       
0.8,-0.13,1.96,3.4,3.78,-       
0.85,-0.13,1.96,3.4,3.78,-       
0.9,-0.13,1.96,3.4,3.78,-       
0.95,0.73,0.55,-0.19,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_lego_30s_50nd.mp4
1.0,0.73,0.55,-0.19,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_lego_30s_50nd.mp4
1.05,0.73,0.55,-0.19,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_lego_30s_50nd.mp4
1.1,0.73,0.55,-0.19,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_lego_30s_50nd.mp4
1.15,0.21,1.88,3.4,2.77,gaze ended: p_2_2
1.2,0.15,1.88,3.4,2.8,gaze started: p_2_3
1.25,0.12,1.87,3.4,2.79,-       
1.3,0.08,1.87,3.4,2.81,gaze started: p_2_2
1.35,0.18,1.89,3.4,2.82,-       
1.4,0.14,1.89,3.4,2.9,-       
1.45,0.45,1.55,3.4,2.89,-       
1.5,0.92,1.16,3.4,2.92,gaze started: p_3_3
1.55,1.0,1.14,3.4,2.98,gaze started: p_4_3
1.6,1.0,1.14,3.4,3.02,gaze started: p_4_4
1.65,1.0,1.14,3.4,3.02,gaze started: p_4_4
1.7,1.01,1.12,3.4,3.09,-       
1.75,1.01,1.08,3.4,3.15,-       
1.8,0.73,0.55,-0.19,,-       
1.85,0.73,0.55,-0.19,,-       
1.9,0.73,0.55,-0.19,,-       
1.95,0.73,0.55,-0.19,,-       
2.0,0.31,1.67,3.4,3.18,-       
2.05,0.28,1.68,3.4,3.24,gaze started: p_3_3
2.1,0.22,1.68,3.4,3.22,-       
2.15,0.26,1.69,3.4,3.29,-       
2.2,0.27,1.7,3.4,3.32,-       
2.25,0.18,1.66,3.4,3.37,-       
2.3,0.22,1.68,3.4,3.38,gaze fixated: p_3_3
2.35,0.2,1.66,3.4,3.44,-       
2.4,0.18,1.66,3.4,3.48,-       
2.45,0.27,1.69,3.4,3.48,-       
2.5,0.15,1.67,3.4,3.34,-       
2.55,0.14,1.67,3.4,3.14,-       
2.6,0.16,1.67,3.4,2.96,-       
2.65,0.15,1.67,3.4,2.7,-       
2.7,0.17,1.68,3.4,2.62,-       
2.75,0.27,1.66,3.4,2.52,-       
2.8,0.19,1.67,3.4,2.48,-       
2.85,0.18,1.66,3.4,2.4,-       
2.9,0.17,1.66,3.4,2.38,-       
2.95,0.17,1.67,3.4,2.35,-       
3.0,0.19,1.67,3.4,2.34,-       
3.05,0.22,1.67,3.4,2.34,-       
3.1,0.19,1.67,3.4,2.34,-       
3.15,0.17,1.67,3.4,2.34,-       
3.2,0.17,1.67,3.4,2.36,-       
3.25,0.18,1.67,3.4,2.36,-       
3.3,0.17,1.67,3.4,2.36,-       
3.35,0.17,1.67,3.4,2.38,-       
3.4,0.16,1.66,3.4,2.39,-       
3.45,0.18,1.66,3.4,2.41,-       
3.5,0.15,1.66,3.4,2.45,-       
3.55,0.15,1.67,3.4,2.44,-       
3.6,0.17,1.66,3.4,2.47,-       
3.65,0.16,1.66,3.4,2.51,-       
3.7,0.17,1.66,3.4,2.53,-       
3.75,0.17,1.66,3.4,2.53,-       
3.8,0.18,1.65,3.4,2.52,-       
3.85,0.22,1.82,3.4,2.58,-       
3.9,0.14,1.97,3.4,2.68,gaze started: p_2_3
3.95,0.11,1.94,3.4,2.7,-       
4.0,0.15,1.95,3.4,2.71,gaze started: p_2_2
4.05,0.19,1.94,3.4,2.73,gaze started: p_2_3
4.1,0.2,1.95,3.4,2.75,-       
4.15,0.19,1.95,3.4,2.73,-       
4.2,0.19,1.96,3.4,2.68,-       
4.25,0.18,1.95,3.4,2.63,-       
4.3,0.18,1.95,3.4,2.63,-       
4.35,0.18,1.95,3.4,2.63,gaze fixated: p_2_3
4.4,0.23,1.94,3.4,2.6,-       
4.45,0.72,0.55,-0.19,,-       
4.5,0.72,0.55,-0.19,,gaze ended: p_2_3
4.55,0.72,0.55,-0.19,,-       
4.6,0.72,0.55,-0.19,,-       
4.65,0.72,0.55,-0.19,,-       
4.7,0.08,1.66,3.4,2.75,-       
4.75,0.2,1.59,3.4,2.75,gaze started: p_3_2
