time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.42,2.44,3.4,3.33,-       
0.05,-0.46,2.43,3.4,3.37,-       
0.1,-0.46,2.43,3.4,3.35,gaze fixated: p_1_2
0.15,-0.46,2.43,3.4,3.35,-       
0.2,-0.45,2.42,3.4,3.34,-       
0.25,-0.45,2.42,3.4,3.34,-       
0.3,-0.45,2.42,3.4,3.34,-       
0.35,-0.45,2.42,3.4,3.34,-       
0.4,-0.45,2.42,3.4,3.34,-       
0.45,-0.45,2.42,3.4,3.34,-       
0.5,-0.45,2.42,3.4,3.34,-       
0.55,-0.45,2.42,3.4,3.34,-       
0.6,-0.45,2.42,3.4,3.34,-       
0.65,-0.45,2.42,3.4,3.34,-       
0.7,-0.45,2.42,3.4,3.34,-       
0.75,-0.43,2.41,3.4,3.2,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_lego_30s_50wd.mp4
0.8,-0.43,2.41,3.4,3.2,-       
0.85,-0.43,2.41,3.4,3.21,-       
0.9,-0.42,2.41,3.4,3.2,-       
0.95,-0.42,2.42,3.4,3.22,-       
1.0,-0.42,2.43,3.4,3.21,-       
1.05,-0.14,2.23,3.4,3.1,-       
1.1,0.55,0.77,-0.31,,gaze started: p_2_2
1.15,0.55,0.77,-0.31,,-       
1.2,0.55,0.77,-0.31,,-       
1.25,0.55,0.77,-0.31,,-       
1.3,1.02,1.0,3.4,3.51,-       
1.35,0.19,0.71,3.57,3.39,gaze started: p_4_4
1.4,-0.69,0.58,3.57,3.5,-       
1.45,-0.66,0.57,3.57,3.53,-       
1.5,-0.62,0.61,3.57,3.55,-       
1.55,-0.64,0.61,3.57,3.63,-       
1.6,-0.65,0.61,3.57,3.62,-       
1.65,-0.53,0.62,3.57,3.61,-       
1.7,-0.15,0.77,3.57,3.55,-       
1.75,-0.14,0.76,3.57,3.57,-       
1.8,-0.14,0.76,3.57,3.55,-       
1.85,-0.13,0.76,3.57,3.55,-       
1.9,-0.13,0.76,3.57,3.54,-       
1.95,-0.13,0.76,3.57,3.55,-       
2.0,-0.15,0.75,3.57,3.55,-       
2.05,-0.15,0.74,3.57,3.58,-       
2.1,-0.08,1.15,3.4,3.45,-       
2.15,-0.1,1.26,3.4,3.53,gaze started: p_4_2
2.2,0.18,1.35,3.4,3.24,-       
2.25,0.55,0.77,-0.31,,gaze started: p_3_3
2.3,0.55,0.77,-0.31,,-       
2.35,0.55,0.77,-0.31,,-       
2.4,0.43,1.81,3.46,2.67,-       
2.45,0.42,1.79,3.4,2.58,-       
2.5,0.42,1.79,3.4,2.54,gaze started: p_3_3
2.55,0.42,1.79,3.4,2.51,-       
2.6,0.42,1.81,3.46,2.46,-       
2.65,0.42,1.81,3.46,2.45,-       
2.7,0.42,1.81,3.46,2.44,-       
2.75,0.51,1.72,3.4,2.44,-       
2.8,0.42,1.78,3.4,2.45,gaze started: p_3_3
2.85,0.41,1.78,3.4,2.45,-       
2.9,0.5,1.73,3.4,2.48,-       
2.95,0.52,1.72,3.4,2.5,-       
3.0,0.44,1.76,3.4,2.52,-       
3.05,0.42,1.77,3.4,2.55,gaze fixated: p_3_3
3.1,0.5,1.7,3.4,2.62,-       
3.15,0.05,1.51,3.4,2.6,-       
3.2,-0.12,1.5,3.4,2.6,gaze started: p_3_2
3.25,-0.04,1.5,3.4,2.6,-       
3.3,-0.03,1.51,3.4,2.62,-       
3.35,0.0,1.52,3.4,2.64,-       
3.4,-0.03,1.52,3.4,2.67,-       
3.45,-0.13,1.52,3.4,2.67,gaze fixated: p_3_2
3.5,-0.04,1.52,3.4,2.68,-       
3.55,-0.02,1.49,3.4,2.67,-       
3.6,-0.12,1.5,3.4,2.66,-       
3.65,-0.02,1.52,3.4,2.63,-       
3.7,-0.05,1.51,3.4,2.63,-       
3.75,-0.1,1.5,3.4,2.63,-       
3.8,-0.08,1.5,3.4,2.63,-       
3.85,-0.06,1.49,3.4,2.63,-       
3.9,-0.09,1.49,3.4,2.63,-       
3.95,0.03,1.5,3.4,2.64,-       
4.0,-0.05,1.5,3.4,2.63,-       
4.05,0.03,1.5,3.4,2.62,-       
4.1,-0.03,1.48,3.4,2.62,-       
4.15,-0.05,1.49,3.4,2.62,-       
4.2,-0.06,1.48,3.4,2.62,-       
4.25,-0.04,1.49,3.4,2.65,-       
4.3,-0.04,1.49,3.4,2.67,-       
4.35,-0.04,1.49,3.4,2.67,-       
4.4,-0.06,1.48,3.4,2.7,-       
4.45,0.03,1.47,3.4,2.71,-       
4.5,0.02,1.49,3.4,2.74,-       
4.55,-0.01,1.48,3.4,2.76,-       
4.6,-0.02,1.47,3.4,2.77,-       
4.65,0.0,1.47,3.4,2.79,-       
4.7,0.01,1.47,3.4,2.86,-       
4.75,0.01,1.47,3.4,2.86,-       
4.8,0.04,1.47,3.4,2.88,-       
4.85,0.01,1.47,3.4,2.88,-       
4.9,0.01,1.47,3.4,2.88,-       
4.95,0.05,1.47,3.4,2.92,-       
5.0,0.05,1.47,3.4,2.92,-       
5.05,0.05,1.46,3.4,2.92,-       
5.1,0.05,1.46,3.4,2.94,-       
5.15,0.01,1.47,3.4,2.95,-       
5.2,0.02,1.47,3.4,2.94,-       
5.25,0.02,1.48,3.4,2.9,-       
5.3,0.02,1.48,3.4,2.87,-       
5.35,-0.01,1.48,3.4,2.84,-       
5.4,-0.01,1.48,3.4,2.81,-       
5.45,-0.0,1.48,3.4,2.77,-       
5.5,0.02,1.49,3.4,2.75,-       
5.55,0.0,1.49,3.4,2.75,-       
5.6,0.0,1.49,3.4,2.77,-       
5.65,0.0,1.49,3.4,2.8,-       
5.7,0.04,1.48,3.4,2.82,-       
5.75,0.0,1.47,3.4,2.84,-       
5.8,0.0,1.48,3.4,2.86,-       
5.85,0.04,1.48,3.4,2.89,-       
5.9,0.0,1.47,3.4,2.91,-       
5.95,0.0,1.47,3.4,2.91,-       
6.0,-0.0,1.47,3.4,2.92,-       
6.05,-0.0,1.47,3.4,2.93,-       
6.1,0.0,1.47,3.4,2.95,-       
6.15,0.03,1.45,3.4,2.94,-       
6.2,0.0,1.47,3.4,2.96,-       
6.25,0.01,1.47,3.4,2.96,-       
6.3,0.01,1.47,3.4,2.96,-       
6.35,0.07,1.45,3.4,2.99,-       
6.4,0.06,1.44,3.4,2.98,-       
6.45,-0.13,1.44,3.4,2.99,-       
6.5,-0.13,1.45,3.4,2.99,-       
6.55,-0.12,1.45,3.4,3.02,-       
6.6,-0.11,1.45,3.4,3.02,-       
6.65,-0.02,1.44,3.4,3.03,-       
6.7,0.06,1.44,3.4,3.06,-       
6.75,-0.1,1.39,3.4,3.07,-       
6.8,-0.11,1.39,3.4,3.09,-       
6.85,0.02,1.44,3.4,3.11,-       
6.9,0.05,1.45,3.4,3.13,-       
6.95,-0.06,1.41,3.4,3.13,-       
7.0,0.21,1.32,3.4,3.18,-       
7.05,0.25,1.3,3.4,3.19,gaze started: p_4_3
7.1,0.3,1.28,3.4,3.17,-       
7.15,0.22,1.32,3.4,3.18,-       
7.2,0.29,1.27,3.4,3.22,-       
7.25,0.21,1.38,3.4,3.2,-       
7.3,0.3,1.32,3.4,3.17,gaze started: p_3_3
7.35,0.27,1.35,3.4,3.15,gaze started: p_4_3
7.4,0.3,1.34,3.46,3.14,gaze started: p_3_3
7.45,0.25,1.38,3.4,3.11,gaze started: p_3_3
7.5,0.29,1.35,3.4,3.1,-       
7.55,0.29,1.35,3.4,3.09,-       
7.6,0.34,1.3,3.4,3.05,-       
7.65,0.34,1.28,3.4,3.04,gaze started: p_4_3
7.7,0.28,1.32,3.4,3.04,-       
7.75,0.27,1.33,3.46,3.05,-       
7.8,0.34,1.29,3.4,3.12,-       
7.85,0.56,0.77,-0.31,,gaze started: p_4_3
7.9,0.56,0.77,-0.31,,-       
7.95,0.56,0.77,-0.31,,-       
8.0,0.56,0.77,-0.31,,-       
8.05,0.56,0.77,-0.31,,-       
8.1,0.56,0.77,-0.31,,-       
8.15,0.68,1.82,3.4,3.03,-       
8.2,0.67,1.82,3.4,2.99,gaze started: p_2_3
8.25,0.67,1.81,3.4,2.97,-       
8.3,0.44,1.83,3.4,2.98,gaze started: p_3_3
8.35,0.2,1.77,3.4,2.92,gaze started: p_2_3
8.4,0.09,1.82,3.46,2.91,gaze started: p_3_3
8.45,0.21,1.81,3.46,2.9,-       
8.5,0.18,1.81,3.46,2.89,-       
8.55,0.17,1.81,3.46,2.87,-       
8.6,0.18,1.82,3.46,2.85,-       
8.65,0.16,1.82,3.46,2.83,-       
8.7,0.16,1.82,3.46,2.83,-       
8.75,0.17,1.82,3.46,2.83,-       
8.8,0.16,1.82,3.46,2.82,-       
8.85,0.16,1.81,3.4,2.82,-       
8.9,0.22,1.79,3.4,2.83,gaze started: p_2_3
8.95,0.23,1.79,3.4,2.82,gaze started: p_3_3
9.0,0.15,1.81,3.46,2.84,-       
9.05,0.15,1.82,3.46,2.84,-       
9.1,0.15,1.82,3.46,2.81,-       
9.15,0.15,1.82,3.46,2.79,-       
9.2,0.13,1.86,3.4,2.82,-       
9.25,0.2,1.88,3.4,2.82,gaze started: p_2_2
9.3,0.17,1.88,3.4,2.85,gaze started: p_2_3
