time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.69,2.28,3.4,5.01,-       
0.05,-0.71,2.3,3.46,5.0,gaze started: p_1_2
0.1,-0.71,2.32,3.4,5.03,-       
0.15,-0.71,2.3,3.4,5.03,gaze started: p_1_1
0.2,-0.71,2.3,3.4,5.03,gaze started: p_1_1
0.25,-0.71,2.3,3.4,5.03,gaze started: p_1_1
0.3,-0.71,2.3,3.4,5.03,gaze started: p_1_1
0.35,-0.71,2.3,3.4,5.03,gaze started: p_1_1
0.4,-0.71,2.3,3.4,5.03,gaze started: p_1_1
0.45,-0.71,2.3,3.4,5.03,gaze started: p_1_1
0.5,-0.71,2.3,3.4,5.03,gaze started: p_1_1
0.55,-0.71,2.3,3.4,5.03,gaze started: p_1_1
0.6,-0.71,2.3,3.4,5.03,gaze started: p_1_1
0.65,-0.71,2.3,3.4,5.03,gaze started: p_1_1
0.7,-0.75,2.2,3.4,5.0,gaze fixated: p_1_1
0.75,-0.76,2.21,3.4,5.0,gaze started: p_2_1
0.8,-0.77,2.22,3.4,5.01,-       
0.85,-0.76,2.22,3.4,5.01,-       
0.9,-0.78,2.2,3.4,5.03,-       
0.95,-0.78,2.21,3.4,5.02,-       
1.0,-0.78,2.2,3.4,5.02,gaze fixated: p_2_1
1.05,-0.78,2.21,3.4,5.03,-       
1.1,-0.79,2.23,3.4,5.03,-       
1.15,-0.81,2.22,3.4,5.03,-       
1.2,-0.35,1.87,3.4,4.72,-       
1.25,-0.41,1.76,3.4,4.76,gaze started: p_2_2
1.3,-0.41,1.79,3.4,4.78,gaze started: p_3_2
1.35,-0.4,1.85,3.4,4.8,-       
1.4,-0.4,1.84,3.4,4.85,gaze started: p_2_2
1.45,-0.4,1.85,3.4,4.87,-       
1.5,-0.42,1.84,3.4,4.89,-       
1.55,-0.42,1.85,3.4,4.93,-       
1.6,-0.47,1.81,3.46,4.95,-       
1.65,-0.48,1.92,3.4,4.97,-       
1.7,-0.48,1.96,3.4,5.08,gaze started: p_2_2
1.75,-0.47,1.98,3.4,5.06,-       
1.8,-0.45,1.82,3.4,4.94,-       
1.85,-0.45,1.81,3.46,4.93,-       
1.9,-0.45,1.77,3.4,4.97,-       
1.95,-0.46,1.74,3.4,4.94,gaze started: p_3_2
2.0,-0.46,1.85,3.4,4.91,-       
2.05,-0.45,1.98,3.4,4.91,gaze started: p_2_2
2.1,-0.46,1.95,3.4,4.94,-       
2.15,0.27,1.15,3.4,4.62,-       
2.2,0.42,1.37,3.4,4.41,gaze started: p_4_3
2.25,0.4,1.32,3.4,4.26,gaze started: p_3_3
2.3,0.36,1.23,3.4,4.19,gaze started: p_4_3
2.35,0.33,1.28,3.4,3.97,-       
2.4,0.34,1.37,3.4,3.78,-       
2.45,0.36,1.42,3.4,3.67,gaze started: p_3_3
2.5,0.88,0.85,-0.53,,-       
2.55,0.88,0.85,-0.53,,-       
2.6,0.89,0.85,-0.53,,-       
2.65,0.88,0.85,-0.53,,-       
2.7,0.88,0.85,-0.53,,-       
2.75,0.88,0.85,-0.53,,-       
2.8,-0.05,1.87,3.4,2.97,-       
2.85,0.01,1.81,3.4,2.85,gaze started: p_2_2
2.9,-0.01,1.85,3.4,2.87,-       
2.95,-0.02,1.86,3.4,2.86,-       
3.0,-0.03,1.86,3.4,2.85,-       
3.05,-0.05,1.86,3.4,2.87,-       
3.1,-0.03,1.85,3.4,2.86,gaze fixated: p_2_2
3.15,-0.02,1.85,3.4,2.88,-       
3.2,-0.02,1.85,3.4,2.88,-       
3.25,0.02,1.86,3.4,2.91,-       
3.3,-0.07,1.85,3.4,2.91,-       
3.35,-0.05,1.81,3.46,2.94,-       
3.4,-0.05,1.81,3.46,2.94,-       
3.45,-0.0,1.77,3.4,2.9,gaze ended: p_2_2
3.5,-0.02,1.76,3.4,2.88,gaze started: p_3_2
3.55,-0.01,1.75,3.4,2.89,-       
3.6,-0.01,1.75,3.4,2.87,-       
3.65,0.0,1.73,3.4,2.84,-       
3.7,-0.01,1.73,3.4,2.79,-       
3.75,-0.01,1.75,3.4,2.79,-       
3.8,0.03,1.74,3.4,2.79,gaze fixated: p_3_2
3.85,0.02,1.74,3.4,2.79,-       
3.9,-0.06,1.76,3.4,2.8,-       
3.95,0.03,1.71,3.4,2.79,-       
4.0,0.13,1.55,3.4,2.72,-       
4.05,0.16,1.59,3.4,2.8,-       
4.1,0.12,1.62,3.4,2.82,gaze started: p_3_3
4.15,0.16,1.58,3.4,2.82,gaze started: p_3_2
4.2,0.16,1.57,3.4,2.84,gaze started: p_3_3
4.25,0.08,1.66,3.4,2.86,-       
4.3,0.12,1.61,3.4,2.9,gaze started: p_3_2
4.35,0.07,1.67,3.4,2.96,-       
4.4,0.12,1.58,3.4,3.03,-       
4.45,0.06,1.62,3.4,3.08,-       
4.5,0.06,1.62,3.4,3.08,-       
4.55,0.04,1.62,3.4,3.13,-       
4.6,0.02,1.62,3.4,3.19,gaze fixated: p_3_2
4.65,0.02,1.62,3.4,3.18,-       
4.7,0.02,1.6,3.4,3.18,-       
4.75,0.03,1.59,3.4,3.18,-       
4.8,0.03,1.58,3.4,3.17,-       
4.85,0.03,1.58,3.4,3.16,-       
4.9,0.03,1.6,3.4,3.18,-       
4.95,0.03,1.62,3.4,3.2,-       
5.0,0.03,1.59,3.4,3.19,-       
5.05,0.03,1.58,3.4,3.2,-       
5.1,0.01,1.56,3.4,3.22,-       
5.15,0.04,1.56,3.4,3.23,-       
5.2,0.03,1.56,3.4,3.24,-       
5.25,0.03,1.56,3.4,3.22,-       
5.3,0.02,1.56,3.4,3.19,-       
5.35,0.04,1.59,3.4,3.16,-       
5.4,0.04,1.61,3.4,3.12,-       
5.45,0.04,1.62,3.4,3.1,-       
5.5,0.05,1.62,3.4,3.05,-       
5.55,0.04,1.62,3.4,3.03,-       
5.6,0.04,1.63,3.4,3.02,-       
5.65,0.05,1.64,3.4,3.02,-       
5.7,0.05,1.63,3.4,3.02,-       
5.75,0.05,1.64,3.4,3.03,-       
5.8,0.04,1.63,3.4,3.07,-       
5.85,0.04,1.62,3.4,3.06,-       
5.9,0.03,1.63,3.4,3.07,-       
5.95,-0.06,1.75,3.4,3.03,-       
6.0,-0.07,1.7,3.4,2.99,-       
6.05,-0.06,1.73,3.4,2.96,-       
6.1,-0.06,1.7,3.4,2.96,-       
6.15,-0.05,1.71,3.4,2.95,-       
6.2,-0.05,1.71,3.4,2.95,-       
6.25,-0.07,1.69,3.4,2.96,-       
6.3,-0.07,1.68,3.4,2.94,-       
6.35,-0.06,1.68,3.4,2.93,-       
6.4,-0.06,1.7,3.4,2.93,-       
6.45,-0.06,1.7,3.4,2.93,-       
6.5,-0.06,1.69,3.4,2.94,-       
6.55,0.08,1.71,3.4,2.98,-       
6.6,0.25,1.75,3.4,3.07,-       
6.65,0.1,1.73,3.4,3.1,gaze started: p_3_3
6.7,0.23,1.75,3.4,3.12,gaze started: p_3_2
6.75,0.12,1.75,3.4,3.13,gaze started: p_3_3
6.8,0.1,1.76,3.4,3.11,gaze started: p_3_2
6.85,0.11,1.77,3.4,3.09,-       
6.9,0.12,1.78,3.4,3.09,-       
6.95,0.12,1.78,3.4,3.03,-       
7.0,0.12,1.79,3.4,3.01,-       
7.05,0.11,1.79,3.4,3.01,gaze fixated: p_3_2
7.1,0.11,1.8,3.46,3.01,-       
7.15,0.16,1.81,3.46,3.01,gaze ended: p_3_2
7.2,0.21,1.8,3.46,3.0,-       
7.25,0.12,1.81,3.4,3.0,-       
7.3,0.13,1.8,3.46,3.0,gaze started: p_2_2
7.35,0.1,1.81,3.4,3.0,-       
7.4,0.1,1.81,3.46,3.0,gaze started: p_2_2
7.45,0.11,1.79,3.4,2.99,-       
7.5,0.1,1.8,3.46,3.0,gaze started: p_3_2
7.55,0.11,1.81,3.46,3.0,-       
7.6,0.11,1.81,3.46,3.04,-       
7.65,0.11,1.81,3.46,3.05,-       
7.7,0.1,1.79,3.4,3.06,-       
7.75,0.12,1.8,3.46,3.06,gaze started: p_3_2
7.8,0.12,1.8,3.46,3.05,-       
7.85,0.12,1.8,3.46,3.06,-       
7.9,0.12,1.8,3.46,3.06,-       
7.95,0.11,1.8,3.46,3.05,-       
8.0,0.1,1.8,3.46,3.06,-       
8.05,0.11,1.79,3.4,3.08,-       
8.1,0.11,1.79,3.4,3.08,gaze started: p_3_2
8.15,0.12,1.78,3.4,3.08,-       
8.2,0.11,1.78,3.4,3.08,-       
8.25,0.2,1.78,3.4,3.07,-       
8.3,0.11,1.78,3.4,3.03,gaze started: p_3_3
8.35,0.1,1.78,3.4,3.0,gaze started: p_3_2
8.4,0.11,1.78,3.4,2.94,-       
8.45,0.05,1.75,3.4,2.78,-       
8.5,0.89,0.85,-0.53,,-       
8.55,0.89,0.85,-0.53,,-       
8.6,0.89,0.85,-0.53,,-       
8.65,0.89,0.85,-0.53,,-       
8.7,0.89,0.85,-0.53,,-       
8.75,0.89,0.85,-0.53,,-       
8.8,0.89,0.85,-0.53,,-       
8.85,0.89,0.85,-0.53,,-       
8.9,0.03,1.47,3.4,2.92,-       
8.95,0.06,1.58,3.4,3.02,gaze started: p_3_2
9.0,0.14,1.51,3.46,3.0,-       
9.05,0.14,1.51,3.46,3.04,-       
9.1,0.1,1.73,3.4,2.93,gaze started: p_3_2
9.15,0.1,1.73,3.4,2.93,gaze started: p_3_2
9.2,0.03,1.74,3.4,2.88,-       
9.25,0.08,1.71,3.4,2.85,-       
9.3,0.1,1.7,3.4,2.74,-       
9.35,0.14,1.8,3.46,2.7,-       
9.4,0.13,1.78,3.4,2.64,-       
9.45,0.12,1.79,3.4,2.64,gaze started: p_3_2
9.5,0.18,1.77,3.4,2.6,-       
9.55,0.19,1.75,3.4,2.59,gaze started: p_3_3
9.6,0.17,1.74,3.4,2.56,-       
9.65,0.17,1.74,3.4,2.55,-       
9.7,0.16,1.74,3.4,2.54,-       
9.75,0.16,1.74,3.4,2.53,-       
9.8,0.17,1.76,3.4,2.53,-       
9.85,0.18,1.75,3.4,2.51,gaze fixated: p_3_3
9.9,0.14,1.75,3.46,2.52,-       
9.95,0.15,1.75,3.4,2.51,gaze ended: p_3_3
10.0,0.16,1.75,3.4,2.52,gaze started: p_3_3
10.05,0.16,1.75,3.4,2.52,-       
10.1,0.22,1.76,3.4,2.55,-       
10.15,0.2,1.75,3.4,2.58,-       
10.2,0.07,1.78,3.4,2.64,-       
10.25,0.19,1.74,3.4,2.63,gaze started: p_3_2
10.3,0.14,1.76,3.46,2.68,gaze started: p_3_3
10.35,0.14,1.77,3.46,2.75,-       
10.4,0.42,1.44,3.4,2.89,-       
10.45,0.44,1.42,3.4,2.9,gaze started: p_3_3
10.5,0.44,1.41,3.4,2.94,-       
10.55,0.36,1.36,3.4,2.97,-       
10.6,0.35,1.35,3.4,3.04,-       
10.65,0.44,1.41,3.4,3.09,-       
10.7,0.39,1.33,3.46,3.14,gaze fixated: p_3_3
10.75,0.56,1.19,3.4,3.18,gaze ended: p_3_3
10.8,0.36,0.92,3.4,3.15,gaze started: p_4_3
10.85,0.49,0.9,3.4,3.08,-       
10.9,0.47,0.9,3.4,3.1,-       
10.95,0.48,0.88,3.4,3.14,-       
11.0,0.49,0.88,3.4,3.18,-       
11.05,0.49,0.89,3.4,3.19,gaze fixated: p_4_3
11.1,0.38,0.95,3.4,3.26,-       
11.15,0.36,1.08,3.4,3.35,-       
11.2,0.37,1.09,3.4,3.33,-       
11.25,0.37,1.1,3.4,3.39,-       
11.3,0.19,1.13,3.4,3.34,-       
11.35,-0.37,2.35,3.4,3.53,-       
11.4,-0.52,2.23,3.4,3.63,gaze started: p_1_2
11.45,-0.52,2.34,3.4,3.64,gaze started: p_2_2
11.5,-0.5,2.28,3.4,3.65,gaze started: p_1_2
11.55,-0.68,2.34,3.4,3.58,-       
11.6,-0.68,2.3,3.4,3.6,-       
11.65,-0.68,2.3,3.4,3.6,-       
11.7,-0.67,2.31,3.4,3.6,-       
11.75,-0.67,2.31,3.4,3.6,gaze fixated: p_1_2
11.8,-0.66,2.3,3.4,3.6,-       
11.85,-0.65,2.3,3.4,3.62,-       
11.9,-0.32,1.39,3.4,3.61,-       
11.95,-0.43,1.1,3.4,3.66,gaze started: p_3_2
12.0,-0.43,1.1,3.4,3.66,gaze started: p_3_2
12.05,-0.29,1.12,3.4,3.65,gaze started: p_4_2
12.1,-0.23,1.11,3.4,3.58,-       
12.15,-0.27,1.05,3.4,3.67,-       
12.2,-0.24,0.98,3.4,3.61,-       
12.25,-0.25,1.0,3.4,3.65,-       
12.3,-0.27,1.01,3.4,3.66,gaze fixated: p_4_2
12.35,-0.29,1.08,3.4,3.7,-       
12.4,-0.65,2.07,3.4,3.85,-       
12.45,-0.61,2.14,3.4,3.83,gaze started: p_2_2
12.5,-0.6,2.19,3.4,3.86,-       
12.55,-0.53,2.21,3.4,3.84,-       
12.6,-0.54,2.2,3.4,3.83,-       
12.65,-0.54,2.19,3.4,3.85,-       
12.7,-0.53,2.19,3.4,3.88,gaze fixated: p_2_2
12.75,-0.52,2.22,3.4,3.92,-       
12.8,-0.52,2.22,3.4,3.95,-       
12.85,-0.53,2.22,3.4,4.01,-       
12.9,-0.54,2.2,3.4,4.05,-       
12.95,-0.52,2.2,3.4,4.08,-       
13.0,-0.52,2.2,3.4,4.11,-       
13.05,-0.52,2.19,3.4,4.13,-       
13.1,-0.5,2.19,3.4,4.14,-       
13.15,-0.49,2.19,3.4,4.17,-       
13.2,-0.49,2.2,3.4,4.19,-       
13.25,-0.49,2.19,3.4,4.2,-       
13.3,-0.49,2.18,3.4,4.21,-       
13.35,-0.57,2.21,3.4,4.32,-       
13.4,-0.59,2.21,3.4,4.28,-       
13.45,-0.6,2.21,3.4,4.3,-       
13.5,-0.56,2.2,3.4,4.3,-       
13.55,-0.4,2.38,3.4,4.36,-       
13.6,-0.41,2.37,3.4,4.37,gaze started: p_1_2
13.65,-0.4,2.38,3.4,4.38,-       
13.7,-0.4,2.38,3.4,4.4,-       
13.75,-0.41,2.38,3.4,4.38,-       
13.8,-0.42,2.39,3.4,4.35,-       
13.85,-0.55,2.24,3.4,4.37,-       
13.9,-0.62,2.13,3.4,4.32,gaze started: p_2_2
13.95,-0.58,2.16,3.4,4.34,-       
14.0,-0.58,2.16,3.4,4.33,-       
14.05,-0.58,2.15,3.4,4.33,-       
14.1,-0.57,2.15,3.4,4.37,-       
14.15,-0.56,2.14,3.4,4.39,gaze fixated: p_2_2
14.2,-0.59,2.11,3.4,4.4,-       
14.25,-0.57,2.14,3.4,4.41,-       
14.3,-0.55,2.15,3.4,4.43,-       
14.35,-0.78,2.25,3.4,4.56,-       
14.4,-0.92,2.34,3.4,4.47,gaze started: p_2_1
14.45,-0.93,2.32,3.4,4.5,gaze started: p_1_1
14.5,-0.94,2.33,3.4,4.51,-       
14.55,-0.92,2.37,3.4,4.51,-       
14.6,-0.93,2.37,3.4,4.5,-       
14.65,-0.49,2.51,3.4,4.33,-       
14.7,-0.5,2.48,3.4,4.33,gaze started: p_1_2
14.75,-0.48,2.49,3.4,4.33,-       
14.8,-0.48,2.51,3.4,4.32,-       
14.85,-0.49,2.51,3.4,4.31,-       
14.9,-0.49,2.5,3.4,4.28,-       
14.95,-0.49,2.51,3.4,4.26,gaze fixated: p_1_2
15.0,-0.57,2.51,3.4,4.15,-       
15.05,-0.56,2.57,3.4,4.14,-       
15.1,-0.57,2.56,3.4,4.12,-       
15.15,-0.57,2.55,3.4,4.07,-       
15.2,-0.6,2.55,3.4,4.06,-       
15.25,-0.59,2.54,3.4,4.0,-       
15.3,-0.59,2.52,3.4,3.97,-       
15.35,-0.47,2.55,3.4,3.84,-       
15.4,-0.36,2.54,3.4,3.74,-       
15.45,-0.36,2.55,3.4,3.73,-       
15.5,-0.37,2.54,3.4,3.72,-       
15.55,-0.37,2.54,3.4,3.72,-       
15.6,-0.38,2.52,3.4,3.68,-       
15.65,-0.37,2.53,3.4,3.65,-       
15.7,-0.38,2.53,3.4,3.6,-       
15.75,-0.8,1.68,3.4,3.6,-       
15.8,-0.8,1.34,3.4,3.48,gaze started: p_3_1
15.85,-0.72,1.38,3.4,3.54,-       
15.9,-0.68,1.39,3.4,3.52,-       
15.95,-0.69,1.4,3.4,3.52,gaze started: p_3_2
16.0,-0.71,1.38,3.4,3.52,-       
16.05,-1.12,1.07,3.4,3.42,gaze started: p_3_1
16.1,-1.15,1.04,3.4,3.43,gaze started: p_4_1
16.15,-1.15,1.04,3.4,3.42,-       
16.2,-1.16,1.04,3.4,3.4,-       
16.25,-1.15,1.04,3.4,3.4,-       
16.3,-1.15,1.04,3.4,3.39,-       
16.35,-1.15,1.04,3.4,3.39,-       
16.4,-0.9,1.1,3.4,3.43,-       
16.45,0.11,1.32,3.4,3.28,-       
16.5,0.17,1.38,3.4,3.27,gaze started: p_4_2
16.55,0.21,1.38,3.4,3.27,gaze started: p_3_3
16.6,0.21,1.38,3.4,3.25,-       
16.65,0.52,1.45,3.4,3.07,-       
16.7,0.51,1.43,3.4,3.13,-       
16.75,0.39,1.4,3.4,3.08,-       
16.8,0.4,1.41,3.4,3.07,gaze fixated: p_3_3
16.85,0.41,1.41,3.4,3.04,-       
16.9,0.39,1.41,3.4,3.04,-       
16.95,0.39,1.42,3.4,3.04,-       
17.0,0.47,1.44,3.4,3.12,-       
17.05,0.4,1.42,3.4,3.11,-       
17.1,0.39,1.43,3.4,3.16,-       
17.15,0.39,1.43,3.4,3.16,-       
17.2,0.64,1.41,3.4,3.01,-       
17.25,0.64,1.41,3.4,3.01,-       
17.3,0.54,1.34,3.4,2.99,-       
17.35,0.54,1.32,3.46,2.98,-       
17.4,0.53,1.33,3.46,2.99,gaze ended: p_3_3
17.45,0.57,1.35,3.4,3.01,-       
17.5,0.57,1.33,3.46,3.01,gaze started: p_3_3
17.55,0.58,1.36,3.4,3.06,-       
17.6,-0.17,0.99,3.4,3.25,gaze started: p_3_3
17.65,-0.19,1.03,3.4,3.32,gaze started: p_4_2
17.7,-0.17,1.0,3.4,3.32,-       
17.75,-0.18,0.99,3.4,3.3,-       
17.8,-0.19,0.99,3.4,3.35,-       
17.85,-0.35,0.94,3.4,3.5,-       
17.9,-0.36,0.9,3.4,3.5,-       
17.95,-0.35,0.9,3.4,3.5,gaze fixated: p_4_2
18.0,-0.43,0.79,3.57,3.4,-       
18.05,-0.41,0.88,3.4,3.44,gaze ended: p_4_2
18.1,-0.42,0.88,3.4,3.43,gaze started: p_4_2
18.15,-0.42,0.88,3.4,3.42,-       
18.2,-0.45,0.82,3.57,3.42,-       
18.25,-0.45,0.83,3.57,3.42,-       
18.3,-0.35,1.16,3.4,3.32,-       
18.35,-0.33,1.56,3.4,3.6,gaze started: p_4_2
18.4,-0.41,1.48,3.4,3.4,gaze started: p_3_2
18.45,-0.41,1.46,3.4,3.39,-       
18.5,-0.33,1.44,3.4,3.36,-       
18.55,-0.32,1.44,3.4,3.31,-       
18.6,-0.29,1.51,3.4,3.13,-       
18.65,-0.33,1.5,3.4,3.17,gaze fixated: p_3_2
18.7,-0.27,1.55,3.4,3.14,-       
18.75,-0.27,1.56,3.4,3.14,-       
18.8,-0.21,1.6,3.4,3.14,-       
18.85,-0.22,1.59,3.4,3.14,-       
18.9,-0.23,1.61,3.4,3.19,-       
18.95,0.89,0.85,-0.54,,-       
19.0,0.89,0.85,-0.54,,gaze ended: p_3_2
19.05,0.88,0.85,-0.54,,-       
19.1,0.88,0.85,-0.54,,-       
19.15,-0.53,2.35,3.4,3.52,-       
19.2,-0.57,2.36,3.4,3.59,gaze started: p_1_2
19.25,-0.54,2.39,3.4,3.62,-       
19.3,-0.52,2.41,3.4,3.64,-       
19.35,-0.51,2.41,3.4,3.65,-       
19.4,-0.51,2.4,3.4,3.69,-       
19.45,-0.5,2.41,3.4,3.74,gaze fixated: p_1_2
19.5,-0.49,2.41,3.4,3.76,-       
19.55,-0.49,2.41,3.4,3.79,-       
19.6,-0.49,2.42,3.4,3.81,-       
19.65,-0.48,2.41,3.4,3.82,-       
19.7,-0.49,2.42,3.4,3.84,-       
19.75,-0.49,2.43,3.4,3.86,-       
19.8,-0.52,2.31,3.4,3.94,-       
19.85,-0.46,2.32,3.4,3.9,-       
19.9,-0.46,2.34,3.4,3.9,-       
19.95,-0.45,2.33,3.4,3.91,-       
20.0,-0.46,2.33,3.4,3.92,-       
20.05,-0.5,2.29,3.4,3.94,-       
20.1,-0.45,2.33,3.4,3.95,-       
20.15,-0.53,2.29,3.4,3.97,-       
20.2,-0.53,2.28,3.4,4.0,-       
20.25,-0.53,2.28,3.4,4.03,-       
20.3,-0.55,2.3,3.4,4.07,-       
20.35,-0.51,2.29,3.4,4.08,-       
20.4,-0.51,2.29,3.4,4.1,-       
20.45,-0.52,2.28,3.4,4.12,-       
20.5,-0.51,2.29,3.4,4.12,-       
20.55,-0.51,2.28,3.4,4.13,-       
20.6,-0.51,2.28,3.4,4.14,-       
20.65,-0.51,2.29,3.46,4.15,-       
20.7,-0.5,2.28,3.4,4.18,gaze ended: p_1_2
20.75,-0.13,2.1,3.4,4.23,gaze started: p_1_2
20.8,0.07,1.97,3.4,4.16,gaze started: p_2_2
20.85,0.11,1.98,3.4,4.18,-       
20.9,0.23,2.05,3.4,4.22,-       
20.95,0.24,2.07,3.4,4.21,gaze started: p_2_3
21.0,0.23,2.06,3.4,4.16,-       
21.05,0.24,2.04,3.4,4.1,-       
21.1,0.38,1.93,3.4,3.83,-       
