time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.35,2.0,3.4,3.0,gaze fixated: p_2_3
0.05,0.35,2.0,3.4,3.0,gaze fixated: p_2_3
0.1,0.3,1.99,3.4,3.08,-       
0.15,0.82,2.45,3.4,3.2,-       
0.2,0.82,2.45,3.4,3.2,-       
0.25,1.27,2.61,3.4,3.27,gaze started: p_1_3
0.3,1.15,2.62,3.4,3.36,gaze started: p_1_4
0.35,1.41,2.66,3.4,3.37,-       
0.4,1.45,2.69,3.4,3.4,-       
0.45,1.45,2.69,3.4,3.4,-       
0.5,1.43,2.69,3.4,3.41,-       
0.55,1.42,2.66,3.4,3.41,gaze fixated: p_1_4
0.6,1.42,2.66,3.4,3.41,gaze fixated: p_1_4
0.65,0.79,2.21,3.4,3.42,-       
0.7,0.41,1.84,3.4,3.37,gaze started: p_2_3
0.75,0.36,1.86,3.4,3.06,-       
0.8,0.31,1.87,3.4,2.95,-       
0.85,0.31,1.87,3.4,2.95,-       
0.9,0.36,1.88,3.4,2.76,-       
0.95,0.39,1.89,3.4,2.64,gaze fixated: p_2_3
1.0,0.39,1.89,3.4,2.64,gaze fixated: p_2_3
1.05,0.31,1.89,3.4,2.49,-       
1.1,0.35,1.9,3.4,2.37,-       
1.15,0.34,1.9,3.4,2.3,-       
1.2,0.34,1.9,3.4,2.3,-       
1.25,0.32,1.89,3.4,2.28,-       
1.3,0.33,1.89,3.4,2.27,-       
1.35,0.33,1.91,3.4,2.26,-       
1.4,0.33,1.91,3.4,2.26,-       
1.45,0.33,1.91,3.4,2.23,-       
1.5,0.3,1.9,3.4,2.23,-       
1.55,0.35,1.9,3.4,2.22,-       
1.6,0.35,1.9,3.4,2.22,-       
1.65,0.32,1.9,3.4,2.24,-       
1.7,0.35,1.9,3.4,2.26,-       
1.75,0.32,1.9,3.4,2.26,-       
1.8,0.32,1.9,3.4,2.26,-       
1.85,0.32,1.9,3.4,2.28,-       
1.9,0.34,1.9,3.4,2.29,-       
1.95,0.29,1.89,3.4,2.33,-       
2.0,0.29,1.89,3.4,2.33,-       
2.05,0.33,1.89,3.4,2.36,-       
2.1,0.33,1.89,3.4,2.41,-       
2.15,0.31,1.89,3.4,2.48,-       
2.2,0.31,1.89,3.4,2.48,-       
2.25,0.3,1.88,3.4,2.54,-       
2.3,0.33,1.88,3.4,2.61,-       
2.35,0.26,1.59,3.4,2.71,-       
2.4,0.26,1.59,3.4,2.71,-       
2.45,0.2,1.59,3.4,2.74,gaze started: p_3_3
2.5,0.2,1.6,3.4,2.75,-       
2.55,0.26,1.58,3.4,2.79,-       
2.6,0.26,1.58,3.4,2.79,-       
2.65,0.24,1.57,3.4,2.77,-       
2.7,0.26,1.59,3.4,2.75,gaze fixated: p_3_3
2.75,0.26,1.59,3.4,2.69,-       
2.8,0.22,1.59,3.4,2.67,-       
2.85,0.22,1.59,3.4,2.67,-       
2.9,0.23,1.6,3.4,2.66,-       
2.95,0.25,1.62,3.4,2.68,-       
3.0,0.25,1.62,3.4,2.68,-       
3.05,0.24,1.61,3.4,2.73,-       
3.1,0.23,1.6,3.4,2.74,-       
3.15,0.54,1.44,3.4,2.77,-       
3.2,0.47,1.41,3.4,2.8,-       
3.25,0.47,1.41,3.4,2.8,-       
3.3,0.52,1.39,3.4,2.85,-       
3.35,0.53,1.37,3.4,2.9,-       
3.4,0.53,1.37,3.4,2.9,-       
3.45,0.54,1.38,3.4,2.91,-       
3.5,0.52,1.38,3.4,2.96,-       
3.55,0.52,1.37,3.4,2.99,-       
3.6,0.52,1.37,3.4,2.99,-       
3.65,0.54,1.37,3.4,2.98,-       
3.7,0.53,1.37,3.4,2.98,-       
3.75,0.52,1.36,3.4,2.98,-       
3.8,0.52,1.36,3.4,2.98,-       
3.85,0.15,1.76,3.4,2.92,-       
3.9,0.27,1.79,3.4,2.81,-       
3.95,0.18,1.78,3.4,2.76,-       
4.0,0.21,1.76,3.4,2.73,-       
4.05,0.21,1.76,3.4,2.73,-       
4.1,0.27,1.75,3.4,2.66,-       
4.15,0.25,1.78,3.4,2.63,-       
4.2,0.25,1.78,3.4,2.63,-       
4.25,0.21,1.78,3.4,2.59,-       
4.3,0.22,1.76,3.4,2.53,-       
4.35,0.22,1.78,3.4,2.49,-       
4.4,0.22,1.78,3.4,2.49,-       
4.45,0.21,1.78,3.4,2.48,-       
4.5,0.21,1.77,3.4,2.49,-       
4.55,0.23,1.78,3.4,2.5,-       
4.6,0.23,1.78,3.4,2.5,-       
4.65,0.22,1.78,3.4,2.55,-       
4.7,0.21,1.78,3.4,2.64,-       
4.75,0.22,1.76,3.4,2.67,-       
4.8,0.22,1.76,3.4,2.67,-       
4.85,0.23,1.78,3.4,2.74,-       
4.9,0.21,1.77,3.4,2.78,-       
4.95,0.24,1.76,3.4,2.79,-       
5.0,0.24,1.76,3.4,2.79,-       
5.05,0.22,1.76,3.4,2.83,-       
5.1,0.22,1.76,3.4,2.83,-       
5.15,0.22,1.76,3.4,2.85,-       
5.2,0.22,1.76,3.4,2.85,-       
5.25,0.22,1.76,3.4,2.88,-       
5.3,0.23,1.77,3.4,2.87,-       
5.35,0.21,1.77,3.4,2.87,-       
5.4,0.21,1.77,3.4,2.87,-       
5.45,0.24,1.76,3.4,2.8,-       
5.5,0.25,1.78,3.4,2.78,-       
5.55,0.22,1.78,3.4,2.77,-       
5.6,0.22,1.78,3.4,2.77,-       
5.65,0.21,1.73,3.4,2.67,-       
5.7,0.26,1.73,3.4,2.66,-       
5.75,0.2,1.76,3.4,2.63,-       
5.8,0.2,1.76,3.4,2.63,-       
