time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.36,1.51,3.4,2.99,gaze fixated: p_3_2
0.05,-0.36,1.51,3.4,2.99,gaze fixated: p_3_2
0.1,-0.32,1.53,3.4,2.98,-       
0.15,-0.32,1.53,3.4,2.98,-       
0.2,0.49,1.56,3.4,2.91,gaze started: p_3_3
0.25,0.49,1.56,3.4,2.91,gaze started: p_3_3
0.3,0.49,1.56,3.4,2.91,gaze started: p_3_3
0.35,0.49,1.56,3.4,2.91,gaze started: p_3_3
0.4,0.49,1.56,3.4,2.91,gaze started: p_3_3
0.45,0.49,1.56,3.4,2.91,gaze started: p_3_3
0.5,0.49,1.56,3.4,2.91,gaze started: p_3_3
0.55,0.49,1.56,3.4,2.91,gaze started: p_3_3
0.6,0.49,1.56,3.4,2.91,gaze started: p_3_3
0.65,0.49,1.56,3.4,2.91,gaze started: p_3_3
0.7,0.49,1.56,3.4,2.91,gaze started: p_3_3
0.75,0.49,1.56,3.4,2.91,gaze started: p_3_3
0.8,-0.6,2.28,3.4,2.76,gaze fixated: p_3_3
0.85,-0.6,2.28,3.4,2.76,gaze fixated: p_3_3
0.9,-0.6,2.28,3.4,2.76,gaze fixated: p_3_3
0.95,-0.65,2.29,3.46,2.81,gaze started: p_1_2
1.0,-0.65,2.29,3.46,2.85,-       
1.05,-0.65,2.29,3.46,2.87,-       
1.1,-0.64,2.26,3.4,2.94,-       
1.15,-0.64,2.25,3.4,2.96,gaze started: p_2_2
1.2,-0.64,2.24,3.4,2.99,-       
1.25,-0.65,2.23,3.4,3.0,-       
1.3,-0.65,2.22,3.4,3.03,-       
1.35,-0.65,2.22,3.4,3.04,-       
1.4,-0.64,2.23,3.4,3.08,gaze fixated: p_2_2
1.45,-0.64,2.22,3.4,3.13,-       
1.5,-0.63,2.22,3.4,3.18,-       
1.55,-0.63,2.22,3.4,3.18,-       
1.6,-0.65,2.22,3.4,3.24,-       
1.65,-0.74,2.06,3.4,3.22,-       
1.7,0.58,0.73,-0.29,,gaze started: p_2_1
1.75,0.58,0.73,-0.29,,-       
1.8,0.58,0.73,-0.29,,-       
1.85,-0.63,2.24,3.4,3.61,-       
1.9,-0.56,2.23,3.4,3.52,gaze started: p_2_2
1.95,-0.55,2.21,3.4,3.62,-       
2.0,-0.6,2.18,3.4,3.63,-       
2.05,-0.61,2.18,3.4,3.64,-       
2.1,-0.61,2.17,3.4,3.64,-       
2.15,-0.61,2.17,3.4,3.68,gaze fixated: p_2_2
2.2,-0.44,2.1,3.4,3.7,-       
2.25,0.35,1.69,3.4,3.57,-       
2.3,0.36,1.68,3.4,3.37,gaze started: p_3_3
2.35,0.35,1.69,3.4,3.26,-       
2.4,0.35,1.69,3.4,3.11,-       
2.45,0.35,1.71,3.4,2.92,-       
2.5,0.34,1.72,3.4,2.79,-       
2.55,0.35,1.72,3.4,2.71,gaze fixated: p_3_3
2.6,0.35,1.73,3.4,2.55,-       
2.65,0.58,0.73,-0.29,,-       
2.7,0.58,0.73,-0.29,,gaze ended: p_3_3
2.75,0.58,0.73,-0.29,,-       
2.8,0.13,1.96,3.4,2.44,-       
2.85,0.13,1.96,3.4,2.44,-       
2.9,0.06,1.97,3.4,2.43,gaze started: p_2_2
2.95,0.12,1.92,3.4,2.44,-       
3.0,0.04,1.96,3.4,2.45,-       
3.05,0.03,1.96,3.4,2.47,-       
3.1,0.12,1.95,3.4,2.51,-       
3.15,-0.02,1.97,3.4,2.53,gaze fixated: p_2_2
3.2,0.14,1.95,3.46,2.57,-       
3.25,0.08,1.95,3.4,2.53,gaze ended: p_2_2
3.3,0.09,1.94,3.4,2.53,gaze started: p_2_2
3.35,0.1,1.93,3.4,2.53,-       
3.4,0.11,1.55,3.4,2.61,-       
3.45,-0.07,1.54,3.4,2.6,gaze started: p_3_2
3.5,0.02,1.54,3.4,2.62,-       
3.55,0.04,1.54,3.4,2.62,-       
3.6,0.02,1.53,3.4,2.65,-       
3.65,0.04,1.64,3.4,2.75,-       
3.7,0.58,0.73,-0.29,,gaze fixated: p_3_2
3.75,0.58,0.73,-0.29,,gaze ended: p_3_2
3.8,0.58,0.73,-0.29,,-       
3.85,0.58,0.73,-0.29,,-       
3.9,-0.07,1.79,3.4,2.77,-       
3.95,-0.01,1.82,3.46,2.79,gaze started: p_3_2
4.0,-0.04,1.77,3.4,2.81,-       
4.05,-0.02,1.78,3.4,2.85,gaze started: p_3_2
4.1,-0.12,1.59,3.4,2.98,-       
4.15,-0.39,0.53,3.42,3.06,-       
4.2,-0.29,0.52,2.93,2.99,-       
4.25,-0.29,0.53,2.93,2.91,-       
4.3,-0.3,0.51,2.93,2.87,-       
4.35,-0.3,0.52,2.93,2.89,-       
4.4,-0.24,1.0,3.4,2.76,-       
4.45,0.03,1.86,3.4,2.65,gaze started: p_4_2
4.5,0.03,1.87,3.4,2.71,gaze started: p_2_2
4.55,0.03,1.87,3.4,2.71,gaze started: p_2_2
4.6,0.03,1.84,3.4,2.64,-       
4.65,-0.05,1.88,3.4,2.65,-       
4.7,0.02,1.86,3.4,2.64,-       
4.75,0.03,1.86,3.4,2.58,-       
4.8,0.04,1.86,3.4,2.54,gaze fixated: p_2_2
4.85,0.05,1.86,3.4,2.52,-       
4.9,-0.08,2.12,3.4,2.56,-       
4.95,-0.13,2.15,3.4,2.61,-       
5.0,-0.08,2.14,3.4,2.62,-       
5.05,-0.08,2.13,3.4,2.63,-       
5.1,-1.07,1.2,3.4,2.71,-       
5.15,-1.35,0.89,3.4,2.84,gaze started: p_4_1
5.2,-1.32,0.95,3.4,2.86,-       
5.25,-1.22,0.96,3.4,2.91,-       
5.3,-0.14,1.61,3.4,2.75,-       
5.35,0.03,1.69,3.4,2.76,gaze started: p_3_2
5.4,0.03,1.67,3.4,2.71,-       
5.45,-0.02,1.65,3.4,2.63,-       
5.5,-0.03,1.65,3.4,2.61,-       
5.55,-0.03,1.65,3.4,2.61,-       
5.6,0.58,0.73,-0.29,,-       
5.65,0.59,0.73,-0.29,,-       
5.7,0.59,0.73,-0.29,,-       
5.75,0.21,1.77,3.4,2.66,-       
5.8,0.2,1.77,3.4,2.7,gaze started: p_3_3
5.85,0.13,1.74,3.4,2.76,-       
5.9,0.12,1.74,3.4,2.82,gaze started: p_3_2
5.95,0.17,1.75,3.4,2.84,-       
6.0,0.18,1.75,3.4,2.91,gaze started: p_3_3
6.05,0.1,1.74,3.4,2.92,-       
6.1,0.16,1.74,3.4,2.91,gaze started: p_3_2
6.15,0.16,1.73,3.4,2.9,gaze started: p_3_3
6.2,0.16,1.73,3.4,2.89,-       
6.25,0.12,1.74,3.4,2.9,-       
6.3,0.09,1.73,3.4,2.93,gaze started: p_3_2
6.35,0.24,1.71,3.4,3.04,-       
6.4,0.58,0.73,-0.29,,gaze started: p_3_3
6.45,0.58,0.73,-0.29,,-       
6.5,0.58,0.73,-0.29,,-       
6.55,0.22,1.84,3.4,3.3,-       
6.6,0.22,1.84,3.4,3.3,-       
6.65,0.13,1.79,3.4,3.28,gaze started: p_2_3
6.7,0.19,1.79,3.4,3.28,gaze started: p_3_2
6.75,0.17,1.78,3.4,3.29,gaze started: p_3_3
6.8,0.15,1.79,3.4,3.32,-       
6.85,0.23,1.77,3.4,3.25,-       
6.9,0.17,1.79,3.4,3.13,-       
6.95,0.22,1.79,3.4,3.09,-       
7.0,0.14,1.75,3.46,3.05,gaze fixated: p_3_3
7.05,0.16,1.74,3.4,3.05,gaze ended: p_3_3
