time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.52,1.77,3.4,3.96,-       
0.05,-0.52,1.77,3.4,3.96,-       
0.1,-0.52,1.77,3.4,3.94,-       
0.15,-0.51,1.79,3.4,3.96,-       
0.2,-0.54,1.82,3.46,4.01,-       
0.25,-0.57,1.8,3.46,4.01,gaze ended: p_3_2
0.3,-0.57,1.8,3.46,4.01,gaze ended: p_3_2
0.35,-0.58,1.81,3.46,4.01,-       
0.4,-0.59,1.81,3.46,4.04,-       
0.45,-0.6,1.81,3.46,4.06,-       
0.5,-0.58,1.81,3.46,4.08,-       
0.55,-0.58,1.81,3.46,4.11,-       
0.6,-0.58,1.81,3.46,4.11,-       
0.65,-0.56,1.83,3.4,4.14,-       
0.7,-0.55,1.83,3.4,4.19,gaze started: p_2_2
0.75,-0.56,1.82,3.4,4.18,-       
0.8,-0.59,1.81,3.46,4.17,-       
0.85,-0.59,1.81,3.46,4.17,-       
0.9,-0.58,1.81,3.4,4.21,-       
0.95,-0.59,1.81,3.46,4.24,gaze started: p_2_2
1.0,-0.59,1.82,3.46,4.24,-       
1.05,-0.59,1.82,3.46,4.24,-       
1.1,-0.56,1.77,3.4,4.26,-       
1.15,1.3,0.36,-0.23,,gaze started: p_3_2
1.2,1.3,0.36,-0.23,,-       
1.25,1.3,0.36,-0.23,,-       
1.3,1.3,0.36,-0.23,,-       
1.35,1.3,0.36,-0.23,,-       
1.4,0.56,1.52,3.4,3.45,-       
1.45,0.54,1.46,3.4,3.38,gaze started: p_3_3
1.5,0.54,1.48,3.4,3.34,-       
1.55,0.59,1.52,3.4,3.3,-       
1.6,0.59,1.52,3.4,3.3,-       
1.65,0.55,1.52,3.4,3.25,-       
1.7,0.53,1.53,3.4,3.18,gaze fixated: p_3_3
1.75,0.52,1.54,3.4,3.16,-       
1.8,0.52,1.54,3.4,3.11,-       
1.85,0.52,1.54,3.4,3.11,-       
1.9,0.51,1.54,3.4,3.06,-       
1.95,0.52,1.56,3.4,2.99,-       
2.0,0.52,1.57,3.4,2.96,-       
2.05,0.54,1.58,3.4,2.94,-       
2.1,0.54,1.58,3.4,2.94,-       
2.15,0.52,1.58,3.4,2.91,-       
2.2,0.51,1.59,3.4,2.91,-       
