time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.51,1.93,3.4,4.14,-       
0.05,-0.51,1.93,3.4,4.14,-       
0.1,-0.52,1.94,3.4,4.14,-       
0.15,-0.54,1.93,3.4,4.14,-       
0.2,-0.54,1.93,3.4,4.14,-       
0.25,-0.5,1.95,3.4,4.14,-       
0.3,-0.5,1.95,3.4,4.14,-       
0.35,-0.55,1.94,3.4,4.17,-       
0.4,-0.5,1.95,3.4,4.19,-       
0.45,-0.5,1.95,3.4,4.19,-       
0.5,-0.49,1.94,3.4,4.25,-       
0.55,-0.49,1.94,3.4,4.25,-       
0.6,-0.49,1.94,3.4,4.28,-       
0.65,-0.49,1.95,3.4,4.36,-       
0.7,-0.49,1.95,3.4,4.36,-       
0.75,-0.5,1.95,3.4,4.38,-       
0.8,-0.51,1.95,3.4,4.43,-       
0.85,-0.51,1.95,3.4,4.43,-       
0.9,-0.52,1.95,3.4,4.45,-       
0.95,-0.51,1.95,3.4,4.46,-       
1.0,-0.51,1.95,3.4,4.46,-       
1.05,-0.5,1.96,3.4,4.31,-       
1.1,-0.51,1.95,3.4,3.99,-       
1.15,-0.51,1.95,3.4,3.99,-       
1.2,-0.49,1.97,3.4,3.57,-       
1.25,-0.49,1.97,3.4,3.57,-       
1.3,-0.5,1.98,3.4,3.36,-       
1.35,-0.51,1.97,3.4,3.24,-       
1.4,-0.51,1.97,3.4,3.24,-       
1.45,-0.51,1.97,3.4,3.15,-       
1.5,-0.51,1.96,3.4,3.1,-       
1.55,-0.51,1.96,3.4,3.1,-       
1.6,-0.51,1.97,3.4,3.08,-       
1.65,-0.51,1.97,3.4,3.06,-       
1.7,-0.51,1.97,3.4,3.06,-       
1.75,-0.52,1.96,3.4,3.05,-       
1.8,-0.52,1.96,3.4,3.05,-       
1.85,-0.52,1.95,3.4,3.01,-       
1.9,-0.51,1.95,3.4,3.0,-       
1.95,-0.52,1.96,3.4,3.02,-       
2.0,-0.52,1.96,3.4,3.02,-       
2.05,-0.52,1.96,3.4,3.04,-       
2.1,-0.53,1.95,3.4,3.04,-       
2.15,-0.53,1.95,3.4,3.04,-       
2.2,-0.52,1.96,3.4,3.04,-       
2.25,-0.52,1.96,3.4,3.04,-       
2.3,-0.52,1.96,3.4,3.06,-       
2.35,-0.52,1.96,3.4,3.08,-       
2.4,-0.52,1.96,3.4,3.08,-       
2.45,-0.54,1.95,3.4,3.12,-       
2.5,-0.54,1.95,3.4,3.12,-       
2.55,-0.52,1.97,3.4,3.16,-       
2.6,-0.51,1.97,3.4,3.16,-       
2.65,-0.51,1.97,3.4,3.16,-       
2.7,-0.51,1.97,3.4,3.17,-       
2.75,-0.52,1.97,3.4,3.2,-       
2.8,-0.52,1.97,3.4,3.2,-       
2.85,-0.51,1.98,3.4,3.2,-       
2.9,-0.5,1.98,3.4,3.2,-       
2.95,-0.5,1.98,3.4,3.2,-       
3.0,-0.51,1.98,3.4,3.21,-       
3.05,-0.5,1.99,3.4,3.2,-       
3.1,-0.5,1.99,3.4,3.2,-       
3.15,-0.5,1.98,3.4,3.2,-       
3.2,-0.5,1.98,3.4,3.2,-       
3.25,-0.49,1.98,3.4,3.18,-       
3.3,-0.49,1.98,3.4,3.18,-       
3.35,-0.5,1.99,3.4,3.19,-       
3.4,-0.5,1.99,3.4,3.18,-       
3.45,-0.48,1.99,3.4,3.19,-       
3.5,-0.48,1.99,3.4,3.19,-       
3.55,-0.49,1.99,3.4,3.21,-       
3.6,-0.49,1.99,3.4,3.21,-       
3.65,-0.49,1.98,3.4,3.19,-       
3.7,-0.49,1.97,3.4,3.2,-       
3.75,-0.48,1.97,3.4,3.23,-       
