time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.05,2.1,3.4,4.18,-       
0.05,-0.05,2.1,3.4,4.18,-       
0.1,-0.05,2.08,3.4,4.22,-       
0.15,-0.05,2.08,3.4,4.27,-       
0.2,-0.05,2.08,3.4,4.27,-       
0.25,-0.37,2.05,3.4,4.48,-       
0.3,-0.45,2.05,3.4,4.5,-       
0.35,-0.45,2.05,3.4,4.5,-       
0.4,-0.4,2.07,3.4,4.55,-       
0.45,-0.39,2.07,3.4,4.6,-       
0.5,-0.39,2.07,3.4,4.6,-       
0.55,-0.39,2.07,3.4,4.65,-       
0.6,-0.72,1.92,3.4,4.67,-       
0.65,-0.96,1.34,3.46,4.67,gaze started: p_2_1
0.7,0.63,0.36,-0.06,,-       
0.75,0.63,0.36,-0.06,,-       
0.8,-0.26,1.75,3.4,4.66,-       
0.85,0.04,1.62,3.4,4.22,gaze started: p_3_2
0.9,0.04,1.62,3.4,4.22,gaze started: p_3_2
0.95,0.03,1.66,3.4,4.05,-       
1.0,0.03,1.68,3.4,3.81,-       
1.05,0.03,1.67,3.4,3.54,-       
1.1,0.03,1.67,3.4,3.54,-       
1.15,0.02,1.68,3.4,3.37,gaze fixated: p_3_2
1.2,0.02,1.68,3.4,3.37,gaze fixated: p_3_2
1.25,-0.18,2.08,3.4,3.21,-       
1.3,-0.17,2.08,3.4,3.15,gaze started: p_2_2
1.35,-0.15,2.06,3.4,3.09,-       
1.4,-0.15,2.06,3.4,3.09,-       
1.45,-0.14,2.05,3.4,3.04,-       
1.5,-0.14,2.05,3.4,3.02,-       
1.55,-0.14,2.05,3.4,3.02,-       
1.6,-0.14,2.05,3.4,2.98,gaze fixated: p_2_2
1.65,-0.14,2.05,3.4,2.97,-       
1.7,0.07,1.91,3.4,2.83,-       
1.75,0.07,1.91,3.4,2.83,-       
1.8,0.64,0.36,-0.07,,-       
1.85,0.63,0.36,-0.07,,gaze ended: p_2_2
1.9,0.63,0.36,-0.07,,-       
1.95,0.63,0.36,-0.07,,-       
2.0,0.64,0.36,-0.07,,-       
2.05,0.12,1.59,3.4,2.99,-       
2.1,0.12,1.59,3.4,2.99,-       
2.15,0.12,1.62,3.4,3.07,gaze started: p_3_2
2.2,-0.03,1.93,3.4,3.18,-       
2.25,0.04,1.91,3.4,3.19,gaze started: p_2_2
2.3,0.04,1.91,3.4,3.19,gaze started: p_2_2
2.35,-0.02,1.93,3.4,3.23,-       
2.4,-0.02,1.93,3.4,3.23,-       
2.45,0.02,1.92,3.4,3.24,-       
2.5,0.45,2.03,3.4,3.23,-       
2.55,0.5,2.0,3.4,3.24,gaze started: p_2_3
2.6,0.5,2.0,3.4,3.24,gaze started: p_2_3
2.65,0.52,1.99,3.4,3.25,-       
2.7,0.51,1.99,3.4,3.25,-       
2.75,0.17,1.7,3.4,3.23,-       
2.8,0.17,1.7,3.4,3.23,-       
2.85,0.1,1.72,3.4,3.29,gaze started: p_3_3
2.9,0.11,1.73,3.4,3.31,gaze started: p_3_2
2.95,0.11,1.73,3.4,3.37,-       
3.0,0.11,1.73,3.4,3.37,-       
3.05,0.11,1.72,3.4,3.41,-       
3.1,0.11,1.73,3.4,3.43,-       
3.15,0.11,1.73,3.4,3.43,gaze fixated: p_3_2
3.2,0.11,1.73,3.4,3.43,gaze fixated: p_3_2
3.25,0.11,1.73,3.4,3.46,-       
3.3,0.1,1.73,3.4,3.47,-       
3.35,0.1,1.73,3.4,3.47,-       
3.4,0.1,1.73,3.4,3.49,-       
3.45,0.11,1.72,3.4,3.55,-       
3.5,0.12,1.72,3.4,3.6,-       
3.55,0.12,1.72,3.4,3.6,-       
3.6,0.12,1.71,3.4,3.64,-       
3.65,0.11,1.71,3.4,3.69,-       
3.7,0.11,1.71,3.4,3.69,-       
3.75,0.11,1.71,3.4,3.73,-       
3.8,0.11,1.71,3.4,3.78,-       
3.85,0.12,1.7,3.4,3.79,-       
3.9,0.12,1.7,3.4,3.79,-       
3.95,0.11,1.7,3.4,3.76,-       
4.0,0.11,1.72,3.4,3.63,-       
4.05,0.11,1.73,3.4,3.57,-       
4.1,0.11,1.73,3.4,3.57,-       
4.15,0.11,1.74,3.4,3.52,-       
4.2,0.11,1.74,3.4,3.47,-       
4.25,0.11,1.74,3.4,3.47,-       
4.3,0.11,1.73,3.4,3.52,-       
4.35,0.11,1.74,3.4,3.56,-       
4.4,0.11,1.74,3.4,3.56,-       
4.45,0.1,1.73,3.4,3.61,-       
4.5,0.11,1.73,3.4,3.65,-       
4.55,0.13,1.73,3.4,3.67,-       
4.6,0.13,1.73,3.4,3.67,-       
4.65,0.13,1.73,3.4,3.67,-       
4.7,0.13,1.72,3.4,3.68,-       
4.75,0.13,1.72,3.4,3.67,-       
4.8,0.13,1.72,3.4,3.67,-       
4.85,0.13,1.73,3.4,3.68,-       
4.9,0.13,1.73,3.4,3.68,-       
4.95,0.13,1.74,3.4,3.67,-       
5.0,0.13,1.74,3.4,3.67,-       
5.05,0.12,1.73,3.4,3.66,-       
5.1,0.11,1.73,3.4,3.64,-       
5.15,0.11,1.74,3.4,3.63,-       
5.2,0.11,1.74,3.4,3.63,-       
5.25,0.12,1.74,3.4,3.63,-       
5.3,0.12,1.75,3.4,3.64,-       
5.35,0.12,1.75,3.4,3.64,-       
5.4,0.12,1.74,3.4,3.64,-       
5.45,0.13,1.73,3.4,3.66,-       
5.5,0.13,1.73,3.4,3.66,-       
5.55,0.13,1.72,3.4,3.7,-       
5.6,0.13,1.71,3.4,3.72,-       
5.65,0.13,1.71,3.46,3.75,-       
5.7,0.13,1.72,3.46,3.77,gaze ended: p_3_2
5.75,0.13,1.72,3.46,3.77,gaze ended: p_3_2
5.8,0.14,1.72,3.46,3.78,-       
