time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-1.2,2.35,3.4,4.87,-       
0.05,-1.2,2.36,3.4,4.85,-       
0.1,-1.2,2.36,3.4,4.83,-       
0.15,-1.19,2.35,3.4,4.83,-       
0.2,-1.19,2.36,3.4,4.8,-       
0.25,-0.97,2.25,3.4,4.78,-       
0.3,0.56,0.79,-0.32,,gaze started: p_2_1
0.35,0.56,0.79,-0.32,,-       
0.4,0.56,0.79,-0.32,,-       
0.45,0.56,0.79,-0.32,,-       
0.5,0.56,0.79,-0.32,,-       
0.55,0.56,0.79,-0.32,,-       
0.6,0.56,0.79,-0.32,,-       
0.65,0.56,0.79,-0.32,,-       
0.7,0.56,0.79,-0.32,,-       
0.75,0.56,0.79,-0.32,,-       
0.8,0.56,0.79,-0.32,,-       
0.85,0.56,0.79,-0.32,,-       
0.9,-0.74,2.26,3.4,4.64,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_meta_quest_2_30s_50wd.mp4
0.95,-0.74,2.26,3.4,4.64,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_meta_quest_2_30s_50wd.mp4
1.0,-0.74,2.26,3.4,4.64,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_meta_quest_2_30s_50wd.mp4
1.05,-0.77,2.28,3.4,4.68,gaze started: p_2_1
1.1,-0.79,2.29,3.46,4.7,gaze started: p_1_1
1.15,-0.67,2.34,3.4,4.73,-       
1.2,-0.68,2.33,3.4,4.69,gaze started: p_1_2
1.25,-0.68,2.34,3.4,4.68,-       
1.3,-0.69,2.05,3.4,4.65,-       
1.35,-0.4,1.1,3.4,4.46,gaze started: p_2_2
1.4,0.56,0.79,-0.32,,gaze started: p_4_2
1.45,0.56,0.79,-0.32,,-       
1.5,0.56,0.79,-0.32,,-       
1.55,-0.63,0.81,3.57,4.45,-       
1.6,-0.42,0.92,3.4,4.51,-       
1.65,-0.48,0.9,3.4,4.54,gaze started: p_4_2
1.7,-0.6,0.96,3.4,4.62,-       
1.75,0.56,0.79,-0.32,,-       
1.8,0.56,0.79,-0.32,,-       
1.85,0.56,0.79,-0.32,,-       
1.9,0.56,0.79,-0.32,,-       
1.95,0.56,0.79,-0.32,,-       
2.0,0.56,0.79,-0.32,,-       
2.05,0.56,0.79,-0.32,,-       
2.1,0.56,0.79,-0.32,,-       
2.15,-0.16,1.2,3.4,4.62,gaze started: p_3_2
2.2,-0.16,1.2,3.4,4.62,gaze started: p_3_2
2.25,-0.28,1.34,3.46,4.6,gaze started: p_3_2
2.3,-0.28,1.34,3.46,4.6,gaze started: p_3_2
2.35,0.27,1.52,3.4,4.0,gaze started: p_3_3
2.4,0.27,1.52,3.4,4.0,gaze started: p_3_3
2.45,0.39,1.37,3.4,3.83,-       
2.5,0.27,1.45,3.4,3.79,-       
2.55,0.24,1.46,3.4,3.68,-       
2.6,0.29,1.43,3.4,3.57,-       
2.65,0.32,1.41,3.4,3.49,gaze fixated: p_3_3
2.7,0.24,1.44,3.4,3.41,-       
2.75,0.3,1.4,3.4,3.37,-       
2.8,0.26,1.42,3.4,3.32,-       
2.85,0.33,1.37,3.4,3.3,-       
2.9,-0.04,1.28,3.4,3.23,-       
2.95,-0.27,1.23,3.4,3.18,gaze started: p_4_2
3.0,-0.23,1.22,3.4,3.2,-       
3.05,-0.25,1.23,3.4,3.2,-       
3.1,-0.25,1.23,3.4,3.2,-       
3.15,-0.25,1.22,3.4,3.21,-       
3.2,-0.25,1.22,3.4,3.21,gaze fixated: p_4_2
3.25,-0.25,1.22,3.4,3.22,-       
3.3,-0.25,1.22,3.4,3.23,-       
3.35,-0.25,1.22,3.4,3.23,-       
3.4,-0.24,1.21,3.4,3.24,-       
3.45,-0.26,1.21,3.4,3.24,-       
3.5,-0.24,1.22,3.4,3.27,-       
3.55,-0.25,1.22,3.4,3.26,-       
3.6,0.07,1.95,3.4,3.44,-       
3.65,-0.08,1.95,3.4,3.44,gaze started: p_2_2
3.7,0.02,1.93,3.4,3.45,-       
3.75,0.03,1.93,3.4,3.46,-       
3.8,0.03,1.94,3.4,3.46,-       
3.85,0.02,1.94,3.4,3.47,-       
3.9,0.02,1.95,3.4,3.46,gaze fixated: p_2_2
3.95,-0.19,2.08,3.4,3.45,-       
4.0,-0.19,2.08,3.4,3.45,-       
4.05,-0.25,2.09,3.4,3.45,-       
4.1,-0.25,2.09,3.4,3.45,-       
