time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.43,1.73,3.4,3.16,-       
0.05,0.43,1.73,3.4,3.16,-       
0.1,-0.5,1.25,3.4,3.17,gaze started: p_4_2
0.15,-0.5,1.25,3.4,3.17,gaze started: p_4_2
0.2,-0.39,1.23,3.4,3.16,-       
0.25,-0.41,1.24,3.4,3.14,-       
0.3,-0.41,1.24,3.4,3.13,-       
0.35,-0.92,1.16,3.4,3.1,-       
0.4,-0.92,1.16,3.4,3.1,-       
0.45,-0.92,1.16,3.4,3.1,-       
0.5,-0.92,1.16,3.4,3.1,-       
0.55,-0.92,1.16,3.4,3.1,-       
0.6,-0.92,1.16,3.4,3.1,-       
0.65,-0.92,1.16,3.4,3.1,-       
0.7,-0.92,1.16,3.4,3.1,-       
0.75,-0.92,1.16,3.4,3.1,-       
0.8,-0.92,1.16,3.4,3.1,-       
0.85,-1.33,1.12,3.4,3.26,gaze started: p_4_1
0.9,-1.33,1.12,3.4,3.27,-       
0.95,-1.33,1.12,3.4,3.27,-       
1.0,-0.76,1.81,3.4,3.12,-       
1.05,-0.76,1.81,3.4,3.12,-       
1.1,-0.58,1.95,3.4,3.09,gaze started: p_2_2
1.15,-0.58,1.95,3.4,3.09,gaze started: p_2_2
1.2,-0.6,1.94,3.4,3.09,-       
1.25,-0.6,1.94,3.4,3.09,-       
1.3,-0.2,1.94,3.4,3.05,-       
1.35,-0.2,1.94,3.4,3.05,-       
1.4,-0.13,1.95,3.4,3.11,gaze fixated: p_2_2
1.45,-0.13,1.95,3.4,3.11,gaze fixated: p_2_2
1.5,-0.14,1.95,3.4,3.21,-       
1.55,-0.18,1.92,3.4,3.24,-       
1.6,-0.36,2.03,3.4,3.33,-       
1.65,-0.36,2.03,3.4,3.33,-       
1.7,-0.49,2.05,3.4,3.42,-       
1.75,-0.49,2.05,3.4,3.42,-       
1.8,-0.5,2.02,3.4,3.43,-       
1.85,-0.52,2.07,3.4,3.49,-       
1.9,-0.86,2.01,3.4,3.58,-       
1.95,-0.87,1.97,3.4,3.6,gaze started: p_2_1
2.0,-0.87,1.97,3.4,3.62,-       
2.05,-0.88,1.97,3.4,3.64,-       
2.1,-0.88,1.98,3.4,3.66,-       
2.15,-0.88,1.98,3.4,3.65,-       
2.2,-0.87,1.98,3.4,3.66,gaze fixated: p_2_1
2.25,-0.06,1.81,3.4,3.33,-       
2.3,0.17,1.76,3.4,3.2,gaze started: p_2_2
2.35,0.18,1.76,3.4,3.08,gaze started: p_3_3
2.4,0.21,1.76,3.4,2.98,-       
2.45,0.23,1.76,3.4,2.81,-       
2.5,0.23,1.75,3.4,2.71,-       
2.55,0.16,1.76,3.4,2.61,-       
2.6,0.21,1.76,3.4,2.55,gaze fixated: p_3_3
2.65,0.22,1.76,3.4,2.5,-       
2.7,0.22,1.76,3.4,2.48,-       
2.75,0.02,1.89,3.4,2.42,-       
2.8,-0.26,2.03,3.4,2.45,gaze started: p_2_2
2.85,-0.29,2.01,3.4,2.41,-       
2.9,-0.35,1.98,3.4,2.39,-       
2.95,-0.36,1.98,3.4,2.39,-       
3.0,-0.37,1.97,3.4,2.39,-       
3.05,-0.1,1.97,3.4,2.39,gaze fixated: p_2_2
3.1,-0.04,1.97,3.4,2.4,-       
3.15,0.01,1.98,3.4,2.4,-       
3.2,0.24,2.17,3.4,2.54,-       
3.25,0.22,2.17,3.4,2.5,gaze started: p_2_3
3.3,0.24,2.16,3.4,2.51,-       
3.35,0.23,2.16,3.4,2.55,-       
3.4,0.23,2.15,3.4,2.55,-       
3.45,0.23,2.15,3.4,2.57,-       
3.5,0.23,2.15,3.4,2.58,-       
3.55,0.23,2.15,3.4,2.6,gaze fixated: p_2_3
3.6,0.23,2.15,3.4,2.63,-       
3.65,0.11,1.88,3.4,2.73,-       
3.7,0.07,1.67,3.4,2.65,gaze started: p_2_2
3.75,0.1,1.67,3.4,2.66,gaze started: p_3_2
3.8,0.11,1.67,3.4,2.67,-       
3.85,0.11,1.67,3.4,2.69,-       
3.9,0.15,1.72,3.4,2.74,-       
3.95,0.14,1.85,3.4,2.82,gaze started: p_3_3
4.0,0.19,1.84,3.4,2.85,gaze started: p_2_3
4.05,0.22,1.85,3.4,2.85,-       
4.1,0.24,1.86,3.4,2.85,-       
4.15,0.23,1.86,3.4,2.85,-       
4.2,0.22,1.86,3.4,2.86,-       
4.25,0.27,1.97,3.4,2.85,gaze fixated: p_2_3
4.3,0.21,1.98,3.4,2.91,-       
4.35,0.28,1.99,3.4,2.92,-       
4.4,0.3,1.99,3.4,2.94,-       
4.45,0.29,1.99,3.4,2.94,-       
4.5,0.28,1.98,3.4,2.94,-       
4.55,0.28,1.98,3.4,2.96,-       
4.6,0.29,1.98,3.4,2.96,-       
4.65,0.29,1.97,3.4,2.97,-       
4.7,0.29,1.97,3.4,2.99,-       
4.75,0.3,1.97,3.4,3.01,-       
4.8,0.29,1.98,3.4,3.03,-       
4.85,0.3,1.98,3.4,3.08,-       
4.9,0.3,1.97,3.4,3.09,-       
4.95,0.3,1.97,3.4,3.1,-       
5.0,0.29,1.97,3.4,3.11,-       
5.05,0.29,1.97,3.4,3.12,-       
5.1,0.29,1.98,3.4,3.14,-       
5.15,0.29,1.98,3.4,3.15,-       
5.2,0.15,1.86,3.4,3.14,-       
5.25,0.17,1.87,3.4,3.14,-       
5.3,0.18,1.87,3.4,3.12,-       
5.35,0.19,1.87,3.4,3.11,-       
5.4,0.18,1.87,3.4,3.07,-       
5.45,0.18,1.88,3.4,3.04,-       
5.5,0.17,1.88,3.4,2.97,-       
5.55,0.18,1.88,3.4,2.96,-       
5.6,0.19,1.88,3.4,2.94,-       
5.65,0.18,1.89,3.4,2.93,-       
5.7,0.18,1.88,3.4,2.93,-       
5.75,0.19,1.88,3.4,2.93,-       
5.8,0.19,1.88,3.4,2.95,-       
5.85,0.19,1.88,3.4,2.97,-       
5.9,0.19,1.88,3.4,2.99,-       
5.95,0.19,1.88,3.4,2.99,-       
6.0,0.18,1.88,3.4,3.02,-       
6.05,0.19,1.88,3.4,3.01,-       
6.1,0.18,1.87,3.4,2.99,-       
6.15,0.19,1.87,3.4,2.99,-       
6.2,0.19,1.87,3.4,2.99,-       
6.25,0.19,1.87,3.4,2.99,-       
6.3,0.19,1.87,3.4,2.99,-       
6.35,0.19,1.87,3.4,2.99,-       
6.4,0.19,1.87,3.4,2.96,-       
6.45,0.19,1.87,3.4,2.95,-       
6.5,0.19,1.87,3.4,2.93,-       
6.55,0.19,1.87,3.4,2.92,-       
6.6,0.2,1.88,3.4,2.9,-       
6.65,0.2,1.87,3.4,2.89,-       
6.7,0.23,1.89,3.4,2.9,-       
6.75,0.19,1.88,3.4,2.89,-       
6.8,0.19,1.88,3.4,2.86,-       
6.85,0.19,1.88,3.4,2.83,-       
6.9,0.2,1.88,3.4,2.8,-       
6.95,0.2,1.88,3.4,2.77,-       
7.0,0.19,1.87,3.4,2.77,-       
7.05,0.2,1.88,3.4,2.76,-       
7.1,0.2,1.88,3.4,2.75,-       
7.15,0.2,1.88,3.4,2.75,-       
7.2,0.19,1.88,3.4,2.77,-       
7.25,0.19,1.88,3.4,2.77,-       
7.3,0.19,1.89,3.4,2.8,-       
7.35,0.19,1.89,3.4,2.8,-       
7.4,0.19,1.88,3.4,2.79,-       
7.45,0.19,1.88,3.4,2.79,-       
7.5,0.19,1.88,3.4,2.79,-       
7.55,0.19,1.88,3.4,2.79,-       
7.6,0.16,1.85,3.4,2.78,gaze started: p_2_2
7.65,0.16,1.85,3.4,2.78,gaze started: p_2_2
7.7,0.15,1.85,3.4,2.79,-       
7.75,0.15,1.85,3.4,2.79,-       
7.8,0.15,1.86,3.4,2.85,-       
7.85,0.15,1.86,3.4,2.9,-       
7.9,0.15,1.86,3.4,2.92,gaze fixated: p_2_3
7.95,0.15,1.85,3.4,2.95,-       
8.0,0.15,1.85,3.4,2.95,-       
8.05,0.15,1.85,3.4,2.97,-       
8.1,0.14,1.85,3.4,2.97,-       
8.15,0.15,1.84,3.4,2.97,-       
8.2,0.15,1.84,3.4,2.97,-       
8.25,0.15,1.84,3.4,2.97,-       
8.3,0.15,1.84,3.4,2.97,-       
8.35,0.15,1.84,3.4,2.97,-       
8.4,0.03,1.86,3.4,2.82,-       
8.45,0.03,1.86,3.4,2.82,-       
8.5,0.03,1.9,3.4,2.69,-       
8.55,0.03,1.9,3.4,2.69,-       
8.6,0.03,1.91,3.4,2.62,-       
8.65,0.03,1.91,3.4,2.62,-       
8.7,0.16,1.88,3.4,2.61,gaze started: p_2_3
8.75,0.17,1.89,3.4,2.59,-       
8.8,0.17,1.89,3.4,2.58,-       
8.85,0.17,1.89,3.4,2.58,-       
8.9,0.17,1.88,3.4,2.58,-       
8.95,0.17,1.88,3.4,2.58,-       
9.0,0.17,1.89,3.4,2.59,gaze fixated: p_2_3
9.05,-0.09,1.94,3.4,2.54,-       
9.1,-0.18,2.04,3.4,2.57,gaze started: p_2_2
9.15,-0.19,2.03,3.4,2.59,-       
9.2,-0.21,2.03,3.4,2.59,-       
9.25,-0.16,2.04,3.4,2.6,-       
9.3,-0.16,2.04,3.4,2.61,-       
9.35,0.07,1.95,3.4,2.61,-       
9.4,0.12,1.9,3.4,2.63,gaze fixated: p_2_2
9.45,0.16,1.9,3.4,2.63,-       
9.5,0.14,1.9,3.4,2.63,gaze started: p_2_3
9.55,0.15,1.91,3.4,2.62,-       
9.6,0.16,1.91,3.4,2.6,-       
9.65,0.16,1.91,3.4,2.57,-       
9.7,0.17,1.91,3.4,2.47,-       
9.75,-0.19,2.02,3.4,2.52,gaze fixated: p_2_3
9.8,-0.45,2.16,3.4,2.52,gaze started: p_2_2
9.85,-0.54,2.12,3.4,2.52,-       
9.9,-0.56,2.12,3.4,2.46,-       
9.95,-0.55,2.1,3.4,2.45,-       
10.0,-0.55,2.11,3.4,2.44,-       
10.05,-0.55,2.1,3.4,2.44,-       
10.1,-0.55,2.11,3.4,2.43,gaze fixated: p_2_2
10.15,-0.55,2.09,3.4,2.43,-       
10.2,-0.55,2.1,3.4,2.41,-       
10.25,-0.53,2.09,3.4,2.41,-       
10.3,-0.56,2.17,3.4,2.45,-       
10.35,-0.67,2.33,3.4,2.49,-       
10.4,-0.67,2.33,3.4,2.51,gaze started: p_1_2
10.45,-0.67,2.32,3.4,2.53,-       
10.5,-0.67,2.32,3.4,2.57,-       
10.55,-0.67,2.32,3.4,2.6,-       
10.6,-0.66,2.33,3.4,2.62,-       
10.65,-0.67,2.32,3.4,2.65,-       
10.7,-0.67,2.32,3.4,2.68,gaze fixated: p_1_2
10.75,-0.67,2.32,3.4,2.73,-       
10.8,-0.67,2.32,3.4,2.75,-       
10.85,-0.66,2.32,3.4,2.78,-       
10.9,-0.67,2.32,3.4,2.79,-       
10.95,-0.88,2.17,3.4,2.9,-       
11.0,-0.89,2.15,3.4,2.84,gaze started: p_2_1
11.05,-0.88,2.15,3.4,2.85,-       
11.1,-0.88,2.16,3.4,2.85,-       
11.15,-0.88,2.16,3.4,2.89,-       
11.2,-0.89,2.16,3.4,2.9,-       
11.25,-0.89,2.16,3.4,2.94,-       
11.3,-0.89,2.16,3.4,2.94,gaze fixated: p_2_1
11.35,-0.88,2.16,3.4,2.99,-       
11.4,-0.53,1.87,3.4,3.04,-       
11.45,-0.23,1.5,3.4,2.95,gaze started: p_2_2
11.5,-0.23,1.5,3.4,2.95,gaze started: p_2_2
11.55,-0.28,1.49,3.4,2.91,gaze started: p_3_2
11.6,-0.23,1.49,3.4,2.92,-       
11.65,-0.31,1.49,3.4,2.93,-       
11.7,-0.29,1.49,3.4,2.94,-       
11.75,0.49,1.36,3.4,2.91,gaze fixated: p_3_2
11.8,0.49,1.36,3.4,2.91,gaze fixated: p_3_2
11.85,0.53,1.33,3.46,2.9,gaze started: p_3_3
11.9,0.48,1.34,3.46,2.91,-       
11.95,0.49,1.34,3.46,2.87,gaze started: p_3_3
12.0,0.5,1.33,3.46,2.86,-       
12.05,0.52,1.26,3.4,2.81,-       
12.1,0.59,1.19,3.4,2.86,gaze started: p_4_3
12.15,0.6,1.2,3.4,2.85,-       
12.2,0.6,1.19,3.4,2.86,-       
12.25,0.6,1.19,3.4,2.86,-       
12.3,1.29,1.12,3.4,2.97,-       
12.35,1.37,1.09,3.4,3.0,gaze started: p_4_4
12.4,1.38,1.07,3.4,3.0,-       
12.45,1.38,1.07,3.4,2.99,-       
12.5,1.39,1.07,3.4,2.98,-       
12.55,1.52,1.43,3.4,2.89,-       
12.6,1.43,1.78,3.4,2.9,gaze started: p_3_4
12.65,1.42,1.76,3.4,2.88,-       
12.7,1.37,2.19,3.4,2.95,-       
12.75,1.32,2.36,3.4,2.94,gaze started: p_2_4
12.8,1.33,2.38,3.4,2.93,gaze started: p_1_4
12.85,1.35,2.38,3.4,2.95,-       
12.9,1.06,2.38,3.4,2.98,-       
12.95,-0.22,2.3,3.4,2.87,-       
13.0,-0.39,2.24,3.4,2.92,gaze started: p_1_2
13.05,-0.44,2.25,3.4,2.89,gaze started: p_2_2
13.1,-0.43,2.25,3.4,2.91,-       
13.15,-0.38,2.44,3.4,2.96,-       
13.2,-0.4,2.41,3.4,2.96,gaze started: p_1_2
13.25,-0.39,2.41,3.4,2.97,-       
13.3,-0.4,2.4,3.4,2.99,-       
13.35,-0.4,2.41,3.4,3.01,-       
13.4,-0.39,2.41,3.4,3.04,-       
13.45,-0.87,2.32,3.4,3.06,-       
13.5,-0.9,2.3,3.4,3.11,-       
13.55,-0.9,2.3,3.4,3.11,-       
13.6,-0.9,2.3,3.4,3.11,-       
13.65,-0.9,2.3,3.4,3.12,-       
13.7,-0.91,2.3,3.4,3.13,-       
13.75,-0.9,2.3,3.4,3.13,gaze fixated: p_1_1
13.8,-0.89,2.29,3.4,3.14,-       
13.85,-0.61,2.4,3.4,3.15,-       
13.9,-0.47,2.41,3.4,3.12,gaze started: p_1_2
13.95,-0.45,2.41,3.4,3.15,-       
14.0,-0.44,2.41,3.4,3.14,-       
14.05,-0.44,2.41,3.4,3.14,-       
14.1,-0.44,2.42,3.4,3.12,-       
14.15,-0.45,2.41,3.4,3.11,gaze fixated: p_1_2
14.2,-0.45,2.42,3.4,3.08,-       
14.25,-0.44,2.42,3.4,3.07,-       
14.3,-0.45,2.41,3.4,3.07,-       
14.35,-0.44,2.41,3.4,3.1,-       
14.4,-0.44,2.41,3.4,3.11,-       
14.45,-0.44,2.41,3.4,3.12,-       
14.5,-0.44,2.4,3.4,3.14,-       
14.55,-0.44,2.4,3.4,3.17,-       
14.6,-0.44,2.4,3.4,3.19,-       
14.65,-0.45,2.4,3.4,3.23,-       
14.7,-0.45,2.4,3.4,3.23,-       
14.75,-0.44,2.4,3.4,3.22,-       
14.8,-0.44,2.39,3.4,3.23,-       
14.85,-0.37,2.37,3.4,3.28,-       
14.9,-0.37,2.38,3.4,3.26,-       
14.95,-0.39,2.39,3.4,3.26,-       
15.0,-0.39,2.39,3.4,3.25,-       
15.05,-0.38,2.39,3.4,3.25,-       
15.1,-0.38,2.37,3.4,3.23,-       
15.15,-0.39,2.37,3.4,3.22,-       
15.2,-0.38,2.37,3.4,3.22,-       
15.25,-0.39,2.37,3.4,3.21,-       
15.3,-0.49,2.39,3.4,3.2,-       
15.35,-0.83,2.38,3.4,3.29,-       
15.4,-0.83,2.37,3.4,3.3,-       
15.45,-0.83,2.37,3.4,3.3,-       
15.5,-0.83,2.37,3.4,3.29,-       
15.55,-0.85,2.41,3.4,3.2,-       
15.6,-0.86,2.41,3.4,3.22,-       
15.65,-0.86,2.41,3.4,3.21,gaze fixated: p_1_1
15.7,-0.86,2.41,3.4,3.2,-       
15.75,-0.86,2.4,3.4,3.17,-       
15.8,-0.86,2.4,3.4,3.15,-       
15.85,-0.85,2.4,3.4,3.1,-       
15.9,-0.86,2.4,3.4,3.08,-       
15.95,-0.86,2.4,3.4,3.07,-       
16.0,-0.86,2.41,3.4,3.05,-       
16.05,-0.85,2.41,3.4,3.01,-       
16.1,-0.85,2.41,3.4,3.0,-       
16.15,-0.84,2.41,3.4,2.99,-       
16.2,-0.85,2.41,3.4,2.97,-       
16.25,-0.85,2.41,3.4,2.95,-       
16.3,-0.85,2.41,3.4,2.94,-       
16.35,-0.85,2.4,3.4,2.93,-       
16.4,-0.84,2.4,3.4,2.93,-       
16.45,-0.84,2.4,3.4,2.94,-       
16.5,-0.66,2.31,3.4,2.95,-       
16.55,-0.65,2.31,3.4,2.95,gaze started: p_1_2
16.6,-0.65,2.32,3.4,2.96,-       
16.65,-0.64,2.32,3.4,2.96,-       
16.7,-0.65,2.31,3.4,2.98,-       
16.75,-0.98,2.24,3.4,3.13,-       
16.8,-0.99,2.23,3.4,3.11,gaze started: p_2_1
16.85,-0.99,2.23,3.4,3.14,-       
16.9,-0.99,2.23,3.4,3.15,-       
16.95,-0.96,2.22,3.4,3.17,-       
17.0,-0.84,2.35,3.4,3.16,-       
17.05,-0.85,2.34,3.4,3.15,gaze started: p_1_1
17.1,-0.84,2.33,3.4,3.12,-       
17.15,-0.83,2.33,3.4,3.14,-       
17.2,-0.83,2.34,3.4,3.14,-       
17.25,-0.78,2.35,3.4,3.14,-       
17.3,-0.79,2.35,3.4,3.12,-       
17.35,-0.79,2.35,3.4,3.1,gaze fixated: p_1_1
17.4,-0.78,2.34,3.4,3.03,-       
17.45,-0.72,2.37,3.46,2.96,-       
17.5,-0.7,2.36,3.4,2.95,gaze ended: p_1_1
17.55,-0.72,2.37,3.46,2.94,gaze started: p_1_1
17.6,-0.71,2.37,3.46,2.92,-       
17.65,-0.71,2.37,3.46,2.91,-       
17.7,-0.72,2.37,3.46,2.88,-       
17.75,-0.86,2.42,3.4,2.87,-       
17.8,-0.84,2.39,3.4,2.86,gaze started: p_1_1
17.85,-0.84,2.39,3.4,2.86,gaze started: p_1_1
17.9,-0.84,2.38,3.4,2.86,-       
17.95,-0.84,2.38,3.4,2.87,-       
18.0,-0.84,2.38,3.4,2.87,-       
18.05,-0.83,2.39,3.4,2.85,gaze fixated: p_1_1
18.1,-0.83,2.39,3.4,2.85,gaze fixated: p_1_1
18.15,-0.83,2.38,3.4,2.87,-       
18.2,-0.83,2.38,3.4,2.88,-       
18.25,-0.83,2.38,3.4,2.89,-       
18.3,-0.87,2.11,3.4,2.96,-       
18.35,-0.86,2.12,3.4,2.86,gaze started: p_2_1
18.4,-0.86,2.13,3.4,2.89,-       
18.45,-0.86,2.13,3.4,2.89,-       
18.5,-0.86,2.13,3.4,2.88,-       
18.55,-0.86,2.13,3.4,2.91,-       
18.6,-0.86,2.13,3.4,2.89,gaze fixated: p_2_1
18.65,-0.86,2.12,3.4,2.88,-       
18.7,-0.96,2.1,3.4,3.01,-       
18.75,-0.96,2.05,3.4,3.02,-       
18.8,-0.96,2.05,3.4,3.03,-       
18.85,-0.97,2.04,3.4,3.04,-       
18.9,-0.96,2.04,3.4,3.06,-       
18.95,-0.87,2.1,3.4,3.12,-       
19.0,-0.88,2.11,3.4,3.06,-       
19.05,-0.89,2.11,3.4,3.07,-       
19.1,-0.88,2.12,3.4,3.1,-       
19.15,-0.88,2.12,3.4,3.1,-       
19.2,-0.88,2.11,3.4,3.11,-       
19.25,-0.89,2.11,3.4,3.13,-       
19.3,-0.77,2.18,3.4,3.16,-       
19.35,-0.77,2.18,3.4,3.16,-       
19.4,-0.55,2.33,3.4,3.14,-       
19.45,-0.55,2.31,3.4,3.15,gaze started: p_1_2
19.5,-0.55,2.31,3.4,3.16,-       
