time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.41,0.76,3.57,3.76,-       
0.05,-0.41,0.76,3.57,3.76,-       
0.1,-0.4,0.76,3.57,3.79,-       
0.15,-0.39,0.75,3.57,3.82,-       
0.2,-0.4,0.73,3.57,3.86,-       
0.25,-0.39,0.72,3.57,3.9,-       
0.3,-0.39,0.72,3.57,3.9,-       
0.35,-0.38,0.72,3.57,3.93,-       
0.4,-0.39,0.73,3.57,3.98,-       
0.45,-0.41,0.74,3.57,4.02,-       
0.5,-0.41,0.74,3.57,4.02,-       
0.55,-0.38,0.74,3.57,3.99,-       
0.6,0.99,0.82,-0.86,,-       
0.65,0.99,0.82,-0.86,,-       
0.7,0.99,0.82,-0.86,,-       
0.75,0.99,0.82,-0.86,,-       
0.8,0.99,0.82,-0.86,,-       
0.85,0.6,1.82,3.4,2.95,-       
0.9,0.64,1.81,3.4,2.89,gaze started: p_2_3
0.95,0.6,1.81,3.46,2.87,-       
1.0,0.6,1.81,3.46,2.87,-       
1.05,0.59,1.81,3.4,2.9,-       
1.1,-0.24,2.02,3.4,2.91,gaze started: p_2_3
1.15,-0.21,2.04,3.4,2.99,gaze started: p_2_2
1.2,-0.25,2.0,3.4,2.99,-       
1.25,-0.25,2.0,3.4,2.99,-       
1.3,-0.25,2.0,3.4,2.96,-       
1.35,-0.25,2.01,3.4,2.93,-       
1.4,-0.24,2.01,3.4,2.93,gaze fixated: p_2_2
1.45,-0.23,2.0,3.4,2.94,-       
1.5,-0.23,2.0,3.4,2.94,-       
1.55,0.35,1.93,3.4,3.03,-       
1.6,0.32,1.98,3.4,3.03,gaze started: p_2_3
1.65,0.32,1.98,3.4,3.03,gaze started: p_2_3
1.7,0.33,2.0,3.4,3.15,-       
1.75,0.99,0.82,-0.86,,-       
1.8,0.99,0.82,-0.86,,-       
1.85,0.99,0.82,-0.86,,-       
1.9,0.98,0.82,-0.86,,-       
1.95,0.98,0.82,-0.86,,-       
2.0,0.99,0.82,-0.86,,-       
2.05,0.99,0.82,-0.86,,-       
2.1,0.99,0.82,-0.86,,-       
2.15,0.99,0.82,-0.86,,-       
2.2,0.99,0.82,-0.86,,-       
2.25,0.99,0.82,-0.86,,-       
2.3,0.99,0.82,-0.86,,-       
2.35,-0.07,2.1,3.4,3.73,-       
2.4,-0.05,2.09,3.4,3.8,gaze started: p_2_2
2.45,-0.08,2.11,3.4,3.83,-       
2.5,0.01,2.1,3.4,3.82,-       
2.55,0.01,2.1,3.4,3.82,-       
2.6,0.06,2.07,3.4,3.77,-       
2.65,0.1,1.86,3.4,3.43,-       
2.7,0.1,1.86,3.4,3.43,-       
2.75,0.07,1.88,3.4,3.39,gaze fixated: p_2_2
2.8,0.07,1.87,3.4,3.39,-       
2.85,0.07,1.87,3.4,3.39,-       
2.9,0.01,1.89,3.4,3.38,-       
2.95,0.11,1.89,3.4,3.4,-       
3.0,0.11,1.89,3.4,3.4,-       
3.05,0.11,1.89,3.4,3.39,-       
3.1,-0.02,1.9,3.4,3.39,-       
3.15,0.08,1.88,3.4,3.49,-       
