time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.8,2.07,3.4,4.52,-       
0.05,-0.81,2.07,3.4,4.54,-       
0.1,-0.68,2.05,3.4,4.59,-       
0.15,-0.64,2.05,3.4,4.57,gaze started: p_2_2
0.2,-0.64,2.04,3.4,4.58,-       
0.25,-0.64,2.03,3.4,4.59,-       
0.3,-0.64,2.03,3.4,4.6,-       
0.35,-0.64,2.03,3.4,4.6,-       
0.4,-0.64,2.03,3.4,4.6,-       
0.45,-0.64,2.03,3.4,4.6,-       
0.5,-0.64,2.03,3.4,4.6,-       
0.55,-0.64,2.03,3.4,4.6,-       
0.6,-0.64,2.03,3.4,4.6,-       
0.65,-0.64,2.03,3.4,4.6,-       
0.7,-0.64,2.03,3.4,4.6,-       
0.75,-0.64,2.03,3.4,4.6,-       
0.8,-0.52,2.04,3.4,4.7,gaze fixated: p_2_2
0.85,-0.52,2.05,3.4,4.7,-       
0.9,-0.51,2.04,3.4,4.68,-       
0.95,-0.52,2.05,3.4,4.68,-       
1.0,-0.52,2.05,3.4,4.71,-       
1.05,-0.54,2.05,3.4,4.78,-       
1.1,-0.54,2.05,3.4,4.8,-       
1.15,-0.54,2.06,3.4,4.81,-       
1.2,-0.54,2.07,3.4,4.82,-       
1.25,-0.53,2.07,3.4,4.78,-       
1.3,-0.4,2.05,3.4,4.72,-       
1.35,-0.38,2.05,3.4,4.73,-       
1.4,-0.37,2.04,3.4,4.73,-       
1.45,-0.37,2.04,3.4,4.72,-       
1.5,-0.37,2.03,3.4,4.72,-       
1.55,-0.37,2.04,3.4,4.73,-       
1.6,-0.37,2.04,3.4,4.73,-       
1.65,-0.37,2.03,3.4,4.75,-       
1.7,-0.37,2.04,3.4,4.76,-       
1.75,-0.38,2.04,3.4,4.78,-       
1.8,-0.37,2.04,3.4,4.79,-       
1.85,-0.37,2.04,3.4,4.81,-       
1.9,-0.37,2.04,3.4,4.8,-       
1.95,-0.37,2.04,3.4,4.79,-       
2.0,-0.38,2.03,3.4,4.79,-       
2.05,-0.37,2.04,3.4,4.79,-       
2.1,-0.37,2.04,3.4,4.79,-       
2.15,-0.37,2.04,3.4,4.77,-       
2.2,-0.37,2.04,3.4,4.78,-       
2.25,-0.05,1.92,3.4,4.62,-       
2.3,0.54,1.67,3.4,4.34,-       
2.35,0.52,1.64,3.4,4.08,gaze started: p_3_3
2.4,0.53,1.63,3.4,3.95,-       
2.45,0.54,1.63,3.4,3.88,-       
2.5,0.53,1.63,3.4,3.53,-       
2.55,0.54,1.63,3.4,3.44,-       
2.6,0.54,1.63,3.4,3.29,gaze fixated: p_3_3
2.65,0.55,1.63,3.4,3.14,-       
2.7,0.54,1.63,3.4,3.11,-       
2.75,0.54,1.64,3.4,3.04,-       
2.8,0.52,1.65,3.4,2.98,-       
2.85,0.52,1.65,3.4,2.94,-       
2.9,0.52,1.65,3.4,2.93,-       
2.95,0.53,1.64,3.4,2.91,-       
3.0,0.52,1.65,3.4,2.92,-       
3.05,0.52,1.65,3.4,2.92,-       
3.1,0.52,1.66,3.4,2.92,-       
3.15,0.53,1.66,3.4,2.91,-       
3.2,0.53,1.65,3.4,2.89,-       
3.25,0.53,1.65,3.4,2.9,-       
3.3,0.53,1.65,3.4,2.9,-       
3.35,0.53,1.65,3.4,2.91,-       
3.4,0.53,1.65,3.4,2.92,-       
3.45,0.52,1.65,3.4,2.93,-       
3.5,0.52,1.65,3.4,2.93,-       
3.55,0.52,1.64,3.4,2.96,-       
3.6,0.52,1.64,3.4,2.99,-       
3.65,0.52,1.64,3.4,3.02,-       
3.7,0.52,1.64,3.4,3.02,-       
3.75,0.52,1.64,3.4,3.03,-       
3.8,0.48,1.64,3.4,3.02,-       
3.85,0.51,1.63,3.4,3.01,-       
3.9,0.51,1.63,3.4,3.01,-       
3.95,0.51,1.63,3.4,3.01,-       
4.0,0.52,1.63,3.4,3.0,-       
4.05,0.52,1.64,3.4,2.99,-       
4.1,0.52,1.64,3.4,3.0,-       
4.15,0.52,1.63,3.4,3.01,-       
4.2,0.5,1.63,3.4,3.03,-       
4.25,0.53,1.62,3.4,3.05,-       
4.3,0.52,1.63,3.4,3.12,-       
4.35,0.49,1.63,3.4,3.15,-       
4.4,0.48,1.63,3.4,3.2,-       
4.45,0.49,1.64,3.4,3.27,-       
4.5,0.49,1.65,3.4,3.34,-       
4.55,0.47,1.65,3.4,3.36,-       
4.6,0.47,1.65,3.4,3.4,-       
4.65,0.49,1.65,3.4,3.42,-       
4.7,0.49,1.65,3.4,3.43,-       
4.75,0.49,1.64,3.4,3.44,-       
4.8,0.49,1.64,3.4,3.44,-       
4.85,0.48,1.64,3.4,3.44,-       
4.9,0.49,1.64,3.4,3.42,-       
4.95,0.49,1.64,3.4,3.38,-       
5.0,0.49,1.64,3.4,3.37,-       
5.05,0.49,1.65,3.4,3.36,-       
5.1,0.48,1.65,3.4,3.34,-       
5.15,0.48,1.65,3.4,3.32,-       
