time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.62,0.81,-0.35,,-       
0.05,0.62,0.81,-0.35,,-       
0.1,1.32,1.08,3.4,4.02,-       
0.15,1.34,1.08,3.4,3.94,gaze started: p_4_4
0.2,1.34,1.09,3.4,3.96,-       
0.25,1.34,1.09,3.4,3.96,-       
0.3,1.49,1.4,3.4,4.09,-       
0.35,1.49,1.4,3.4,4.09,-       
0.4,1.49,1.4,3.4,4.09,-       
0.45,1.49,1.4,3.4,4.09,-       
0.5,1.49,1.4,3.4,4.09,-       
0.55,1.49,1.4,3.4,4.09,-       
0.6,1.49,1.4,3.4,4.09,-       
0.65,1.49,1.4,3.4,4.09,-       
0.7,1.49,1.4,3.4,4.09,-       
0.75,1.49,1.4,3.4,4.09,-       
0.8,1.49,1.4,3.4,4.09,-       
0.85,0.62,0.82,-0.35,,gaze started: p_3_4
0.9,0.62,0.82,-0.35,,gaze started: p_3_4
0.95,0.62,0.82,-0.35,,gaze started: p_3_4
1.0,-0.82,1.26,3.4,4.26,-       
1.05,-0.47,1.16,3.4,4.2,gaze started: p_4_1
1.1,-0.24,1.0,3.4,4.3,gaze started: p_4_2
1.15,-0.29,1.02,3.4,4.29,-       
1.2,-0.28,1.02,3.4,4.29,-       
1.25,-0.28,1.02,3.4,4.29,-       
1.3,-0.34,1.04,3.4,4.35,-       
1.35,-0.17,1.08,3.4,4.34,-       
1.4,-0.33,0.53,2.93,4.44,gaze fixated: p_4_2
1.45,-0.2,0.28,2.94,4.19,gaze ended: p_4_2
1.5,-0.23,0.32,2.94,4.24,-       
1.55,-0.22,0.28,2.94,4.25,-       
1.6,-0.33,0.38,2.94,4.42,-       
1.65,0.2,0.49,1.41,4.17,-       
1.7,0.33,0.45,1.03,4.04,-       
1.75,0.62,0.82,-0.35,,-       
1.8,0.62,0.82,-0.35,,-       
1.85,0.62,0.82,-0.35,,-       
1.9,0.62,0.82,-0.35,,-       
1.95,0.62,0.82,-0.35,,-       
2.0,0.23,0.45,0.88,3.91,-       
2.05,0.26,0.46,0.94,4.03,-       
2.1,0.27,0.46,0.91,4.12,-       
2.15,0.25,0.46,0.92,4.12,-       
2.2,0.27,0.46,0.91,4.17,-       
2.25,0.27,0.46,0.91,4.17,-       
2.3,0.27,0.45,0.99,4.15,-       
2.35,0.27,0.45,1.02,4.11,-       
2.4,0.26,0.45,1.04,3.89,-       
2.45,0.26,0.45,1.05,3.67,-       
2.5,0.27,0.45,1.1,3.54,-       
2.55,0.26,0.45,1.11,3.44,-       
2.6,0.24,0.5,2.93,3.39,-       
