time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.1,1.87,3.4,3.45,-       
0.05,0.09,1.87,3.4,3.46,-       
0.1,0.08,1.87,3.4,3.49,-       
0.15,0.09,1.87,3.4,3.48,-       
0.2,0.1,1.87,3.4,3.47,-       
0.25,0.1,1.87,3.4,3.47,-       
0.3,0.1,1.87,3.4,3.47,-       
0.35,0.1,1.87,3.4,3.47,-       
0.4,0.1,1.87,3.4,3.47,-       
0.45,0.1,1.87,3.4,3.47,-       
0.5,0.1,1.87,3.4,3.47,-       
0.55,0.1,1.87,3.4,3.47,-       
0.6,0.1,1.87,3.4,3.47,-       
0.65,0.1,1.87,3.4,3.47,-       
0.7,0.1,1.85,3.4,3.41,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_milk_30s_50nd.mp4
0.75,0.1,1.84,3.4,3.42,-       
0.8,0.1,1.85,3.4,3.41,-       
0.85,0.1,1.85,3.4,3.42,-       
0.9,0.1,1.85,3.4,3.43,-       
0.95,0.1,1.85,3.4,3.45,-       
1.0,0.1,1.85,3.4,3.46,-       
1.05,0.21,1.79,3.4,3.41,-       
1.1,0.32,1.7,3.4,3.5,gaze started: p_3_3
1.15,0.61,0.84,-0.41,,-       
1.2,0.61,0.84,-0.41,,-       
1.25,0.31,1.18,3.4,3.49,-       
1.3,0.42,0.89,3.4,3.47,gaze started: p_4_3
1.35,0.21,0.67,3.57,3.57,-       
1.4,0.15,0.68,3.57,3.59,-       
1.45,0.22,0.66,3.57,3.6,-       
1.5,0.21,0.66,3.57,3.62,-       
1.55,0.2,0.67,3.57,3.64,-       
1.6,0.22,0.66,3.57,3.68,-       
1.65,0.18,0.67,3.57,3.71,-       
1.7,0.18,0.67,3.57,3.73,-       
1.75,0.19,0.67,3.57,3.74,-       
1.8,0.19,0.67,3.57,3.75,-       
1.85,-0.1,0.53,3.42,3.77,-       
1.9,-0.13,0.42,2.94,3.81,-       
1.95,-0.1,0.45,2.94,3.79,-       
2.0,-0.14,0.45,2.94,3.78,-       
