time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.8,0.32,2.94,3.71,-       
0.05,0.72,0.24,2.94,3.66,-       
0.1,0.42,0.27,2.94,3.73,-       
0.15,0.43,0.25,2.94,3.7,-       
0.2,0.42,0.25,2.94,3.69,-       
0.25,0.41,0.3,2.94,3.72,-       
0.3,0.41,0.3,2.94,3.72,-       
0.35,0.41,0.3,2.94,3.72,-       
0.4,0.41,0.3,2.94,3.72,-       
0.45,0.41,0.3,2.94,3.72,-       
0.5,0.41,0.3,2.94,3.72,-       
0.55,0.41,0.3,2.94,3.72,-       
0.6,0.41,0.3,2.94,3.72,-       
0.65,0.41,0.3,2.94,3.72,-       
0.7,0.41,0.3,2.94,3.72,-       
0.75,1.58,2.15,3.4,3.69,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_milk_30s_50wd.mp4
0.8,0.95,0.84,-0.74,,gaze started: p_2_4
0.85,2.77,1.79,3.11,3.5,-       
0.9,2.77,1.79,3.09,3.51,-       
0.95,2.77,1.82,3.1,3.51,-       
1.0,2.77,1.84,3.05,3.81,-       
1.05,1.7,1.76,3.4,3.85,-       
1.1,0.42,1.51,3.4,3.65,gaze started: p_3_4
1.15,0.37,1.58,3.4,3.68,gaze started: p_3_3
1.2,0.46,1.69,3.4,3.69,-       
1.25,0.44,1.62,3.4,3.67,-       
1.3,0.49,1.69,3.4,3.69,-       
1.35,0.48,1.7,3.4,3.73,-       
1.4,0.42,1.65,3.4,3.75,gaze fixated: p_3_3
1.45,0.42,1.64,3.4,3.76,-       
1.5,0.14,1.23,3.4,3.75,-       
1.55,0.08,0.65,3.57,3.73,gaze started: p_4_3
1.6,0.16,0.64,3.57,3.7,-       
1.65,0.13,0.65,3.57,3.73,-       
1.7,0.15,0.64,3.57,3.75,-       
1.75,0.16,0.62,3.57,3.76,-       
1.8,1.09,0.92,3.4,3.92,-       
1.85,0.95,0.84,-0.73,,gaze started: p_4_4
1.9,0.95,0.84,-0.73,,-       
1.95,0.95,0.84,-0.73,,-       
2.0,0.95,0.84,-0.72,,-       
2.05,0.95,0.84,-0.72,,-       
2.1,0.94,0.84,-0.72,,-       
2.15,0.94,0.84,-0.72,,-       
2.2,0.94,0.84,-0.72,,-       
2.25,1.4,1.88,3.4,3.81,-       
2.3,0.42,1.65,3.4,3.44,gaze started: p_2_4
2.35,0.51,1.67,3.4,3.25,gaze started: p_3_3
2.4,0.48,1.72,3.4,3.1,-       
2.45,0.46,1.71,3.4,3.05,-       
2.5,0.48,1.65,3.4,2.9,-       
2.55,0.44,1.63,3.4,2.83,-       
2.6,0.54,1.75,3.4,2.67,gaze fixated: p_3_3
2.65,0.44,1.59,3.4,2.63,-       
2.7,-0.08,1.1,3.4,2.51,-       
