time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.28,2.08,3.4,2.91,gaze started: p_2_2
0.05,-0.28,2.08,3.4,2.91,gaze started: p_2_2
0.1,-0.24,2.07,3.4,2.92,-       
0.15,-0.23,2.06,3.4,2.96,-       
0.2,-0.17,2.02,3.4,2.97,-       
0.25,-0.61,1.97,3.4,3.05,gaze fixated: p_2_2
0.3,-0.61,1.97,3.4,3.05,gaze fixated: p_2_2
0.35,-0.79,1.81,3.46,3.04,-       
0.4,-0.88,1.78,3.4,3.05,gaze ended: p_2_2
0.45,-0.89,1.77,3.4,3.04,gaze started: p_3_1
0.5,-0.9,1.76,3.4,3.04,-       
0.55,-0.9,1.76,3.4,3.05,-       
0.6,-0.9,1.76,3.4,3.05,-       
0.65,-1.38,1.27,3.4,3.02,-       
0.7,-1.47,1.3,3.4,3.0,gaze started: p_4_1
0.75,-1.43,1.3,3.4,3.03,-       
0.8,-1.39,1.3,3.4,3.02,-       
0.85,-1.39,1.3,3.4,3.02,-       
0.9,-1.35,1.28,3.4,3.0,-       
0.95,-0.19,1.58,3.4,2.94,gaze fixated: p_4_1
1.0,-0.19,1.58,3.4,2.94,gaze fixated: p_4_1
1.05,-0.2,1.58,3.4,2.79,gaze started: p_3_2
1.1,-0.18,1.57,3.4,2.67,-       
1.15,-0.18,1.58,3.4,2.58,-       
1.2,-0.18,1.58,3.4,2.58,-       
1.25,-0.18,1.56,3.4,2.46,-       
1.3,-0.2,1.54,3.4,2.36,gaze fixated: p_3_2
1.35,-0.18,1.53,3.4,2.31,-       
1.4,-0.05,1.92,3.4,2.27,-       
1.45,-0.08,1.9,3.4,2.19,gaze started: p_2_2
1.5,-0.08,1.9,3.4,2.19,gaze started: p_2_2
1.55,-0.06,1.88,3.4,2.16,-       
1.6,-0.06,1.88,3.4,2.11,-       
1.65,-0.06,1.87,3.4,2.08,-       
1.7,-0.06,1.87,3.4,2.08,-       
1.75,-0.06,1.85,3.4,2.04,gaze fixated: p_2_2
1.8,-0.06,1.85,3.4,2.02,-       
1.85,-0.07,1.87,3.4,2.02,-       
1.9,-0.07,1.87,3.4,2.02,-       
1.95,-0.07,1.86,3.4,2.01,-       
2.0,-0.07,1.85,3.4,2.03,-       
2.05,-0.07,1.85,3.4,2.03,-       
2.1,-0.06,1.77,3.4,2.07,-       
2.15,-0.01,1.57,3.4,2.08,gaze started: p_3_2
2.2,-0.03,1.59,3.4,2.09,-       
2.25,-0.03,1.61,3.4,2.1,-       
2.3,-0.03,1.61,3.4,2.1,-       
2.35,-0.03,1.61,3.4,2.12,-       
2.4,-0.03,1.61,3.4,2.13,gaze fixated: p_3_2
2.45,-0.04,1.61,3.4,2.14,-       
2.5,0.02,1.6,3.4,2.18,-       
2.55,0.02,1.6,3.4,2.18,-       
2.6,0.23,1.69,3.4,2.19,-       
2.65,0.47,1.93,3.4,2.19,gaze started: p_3_3
2.7,0.46,1.86,3.4,2.17,gaze started: p_2_3
2.75,0.46,1.86,3.4,2.17,gaze started: p_2_3
2.8,0.45,1.88,3.4,2.17,-       
2.85,-0.07,2.13,3.4,2.14,-       
2.9,0.02,2.11,3.4,2.17,gaze started: p_2_2
2.95,0.02,2.11,3.4,2.17,gaze started: p_2_2
3.0,0.03,2.12,3.4,2.18,-       
3.05,-0.24,2.11,3.4,2.16,-       
3.1,-0.2,2.15,3.4,2.18,-       
3.15,-0.2,2.15,3.4,2.18,-       
3.2,-0.19,2.17,3.4,2.23,gaze fixated: p_2_2
3.25,-0.15,2.16,3.4,2.24,-       
3.3,-0.15,2.15,3.4,2.27,-       
3.35,-0.17,2.13,3.4,2.29,-       
3.4,-0.17,2.13,3.4,2.29,-       
3.45,-0.18,2.13,3.4,2.29,-       
3.5,-0.1,2.14,3.4,2.34,-       
3.55,-0.19,2.16,3.4,2.35,-       
3.6,-0.08,2.16,3.4,2.35,-       
3.65,-0.08,2.17,3.4,2.36,-       
3.7,-0.08,2.17,3.4,2.36,-       
3.75,-0.23,2.17,3.4,2.38,-       
3.8,-0.22,2.14,3.4,2.4,-       
3.85,-0.22,2.14,3.4,2.4,-       
3.9,-0.05,2.1,3.4,2.37,-       
3.95,0.26,1.84,3.4,2.34,-       
4.0,0.12,1.77,3.4,2.34,gaze started: p_2_3
4.05,0.12,1.77,3.4,2.31,gaze started: p_3_2
4.1,0.12,1.77,3.4,2.31,gaze started: p_3_2
4.15,0.13,1.78,3.4,2.26,-       
4.2,0.11,1.78,3.4,2.22,-       
4.25,0.12,1.78,3.4,2.2,-       
4.3,0.12,1.79,3.4,2.19,gaze fixated: p_3_2
4.35,0.12,1.79,3.4,2.19,gaze fixated: p_3_2
4.4,0.12,1.8,3.46,2.18,-       
4.45,0.12,1.8,3.46,2.21,gaze ended: p_3_2
4.5,0.13,1.77,3.4,2.22,-       
4.55,0.15,1.79,3.4,2.2,gaze started: p_3_2
4.6,0.15,1.79,3.4,2.2,gaze started: p_3_2
4.65,0.16,1.79,3.4,2.21,gaze started: p_3_3
4.7,0.19,1.76,3.4,2.23,-       
4.75,0.13,1.75,3.4,2.22,-       
4.8,0.13,1.75,3.4,2.22,-       
4.85,0.13,1.76,3.46,2.22,gaze started: p_3_2
4.9,0.13,1.76,3.4,2.22,-       
4.95,0.12,1.76,3.4,2.21,gaze started: p_3_2
5.0,0.12,1.76,3.4,2.21,gaze started: p_3_2
5.05,0.12,1.76,3.4,2.19,-       
5.1,0.12,1.76,3.4,2.19,-       
5.15,0.12,1.76,3.4,2.19,-       
5.2,0.13,1.75,3.4,2.2,-       
5.25,0.13,1.75,3.4,2.2,gaze fixated: p_3_2
5.3,0.14,1.74,3.46,2.22,-       
5.35,0.14,1.74,3.46,2.22,-       
5.4,0.14,1.73,3.46,2.22,gaze ended: p_3_2
5.45,0.15,1.73,3.4,2.22,-       
5.5,0.14,1.74,3.4,2.23,gaze started: p_3_3
5.55,0.14,1.74,3.4,2.23,gaze started: p_3_3
5.6,0.15,1.74,3.4,2.22,-       
5.65,0.16,1.72,3.4,2.23,-       
5.7,0.15,1.72,3.4,2.21,-       
5.75,0.16,1.72,3.4,2.21,-       
5.8,0.16,1.72,3.4,2.21,-       
5.85,0.15,1.72,3.4,2.21,gaze fixated: p_3_3
5.9,0.15,1.73,3.4,2.21,-       
5.95,0.15,1.73,3.4,2.21,-       
6.0,0.15,1.74,3.4,2.21,-       
6.05,0.15,1.73,3.4,2.18,-       
6.1,0.15,1.72,3.4,2.18,-       
6.15,0.17,1.72,3.4,2.18,-       
6.2,0.17,1.72,3.4,2.18,-       
6.25,0.15,1.72,3.4,2.17,-       
6.3,0.14,1.73,3.46,2.17,-       
6.35,0.14,1.74,3.46,2.17,gaze ended: p_3_3
6.4,0.14,1.72,3.46,2.16,-       
6.45,0.14,1.72,3.46,2.16,-       
6.5,0.16,1.67,3.4,2.1,-       
6.55,0.63,0.83,-0.37,,gaze started: p_3_3
6.6,0.63,0.83,-0.37,,-       
