time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.62,2.33,3.4,2.61,-       
0.05,-0.64,2.39,3.4,2.61,-       
0.1,-0.62,2.34,3.4,2.62,-       
0.15,-0.5,2.36,3.4,2.65,-       
0.2,-0.5,2.36,3.4,2.65,-       
0.25,-0.46,2.29,3.4,2.65,-       
0.3,-0.49,2.3,3.4,2.66,-       
0.35,-0.48,2.28,3.46,2.66,-       
0.4,-0.45,2.25,3.4,2.66,gaze ended: p_1_2
0.45,-0.83,2.31,3.4,2.6,gaze started: p_2_2
0.5,-0.88,2.3,3.4,2.58,gaze started: p_1_1
0.55,-0.85,2.2,3.4,2.55,-       
0.6,-0.91,2.28,3.4,2.61,gaze started: p_2_1
0.65,-0.86,2.28,3.4,2.55,gaze started: p_1_1
0.7,-0.86,2.24,3.4,2.53,-       
0.75,-0.86,2.24,3.4,2.53,-       
0.8,-0.86,2.24,3.4,2.53,-       
0.85,-0.86,2.24,3.4,2.53,-       
0.9,-0.86,2.24,3.4,2.53,-       
0.95,-0.86,2.24,3.4,2.53,-       
1.0,-0.86,2.24,3.4,2.53,-       
1.05,-0.86,2.24,3.4,2.53,-       
1.1,-0.86,2.24,3.4,2.53,-       
1.15,-0.86,2.24,3.4,2.53,-       
1.2,0.88,0.85,-0.54,,gaze started: p_2_1
1.25,0.87,0.86,-0.54,,-       
1.3,0.87,0.86,-0.54,,-       
1.35,0.86,0.86,-0.54,,-       
1.4,0.86,0.86,-0.54,,-       
1.45,0.87,0.86,-0.54,,-       
1.5,0.87,0.86,-0.54,,-       
1.55,1.1,1.95,3.4,2.29,-       
1.6,1.04,1.95,3.4,2.3,gaze started: p_2_4
1.65,1.05,1.94,3.4,2.29,-       
1.7,0.91,2.0,3.4,2.29,-       
1.75,0.18,1.97,3.4,2.34,gaze started: p_2_3
1.8,0.87,0.85,-0.54,,-       
1.85,0.87,0.85,-0.54,,-       
1.9,0.87,0.85,-0.54,,-       
1.95,0.87,0.85,-0.54,,-       
2.0,0.87,0.86,-0.54,,-       
2.05,0.87,0.86,-0.54,,-       
2.1,0.87,0.86,-0.54,,-       
2.15,0.34,1.86,3.4,2.73,-       
2.2,0.34,1.86,3.4,2.73,-       
2.25,0.4,1.85,3.4,2.79,gaze started: p_2_3
2.3,0.2,1.89,3.4,2.77,-       
2.35,0.26,1.85,3.4,2.68,-       
2.4,0.26,1.89,3.4,2.73,-       
2.45,-0.16,1.81,3.46,2.71,-       
2.5,-0.17,1.82,3.4,2.76,-       
2.55,-0.18,1.82,3.4,2.78,gaze started: p_2_2
2.6,-0.16,1.74,3.4,2.74,-       
2.65,-0.18,1.76,3.4,2.59,gaze started: p_3_2
2.7,-0.1,1.81,3.46,2.23,-       
2.75,0.71,1.6,3.4,2.33,-       
2.8,0.66,1.65,3.4,2.16,gaze started: p_3_3
2.85,0.67,1.63,3.4,2.05,-       
2.9,0.66,1.65,3.4,2.03,-       
2.95,0.66,1.65,3.4,2.03,-       
3.0,0.67,1.61,3.4,1.94,-       
3.05,0.71,1.59,3.4,1.92,-       
3.1,0.65,1.62,3.4,1.88,gaze fixated: p_3_3
3.15,0.67,1.61,3.4,1.88,-       
3.2,0.68,1.63,3.4,1.89,-       
3.25,0.73,1.6,3.4,1.86,-       
3.3,0.66,1.61,3.4,1.86,-       
3.35,0.63,1.62,3.4,1.84,-       
3.4,0.68,1.6,3.4,1.85,-       
3.45,0.66,1.61,3.4,1.89,-       
3.5,0.65,1.62,3.4,1.95,-       
