time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.75,2.29,3.46,5.51,-       
0.05,-0.72,2.24,3.4,5.46,-       
0.1,-0.72,2.24,3.4,5.46,-       
0.15,-0.49,2.32,3.4,5.47,gaze started: p_2_1
0.2,-0.48,2.3,3.4,5.43,gaze started: p_1_2
0.25,-0.5,2.3,3.4,5.47,-       
0.3,-0.51,2.37,3.4,5.39,-       
0.35,-0.53,2.25,3.4,5.37,-       
0.4,-0.46,2.29,3.46,5.38,gaze started: p_2_2
0.45,-0.71,2.2,3.4,5.37,-       
0.5,-0.74,2.2,3.4,5.36,gaze started: p_2_1
0.55,-0.74,2.2,3.4,5.36,gaze started: p_2_1
0.6,-0.77,2.19,3.4,5.32,-       
0.65,-0.75,2.22,3.4,5.38,-       
0.7,-0.73,2.22,3.4,5.33,-       
0.75,-0.56,2.16,3.4,5.3,-       
0.8,-0.56,2.25,3.4,5.31,gaze started: p_2_2
0.85,-0.56,2.25,3.4,5.31,gaze started: p_2_2
0.9,-0.56,2.25,3.4,5.31,gaze started: p_2_2
0.95,-0.56,2.25,3.4,5.31,gaze started: p_2_2
1.0,-0.56,2.25,3.4,5.31,gaze started: p_2_2
1.05,-0.56,2.25,3.4,5.31,gaze started: p_2_2
1.1,-0.56,2.25,3.4,5.31,gaze started: p_2_2
1.15,-0.56,2.25,3.4,5.31,gaze started: p_2_2
1.2,-0.56,2.25,3.4,5.31,gaze started: p_2_2
1.25,-0.56,2.25,3.4,5.31,gaze started: p_2_2
1.3,-0.56,2.25,3.4,5.31,gaze started: p_2_2
1.35,-0.71,2.28,3.4,5.16,gaze fixated: p_2_2
1.4,-0.52,2.19,3.4,5.14,gaze started: p_1_1
1.45,-0.53,2.18,3.4,5.14,gaze started: p_2_2
1.5,-0.54,2.15,3.4,5.12,-       
1.55,-0.46,2.22,3.4,5.21,-       
1.6,-0.46,2.22,3.4,5.21,-       
1.65,-0.51,2.23,3.4,5.16,-       
1.7,-0.58,2.17,3.4,5.1,gaze fixated: p_2_2
1.75,-0.28,2.18,3.4,5.03,-       
1.8,-0.19,2.16,3.4,5.04,-       
1.85,-0.18,2.15,3.4,5.04,-       
1.9,-0.2,2.16,3.4,5.03,-       
1.95,-0.21,2.15,3.4,5.07,-       
2.0,-0.21,2.15,3.4,5.07,-       
2.05,-0.29,2.17,3.4,5.07,-       
2.1,-0.15,2.18,3.4,5.19,-       
2.15,0.5,0.67,-0.27,,-       
2.2,0.5,0.67,-0.27,,gaze ended: p_2_2
2.25,-0.16,2.03,3.4,5.22,-       
2.3,-0.2,1.94,3.4,5.26,gaze started: p_2_2
2.35,-0.34,1.99,3.4,5.26,-       
2.4,-0.2,1.81,3.46,5.28,-       
2.45,-0.2,1.81,3.46,5.28,-       
