time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.58,2.28,3.46,3.83,-       
0.05,-0.61,2.29,3.46,3.83,-       
0.1,-0.61,2.29,3.46,3.83,-       
0.15,1.24,0.86,-0.59,,-       
0.2,1.24,0.86,-0.59,,-       
0.25,1.24,0.86,-0.58,,-       
0.3,1.24,0.86,-0.58,,-       
0.35,-0.69,2.23,3.4,3.89,-       
0.4,-0.63,2.29,3.4,3.92,gaze started: p_2_2
0.45,-0.59,2.31,3.4,3.95,gaze started: p_1_2
0.5,-0.71,2.32,3.46,3.96,-       
0.55,-0.87,2.32,3.4,4.02,-       
0.6,-0.87,2.32,3.4,4.02,-       
0.65,-0.87,2.32,3.4,4.02,-       
0.7,-0.87,2.32,3.4,4.02,-       
0.75,-0.87,2.32,3.4,4.02,-       
0.8,-0.87,2.32,3.4,4.02,-       
0.85,-0.87,2.32,3.4,4.02,-       
0.9,-0.87,2.32,3.4,4.02,-       
0.95,-0.87,2.32,3.4,4.02,-       
1.0,-0.87,2.32,3.4,4.02,-       
1.05,-0.61,2.3,3.4,4.02,gaze started: p_1_1
1.1,-0.61,2.3,3.4,4.02,gaze started: p_1_2
1.15,-0.61,2.3,3.4,4.02,-       
1.2,-0.61,2.3,3.4,4.03,-       
1.25,-0.61,2.29,3.4,4.04,-       
1.3,-0.61,2.29,3.4,4.05,-       
1.35,1.25,0.86,-0.59,,-       
1.4,1.25,0.86,-0.59,,-       
1.45,1.24,0.86,-0.59,,-       
1.5,1.25,0.86,-0.59,,-       
1.55,1.24,0.86,-0.58,,-       
1.6,1.24,0.86,-0.58,,-       
1.65,-0.29,1.92,3.4,3.98,-       
1.7,1.24,0.86,-0.58,,gaze started: p_2_2
1.75,1.24,0.86,-0.58,,-       
1.8,1.24,0.86,-0.58,,-       
1.85,1.24,0.86,-0.58,,-       
1.9,1.24,0.86,-0.58,,-       
1.95,1.24,0.86,-0.59,,-       
2.0,1.25,0.86,-0.59,,-       
2.05,1.25,0.86,-0.59,,-       
2.1,1.25,0.86,-0.58,,-       
2.15,1.25,0.86,-0.58,,-       
2.2,1.25,0.86,-0.58,,-       
2.25,-1.02,0.53,3.45,3.84,-       
2.3,-1.02,0.53,3.41,3.84,-       
2.35,-1.03,0.53,3.4,3.82,-       
2.4,-1.05,0.53,3.3,3.8,-       
2.45,-1.08,0.53,3.5,3.77,-       
2.5,-0.29,1.06,3.4,3.61,-       
2.55,0.48,1.45,3.4,3.67,gaze started: p_4_2
2.6,0.48,1.32,3.46,3.34,gaze started: p_3_3
2.65,0.47,1.38,3.4,3.16,-       
2.7,0.47,1.4,3.4,3.1,gaze started: p_3_3
2.75,0.49,1.38,3.4,3.0,-       
2.8,0.49,1.38,3.4,2.79,-       
2.85,0.48,1.37,3.4,2.57,-       
2.9,0.37,1.46,3.4,2.42,-       
