time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.61,0.36,0.07,,-       
0.05,0.61,0.36,0.07,,-       
0.1,0.61,0.36,0.07,,-       
0.15,0.61,0.36,0.07,,-       
0.2,0.61,0.36,0.07,,-       
0.25,0.61,0.36,0.07,,-       
0.3,0.61,0.36,0.07,,-       
0.35,0.61,0.36,0.07,,-       
0.4,0.61,0.36,0.07,,-       
0.45,0.61,0.36,0.07,,-       
0.5,0.61,0.36,0.07,,-       
0.55,-0.61,2.0,3.4,5.16,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_progressive_30s_50wd.mp4
0.6,-0.61,2.0,3.4,5.16,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_progressive_30s_50wd.mp4
0.65,-0.97,2.28,3.4,5.18,gaze started: p_2_2
0.7,-1.04,2.13,3.4,5.12,gaze started: p_1_1
0.75,-1.02,2.13,3.4,5.11,gaze started: p_2_1
0.8,-0.97,2.17,3.4,5.1,-       
0.85,-0.98,2.16,3.4,5.09,-       
0.9,-0.98,2.16,3.4,5.09,-       
0.95,-0.55,1.81,3.46,5.04,-       
1.0,-0.39,1.89,3.4,5.05,-       
1.05,-0.44,1.85,3.4,5.05,gaze started: p_2_2
1.1,-0.44,1.85,3.4,5.07,-       
1.15,-0.41,1.86,3.4,5.09,-       
1.2,-0.74,1.6,3.4,5.16,-       
1.25,-1.16,1.25,3.4,5.21,gaze started: p_3_1
1.3,-1.13,1.28,3.4,5.18,gaze started: p_4_1
1.35,-1.12,1.29,3.4,5.18,-       
1.4,-1.11,1.3,3.4,5.17,-       
1.45,-1.11,1.3,3.4,5.17,-       
1.5,-0.17,1.29,3.4,5.15,-       
1.55,0.19,1.29,3.4,5.16,gaze started: p_4_2
1.6,0.19,1.27,3.4,5.15,gaze started: p_4_3
1.65,0.21,1.27,3.4,5.15,-       
1.7,0.23,1.29,3.4,5.14,-       
1.75,-0.89,1.05,3.4,5.18,-       
1.8,-0.89,1.05,3.4,5.18,-       
1.85,-1.12,0.91,3.4,5.17,gaze started: p_4_1
1.9,-1.12,0.92,3.4,5.24,-       
1.95,-1.12,0.94,3.4,5.23,-       
2.0,-0.03,1.48,3.4,5.07,-       
2.05,0.43,1.64,3.4,4.8,gaze started: p_3_2
2.1,0.36,1.64,3.4,4.59,gaze started: p_3_3
2.15,0.36,1.65,3.4,4.32,-       
2.2,0.39,1.66,3.4,4.2,-       
2.25,0.39,1.66,3.4,4.02,-       
2.3,0.43,1.65,3.4,3.95,-       
2.35,0.51,1.63,3.4,3.83,gaze fixated: p_3_3
2.4,-0.09,1.66,3.4,3.83,-       
2.45,-0.15,1.65,3.4,3.73,gaze started: p_3_2
2.5,-0.09,1.7,3.4,3.65,-       
2.55,-0.09,1.7,3.4,3.65,-       
2.6,-0.12,1.71,3.4,3.6,-       
2.65,-0.11,1.69,3.4,3.57,-       
2.7,0.01,1.93,3.4,3.51,-       
2.75,0.1,1.95,3.4,3.48,gaze started: p_2_2
2.8,0.1,1.95,3.4,3.48,gaze started: p_2_2
2.85,0.14,2.0,3.46,3.47,-       
2.9,0.15,1.99,3.4,3.44,-       
2.95,0.09,1.95,3.4,3.41,gaze started: p_2_3
3.0,0.12,1.99,3.4,3.4,gaze started: p_2_2
3.05,0.09,1.96,3.4,3.42,-       
3.1,0.6,0.36,-0.05,,-       
3.15,0.61,0.36,-0.04,,-       
3.2,0.61,0.36,-0.04,,-       
3.25,0.61,0.36,-0.04,,-       
3.3,0.62,0.36,-0.04,,-       
3.35,0.62,0.36,-0.04,,-       
3.4,0.62,0.36,-0.04,,-       
3.45,0.21,1.6,3.4,3.48,-       
3.5,0.18,1.61,3.4,3.61,gaze started: p_3_3
3.55,0.18,1.64,3.4,3.72,-       
3.6,0.21,1.57,3.4,3.67,-       
3.65,0.62,0.36,-0.04,,-       
3.7,0.62,0.36,-0.05,,-       
3.75,0.61,0.36,-0.05,,-       
3.8,0.61,0.36,-0.05,,-       
3.85,0.61,0.36,-0.05,,-       
3.9,0.61,0.36,-0.05,,-       
3.95,0.17,2.06,3.4,3.74,-       
4.0,0.06,2.01,3.4,3.77,gaze started: p_2_3
4.05,0.16,2.07,3.4,3.82,gaze started: p_2_2
4.1,0.17,2.05,3.4,3.86,gaze started: p_2_3
4.15,0.06,2.0,3.4,3.9,-       
4.2,0.14,1.96,3.46,3.81,gaze started: p_2_2
