time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.63,2.42,3.4,5.21,-       
0.05,-0.64,2.42,3.4,5.17,-       
0.1,-0.81,2.42,3.4,5.1,gaze fixated: p_1_2
0.15,-0.8,2.42,3.4,5.14,gaze started: p_1_1
0.2,-0.8,2.41,3.4,5.14,-       
0.25,-0.79,2.41,3.4,5.15,-       
0.3,-0.78,2.41,3.4,5.18,-       
0.35,-0.79,2.42,3.4,5.21,-       
0.4,-0.79,2.42,3.4,5.21,-       
0.45,-0.81,2.43,3.4,5.32,gaze fixated: p_1_1
0.5,-0.81,2.43,3.4,5.32,gaze fixated: p_1_1
0.55,-0.81,2.43,3.4,5.38,-       
0.6,-0.81,2.43,3.4,5.38,-       
0.65,-0.81,2.43,3.4,5.38,-       
0.7,-0.81,2.43,3.4,5.38,-       
0.75,-0.81,2.43,3.4,5.38,-       
0.8,-0.81,2.43,3.4,5.38,-       
0.85,-0.81,2.43,3.4,5.38,-       
0.9,-0.81,2.43,3.4,5.38,-       
0.95,-0.81,2.43,3.4,5.38,-       
1.0,-0.81,2.43,3.4,5.38,-       
1.05,-0.81,2.43,3.4,5.38,-       
1.1,-0.67,2.38,3.4,5.52,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_progressive_30s_50wd.mp4
1.15,-0.43,2.4,3.4,5.54,gaze started: p_1_2
1.2,-0.47,2.36,3.4,5.57,-       
1.25,-0.47,2.36,3.4,5.57,-       
1.3,-0.48,2.36,3.4,5.58,-       
1.35,-0.49,2.36,3.4,5.6,-       
1.4,0.97,0.77,-0.48,,gaze fixated: p_1_2
1.45,0.97,0.77,-0.48,,gaze ended: p_1_2
1.5,0.97,0.77,-0.48,,-       
1.55,0.97,0.77,-0.48,,-       
1.6,0.97,0.76,-0.48,,-       
1.65,0.37,1.99,3.4,5.53,-       
1.7,0.33,1.95,3.4,5.65,gaze started: p_2_3
1.75,0.41,2.07,3.4,5.71,-       
1.8,0.4,2.08,3.4,5.76,-       
1.85,0.39,2.07,3.4,5.77,-       
1.9,0.38,2.09,3.4,5.79,-       
1.95,0.39,2.11,3.4,5.82,gaze fixated: p_2_3
2.0,0.39,2.11,3.4,5.85,-       
2.05,0.39,2.09,3.4,5.87,-       
2.1,0.39,2.1,3.4,5.87,-       
2.15,0.34,2.07,3.4,5.84,-       
2.2,0.34,2.07,3.4,5.82,-       
2.25,0.33,2.06,3.4,5.85,-       
2.3,0.33,2.07,3.4,5.84,-       
2.35,0.39,2.1,3.4,5.84,-       
2.4,0.4,2.09,3.4,5.83,-       
2.45,0.4,2.09,3.4,5.82,-       
2.5,0.39,2.1,3.4,5.83,-       
2.55,0.39,2.1,3.4,5.83,-       
2.6,0.38,2.1,3.4,5.73,-       
2.65,0.54,1.84,3.4,5.19,-       
2.7,0.53,1.86,3.4,5.08,-       
2.75,0.52,1.87,3.4,4.93,-       
2.8,0.51,1.86,3.4,4.86,-       
2.85,0.5,1.86,3.4,4.75,-       
2.9,0.5,1.86,3.4,4.71,-       
2.95,0.49,1.86,3.4,4.62,-       
3.0,0.5,1.86,3.4,4.57,-       
3.05,0.5,1.85,3.4,4.52,-       
3.1,0.5,1.84,3.4,4.48,-       
3.15,0.5,1.84,3.4,4.45,-       
3.2,0.5,1.84,3.4,4.42,-       
3.25,0.5,1.85,3.4,4.42,-       
3.3,0.5,1.85,3.4,4.39,-       
3.35,0.5,1.84,3.4,4.37,-       
3.4,0.5,1.84,3.4,4.37,-       
3.45,0.5,1.84,3.4,4.35,-       
3.5,-0.08,2.0,3.4,4.38,-       
3.55,-0.15,2.1,3.4,4.42,gaze started: p_2_2
3.6,-0.1,2.11,3.4,4.42,-       
3.65,-0.1,2.1,3.4,4.43,-       
3.7,0.97,0.77,-0.49,,-       
3.75,0.97,0.77,-0.49,,-       
3.8,0.97,0.78,-0.49,,-       
3.85,0.96,0.78,-0.49,,-       
3.9,0.96,0.78,-0.49,,-       
3.95,0.97,0.78,-0.49,,-       
4.0,0.12,1.61,3.4,4.56,-       
4.05,0.08,1.66,3.4,4.56,gaze started: p_3_2
4.1,0.09,1.67,3.4,4.58,-       
4.15,0.12,1.59,3.4,4.57,-       
4.2,0.09,1.58,3.4,4.57,-       
4.25,0.1,1.57,3.4,4.64,-       
4.3,0.12,1.57,3.4,4.7,-       
4.35,0.11,1.58,3.4,4.71,gaze fixated: p_3_2
4.4,0.09,1.59,3.4,4.7,-       
4.45,0.11,1.6,3.4,4.7,-       
4.5,0.14,1.62,3.46,4.7,-       
4.55,0.13,1.61,3.4,4.72,gaze ended: p_3_2
4.6,0.12,1.62,3.4,4.74,gaze started: p_3_2
4.65,0.11,1.62,3.4,4.73,-       
4.7,0.14,1.63,3.46,4.75,-       
4.75,0.16,1.63,3.4,4.77,-       
4.8,0.1,1.59,3.4,4.74,gaze started: p_3_3
4.85,0.96,0.79,-0.49,,gaze started: p_3_2
4.9,0.96,0.79,-0.49,,-       
4.95,0.96,0.79,-0.49,,-       
5.0,0.96,0.79,-0.49,,-       
5.05,0.96,0.79,-0.49,,-       
5.1,0.96,0.79,-0.49,,-       
5.15,0.26,1.58,3.4,4.73,-       
5.2,0.16,1.64,3.4,4.85,gaze started: p_3_3
5.25,0.18,1.61,3.4,4.82,-       
5.3,0.16,1.56,3.4,4.81,-       
5.35,0.16,1.52,3.4,4.78,-       
5.4,0.2,1.56,3.4,4.92,-       
5.45,0.16,1.47,3.4,4.78,gaze fixated: p_3_3
5.5,0.19,1.48,3.4,4.78,-       
5.55,0.19,1.49,3.4,4.78,-       
5.6,0.18,1.52,3.4,4.77,-       
5.65,0.5,1.42,3.4,4.59,-       
5.7,0.64,1.34,3.46,4.54,-       
5.75,0.63,1.37,3.4,4.51,gaze ended: p_3_3
5.8,0.62,1.39,3.4,4.48,gaze started: p_3_3
5.85,0.61,1.41,3.4,4.44,-       
5.9,0.46,1.41,3.4,4.26,-       
5.95,0.42,1.41,3.4,4.27,-       
6.0,0.44,1.42,3.4,4.28,-       
6.05,0.43,1.36,3.4,4.1,gaze fixated: p_3_3
6.1,0.95,0.8,-0.49,,-       
6.15,0.95,0.8,-0.49,,gaze ended: p_3_3
6.2,0.95,0.8,-0.49,,-       
6.25,0.95,0.8,-0.49,,-       
6.3,0.95,0.8,-0.5,,-       
6.35,0.95,0.8,-0.5,,-       
6.4,1.26,0.59,3.36,4.26,-       
6.45,1.26,0.59,3.43,4.26,-       
6.5,1.39,0.57,3.57,4.32,-       
6.55,1.31,0.59,3.4,4.35,-       
6.6,1.32,0.58,3.57,4.49,-       
6.65,0.45,0.58,3.57,4.43,-       
6.7,-0.1,0.53,3.34,4.51,-       
6.75,-0.08,0.53,3.32,4.47,-       
6.8,-0.08,0.53,3.32,4.51,-       
6.85,-0.08,0.53,3.32,4.51,-       
6.9,-0.31,0.53,3.17,4.63,-       
6.95,-0.31,0.53,3.17,4.63,-       
7.0,-0.29,0.53,3.18,4.6,-       
7.05,-0.29,0.53,3.17,4.6,-       
7.1,-0.28,0.53,3.18,4.61,-       
7.15,-0.28,0.53,3.16,4.61,-       
7.2,-0.3,0.53,3.17,4.62,-       
7.25,-0.29,0.53,3.15,4.61,-       
7.3,-0.3,0.53,3.14,4.63,-       
7.35,-0.28,0.53,3.08,4.61,-       
7.4,-0.29,0.53,3.07,4.59,-       
7.45,-0.28,0.57,3.57,4.67,-       
7.5,0.94,0.81,-0.5,,-       
7.55,0.94,0.81,-0.5,,-       
7.6,0.93,0.82,-0.5,,-       
7.65,0.93,0.82,-0.5,,-       
7.7,0.93,0.84,-0.52,,-       
7.75,0.92,0.85,-0.53,,-       
7.8,0.23,1.81,3.4,4.88,-       
7.85,0.28,1.71,3.4,4.81,gaze started: p_2_3
7.9,0.21,1.71,3.4,4.76,gaze started: p_3_3
7.95,0.26,1.79,3.4,4.85,-       
8.0,0.23,1.78,3.4,4.89,-       
8.05,0.32,1.58,3.4,4.77,-       
8.1,0.28,1.28,3.4,4.97,-       
8.15,0.26,1.11,3.4,4.92,gaze started: p_4_3
8.2,0.24,1.06,3.4,4.8,-       
8.25,0.22,1.05,3.4,4.66,-       
8.3,0.22,1.05,3.4,4.65,-       
8.35,0.2,1.08,3.4,5.03,-       
8.4,0.19,1.02,3.4,4.85,gaze fixated: p_4_3
8.45,0.17,1.06,3.4,4.74,-       
8.5,0.21,0.99,3.4,4.72,-       
8.55,0.19,0.98,3.4,4.67,-       
8.6,-0.02,1.02,3.4,4.78,-       
