time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.47,2.39,3.4,3.78,-       
0.05,-0.46,2.4,3.4,3.82,gaze started: p_1_2
0.1,-0.49,2.42,3.4,3.79,-       
0.15,-0.48,2.42,3.4,3.78,-       
0.2,-0.49,2.4,3.4,3.76,-       
0.25,-0.51,2.4,3.4,3.77,-       
0.3,-0.49,2.41,3.4,3.77,gaze fixated: p_1_2
0.35,-0.49,2.41,3.4,3.77,gaze fixated: p_1_2
0.4,-0.49,2.41,3.4,3.77,gaze fixated: p_1_2
0.45,-0.49,2.41,3.4,3.77,gaze fixated: p_1_2
0.5,-0.49,2.41,3.4,3.77,gaze fixated: p_1_2
0.55,-0.49,2.41,3.4,3.77,gaze fixated: p_1_2
0.6,-0.49,2.41,3.4,3.77,gaze fixated: p_1_2
0.65,-0.49,2.41,3.4,3.77,gaze fixated: p_1_2
0.7,-0.49,2.41,3.4,3.77,gaze fixated: p_1_2
0.75,-0.49,2.41,3.4,3.77,gaze fixated: p_1_2
0.8,-0.49,2.41,3.4,3.77,gaze fixated: p_1_2
0.85,-0.49,2.42,3.4,3.81,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_publix_30s_100.mp4
0.9,-0.49,2.42,3.4,3.81,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_publix_30s_100.mp4
0.95,-0.49,2.42,3.4,3.81,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_publix_30s_100.mp4
1.0,-0.48,2.43,3.4,3.79,-       
1.05,-0.49,2.42,3.4,3.78,-       
1.1,-0.48,2.43,3.4,3.77,-       
1.15,-0.51,2.56,3.4,3.83,-       
1.2,0.73,0.55,-0.19,,-       
1.25,0.73,0.55,-0.2,,gaze ended: p_1_2
1.3,0.73,0.55,-0.2,,-       
1.35,0.73,0.55,-0.2,,-       
1.4,0.73,0.56,-0.2,,-       
1.45,0.73,0.56,-0.2,,-       
1.5,0.73,0.56,-0.2,,-       
1.55,0.73,0.56,-0.2,,-       
1.6,0.73,0.56,-0.2,,-       
1.65,-0.43,2.25,3.4,3.85,-       
1.7,-0.4,2.14,3.4,3.8,gaze started: p_2_2
1.75,-0.41,2.16,3.4,3.88,-       
1.8,-0.43,2.17,3.4,3.89,-       
1.85,-0.46,2.16,3.4,3.89,-       
1.9,-0.48,2.16,3.4,3.91,-       
1.95,0.73,0.56,-0.2,,gaze fixated: p_2_2
2.0,0.73,0.56,-0.2,,gaze ended: p_2_2
2.05,0.72,0.57,-0.2,,-       
2.1,0.72,0.57,-0.2,,-       
2.15,-0.66,1.16,3.4,3.78,-       
2.2,-0.62,1.13,3.4,3.86,gaze started: p_4_2
2.25,-0.67,0.91,3.4,3.83,-       
2.3,-1.18,0.68,3.57,3.71,-       
2.35,-1.34,0.53,2.96,3.54,-       
2.4,-1.72,1.06,3.57,3.36,-       
2.45,0.68,0.65,-0.23,,-       
2.5,0.68,0.65,-0.23,,-       
2.55,0.68,0.65,-0.23,,-       
2.6,0.68,0.65,-0.23,,-       
2.65,0.68,0.65,-0.23,,-       
2.7,0.68,0.65,-0.23,,-       
2.75,0.68,0.65,-0.23,,-       
2.8,0.16,1.81,3.46,2.81,-       
2.85,0.14,1.82,3.46,2.78,-       
2.9,0.2,1.79,3.4,2.93,-       
2.95,0.13,1.7,3.4,2.82,gaze started: p_3_3
3.0,0.68,0.65,-0.23,,gaze started: p_3_2
3.05,0.68,0.65,-0.23,,-       
3.1,0.68,0.65,-0.23,,-       
3.15,0.68,0.65,-0.23,,-       
3.2,0.68,0.65,-0.23,,-       
3.25,0.68,0.65,-0.23,,-       
3.3,0.68,0.65,-0.23,,-       
3.35,0.68,0.65,-0.23,,-       
3.4,0.67,0.65,-0.23,,-       
3.45,0.67,0.65,-0.23,,-       
3.5,0.67,0.65,-0.23,,-       
3.55,0.68,0.65,-0.23,,-       
3.6,0.67,0.65,-0.23,,-       
3.65,0.67,0.65,-0.23,,-       
3.7,0.67,0.65,-0.23,,-       
3.75,0.67,0.65,-0.23,,-       
3.8,0.67,0.65,-0.23,,-       
3.85,0.67,0.65,-0.23,,-       
3.9,0.67,0.65,-0.23,,-       
3.95,0.71,1.69,3.4,3.59,-       
4.0,0.31,1.35,3.4,3.52,gaze started: p_3_3
4.05,0.22,1.35,3.4,3.55,-       
4.1,0.26,1.35,3.4,3.55,-       
4.15,0.22,1.37,3.4,3.56,-       
4.2,0.67,0.65,-0.23,,-       
4.25,0.67,0.65,-0.23,,-       
4.3,0.67,0.65,-0.23,,-       
4.35,0.67,0.65,-0.23,,-       
4.4,0.68,0.65,-0.23,,-       
4.45,0.15,1.56,3.4,3.35,-       
4.5,0.17,1.5,3.4,3.29,gaze started: p_3_3
4.55,0.18,1.48,3.4,3.3,-       
4.6,0.06,1.51,3.4,3.3,-       
4.65,0.09,1.51,3.4,3.3,gaze started: p_3_2
4.7,0.67,0.65,-0.23,,-       
4.75,0.67,0.65,-0.23,,-       
4.8,0.68,0.65,-0.23,,-       
4.85,0.68,0.65,-0.23,,-       
4.9,0.68,0.65,-0.23,,-       
4.95,0.06,1.64,3.4,2.83,-       
5.0,0.24,1.63,3.4,3.12,gaze started: p_3_2
5.05,0.24,1.63,3.4,3.08,gaze started: p_3_3
5.1,0.15,1.62,3.4,3.09,-       
5.15,0.15,1.62,3.4,3.1,-       
5.2,0.08,1.63,3.4,3.16,-       
5.25,0.09,1.54,3.4,2.99,gaze started: p_3_2
5.3,0.68,0.64,-0.23,,-       
5.35,0.68,0.64,-0.23,,-       
5.4,0.68,0.64,-0.23,,-       
5.45,0.68,0.64,-0.23,,-       
5.5,0.67,0.64,-0.23,,-       
5.55,0.17,1.56,3.4,3.26,-       
5.6,0.2,1.59,3.4,3.3,gaze started: p_3_3
5.65,0.43,1.11,3.4,3.31,-       
5.7,0.45,1.05,3.4,3.38,gaze started: p_4_3
5.75,0.44,1.07,3.4,3.35,-       
5.8,0.41,1.07,3.4,3.36,-       
5.85,0.38,1.08,3.4,3.32,-       
5.9,0.11,0.9,3.4,3.27,-       
5.95,-0.49,0.56,3.57,3.21,gaze started: p_4_2
6.0,-0.48,0.54,3.57,3.13,-       
6.05,-0.47,0.55,3.57,3.12,-       
6.1,-0.48,0.56,3.57,3.09,-       
6.15,-0.48,0.56,3.57,3.06,-       
6.2,-0.48,0.55,3.57,3.04,-       
6.25,-0.48,0.5,2.93,2.7,-       
6.3,-0.48,0.5,2.93,2.7,-       
6.35,0.68,0.64,-0.23,,-       
6.4,0.68,0.64,-0.23,,-       
6.45,0.68,0.64,-0.23,,-       
6.5,0.68,0.64,-0.23,,-       
6.55,-0.14,1.01,3.4,3.06,-       
6.6,-0.07,0.98,3.4,3.16,gaze started: p_4_2
6.65,-0.04,1.0,3.4,3.18,-       
6.7,-0.02,0.97,3.4,3.25,-       
6.75,-0.04,1.01,3.4,3.27,-       
6.8,-0.04,1.01,3.4,3.26,-       
6.85,-0.07,1.03,3.4,3.09,gaze fixated: p_4_2
6.9,0.68,0.65,-0.23,,-       
6.95,0.68,0.65,-0.23,,gaze ended: p_4_2
7.0,0.68,0.65,-0.23,,-       
7.05,0.68,0.65,-0.23,,-       
7.1,0.68,0.65,-0.23,,-       
7.15,0.68,0.65,-0.23,,-       
7.2,0.1,1.38,3.4,3.05,-       
7.25,0.28,1.4,3.4,3.22,gaze started: p_3_2
7.3,0.29,1.41,3.4,3.19,gaze started: p_3_3
7.35,0.25,1.41,3.4,3.22,-       
7.4,0.28,1.41,3.4,3.24,-       
7.45,0.28,1.39,3.4,3.27,-       
7.5,0.22,1.38,3.4,3.27,-       
7.55,0.22,1.4,3.4,3.28,-       
7.6,0.22,1.41,3.4,3.27,gaze fixated: p_3_3
7.65,0.21,1.4,3.4,3.25,-       
7.7,0.25,1.38,3.4,3.19,-       
7.75,0.24,1.38,3.4,3.12,-       
7.8,0.28,1.38,3.4,3.1,-       
7.85,0.27,1.38,3.4,3.04,-       
7.9,0.21,1.39,3.4,3.01,-       
7.95,0.22,1.39,3.4,3.0,-       
8.0,0.29,1.56,3.4,2.98,-       
8.05,0.26,1.82,3.4,3.02,-       
8.1,0.27,1.81,3.4,2.97,gaze started: p_2_3
8.15,0.15,1.84,3.4,2.98,-       
8.2,0.17,1.83,3.4,2.98,-       
8.25,0.24,1.82,3.4,2.94,-       
8.3,0.27,1.82,3.4,2.94,-       
