time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.64,2.37,3.4,5.18,-       
0.05,-0.63,2.37,3.4,5.2,-       
0.1,-0.63,2.37,3.4,5.24,gaze fixated: p_1_2
0.15,-0.63,2.37,3.4,5.25,-       
0.2,-0.62,2.36,3.4,5.27,-       
0.25,-0.62,2.35,3.4,5.28,-       
0.3,-0.63,2.35,3.4,5.29,-       
0.35,-0.62,2.34,3.4,5.32,-       
0.4,-0.66,2.23,3.4,5.36,-       
0.45,-0.66,2.22,3.4,5.33,gaze started: p_2_2
0.5,-0.65,2.22,3.4,5.34,-       
0.55,-0.63,2.21,3.4,5.34,-       
0.6,-0.64,2.22,3.4,5.35,-       
0.65,-0.64,2.22,3.4,5.35,-       
0.7,-0.64,2.22,3.4,5.35,-       
0.75,-0.64,2.22,3.4,5.35,-       
0.8,-0.64,2.22,3.4,5.35,-       
0.85,-0.64,2.22,3.4,5.35,-       
0.9,-0.64,2.22,3.4,5.35,-       
0.95,-0.64,2.22,3.4,5.35,-       
1.0,-0.64,2.22,3.4,5.35,-       
1.05,-0.64,2.22,3.4,5.35,-       
1.1,-0.64,2.22,3.4,5.35,-       
1.15,-0.56,2.38,3.4,5.48,gaze fixated: p_2_2
1.2,-0.57,2.3,3.4,5.37,gaze started: p_1_2
1.25,-0.58,2.3,3.4,5.37,-       
1.3,-0.58,2.29,3.4,5.36,-       
1.35,-0.57,2.28,3.4,5.36,-       
1.4,-0.53,2.12,3.4,5.34,-       
1.45,-0.54,2.1,3.4,5.32,gaze started: p_2_2
1.5,-0.53,2.09,3.4,5.32,-       
1.55,-0.52,2.09,3.4,5.31,-       
1.6,-0.47,2.08,3.4,5.35,-       
1.65,0.57,0.77,-0.3,,-       
1.7,0.57,0.77,-0.3,,-       
1.75,0.57,0.76,-0.3,,-       
1.8,0.57,0.77,-0.3,,-       
1.85,0.57,0.77,-0.3,,-       
1.9,0.57,0.77,-0.3,,-       
1.95,0.57,0.77,-0.3,,-       
2.0,0.57,0.77,-0.3,,-       
2.05,0.57,0.77,-0.3,,-       
2.1,-0.2,1.28,3.4,5.06,-       
2.15,-0.23,1.51,3.4,5.09,gaze started: p_4_2
2.2,-0.12,1.44,3.4,5.24,gaze started: p_3_2
2.25,-0.14,1.45,3.4,5.22,-       
2.3,-0.14,1.51,3.4,5.26,-       
2.35,-0.14,1.5,3.4,5.24,-       
2.4,-0.12,1.44,3.4,5.2,-       
2.45,0.57,0.77,-0.3,,gaze fixated: p_3_2
2.5,0.57,0.77,-0.3,,gaze ended: p_3_2
2.55,0.57,0.77,-0.3,,-       
2.6,0.57,0.77,-0.3,,-       
2.65,0.57,0.77,-0.3,,-       
2.7,0.57,0.77,-0.3,,-       
2.75,0.25,1.26,3.4,3.78,-       
2.8,0.21,1.22,3.4,3.59,-       
2.85,0.21,1.22,3.4,3.59,-       
2.9,-0.08,1.42,3.4,3.39,-       
2.95,-0.09,1.42,3.4,3.31,gaze started: p_3_2
3.0,-0.05,1.41,3.4,3.23,-       
3.05,0.09,1.52,3.4,3.1,-       
3.1,0.13,1.58,3.4,3.1,-       
3.15,0.13,1.58,3.4,3.06,-       
3.2,0.16,1.57,3.4,3.03,gaze fixated: p_3_2
3.25,0.16,1.57,3.4,3.01,gaze started: p_3_3
3.3,0.18,1.59,3.4,3.0,-       
3.35,0.18,1.6,3.4,2.96,-       
3.4,0.07,1.77,3.4,2.97,-       
3.45,0.01,1.9,3.4,3.02,gaze started: p_3_2
3.5,-0.0,1.91,3.4,3.03,gaze started: p_2_2
3.55,-0.02,1.91,3.4,2.99,-       
3.6,-0.04,2.0,3.4,3.17,-       
3.65,0.57,0.77,-0.3,,-       
3.7,0.57,0.77,-0.31,,-       
3.75,0.57,0.77,-0.31,,-       
3.8,0.57,0.77,-0.3,,-       
3.85,0.57,0.77,-0.3,,-       
3.9,0.56,0.77,-0.31,,-       
3.95,0.56,0.77,-0.31,,-       
4.0,0.56,0.77,-0.31,,-       
4.05,0.31,1.07,3.4,3.27,-       
4.1,0.31,1.14,3.4,3.6,-       
4.15,-0.15,0.71,3.57,3.44,-       
4.2,-0.34,0.53,3.38,3.43,-       
4.25,-0.28,0.53,3.21,3.36,-       
4.3,-0.2,0.53,3.24,3.31,-       
4.35,-0.3,0.61,3.57,3.42,-       
4.4,0.53,0.78,-0.32,,-       
