time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.57,1.98,3.4,4.58,gaze fixated: p_2_2
0.05,-0.53,1.95,3.4,4.54,-       
0.1,-0.53,1.94,3.4,4.56,-       
0.15,-0.57,1.95,3.4,4.55,-       
0.2,-0.56,1.95,3.4,4.55,-       
0.25,-0.55,1.94,3.4,4.57,-       
0.3,-0.78,1.98,3.4,4.65,-       
0.35,-0.68,1.94,3.4,4.67,-       
0.4,-0.67,1.95,3.4,4.67,gaze started: p_2_2
0.45,-0.67,1.95,3.4,4.67,gaze started: p_2_2
0.5,-0.67,1.95,3.4,4.67,gaze started: p_2_2
0.55,-0.67,1.95,3.4,4.67,gaze started: p_2_2
0.6,-0.67,1.95,3.4,4.67,gaze started: p_2_2
0.65,-0.67,1.95,3.4,4.67,gaze started: p_2_2
0.7,-0.67,1.95,3.4,4.67,gaze started: p_2_2
0.75,-0.67,1.95,3.4,4.67,gaze started: p_2_2
0.8,-0.67,1.95,3.4,4.67,gaze started: p_2_2
0.85,-0.67,1.95,3.4,4.67,gaze started: p_2_2
0.9,-0.67,1.95,3.4,4.67,gaze started: p_2_2
0.95,-0.74,1.91,3.4,4.78,gaze fixated: p_2_2
1.0,-0.73,1.93,3.4,4.78,gaze started: p_2_1
1.05,-0.72,1.93,3.4,4.78,-       
1.1,-0.71,1.93,3.4,4.79,-       
1.15,-0.72,1.93,3.4,4.8,-       
1.2,-0.3,2.16,3.4,4.82,-       
1.25,-0.3,2.12,3.4,4.83,gaze started: p_2_2
1.3,-0.27,2.1,3.4,4.86,-       
1.35,-0.28,2.11,3.4,4.86,-       
1.4,-0.14,1.92,3.4,4.84,-       
1.45,0.74,0.49,-0.18,,-       
1.5,0.74,0.49,-0.18,,-       
1.55,0.74,0.49,-0.18,,-       
1.6,-0.13,2.03,3.4,4.79,-       
1.65,-0.11,2.11,3.4,4.88,gaze started: p_2_2
1.7,-0.11,2.13,3.4,4.9,-       
1.75,0.12,2.06,3.4,4.89,-       
1.8,0.15,2.02,3.4,4.87,-       
1.85,0.15,1.97,3.4,4.87,gaze started: p_2_3
1.9,0.16,1.96,3.4,4.88,-       
1.95,0.15,1.94,3.4,4.89,-       
2.0,-0.19,1.88,3.4,4.86,-       
2.05,-0.15,1.85,3.4,4.85,gaze started: p_2_2
2.1,-0.16,1.88,3.4,4.87,-       
2.15,-0.17,1.88,3.4,4.88,-       
2.2,-0.18,1.87,3.4,4.88,-       
2.25,-0.19,1.88,3.4,4.88,-       
2.3,0.19,1.82,3.46,4.71,gaze fixated: p_2_2
2.35,0.43,1.68,3.4,4.54,gaze ended: p_2_2
2.4,0.47,1.65,3.4,4.41,gaze started: p_3_3
2.45,0.48,1.63,3.4,4.29,-       
2.5,0.49,1.62,3.4,4.16,-       
2.55,0.49,1.61,3.4,3.92,-       
2.6,0.48,1.62,3.4,3.77,-       
2.65,0.46,1.62,3.4,3.66,-       
2.7,0.46,1.62,3.4,3.57,gaze fixated: p_3_3
2.75,0.46,1.62,3.4,3.48,-       
2.8,0.29,1.72,3.4,3.41,-       
2.85,0.24,1.77,3.4,3.31,-       
2.9,0.24,1.76,3.4,3.31,-       
2.95,0.24,1.76,3.4,3.31,-       
3.0,0.24,1.76,3.4,3.3,-       
3.05,0.24,1.76,3.4,3.26,-       
3.1,0.24,1.75,3.4,3.25,-       
3.15,0.24,1.75,3.4,3.26,-       
3.2,0.24,1.74,3.4,3.26,-       
3.25,0.24,1.75,3.4,3.24,-       
3.3,0.24,1.74,3.4,3.24,-       
3.35,0.24,1.74,3.4,3.24,-       
3.4,0.41,1.58,3.4,3.25,-       
3.45,0.42,1.58,3.4,3.29,-       
3.5,0.41,1.59,3.4,3.29,-       
3.55,0.41,1.6,3.4,3.3,-       
3.6,0.34,1.5,3.4,3.35,-       
3.65,0.19,1.49,3.4,3.37,-       
3.7,0.18,1.48,3.4,3.38,-       
3.75,0.17,1.49,3.4,3.4,-       
3.8,0.13,1.52,3.4,3.41,-       
3.85,0.15,1.49,3.4,3.45,gaze started: p_3_2
3.9,0.16,1.45,3.4,3.46,gaze started: p_3_3
3.95,0.04,1.4,3.4,3.46,-       
4.0,0.06,1.38,3.4,3.51,gaze started: p_3_2
4.05,0.06,1.37,3.4,3.5,-       
4.1,0.01,1.41,3.4,3.51,-       
4.15,0.01,1.41,3.4,3.51,-       
4.2,0.01,1.41,3.4,3.51,-       
4.25,0.02,1.4,3.4,3.5,-       
4.3,0.13,1.35,3.46,3.46,gaze fixated: p_3_2
4.35,0.15,1.34,3.46,3.46,gaze ended: p_3_2
4.4,0.1,1.37,3.4,3.45,-       
4.45,0.11,1.36,3.4,3.46,-       
4.5,0.11,1.36,3.4,3.46,-       
4.55,0.1,1.36,3.4,3.48,-       
4.6,0.09,1.36,3.4,3.47,-       
4.65,0.05,1.36,3.4,3.46,-       
4.7,0.07,1.35,3.4,3.5,gaze fixated: p_3_2
4.75,0.06,1.35,3.4,3.5,-       
4.8,0.05,1.35,3.4,3.5,-       
4.85,0.05,1.35,3.4,3.51,-       
4.9,0.06,1.72,3.4,3.59,-       
4.95,0.11,1.67,3.4,3.52,-       
5.0,0.1,1.68,3.4,3.6,-       
5.05,0.18,1.64,3.4,3.59,gaze started: p_3_3
5.1,0.13,1.67,3.4,3.58,-       
5.15,0.06,1.67,3.4,3.55,gaze started: p_3_2
5.2,0.05,1.68,3.4,3.53,-       
5.25,0.05,1.68,3.4,3.51,-       
5.3,0.05,1.68,3.4,3.5,-       
5.35,0.05,1.67,3.4,3.49,-       
5.4,0.05,1.67,3.4,3.47,-       
5.45,0.06,1.67,3.4,3.44,gaze fixated: p_3_2
5.5,0.05,1.66,3.4,3.41,-       
5.55,0.17,1.61,3.4,3.34,gaze started: p_3_3
5.6,0.14,1.65,3.4,3.33,-       
5.65,0.14,1.65,3.4,3.34,-       
5.7,0.14,1.67,3.46,3.33,-       
5.75,0.16,1.65,3.4,3.34,-       
5.8,0.15,1.66,3.4,3.38,gaze started: p_3_3
5.85,0.15,1.65,3.4,3.4,-       
5.9,0.17,1.66,3.4,3.42,-       
5.95,0.17,1.66,3.4,3.42,-       
6.0,0.18,1.65,3.4,3.45,-       
6.05,0.18,1.64,3.4,3.47,gaze fixated: p_3_3
6.1,0.22,1.64,3.4,3.49,-       
6.15,0.23,1.63,3.4,3.5,-       
6.2,0.23,1.63,3.4,3.53,-       
6.25,0.18,1.6,3.4,3.55,-       
6.3,0.22,1.63,3.4,3.62,-       
6.35,0.22,1.62,3.4,3.63,-       
6.4,0.27,1.62,3.4,3.63,-       
6.45,0.18,1.6,3.4,3.65,-       
6.5,0.17,1.59,3.4,3.65,-       
6.55,0.25,1.59,3.4,3.68,-       
6.6,0.29,1.59,3.4,3.7,-       
6.65,0.29,1.59,3.4,3.71,-       
6.7,0.29,1.58,3.4,3.71,-       
6.75,0.15,1.57,3.4,3.72,-       
6.8,0.13,1.59,3.46,3.77,-       
6.85,0.13,1.59,3.46,3.77,gaze ended: p_3_3
6.9,0.2,1.68,3.4,3.82,-       
6.95,0.16,1.74,3.4,3.81,gaze started: p_3_3
7.0,0.5,1.71,3.4,3.8,-       
7.05,0.19,1.75,3.4,3.79,-       
7.1,0.48,1.74,3.4,3.79,-       
7.15,0.43,1.73,3.4,3.8,-       
7.2,0.44,1.72,3.4,3.79,gaze fixated: p_3_3
7.25,0.21,1.73,3.4,3.78,-       
7.3,0.34,1.73,3.4,3.78,-       
7.35,0.38,1.72,3.4,3.74,-       
7.4,0.4,1.72,3.4,3.71,-       
7.45,0.39,1.72,3.4,3.71,-       
7.5,0.38,1.7,3.4,3.71,-       
7.55,0.38,1.71,3.4,3.7,-       
7.6,0.39,1.71,3.4,3.68,-       
7.65,0.39,1.71,3.4,3.68,-       
7.7,0.37,1.72,3.4,3.69,-       
7.75,0.37,1.73,3.4,3.69,-       
7.8,0.39,1.73,3.4,3.71,-       
7.85,0.39,1.73,3.4,3.72,-       
7.9,0.38,1.74,3.4,3.74,-       
7.95,0.38,1.74,3.4,3.77,-       
8.0,0.38,1.73,3.4,3.78,-       
8.05,0.35,1.72,3.4,3.81,-       
8.1,0.36,1.73,3.4,3.83,-       
8.15,0.37,1.74,3.4,3.86,-       
8.2,0.36,1.74,3.4,3.88,-       
8.25,0.36,1.75,3.4,3.91,-       
8.3,0.35,1.75,3.4,3.93,-       
8.35,0.34,1.75,3.4,3.95,-       
8.4,0.21,1.68,3.4,3.94,-       
8.45,0.71,0.51,-0.19,,-       
8.5,0.71,0.51,-0.19,,gaze ended: p_3_3
8.55,0.71,0.51,-0.19,,-       
8.6,0.71,0.51,-0.19,,-       
8.65,0.71,0.51,-0.19,,-       
8.7,0.21,1.85,3.4,3.66,-       
8.75,0.19,1.82,3.4,3.71,gaze started: p_2_3
8.8,0.19,1.82,3.4,3.59,-       
8.85,0.19,1.87,3.4,3.63,-       
8.9,0.19,1.85,3.4,3.56,-       
8.95,0.18,1.86,3.4,3.53,-       
9.0,0.18,1.84,3.4,3.49,gaze fixated: p_2_3
9.05,0.19,1.86,3.4,3.46,-       
9.1,0.19,1.86,3.4,3.46,-       
9.15,0.21,1.83,3.4,3.34,-       
9.2,0.16,1.81,3.4,3.34,-       
9.25,0.13,1.81,3.4,3.35,-       
9.3,0.13,1.81,3.4,3.35,-       
9.35,0.22,1.76,3.4,3.36,gaze started: p_2_2
9.4,0.23,1.75,3.4,3.34,gaze started: p_3_3
9.45,0.18,1.75,3.4,3.36,-       
9.5,0.14,1.73,3.4,3.41,-       
9.55,0.15,1.73,3.4,3.43,-       
9.6,0.19,1.78,3.4,3.43,-       
9.65,0.21,1.73,3.4,3.51,gaze fixated: p_3_3
9.7,0.21,1.73,3.4,3.51,-       
9.75,0.18,1.77,3.4,3.52,-       
9.8,0.17,1.78,3.4,3.54,-       
9.85,0.16,1.77,3.4,3.59,-       
9.9,0.2,1.7,3.4,3.57,-       
