time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.37,1.58,3.4,3.46,-       
0.05,0.37,1.58,3.4,3.46,-       
0.1,0.38,1.58,3.4,3.48,-       
0.15,0.36,1.58,3.4,3.5,-       
0.2,0.36,1.58,3.4,3.5,-       
0.25,0.36,1.58,3.4,3.5,-       
0.3,0.36,1.58,3.4,3.5,-       
0.35,0.36,1.58,3.4,3.5,-       
0.4,0.36,1.58,3.4,3.5,-       
0.45,0.36,1.58,3.4,3.5,-       
0.5,0.36,1.58,3.4,3.5,-       
0.55,0.36,1.58,3.4,3.5,-       
0.6,0.36,1.58,3.4,3.5,-       
0.65,0.64,1.94,3.4,3.57,gaze fixated: p_3_3
0.7,0.64,1.94,3.4,3.57,gaze fixated: p_3_3
0.75,0.64,1.94,3.4,3.57,gaze fixated: p_3_3
0.8,0.64,1.94,3.4,3.57,gaze fixated: p_3_3
0.85,0.64,1.93,3.4,3.54,gaze started: p_2_3
0.9,0.65,1.92,3.4,3.56,-       
0.95,0.65,1.93,3.4,3.57,-       
1.0,0.65,1.93,3.4,3.57,-       
1.05,0.65,1.92,3.4,3.61,gaze fixated: p_2_3
1.1,0.65,1.92,3.4,3.63,-       
1.15,-0.3,1.22,3.4,3.7,-       
1.2,-0.56,0.99,3.4,3.75,gaze started: p_4_2
1.25,-0.53,1.01,3.4,3.7,-       
1.3,-0.52,1.01,3.4,3.72,-       
1.35,-0.51,1.02,3.4,3.75,-       
1.4,0.19,1.42,3.4,3.92,-       
1.45,0.19,1.42,3.4,3.92,-       
1.5,1.27,2.44,3.4,3.87,gaze started: p_3_3
1.55,1.13,2.44,3.4,3.97,gaze started: p_1_4
1.6,1.14,2.37,3.4,3.95,-       
1.65,1.31,2.49,3.4,4.0,-       
1.7,1.31,2.49,3.4,4.0,-       
1.75,1.46,2.66,3.4,4.08,-       
1.8,1.45,2.65,3.4,4.1,gaze fixated: p_1_4
1.85,1.45,2.64,3.4,4.13,-       
1.9,0.55,0.78,-0.31,,-       
1.95,0.55,0.78,-0.31,,gaze ended: p_1_4
2.0,0.55,0.78,-0.31,,-       
2.05,0.16,1.45,3.4,4.23,-       
2.1,0.16,1.45,3.4,4.23,-       
2.15,0.13,1.45,3.4,4.08,gaze started: p_3_3
2.2,0.33,1.59,3.4,3.88,gaze started: p_3_2
2.25,0.31,1.57,3.4,3.66,gaze started: p_3_3
2.3,0.32,1.55,3.4,3.52,-       
2.35,0.34,1.55,3.4,3.44,-       
2.4,0.32,1.56,3.4,3.26,-       
2.45,0.36,1.55,3.4,3.13,-       
2.5,0.36,1.55,3.4,3.13,-       
2.55,0.35,1.55,3.4,2.98,gaze fixated: p_3_3
2.6,0.33,1.55,3.4,2.81,-       
2.65,0.32,1.55,3.4,2.75,-       
2.7,0.32,1.55,3.4,2.75,-       
2.75,0.34,1.54,3.4,2.68,-       
2.8,0.34,1.54,3.4,2.68,-       
2.85,0.33,1.55,3.4,2.65,-       
2.9,0.34,1.55,3.4,2.66,-       
2.95,0.33,1.55,3.4,2.66,-       
3.0,0.32,1.55,3.4,2.66,-       
3.05,0.33,1.55,3.4,2.67,-       
3.1,0.33,1.54,3.4,2.71,-       
3.15,0.15,1.83,3.4,2.78,-       
3.2,0.15,1.83,3.4,2.78,-       
3.25,0.12,1.98,3.4,2.83,gaze started: p_2_3
3.3,0.06,1.98,3.4,2.84,gaze started: p_2_2
3.35,0.07,1.98,3.4,2.88,-       
3.4,0.07,1.98,3.4,2.97,-       
3.45,0.07,1.98,3.4,3.05,-       
3.5,0.07,1.98,3.4,3.11,-       
3.55,0.08,1.98,3.4,3.18,gaze fixated: p_2_2
3.6,0.08,1.98,3.4,3.18,gaze fixated: p_2_2
3.65,0.08,1.98,3.4,3.24,-       
3.7,0.08,1.98,3.4,3.27,-       
3.75,0.08,1.98,3.4,3.27,-       
3.8,0.54,0.77,-0.31,,-       
3.85,0.54,0.77,-0.31,,gaze ended: p_2_2
3.9,0.54,0.77,-0.31,,gaze ended: p_2_2
3.95,0.55,0.77,-0.31,,-       
4.0,0.34,1.56,3.4,3.28,-       
4.05,0.16,1.58,3.4,3.21,gaze started: p_3_3
4.1,0.28,1.52,3.4,3.2,-       
4.15,0.18,1.58,3.4,3.24,-       
4.2,0.18,1.58,3.4,3.3,-       
4.25,0.18,1.58,3.4,3.3,-       
4.3,0.18,1.57,3.4,3.34,-       
4.35,0.23,1.56,3.4,3.36,gaze fixated: p_3_3
4.4,0.24,1.56,3.4,3.38,-       
4.45,0.22,1.56,3.4,3.39,-       
4.5,0.22,1.56,3.4,3.42,-       
4.55,0.22,1.55,3.4,3.44,-       
4.6,0.22,1.55,3.4,3.44,-       
4.65,0.21,1.56,3.4,3.58,-       
4.7,1.07,1.29,3.4,3.69,-       
4.75,1.03,1.31,3.4,3.68,gaze started: p_4_4
4.8,1.01,1.31,3.4,3.7,-       
4.85,1.02,1.31,3.4,3.75,-       
4.9,1.02,1.31,3.4,3.75,-       
4.95,0.86,1.38,3.4,3.69,-       
5.0,0.55,0.77,-0.31,,gaze started: p_3_3
5.05,0.55,0.77,-0.31,,-       
5.1,0.16,1.78,3.4,3.16,-       
5.15,0.16,1.77,3.4,3.26,gaze started: p_3_3
5.2,0.06,1.75,3.4,3.2,-       
5.25,0.11,1.76,3.4,3.12,gaze started: p_3_2
5.3,0.11,1.76,3.4,3.12,gaze started: p_3_2
5.35,0.15,1.77,3.4,3.13,-       
5.4,0.11,1.76,3.4,3.13,gaze started: p_3_3
5.45,0.1,1.75,3.4,3.16,gaze started: p_3_2
5.5,0.12,1.75,3.4,3.16,-       
5.55,0.12,1.74,3.4,3.15,-       
5.6,0.12,1.74,3.4,3.15,-       
5.65,0.11,1.74,3.4,3.21,-       
5.7,0.11,1.74,3.4,3.21,-       
5.75,0.11,1.73,3.4,3.27,gaze fixated: p_3_2
5.8,0.12,1.73,3.4,3.31,-       
5.85,0.11,1.74,3.4,3.35,-       
5.9,0.11,1.74,3.4,3.4,-       
5.95,0.1,1.73,3.4,3.44,-       
6.0,0.1,1.73,3.4,3.44,-       
6.05,0.1,1.73,3.4,3.47,-       
6.1,0.1,1.73,3.4,3.5,-       
6.15,0.1,1.73,3.4,3.53,-       
6.2,0.1,1.73,3.4,3.56,-       
6.25,0.1,1.73,3.4,3.58,-       
6.3,0.11,1.73,3.4,3.58,-       
6.35,0.1,1.73,3.4,3.58,-       
6.4,0.1,1.73,3.4,3.58,-       
6.45,0.11,1.72,3.4,3.6,-       
6.5,0.1,1.73,3.4,3.62,-       
6.55,0.1,1.73,3.4,3.64,-       
6.6,0.1,1.73,3.4,3.68,-       
6.65,0.1,1.73,3.4,3.7,-       
6.7,0.1,1.73,3.4,3.7,-       
6.75,0.1,1.73,3.4,3.72,-       
6.8,0.1,1.72,3.4,3.73,-       
6.85,0.1,1.72,3.4,3.73,-       
6.9,0.1,1.72,3.4,3.74,-       
6.95,0.1,1.72,3.4,3.73,-       
7.0,0.1,1.72,3.4,3.73,-       
7.05,0.1,1.72,3.4,3.72,-       
7.1,0.1,1.72,3.4,3.72,-       
7.15,0.1,1.72,3.4,3.72,-       
7.2,0.09,1.72,3.4,3.72,-       
7.25,0.1,1.72,3.4,3.71,-       
7.3,0.1,1.71,3.4,3.68,-       
7.35,0.11,1.72,3.4,3.65,-       
7.4,0.1,1.71,3.4,3.58,-       
7.45,0.1,1.72,3.4,3.53,-       
7.5,0.1,1.72,3.4,3.53,-       
7.55,0.11,1.71,3.4,3.46,-       
7.6,0.11,1.71,3.4,3.36,-       
7.65,0.12,1.72,3.4,3.29,-       
7.7,0.12,1.72,3.4,3.29,-       
7.75,0.11,1.72,3.4,3.22,-       
7.8,0.12,1.72,3.4,3.16,-       
7.85,0.13,1.72,3.4,3.13,-       
7.9,0.12,1.71,3.4,3.11,-       
7.95,0.12,1.72,3.4,3.1,-       
8.0,0.12,1.72,3.4,3.1,-       
8.05,0.12,1.72,3.4,3.13,-       
8.1,0.12,1.72,3.4,3.17,-       
8.15,0.12,1.72,3.4,3.2,-       
8.2,0.13,1.71,3.4,3.2,-       
8.25,0.13,1.72,3.4,3.19,-       
8.3,0.12,1.72,3.4,3.15,-       
8.35,0.13,1.72,3.4,3.13,-       
8.4,0.13,1.72,3.4,3.13,-       
8.45,0.13,1.72,3.4,3.09,-       
8.5,0.13,1.71,3.4,3.05,-       
8.55,0.13,1.71,3.4,3.04,-       
8.6,0.13,1.72,3.4,3.07,-       
8.65,0.13,1.72,3.4,3.07,-       
8.7,0.12,1.72,3.4,3.1,-       
8.75,0.12,1.71,3.4,3.13,-       
8.8,0.12,1.72,3.4,3.16,-       
8.85,0.12,1.72,3.4,3.2,-       
8.9,0.12,1.72,3.4,3.24,-       
8.95,0.12,1.71,3.4,3.26,-       
9.0,0.12,1.71,3.4,3.26,-       
9.05,0.12,1.71,3.4,3.27,-       
9.1,0.12,1.71,3.4,3.29,-       
9.15,0.13,1.71,3.4,3.33,-       
9.2,0.12,1.71,3.4,3.34,-       
9.25,0.13,1.71,3.4,3.36,-       
9.3,0.13,1.71,3.4,3.37,-       
9.35,0.13,1.71,3.4,3.35,-       
9.4,0.13,1.71,3.4,3.36,-       
9.45,0.13,1.71,3.4,3.36,-       
9.5,0.13,1.71,3.4,3.37,-       
9.55,0.12,1.71,3.4,3.36,-       
9.6,0.13,1.71,3.4,3.34,-       
9.65,0.13,1.71,3.46,3.36,-       
9.7,0.13,1.71,3.46,3.35,gaze ended: p_3_2
9.75,0.12,1.71,3.4,3.33,-       
9.8,0.12,1.71,3.4,3.33,-       
9.85,0.12,1.71,3.4,3.33,gaze started: p_3_2
9.9,0.12,1.71,3.4,3.34,-       
9.95,0.12,1.7,3.4,3.33,-       
10.0,0.12,1.7,3.4,3.31,-       
10.05,0.12,1.7,3.4,3.3,-       
10.1,0.12,1.7,3.4,3.31,gaze fixated: p_3_2
10.15,0.12,1.7,3.4,3.31,gaze fixated: p_3_2
10.2,0.12,1.7,3.4,3.32,-       
10.25,0.13,1.71,3.4,3.34,-       
10.3,0.14,1.73,3.46,3.38,-       
10.35,0.14,1.73,3.46,3.44,gaze ended: p_3_2
10.4,0.1,1.72,3.4,3.5,-       
10.45,0.09,1.72,3.4,3.57,gaze started: p_3_2
10.5,0.09,1.72,3.4,3.57,gaze started: p_3_2
10.55,0.1,1.73,3.4,3.64,-       
10.6,0.13,1.72,3.4,3.71,-       
10.65,0.13,1.72,3.4,3.71,-       
10.7,0.15,1.71,3.4,3.78,-       
10.75,0.15,1.71,3.4,3.81,gaze started: p_3_3
10.8,0.13,1.73,3.46,3.86,-       
10.85,0.13,1.73,3.46,3.9,-       
10.9,0.14,1.74,3.46,3.94,-       
10.95,0.13,1.73,3.4,3.96,-       
11.0,0.13,1.73,3.4,3.96,-       
11.05,0.13,1.73,3.4,3.99,gaze started: p_3_2
11.1,-0.47,2.19,3.4,4.1,-       
11.15,-0.49,2.16,3.4,4.09,gaze started: p_2_2
11.2,-0.46,2.19,3.4,4.1,-       
11.25,-0.46,2.17,3.4,4.13,-       
11.3,-0.45,2.18,3.4,4.14,-       
11.35,-0.45,2.17,3.4,4.16,-       
11.4,-0.45,2.17,3.4,4.18,gaze fixated: p_2_2
11.45,-0.45,2.17,3.4,4.18,gaze fixated: p_2_2
11.5,-0.45,2.18,3.4,4.2,-       
11.55,-0.46,2.17,3.4,4.22,-       
11.6,-0.46,2.17,3.4,4.24,-       
11.65,-0.46,2.17,3.4,4.26,-       
11.7,-0.46,2.17,3.4,4.26,-       
11.75,-0.46,2.17,3.4,4.28,-       
11.8,-0.46,2.16,3.4,4.3,-       
11.85,-0.45,2.15,3.4,4.32,-       
11.9,-0.45,2.14,3.4,4.35,-       
11.95,-0.46,2.14,3.4,4.38,-       
12.0,-0.46,2.14,3.4,4.39,-       
12.05,-0.45,2.13,3.4,4.4,-       
12.1,-0.45,2.13,3.4,4.41,-       
12.15,-0.45,2.13,3.4,4.41,-       
12.2,-0.44,2.14,3.4,4.44,-       
12.25,-0.44,2.14,3.4,4.46,-       
12.3,-0.44,2.13,3.4,4.45,-       
12.35,-0.43,2.14,3.4,4.46,-       
12.4,-0.42,2.14,3.4,4.46,-       
12.45,-0.42,2.14,3.4,4.47,-       
12.5,-0.42,2.14,3.4,4.47,-       
12.55,-0.41,2.15,3.4,4.5,-       
12.6,-0.4,2.14,3.4,4.51,-       
12.65,-0.4,2.13,3.4,4.54,-       
12.7,-0.4,2.13,3.4,4.54,-       
12.75,-0.41,2.13,3.4,4.55,-       
12.8,-0.41,2.13,3.4,4.57,-       
12.85,-0.41,2.13,3.4,4.58,-       
12.9,-0.14,2.25,3.4,4.63,-       
12.95,-0.21,2.2,3.4,4.63,-       
13.0,-0.21,2.19,3.4,4.62,-       
13.05,-0.2,2.2,3.4,4.62,-       
13.1,-0.2,2.2,3.4,4.62,-       
13.15,-0.19,2.2,3.4,4.62,-       
13.2,-0.21,2.19,3.4,4.64,-       
13.25,-0.17,2.22,3.4,4.64,-       
13.3,-0.15,2.18,3.4,4.64,-       
13.35,-0.18,2.12,3.4,4.63,-       
13.4,-0.22,2.06,3.4,4.64,-       
13.45,-0.22,2.05,3.4,4.63,-       
13.5,-0.16,2.1,3.4,4.72,-       
13.55,-0.16,2.1,3.4,4.72,-       
13.6,0.54,0.77,-0.31,,-       
13.65,0.54,0.77,-0.31,,gaze ended: p_2_2
13.7,-0.36,2.11,3.4,4.76,-       
13.75,-0.38,1.99,3.4,4.7,gaze started: p_2_2
13.8,-0.38,1.99,3.4,4.7,gaze started: p_2_2
13.85,-0.4,1.99,3.4,4.7,-       
13.9,-0.4,2.0,3.4,4.7,-       
13.95,-0.39,2.04,3.4,4.71,-       
14.0,-0.41,2.01,3.4,4.72,-       
14.05,-0.43,1.99,3.4,4.72,gaze fixated: p_2_2
14.1,-0.42,1.99,3.4,4.73,-       
14.15,-0.42,1.99,3.4,4.73,-       
14.2,-0.42,2.0,3.4,4.74,-       
14.25,-0.42,2.0,3.4,4.74,-       
14.3,-0.16,2.29,3.46,4.72,-       
14.35,-0.17,2.23,3.4,4.71,gaze ended: p_2_2
14.4,-0.21,2.18,3.4,4.69,gaze started: p_2_2
14.45,-0.21,2.17,3.4,4.68,-       
14.5,-0.21,2.17,3.4,4.68,-       
14.55,-0.19,2.19,3.4,4.64,-       
14.6,-0.19,2.19,3.4,4.64,-       
14.65,-0.18,2.18,3.4,4.52,-       
14.7,-0.17,2.18,3.4,4.43,gaze fixated: p_2_2
14.75,-0.19,2.17,3.4,4.39,-       
14.8,-0.19,2.16,3.4,4.34,-       
14.85,-0.19,2.15,3.4,4.27,-       
14.9,-0.2,2.15,3.4,4.19,-       
14.95,-0.12,2.19,3.4,4.12,-       
15.0,-0.12,2.19,3.4,4.12,-       
