time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.68,0.58,3.57,4.93,-       
0.05,-0.68,0.58,3.57,4.93,-       
0.1,-0.62,0.59,3.57,5.01,-       
0.15,-0.09,0.39,2.94,4.94,-       
0.2,-0.09,0.39,2.94,4.94,-       
0.25,-0.26,0.41,2.94,4.99,-       
0.3,-0.2,0.36,2.94,5.01,-       
0.35,-0.2,0.36,2.94,5.01,-       
0.4,0.21,0.51,2.93,5.33,-       
0.45,1.11,0.86,-1.04,,-       
0.5,1.15,0.82,-1.08,,-       
0.55,1.15,0.82,-1.08,,-       
0.6,1.11,0.86,-1.04,,-       
0.65,1.11,0.86,-1.04,,-       
0.7,1.11,0.86,-1.04,,-       
0.75,1.16,0.82,-1.08,,-       
0.8,1.15,0.82,-1.08,,-       
0.85,1.15,0.82,-1.08,,-       
0.9,1.15,0.82,-1.08,,-       
0.95,0.77,1.8,3.46,4.19,-       
1.0,0.6,1.66,3.4,3.7,-       
1.05,0.6,1.66,3.4,3.7,-       
1.1,0.71,1.8,3.46,4.04,gaze started: p_3_3
1.15,1.17,0.82,-1.07,,-       
1.2,1.17,0.82,-1.07,,-       
1.25,1.17,0.82,-1.07,,-       
1.3,1.16,0.82,-1.09,,-       
1.35,1.16,0.82,-1.09,,-       
1.4,0.02,2.17,3.4,3.31,-       
1.45,-0.03,2.15,3.4,3.34,gaze started: p_2_2
1.5,-0.03,2.15,3.4,3.34,gaze started: p_2_2
1.55,1.17,0.82,-1.08,,-       
1.6,1.16,0.82,-1.08,,-       
1.65,1.16,0.82,-1.08,,-       
1.7,1.16,0.82,-1.08,,-       
1.75,0.13,2.12,3.46,3.56,-       
1.8,0.13,2.12,3.46,3.56,-       
1.85,1.11,0.87,-1.04,,-       
1.9,1.15,0.82,-1.08,,-       
1.95,1.15,0.82,-1.08,,-       
2.0,1.14,0.82,-1.08,,-       
2.05,1.09,0.86,-1.04,,-       
2.1,1.09,0.86,-1.04,,-       
2.15,1.09,0.87,-1.04,,-       
2.2,1.09,0.86,-1.04,,-       
2.25,1.13,0.82,-1.08,,-       
2.3,1.13,0.82,-1.08,,-       
2.35,1.13,0.82,-1.07,,-       
2.4,1.13,0.82,-1.07,,-       
2.45,1.13,0.82,-1.07,,-       
2.5,1.13,0.82,-1.08,,-       
2.55,1.08,0.87,-1.04,,-       
2.6,-0.36,2.33,3.4,4.42,-       
2.65,-0.36,2.33,3.4,4.42,-       
2.7,1.12,0.82,-1.07,,gaze started: p_1_2
2.75,1.12,0.82,-1.08,,-       
2.8,1.12,0.82,-1.08,,-       
2.85,0.46,1.84,3.4,4.25,-       
2.9,0.4,1.91,3.4,4.32,gaze started: p_2_3
2.95,0.4,1.91,3.4,4.32,gaze started: p_2_3
3.0,1.08,0.86,-1.04,,-       
3.05,1.12,0.82,-1.08,,-       
3.1,1.12,0.82,-1.08,,-       
3.15,0.1,2.38,3.4,4.37,-       
3.2,1.12,0.82,-1.08,,gaze started: p_1_2
3.25,1.12,0.82,-1.08,,gaze started: p_1_2
3.3,1.12,0.82,-1.08,,-       
3.35,0.05,2.42,3.4,4.34,-       
3.4,0.05,2.42,3.4,4.34,-       
3.45,0.49,2.33,3.4,4.14,gaze started: p_1_2
3.5,0.48,2.34,3.4,4.27,gaze started: p_1_3
3.55,0.48,2.34,3.4,4.27,gaze started: p_1_3
3.6,1.11,0.82,-1.08,,-       
3.65,1.11,0.82,-1.08,,-       
3.7,1.11,0.82,-1.08,,-       
3.75,1.12,0.82,-1.08,,-       
3.8,1.08,0.86,-1.04,,-       
3.85,1.08,0.86,-1.04,,-       
3.9,1.12,0.82,-1.08,,-       
3.95,0.38,2.03,3.4,3.78,-       
4.0,0.38,2.03,3.4,3.78,-       
4.05,0.32,2.07,3.4,4.1,gaze started: p_2_3
4.1,0.38,1.95,3.4,4.18,-       
4.15,0.38,1.95,3.4,4.18,-       
4.2,0.36,1.97,3.4,4.24,-       
4.25,1.07,0.87,-1.04,,-       
4.3,1.07,0.87,-1.04,,-       
4.35,1.07,0.87,-1.04,,-       
4.4,1.07,0.87,-1.04,,-       
4.45,1.07,0.87,-1.04,,-       
4.5,0.32,1.9,3.4,3.55,-       
4.55,0.31,1.93,3.4,3.59,gaze started: p_2_3
4.6,0.31,1.93,3.4,3.59,gaze started: p_2_3
4.65,0.27,1.94,3.4,3.75,-       
4.7,0.28,1.95,3.4,3.8,-       
4.75,0.29,1.93,3.4,3.85,-       
4.8,0.29,1.93,3.4,3.85,-       
4.85,0.27,1.94,3.4,3.92,gaze fixated: p_2_3
4.9,0.25,1.94,3.4,3.94,-       
4.95,0.25,1.94,3.4,3.94,-       
5.0,0.27,1.93,3.4,3.89,-       
5.05,0.26,1.92,3.4,4.03,-       
5.1,0.26,1.92,3.4,4.03,-       
5.15,0.27,1.93,3.4,3.98,-       
5.2,0.27,1.93,3.4,4.01,-       
5.25,0.27,1.93,3.4,4.01,-       
5.3,0.25,1.93,3.4,4.05,-       
5.35,0.26,1.93,3.4,4.1,-       
5.4,0.26,1.93,3.4,4.12,-       
5.45,0.26,1.93,3.4,4.12,-       
5.5,0.4,2.03,3.4,4.08,-       
5.55,0.29,2.1,3.4,4.07,-       
5.6,0.29,2.1,3.4,4.07,-       
5.65,0.29,2.11,3.4,4.05,-       
5.7,0.3,2.11,3.4,4.04,-       
5.75,0.3,2.11,3.4,4.04,-       
5.8,0.28,2.13,3.4,4.1,-       
5.85,0.09,2.13,3.4,4.16,-       
5.9,0.09,2.13,3.4,4.16,-       
5.95,0.11,2.16,3.4,4.2,gaze started: p_2_2
6.0,0.13,2.15,3.4,4.17,-       
6.05,0.13,2.15,3.4,4.17,-       
6.1,0.13,2.2,3.46,4.09,-       
6.15,0.13,2.2,3.46,4.03,-       
6.2,0.13,2.2,3.46,4.03,-       
6.25,0.11,2.17,3.4,3.91,-       
6.3,1.08,0.86,-1.04,,gaze started: p_2_2
6.35,1.08,0.86,-1.04,,gaze started: p_2_2
6.4,1.12,0.82,-1.08,,-       
6.45,1.08,0.86,-1.04,,-       
6.5,1.08,0.86,-1.04,,-       
6.55,0.24,2.24,3.4,3.95,-       
6.6,0.17,2.33,3.4,3.98,gaze started: p_2_3
6.65,0.17,2.33,3.4,3.98,gaze started: p_2_3
6.7,0.15,2.35,3.4,4.09,gaze started: p_1_3
6.75,1.07,0.87,-1.04,,-       
6.8,1.07,0.87,-1.04,,-       
6.85,1.07,0.87,-1.04,,-       
6.9,1.07,0.87,-1.04,,-       
6.95,1.07,0.87,-1.04,,-       
7.0,1.07,0.87,-1.04,,-       
7.05,0.18,1.8,3.46,3.81,-       
7.1,0.18,1.8,3.46,3.81,-       
7.15,1.07,0.87,-1.04,,-       
7.2,1.07,0.87,-1.04,,-       
7.25,1.07,0.87,-1.04,,-       
7.3,1.07,0.87,-1.04,,-       
7.35,0.09,2.12,3.4,3.77,-       
7.4,0.09,2.12,3.4,3.77,-       
7.45,0.18,2.02,3.4,3.83,gaze started: p_2_2
7.5,1.07,0.87,-1.04,,gaze started: p_2_3
7.55,1.07,0.87,-1.04,,-       
7.6,1.07,0.87,-1.04,,-       
7.65,1.07,0.87,-1.04,,-       
7.7,1.07,0.87,-1.04,,-       
7.75,1.07,0.87,-1.04,,-       
7.8,0.4,2.01,3.4,3.86,-       
7.85,0.28,2.13,3.4,4.08,gaze started: p_2_3
7.9,0.28,2.13,3.4,4.08,gaze started: p_2_3
7.95,0.19,2.28,3.4,4.15,-       
8.0,0.12,2.28,3.46,4.17,gaze started: p_1_3
8.05,-0.5,2.42,3.4,4.1,-       
8.1,-0.5,2.42,3.4,4.1,-       
8.15,-0.75,2.38,3.4,4.08,gaze started: p_1_2
8.2,-1.26,2.42,3.4,4.01,gaze started: p_1_1
8.25,-1.26,2.42,3.4,4.01,gaze started: p_1_1
8.3,-1.28,2.41,3.4,3.96,-       
8.35,1.07,0.88,-1.04,,-       
