time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.31,1.37,3.4,4.87,gaze started: p_4_3
0.05,0.19,1.33,3.46,4.78,gaze started: p_3_3
0.1,0.11,1.34,3.46,4.89,-       
0.15,0.11,1.39,3.4,4.87,-       
0.2,0.11,1.39,3.4,4.87,-       
0.25,0.11,1.39,3.4,4.87,-       
0.3,0.11,1.39,3.4,4.87,-       
0.35,0.11,1.39,3.4,4.87,-       
0.4,0.11,1.39,3.4,4.87,-       
0.45,0.11,1.39,3.4,4.87,-       
0.5,0.11,1.39,3.4,4.87,-       
0.55,0.11,1.39,3.4,4.87,-       
0.6,0.11,1.39,3.4,4.87,-       
0.65,0.11,1.39,3.4,4.87,-       
0.7,-1.07,0.57,3.57,4.25,gaze started: p_3_2
0.75,-0.5,0.59,3.57,4.12,-       
0.8,0.1,1.14,3.4,3.83,-       
0.85,-0.01,1.2,3.4,3.8,gaze started: p_4_2
0.9,-0.01,1.2,3.4,3.8,gaze started: p_4_2
0.95,0.03,1.15,3.4,3.79,-       
1.0,0.03,1.15,3.4,3.79,-       
1.05,0.15,1.42,3.4,3.7,-       
1.1,0.12,1.54,3.4,3.67,gaze started: p_3_3
1.15,0.13,1.58,3.4,3.76,gaze started: p_3_2
1.2,0.12,1.58,3.4,3.75,-       
1.25,0.15,1.57,3.4,3.79,-       
1.3,0.2,1.57,3.4,3.84,gaze started: p_3_3
1.35,0.2,1.56,3.4,3.91,-       
1.4,0.16,1.51,3.4,4.0,-       
1.45,-0.58,1.22,3.4,4.18,-       
1.5,-0.85,1.13,3.4,4.34,gaze started: p_4_2
1.55,-0.84,1.11,3.4,4.39,gaze started: p_4_1
1.6,-0.84,1.1,3.4,4.42,-       
1.65,-0.83,1.08,3.4,4.49,-       
1.7,-0.83,1.06,3.4,4.53,-       
1.75,-0.83,1.06,3.4,4.53,-       
1.8,-0.82,1.07,3.4,4.57,-       
1.85,-0.42,1.25,3.4,4.62,gaze fixated: p_4_1
1.9,-0.14,1.28,3.4,4.56,gaze started: p_4_2
1.95,-0.14,1.25,3.4,4.59,-       
2.0,-0.3,1.22,3.4,4.59,-       
2.05,-0.29,1.24,3.4,4.63,-       
2.1,0.26,1.61,3.4,4.82,-       
2.15,0.41,1.51,3.4,4.51,gaze started: p_3_3
2.2,0.43,1.52,3.4,4.4,-       
2.25,0.43,1.55,3.4,4.27,-       
2.3,0.43,1.56,3.4,4.07,-       
2.35,0.44,1.58,3.4,3.97,-       
2.4,0.42,1.5,3.4,3.84,gaze fixated: p_3_3
2.45,-0.2,1.61,3.4,3.8,-       
2.5,-0.2,1.61,3.4,3.8,-       
2.55,-0.12,1.6,3.4,3.79,-       
2.6,-0.12,1.6,3.4,3.79,-       
2.65,-0.12,1.61,3.4,3.83,-       
2.7,-0.12,1.61,3.4,3.83,-       
2.75,-0.1,1.62,3.4,3.84,-       
2.8,-0.1,1.62,3.4,3.85,gaze fixated: p_3_2
2.85,-0.08,1.62,3.4,3.85,-       
2.9,-0.13,1.6,3.4,3.86,-       
2.95,-0.2,1.58,3.4,3.88,-       
3.0,-0.2,1.57,3.4,3.89,-       
3.05,-0.15,1.58,3.4,3.88,-       
3.1,-0.13,1.6,3.4,3.88,-       
3.15,-0.15,1.59,3.4,3.89,-       
3.2,-0.14,1.56,3.4,3.9,-       
3.25,-0.14,1.54,3.4,3.94,-       
3.3,-0.13,1.54,3.4,3.98,-       
3.35,-0.14,1.53,3.4,4.01,-       
3.4,-0.14,1.52,3.4,4.03,-       
3.45,-0.15,1.55,3.4,4.1,-       
3.5,-0.15,1.56,3.4,4.12,-       
3.55,-0.16,1.58,3.4,4.14,-       
3.6,-0.16,1.56,3.4,4.15,-       
3.65,-0.15,1.57,3.4,4.16,-       
3.7,-0.16,1.56,3.4,4.19,-       
3.75,-0.16,1.58,3.4,4.19,-       
3.8,-0.17,1.56,3.4,4.21,-       
3.85,-0.16,1.54,3.4,4.19,-       
3.9,-0.16,1.55,3.4,4.18,-       
3.95,-0.16,1.56,3.4,4.2,-       
4.0,0.03,1.61,3.4,4.18,-       
4.05,0.01,1.66,3.4,4.23,-       
4.1,-0.02,1.59,3.4,4.24,-       
4.15,-0.02,1.58,3.4,4.25,-       
4.2,-0.04,1.81,3.4,4.27,-       
4.25,-0.07,1.82,3.46,4.31,gaze started: p_2_2
4.3,-0.12,1.66,3.4,4.31,-       
4.35,-0.12,1.66,3.4,4.31,-       
4.4,-0.08,1.79,3.4,4.33,gaze started: p_3_2
4.45,0.07,1.92,3.4,4.06,-       
4.5,0.07,2.13,3.4,4.02,gaze started: p_2_2
4.55,0.07,2.1,3.4,4.01,-       
4.6,0.08,2.1,3.4,4.05,-       
4.65,0.08,2.05,3.4,3.99,-       
4.7,-0.02,1.94,3.4,3.93,-       
4.75,-0.02,1.94,3.4,3.91,gaze fixated: p_2_2
4.8,0.52,0.78,-0.31,,-       
4.85,0.52,0.78,-0.31,,gaze ended: p_2_2
4.9,0.52,0.78,-0.31,,-       
4.95,0.52,0.78,-0.31,,-       
5.0,0.52,0.78,-0.31,,-       
5.05,-0.03,1.55,3.4,3.94,-       
5.1,0.02,1.5,3.4,3.89,gaze started: p_3_2
5.15,-0.08,1.45,3.4,3.92,-       
5.2,-0.04,1.43,3.4,4.0,-       
5.25,0.05,1.61,3.4,4.0,-       
5.3,0.02,1.56,3.4,4.01,-       
5.35,0.08,1.57,3.4,3.95,gaze fixated: p_3_2
5.4,0.13,1.47,3.4,3.83,-       
5.45,0.32,1.58,3.4,3.83,-       
5.5,0.31,1.55,3.4,3.79,gaze started: p_3_3
5.55,0.24,1.51,3.4,3.74,-       
5.6,0.23,1.52,3.4,3.72,-       
5.65,0.46,1.34,3.46,3.77,-       
5.7,0.36,1.29,3.4,3.83,-       
5.75,0.26,1.18,3.4,3.84,gaze started: p_4_3
5.8,0.26,1.18,3.4,3.84,gaze started: p_4_3
5.85,0.22,1.09,3.4,3.81,-       
5.9,0.19,1.09,3.4,3.82,-       
5.95,0.19,1.09,3.4,3.83,-       
6.0,0.14,1.1,3.4,3.82,-       
6.05,0.17,1.08,3.4,3.81,gaze fixated: p_4_3
6.1,0.2,1.08,3.4,3.82,-       
6.15,0.23,1.1,3.4,3.84,-       
6.2,-0.06,0.9,3.4,3.84,-       
6.25,0.02,0.91,3.4,3.82,gaze started: p_4_2
6.3,0.02,0.92,3.4,3.86,-       
6.35,0.03,0.93,3.4,3.88,-       
6.4,0.03,0.92,3.4,3.89,-       
6.45,0.04,0.91,3.4,3.9,-       
6.5,0.03,0.91,3.4,3.94,gaze fixated: p_4_2
6.55,0.03,0.91,3.4,3.94,gaze fixated: p_4_2
6.6,0.02,0.93,3.4,3.94,-       
6.65,0.02,0.92,3.4,3.94,-       
6.7,0.02,0.92,3.4,3.96,-       
6.75,0.02,0.93,3.4,3.96,-       
6.8,0.03,0.94,3.4,4.02,-       
6.85,0.02,0.93,3.4,4.03,-       
6.9,0.03,0.92,3.4,4.04,-       
6.95,0.01,0.92,3.4,4.08,-       
7.0,0.01,0.91,3.4,4.08,-       
7.05,0.0,0.91,3.4,4.09,-       
7.1,0.03,0.92,3.4,4.08,-       
7.15,0.11,1.02,3.4,4.16,-       
7.2,0.24,1.24,3.4,4.11,-       
7.25,0.24,1.22,3.4,4.13,gaze started: p_4_3
7.3,0.18,1.27,3.4,4.16,-       
7.35,0.14,1.31,3.4,4.17,-       
7.4,0.14,1.3,3.46,4.21,-       
7.45,0.14,1.23,3.4,4.2,-       
7.5,0.15,1.24,3.4,4.22,gaze started: p_4_3
7.55,0.14,1.26,3.46,4.22,-       
7.6,0.14,1.22,3.4,4.22,-       
7.65,0.18,1.2,3.4,4.23,gaze started: p_4_3
7.7,0.14,1.24,3.4,4.24,-       
7.75,0.14,1.25,3.4,4.25,-       
