time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.69,1.92,3.4,4.14,-       
0.05,-0.69,1.92,3.4,4.14,-       
0.1,-0.71,1.92,3.4,4.13,-       
0.15,-0.71,1.91,3.4,4.13,gaze started: p_2_1
0.2,-0.71,1.91,3.4,4.14,-       
0.25,-0.71,1.91,3.4,4.14,-       
0.3,-0.71,1.92,3.4,4.13,-       
0.35,-0.71,1.91,3.4,4.13,-       
0.4,-0.71,1.92,3.46,4.16,gaze fixated: p_2_1
0.45,-0.69,1.9,3.4,4.17,gaze ended: p_2_1
0.5,-0.69,1.9,3.4,4.17,gaze ended: p_2_1
0.55,-0.69,1.9,3.4,4.17,gaze ended: p_2_1
0.6,-0.69,1.9,3.4,4.17,gaze ended: p_2_1
0.65,-0.69,1.9,3.4,4.17,gaze ended: p_2_1
0.7,-0.69,1.9,3.4,4.17,gaze ended: p_2_1
0.75,-0.69,1.9,3.4,4.17,gaze ended: p_2_1
0.8,-0.69,1.9,3.4,4.17,gaze ended: p_2_1
0.85,-0.69,1.9,3.4,4.17,gaze ended: p_2_1
0.9,-0.69,1.9,3.4,4.17,gaze ended: p_2_1
0.95,-0.68,1.97,3.4,4.34,gaze started: p_2_2
1.0,-0.68,1.96,3.4,4.35,-       
1.05,-0.68,1.96,3.4,4.35,-       
1.1,-0.63,1.91,3.4,4.39,-       
1.15,-0.65,1.92,3.4,4.43,-       
1.2,-0.64,1.92,3.4,4.44,gaze fixated: p_2_2
1.25,-0.64,1.91,3.4,4.47,-       
1.3,-0.66,1.91,3.4,4.49,-       
1.35,-0.67,1.92,3.4,4.5,-       
1.4,-0.67,1.92,3.4,4.5,-       
1.45,-0.67,1.91,3.4,4.49,-       
1.5,-0.66,1.91,3.4,4.47,-       
1.55,-0.65,1.92,3.4,4.47,-       
1.6,-0.65,1.92,3.4,4.47,-       
1.65,-0.64,1.92,3.4,4.46,-       
1.7,-0.64,1.92,3.4,4.46,-       
1.75,-0.64,1.91,3.4,4.48,-       
1.8,-0.63,1.91,3.4,4.52,-       
1.85,-1.03,1.62,3.4,4.59,-       
1.9,-1.41,1.05,3.4,4.58,gaze started: p_3_1
1.95,-1.49,0.96,3.4,4.6,gaze started: p_4_1
2.0,-1.47,0.97,3.4,4.61,-       
2.05,-1.54,0.79,3.57,4.64,-       
2.1,-1.54,0.79,3.57,4.64,-       
2.15,-1.55,0.73,3.53,4.66,-       
2.2,-1.55,0.73,3.53,4.71,-       
2.25,-1.49,0.73,3.45,4.72,-       
2.3,-1.43,0.73,3.38,4.73,-       
2.35,-1.43,0.73,3.38,4.7,-       
2.4,-1.45,0.72,3.37,4.59,-       
2.45,-1.45,0.71,3.37,4.28,-       
2.5,-1.45,0.71,3.37,4.28,-       
2.55,-1.43,0.72,3.38,4.03,-       
2.6,-1.43,0.72,3.4,3.79,-       
2.65,-1.43,0.72,3.45,3.69,-       
2.7,-1.4,0.72,3.38,3.58,-       
2.75,-1.39,0.72,3.41,3.49,-       
2.8,-1.45,0.72,3.57,3.41,-       
2.85,-1.45,0.73,3.57,3.4,-       
2.9,-1.45,0.73,3.57,3.4,-       
2.95,-1.45,0.73,3.57,3.37,-       
3.0,-1.44,0.72,3.57,3.35,-       
3.05,-1.45,0.74,3.57,3.36,-       
3.1,-1.44,0.74,3.57,3.34,-       
3.15,-1.44,0.74,3.57,3.33,-       
3.2,-1.42,0.74,3.57,3.33,-       
3.25,-1.41,0.72,3.57,3.35,-       
3.3,-1.45,0.79,3.57,3.4,-       
3.35,-1.46,0.79,3.57,3.38,-       
3.4,-1.47,0.78,3.57,3.38,-       
3.45,-1.13,0.9,3.4,3.39,-       
3.5,-1.13,0.9,3.4,3.39,-       
3.55,0.01,1.49,3.4,3.39,gaze started: p_4_1
3.6,0.0,1.56,3.4,3.44,gaze started: p_3_2
3.65,0.03,1.57,3.4,3.44,-       
3.7,0.08,1.98,3.4,3.59,-       
3.75,0.01,2.04,3.4,3.42,gaze started: p_2_2
3.8,0.0,2.03,3.4,3.4,-       
3.85,0.0,2.03,3.4,3.37,-       
3.9,0.0,2.03,3.4,3.37,-       
3.95,0.0,2.03,3.4,3.33,-       
4.0,-0.04,2.01,3.4,3.23,-       
4.05,0.55,0.8,-0.33,,gaze fixated: p_2_2
4.1,0.55,0.8,-0.33,,gaze ended: p_2_2
4.15,0.55,0.8,-0.33,,-       
4.2,0.55,0.8,-0.33,,-       
4.25,-0.16,0.24,2.94,3.08,-       
4.3,-0.19,0.24,2.94,3.17,-       
4.35,-0.21,0.24,2.94,3.19,-       
4.4,-0.22,0.26,2.94,3.22,-       
4.45,-0.22,0.26,2.94,3.22,-       
4.5,-0.21,0.27,2.94,3.3,-       
4.55,-0.28,0.5,2.93,3.43,-       
4.6,-0.27,0.52,2.93,3.49,-       
4.65,-0.3,0.53,2.93,3.53,-       
4.7,-0.3,0.53,2.93,3.53,-       
4.75,-0.32,0.53,2.96,3.58,-       
4.8,-0.32,0.53,3.0,3.61,-       
4.85,-0.32,0.53,3.02,3.6,-       
4.9,-1.25,0.65,3.37,3.55,-       
4.95,-1.43,0.6,3.37,3.49,-       
5.0,-1.43,0.61,3.37,3.54,-       
5.05,-1.42,0.6,3.37,3.52,-       
5.1,-1.42,0.61,3.38,3.53,-       
5.15,-1.42,0.61,3.38,3.53,-       
5.2,-1.42,0.61,3.38,3.54,-       
5.25,-1.42,0.6,3.37,3.54,-       
5.3,-1.43,0.6,3.37,3.55,-       
5.35,-1.43,0.61,3.37,3.56,-       
5.4,-1.43,0.62,3.37,3.57,-       
5.45,-1.42,0.61,3.38,3.59,-       
5.5,-1.42,0.61,3.39,3.6,-       
5.55,-1.41,0.62,3.38,3.59,-       
5.6,-1.41,0.62,3.38,3.59,-       
5.65,-1.41,0.84,3.46,3.73,-       
5.7,-1.42,0.84,3.51,3.69,-       
5.75,-1.4,0.84,3.48,3.72,-       
5.8,-1.36,0.84,3.38,3.79,-       
5.85,-1.36,0.84,3.38,3.86,-       
5.9,-1.36,0.84,3.37,3.89,-       
5.95,-0.8,0.96,3.4,3.92,-       
6.0,-0.01,1.14,3.4,3.94,gaze started: p_4_1
6.05,-0.01,1.14,3.4,3.94,gaze started: p_4_1
6.1,-0.02,1.18,3.4,3.9,gaze started: p_4_2
6.15,0.01,1.15,3.4,3.9,-       
6.2,0.02,1.15,3.4,3.91,-       
6.25,-0.01,1.19,3.4,3.88,-       
6.3,0.0,1.14,3.4,3.85,-       
6.35,0.01,1.15,3.4,3.72,gaze fixated: p_4_2
6.4,0.01,1.15,3.4,3.72,gaze fixated: p_4_2
6.45,-0.03,1.21,3.4,3.65,-       
6.5,-0.01,1.21,3.4,3.59,-       
6.55,-0.02,1.21,3.4,3.53,-       
6.6,-0.01,1.21,3.4,3.49,-       
6.65,0.0,1.22,3.4,3.47,-       
6.7,-0.0,1.22,3.4,3.45,-       
6.75,-0.01,1.21,3.4,3.45,-       
6.8,-0.01,1.21,3.4,3.45,-       
6.85,-0.01,1.21,3.4,3.45,-       
6.9,-0.0,1.21,3.4,3.44,-       
6.95,-0.0,1.2,3.4,3.44,-       
7.0,0.01,1.21,3.4,3.43,-       
7.05,-0.03,1.58,3.4,3.44,-       
7.1,0.55,0.8,-0.33,,gaze started: p_3_2
7.15,0.11,1.84,3.4,3.43,-       
7.2,0.14,1.87,3.4,3.47,gaze started: p_2_2
7.25,0.17,1.84,3.4,3.46,gaze started: p_2_3
7.3,0.17,1.84,3.4,3.46,gaze started: p_2_3
7.35,0.17,1.83,3.4,3.44,-       
7.4,0.17,1.83,3.4,3.45,-       
7.45,0.17,1.82,3.4,3.46,-       
7.5,0.17,1.83,3.4,3.46,-       
7.55,0.17,1.84,3.4,3.46,gaze fixated: p_2_3
7.6,0.19,1.83,3.4,3.46,-       
7.65,0.19,1.82,3.4,3.46,-       
7.7,0.17,1.83,3.4,3.47,-       
7.75,0.17,1.83,3.4,3.48,-       
7.8,0.17,1.86,3.4,3.47,-       
7.85,0.17,1.85,3.4,3.47,-       
7.9,0.17,1.85,3.4,3.47,-       
7.95,0.17,1.83,3.4,3.48,-       
8.0,0.17,1.83,3.4,3.5,-       
8.05,0.18,1.84,3.4,3.53,-       
8.1,0.18,1.84,3.4,3.54,-       
8.15,0.15,1.84,3.4,3.54,-       
8.2,0.15,1.84,3.4,3.55,-       
8.25,0.17,1.84,3.4,3.55,-       
8.3,0.17,1.84,3.4,3.55,-       
8.35,0.17,1.84,3.4,3.55,-       
8.4,0.17,1.84,3.4,3.55,-       
8.45,0.15,1.85,3.4,3.55,-       
8.5,0.15,1.85,3.4,3.55,-       
8.55,0.16,1.85,3.4,3.53,-       
8.6,0.16,1.85,3.4,3.49,-       
8.65,0.17,1.83,3.4,3.46,-       
8.7,0.17,1.83,3.4,3.44,-       
8.75,0.16,1.84,3.4,3.42,-       
8.8,0.16,1.84,3.4,3.4,-       
8.85,0.16,1.84,3.4,3.37,-       
8.9,0.16,1.83,3.4,3.37,-       
8.95,0.15,1.83,3.4,3.36,-       
9.0,0.15,1.84,3.4,3.36,-       
9.05,0.22,1.82,3.46,3.31,-       
9.1,0.22,1.81,3.46,3.33,gaze ended: p_2_3
9.15,0.22,1.81,3.46,3.34,-       
9.2,0.23,1.82,3.46,3.37,-       
9.25,0.23,1.82,3.46,3.37,-       
9.3,0.14,1.83,3.46,3.44,-       
9.35,0.12,1.81,3.4,3.43,-       
9.4,0.12,1.81,3.4,3.41,gaze started: p_2_2
9.45,0.17,1.81,3.46,3.4,-       
9.5,0.23,1.77,3.4,3.37,-       
9.55,0.21,1.78,3.4,3.33,gaze started: p_3_3
9.6,0.2,1.78,3.4,3.34,-       
9.65,0.21,1.78,3.4,3.34,-       
9.7,0.21,1.78,3.4,3.34,-       
9.75,0.21,1.77,3.4,3.33,-       
9.8,0.21,1.78,3.4,3.33,gaze fixated: p_3_3
9.85,0.21,1.78,3.4,3.33,-       
9.9,0.21,1.78,3.4,3.33,-       
9.95,0.19,1.76,3.4,3.34,-       
10.0,0.14,1.77,3.46,3.24,-       
10.05,0.53,0.8,-0.34,,gaze ended: p_3_3
10.1,0.53,0.8,-0.34,,-       
10.15,0.19,1.75,3.4,3.36,-       
10.2,0.18,1.82,3.46,3.31,gaze started: p_3_3
10.25,0.53,0.8,-0.34,,-       
10.3,0.53,0.8,-0.34,,-       
10.35,-0.0,1.76,3.4,3.34,-       
10.4,0.04,1.81,3.4,3.42,gaze started: p_3_2
10.45,0.06,1.79,3.4,3.36,gaze started: p_2_2
10.5,0.06,1.79,3.4,3.35,gaze started: p_3_2
10.55,0.06,1.79,3.4,3.35,gaze started: p_3_2
10.6,0.05,1.82,3.46,3.33,-       
10.65,0.06,1.81,3.46,3.33,-       
10.7,0.07,1.81,3.46,3.36,-       
10.75,0.08,1.81,3.46,3.39,-       
10.8,0.08,1.82,3.46,3.46,-       
10.85,0.07,1.82,3.46,3.56,-       
10.9,-0.18,1.36,3.4,3.65,-       
10.95,-0.19,1.3,3.4,3.65,gaze started: p_3_2
11.0,-0.3,1.37,3.4,3.67,gaze started: p_4_2
11.05,-0.31,1.39,3.4,3.69,gaze started: p_3_2
11.1,-0.31,1.39,3.4,3.69,gaze started: p_3_2
11.15,-0.31,1.38,3.4,3.73,-       
11.2,-0.31,1.39,3.4,3.74,-       
11.25,-0.29,1.37,3.4,3.75,-       
11.3,-0.28,1.37,3.4,3.77,-       
11.35,-0.29,1.36,3.4,3.79,gaze fixated: p_3_2
11.4,-0.27,1.36,3.4,3.81,-       
11.45,-0.37,2.04,3.4,4.09,-       
11.5,-0.4,2.12,3.4,3.95,gaze started: p_2_2
11.55,-0.4,2.12,3.4,3.96,-       
11.6,-0.4,2.11,3.4,3.93,-       
11.65,-0.4,2.11,3.4,3.93,-       
11.7,-0.4,2.1,3.4,3.9,-       
11.75,-0.4,2.09,3.4,3.9,-       
11.8,-0.4,2.1,3.4,3.9,gaze fixated: p_2_2
11.85,-0.39,2.1,3.4,3.92,-       
11.9,-0.41,2.11,3.4,3.95,-       
11.95,-0.43,2.12,3.4,4.0,-       
12.0,-0.43,2.12,3.4,4.0,-       
12.05,-0.42,2.12,3.4,4.06,-       
12.1,-0.41,2.11,3.4,4.09,-       
12.15,-0.23,2.09,3.4,4.22,-       
12.2,0.52,1.88,3.4,4.28,-       
12.25,0.63,1.86,3.4,4.22,gaze started: p_2_3
12.3,0.62,1.9,3.4,4.3,-       
12.35,0.62,1.88,3.4,4.34,-       
12.4,0.61,1.88,3.4,4.36,-       
12.45,0.6,2.3,3.4,4.34,-       
12.5,0.57,2.34,3.4,4.28,gaze started: p_1_3
12.55,0.59,2.34,3.4,4.27,-       
12.6,0.6,2.34,3.4,4.27,-       
12.65,0.6,2.34,3.4,4.27,-       
