time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.65,2.26,3.4,4.35,-       
0.05,-0.4,2.26,3.4,4.31,gaze started: p_2_2
0.1,-0.54,2.23,3.4,4.29,-       
0.15,-0.47,2.29,3.4,4.27,-       
0.2,-0.6,2.25,3.4,4.32,gaze started: p_1_2
0.25,-0.43,2.28,3.4,4.35,gaze started: p_2_2
0.3,-0.31,2.28,3.4,4.35,gaze started: p_1_2
0.35,-0.17,2.36,3.4,4.43,-       
0.4,0.55,0.71,-0.28,,-       
0.45,0.55,0.7,-0.28,,-       
0.5,0.56,0.69,-0.27,,-       
0.55,0.57,0.68,-0.27,,-       
0.6,0.58,0.67,-0.27,,-       
0.65,0.58,0.67,-0.27,,-       
0.7,0.58,0.67,-0.27,,-       
0.75,0.58,0.67,-0.27,,-       
0.8,0.58,0.67,-0.27,,-       
0.85,0.58,0.67,-0.27,,-       
0.9,0.58,0.67,-0.27,,-       
0.95,0.58,0.67,-0.27,,-       
1.0,0.58,0.67,-0.27,,-       
1.05,0.58,0.67,-0.27,,-       
1.1,0.58,0.67,-0.27,,-       
1.15,-0.59,2.26,3.4,4.63,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_puma_30s_100.mp4
1.2,-0.54,2.23,3.4,4.64,gaze started: p_2_2
1.25,-0.54,2.23,3.4,4.64,gaze started: p_2_2
1.3,-0.63,2.18,3.4,4.59,-       
1.35,-0.51,2.19,3.4,4.6,-       
1.4,-0.51,2.19,3.4,4.58,-       
1.45,-0.21,1.27,3.4,4.34,-       
1.5,-0.16,1.27,3.4,4.38,gaze started: p_4_2
1.55,-0.22,1.26,3.4,4.39,-       
1.6,-0.17,1.26,3.4,4.36,-       
1.65,-0.27,1.56,3.4,4.57,-       
1.7,0.57,0.73,-0.29,,gaze started: p_3_2
1.75,0.57,0.73,-0.29,,-       
1.8,0.57,0.74,-0.29,,-       
1.85,0.57,0.74,-0.29,,-       
1.9,0.55,0.76,-0.3,,-       
1.95,0.55,0.76,-0.3,,-       
2.0,-0.43,1.92,3.4,4.72,-       
2.05,-0.46,1.9,3.4,4.67,gaze started: p_2_2
2.1,-0.34,1.91,3.4,4.68,-       
2.15,-0.37,1.93,3.4,4.69,-       
2.2,-0.37,1.96,3.4,4.71,-       
2.25,-0.49,1.94,3.4,4.74,-       
2.3,-0.39,1.93,3.4,4.74,-       
2.35,-0.38,1.93,3.4,4.74,gaze fixated: p_2_2
2.4,-0.19,1.96,3.4,4.83,-       
2.45,-0.19,1.95,3.4,4.78,-       
2.5,-0.24,1.94,3.4,4.77,-       
2.55,-0.23,1.93,3.4,4.76,-       
2.6,-0.32,1.92,3.4,4.74,-       
2.65,-0.09,1.83,3.4,4.44,-       
2.7,0.5,1.65,3.4,4.04,-       
2.75,0.58,1.6,3.4,3.87,gaze started: p_3_3
2.8,0.6,1.6,3.4,3.74,-       
2.85,0.59,1.6,3.4,3.6,-       
2.9,0.4,1.63,3.4,3.26,-       
2.95,-0.23,1.55,3.4,3.17,-       
3.0,-0.07,1.45,3.4,3.15,gaze started: p_3_2
3.05,-0.09,1.46,3.4,3.13,-       
3.1,-0.14,1.48,3.4,3.11,-       
3.15,-0.05,1.46,3.4,3.07,-       
3.2,-0.13,1.48,3.4,3.03,-       
3.25,-0.14,1.47,3.4,3.0,gaze fixated: p_3_2
3.3,-0.16,1.46,3.4,2.97,-       
3.35,-0.13,1.46,3.4,2.95,-       
3.4,0.11,1.87,3.4,2.96,-       
3.45,-0.05,1.88,3.4,2.97,gaze started: p_2_2
3.5,-0.04,1.87,3.4,2.99,-       
3.55,-0.01,1.87,3.4,2.99,-       
3.6,-0.09,2.08,3.4,2.97,-       
3.65,-0.09,2.07,3.4,2.96,-       
3.7,-0.07,2.1,3.4,3.0,-       
3.75,-0.09,2.11,3.4,3.0,gaze fixated: p_2_2
3.8,-0.09,2.11,3.4,3.0,gaze fixated: p_2_2
3.85,-0.12,2.12,3.4,3.0,-       
3.9,-0.12,2.12,3.4,3.0,-       
3.95,0.06,1.83,3.4,2.94,-       
4.0,0.06,1.83,3.4,2.94,-       
4.05,0.05,1.6,3.4,2.95,-       
4.1,-0.09,1.56,3.4,2.94,gaze started: p_3_2
4.15,-0.01,1.6,3.4,2.95,-       
4.2,-0.0,1.6,3.4,2.97,-       
4.25,-0.06,1.57,3.4,3.01,-       
4.3,0.14,1.72,3.46,3.07,-       
4.35,0.07,1.69,3.4,3.02,-       
4.4,0.11,1.74,3.4,3.12,gaze started: p_3_2
4.45,0.13,1.73,3.4,3.14,-       
4.5,0.11,1.7,3.4,3.14,-       
4.55,0.01,1.85,3.4,3.21,-       
4.6,-0.07,1.79,3.4,3.25,gaze started: p_2_2
4.65,-0.14,1.81,3.46,3.32,gaze started: p_3_2
4.7,-0.19,1.81,3.4,3.39,-       
4.75,-0.19,1.84,3.4,3.43,gaze started: p_2_2
4.8,-0.11,1.78,3.4,3.44,-       
4.85,-0.1,1.74,3.4,3.51,gaze started: p_3_2
4.9,-0.09,1.74,3.4,3.51,-       
4.95,-0.1,1.79,3.4,3.48,-       
5.0,-0.15,1.88,3.4,3.53,-       
5.05,-0.13,1.84,3.4,3.51,gaze started: p_2_2
5.1,-0.41,1.88,3.4,3.48,-       
5.15,-0.39,1.9,3.4,3.53,-       
5.2,-0.39,1.88,3.4,3.57,-       
5.25,-0.4,1.89,3.4,3.55,-       
5.3,-0.55,1.92,3.4,3.6,gaze fixated: p_2_2
5.35,-0.65,1.91,3.4,3.6,-       
