time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.95,0.86,-0.58,,-       
0.05,0.95,0.86,-0.58,,-       
0.1,0.95,0.86,-0.58,,-       
0.15,0.95,0.86,-0.58,,-       
0.2,0.95,0.86,-0.58,,-       
0.25,0.95,0.86,-0.58,,-       
0.3,0.95,0.86,-0.58,,-       
0.35,0.95,0.86,-0.58,,-       
0.4,0.95,0.86,-0.58,,-       
0.45,0.95,0.86,-0.58,,-       
0.5,0.95,0.86,-0.58,,-       
0.55,0.95,0.86,-0.58,,-       
0.6,0.95,0.86,-0.58,,-       
0.65,-0.23,0.26,2.94,2.97,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_puma_30s_100.mp4
0.7,-0.23,0.26,2.94,2.97,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_puma_30s_100.mp4
0.75,-0.23,0.26,2.94,2.97,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_puma_30s_100.mp4
0.8,-0.23,0.26,2.94,2.97,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_puma_30s_100.mp4
0.85,-0.12,0.46,2.94,2.98,-       
0.9,-0.12,0.46,2.94,2.98,-       
0.95,-0.12,0.5,2.93,2.91,-       
1.0,-0.16,0.48,2.94,2.87,-       
1.05,-0.14,0.47,2.94,2.81,-       
1.1,-0.14,0.47,2.94,2.81,-       
1.15,-0.17,0.42,2.94,2.78,-       
1.2,-0.19,0.43,2.94,2.74,-       
1.25,-0.0,0.53,3.35,2.67,-       
1.3,0.48,0.66,3.57,2.76,-       
1.35,0.48,0.66,3.57,2.76,-       
1.4,0.46,0.66,3.57,2.71,-       
1.45,0.46,0.7,3.57,2.76,-       
1.5,0.47,0.72,3.57,2.76,-       
1.55,0.47,0.72,3.57,2.76,-       
1.6,0.45,0.7,3.57,2.77,-       
1.65,-0.58,0.72,3.57,2.91,-       
1.7,-0.59,0.68,3.57,2.92,-       
1.75,-0.59,0.68,3.57,2.92,-       
1.8,-0.58,0.68,3.57,2.92,-       
1.85,-0.59,0.67,3.57,2.93,-       
1.9,-0.59,0.66,3.57,2.98,-       
1.95,-0.6,0.65,3.57,3.04,-       
2.0,-0.15,1.5,3.4,2.86,-       
2.05,-0.09,1.64,3.4,2.97,gaze started: p_3_2
2.1,-0.29,1.84,3.4,2.8,-       
2.15,0.45,1.61,3.4,2.66,gaze started: p_2_2
2.2,0.45,1.61,3.4,2.66,gaze started: p_2_2
2.25,0.51,1.6,3.4,2.57,gaze started: p_3_3
2.3,0.52,1.65,3.4,2.37,-       
2.35,0.66,1.59,3.4,2.32,-       
2.4,0.65,1.59,3.4,2.24,-       
2.45,-0.07,1.81,3.46,2.02,-       
2.5,0.06,1.81,3.46,2.07,-       
2.55,-0.35,1.79,3.4,2.04,-       
2.6,-0.35,1.79,3.4,2.04,-       
2.65,-0.3,1.78,3.4,2.04,gaze started: p_3_2
2.7,0.05,1.85,3.4,2.03,-       
2.75,-0.27,1.81,3.4,2.01,gaze started: p_2_2
2.8,-0.27,1.83,3.4,2.0,-       
2.85,-0.06,1.88,3.4,2.0,-       
2.9,-0.22,1.84,3.4,2.0,-       
2.95,-0.43,2.09,3.4,2.07,-       
3.0,-0.43,2.09,3.4,2.07,-       
3.05,-0.0,2.22,3.4,1.95,gaze fixated: p_2_2
3.1,0.13,2.18,3.4,2.07,-       
3.15,0.41,2.17,3.4,2.06,-       
