time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.62,2.19,3.4,3.91,-       
0.05,-0.61,2.16,3.4,3.91,-       
0.1,0.9,0.36,-0.2,,gaze fixated: p_2_2
0.15,0.9,0.36,-0.2,,gaze ended: p_2_2
0.2,0.9,0.36,-0.2,,-       
0.25,0.9,0.36,-0.2,,-       
0.3,0.9,0.36,-0.2,,-       
0.35,-0.44,2.09,3.4,3.77,-       
0.4,-0.51,2.1,3.4,3.81,gaze started: p_2_2
0.45,-0.42,2.18,3.4,3.8,-       
0.5,-0.42,2.18,3.4,3.8,-       
0.55,-0.42,2.18,3.4,3.8,-       
0.6,-0.42,2.18,3.4,3.8,-       
0.65,-0.42,2.18,3.4,3.8,-       
0.7,-0.42,2.18,3.4,3.8,-       
0.75,-0.42,2.18,3.4,3.8,-       
0.8,-0.42,2.18,3.4,3.8,-       
0.85,-0.42,2.18,3.4,3.8,-       
0.9,-0.42,2.18,3.4,3.8,-       
0.95,-0.42,2.18,3.4,3.8,-       
1.0,-0.5,2.22,3.4,3.94,gaze fixated: p_2_2
1.05,-0.57,2.19,3.4,3.96,-       
1.1,-0.55,2.18,3.4,3.98,-       
1.15,-0.48,1.44,3.4,3.99,-       
1.2,-0.48,1.44,3.4,3.99,-       
1.25,-0.51,1.44,3.4,3.95,gaze started: p_3_2
1.3,-0.53,1.4,3.4,3.95,-       
1.35,-0.52,1.4,3.4,3.94,-       
1.4,-0.52,1.41,3.4,3.94,-       
1.45,-0.89,0.81,3.57,3.95,-       
1.5,-0.87,0.78,3.57,3.89,-       
1.55,-0.87,0.78,3.57,3.92,-       
1.6,-1.24,0.72,3.47,4.07,-       
1.65,-1.47,0.71,3.38,4.03,-       
1.7,-1.47,0.7,3.38,4.03,-       
1.75,-1.47,0.68,3.38,4.03,-       
1.8,-1.48,0.65,3.38,4.04,-       
1.85,-1.48,0.66,3.38,4.04,-       
1.9,-1.47,0.67,3.38,4.04,-       
1.95,-0.57,1.29,3.4,4.16,-       
2.0,-0.04,1.66,3.4,4.23,gaze started: p_4_2
2.05,-0.13,1.66,3.4,4.16,gaze started: p_3_2
2.1,0.9,0.36,-0.2,,-       
2.15,0.9,0.36,-0.2,,-       
2.2,0.9,0.36,-0.2,,-       
2.25,0.9,0.36,-0.2,,-       
2.3,0.72,1.64,3.4,3.29,-       
2.35,0.98,1.86,3.4,4.08,gaze started: p_3_3
2.4,1.08,1.95,3.4,4.22,gaze started: p_2_4
2.45,0.82,1.88,3.4,4.37,-       
2.5,0.69,1.76,3.4,4.15,gaze started: p_2_3
2.55,0.62,1.74,3.4,3.96,gaze started: p_3_3
2.6,0.62,1.74,3.4,3.81,-       
2.65,0.61,1.73,3.4,3.67,-       
2.7,0.59,1.72,3.4,3.45,-       
2.75,0.58,1.72,3.4,3.26,-       
2.8,0.58,1.72,3.4,3.26,-       
2.85,0.59,1.71,3.4,3.15,gaze fixated: p_3_3
2.9,0.59,1.71,3.4,3.01,-       
2.95,0.28,1.85,3.4,2.85,-       
3.0,-0.27,1.99,3.4,2.86,gaze started: p_2_3
3.05,-0.26,1.98,3.4,2.82,gaze started: p_2_2
3.1,-0.27,1.97,3.4,2.79,-       
3.15,-0.31,1.98,3.4,2.78,-       
3.2,-0.36,1.99,3.4,2.76,-       
3.25,-0.34,1.99,3.4,2.76,-       
3.3,-0.3,1.99,3.4,2.75,gaze fixated: p_2_2
3.35,-0.28,1.98,3.4,2.76,-       
3.4,-0.31,1.99,3.4,2.78,-       
3.45,-0.28,1.97,3.4,2.79,-       
3.5,-0.36,1.99,3.4,2.79,-       
3.55,-0.35,1.99,3.4,2.81,-       
3.6,-0.34,1.99,3.4,2.85,-       
3.65,-0.35,2.0,3.4,2.86,-       
3.7,-0.34,2.0,3.4,2.92,-       
3.75,-0.32,1.99,3.4,2.96,-       
3.8,-0.32,1.99,3.4,3.05,-       
3.85,-0.32,2.0,3.4,3.09,-       
3.9,-0.01,1.83,3.4,3.29,-       
3.95,0.17,1.69,3.4,3.33,-       
4.0,0.12,1.7,3.4,3.32,gaze started: p_3_3
4.05,0.12,1.7,3.4,3.34,gaze started: p_3_2
4.1,0.12,1.7,3.4,3.34,gaze started: p_3_2
4.15,0.11,1.7,3.4,3.38,-       
4.2,0.1,1.7,3.4,3.4,-       
4.25,0.11,1.7,3.4,3.39,-       
4.3,0.11,1.7,3.4,3.39,-       
4.35,0.11,1.7,3.4,3.33,-       
4.4,0.11,1.7,3.4,3.33,-       
4.45,0.11,1.7,3.4,3.29,-       
4.5,0.56,1.91,3.4,3.24,-       
4.55,0.53,1.94,3.4,3.19,gaze started: p_2_3
4.6,0.53,1.94,3.4,3.21,-       
4.65,0.54,1.94,3.4,3.21,-       
4.7,0.31,1.92,3.4,3.27,-       
4.75,-0.13,1.94,3.4,3.32,-       
4.8,-0.15,1.97,3.4,3.35,gaze started: p_2_2
4.85,0.9,0.36,-0.2,,-       
4.9,0.9,0.36,-0.2,,-       
4.95,0.9,0.36,-0.2,,-       
5.0,0.9,0.36,-0.2,,-       
5.05,-0.03,2.07,3.4,3.34,-       
