time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-1.14,1.62,3.4,3.17,-       
0.05,-1.06,1.67,3.4,3.18,-       
0.1,-0.66,2.03,3.4,3.19,-       
0.15,-0.36,2.3,3.4,3.15,gaze started: p_2_2
0.2,-0.36,2.32,3.4,3.19,gaze started: p_1_2
0.25,-0.37,2.32,3.4,3.22,-       
0.3,-0.36,2.31,3.4,3.23,-       
0.35,-0.36,2.31,3.4,3.25,-       
0.4,-0.34,2.48,3.4,3.28,-       
0.45,-0.34,2.48,3.4,3.28,-       
0.5,-0.34,2.48,3.4,3.28,-       
0.55,-0.34,2.48,3.4,3.28,-       
0.6,-0.34,2.48,3.4,3.28,-       
0.65,-0.34,2.48,3.4,3.28,-       
0.7,-0.34,2.48,3.4,3.28,-       
0.75,-0.34,2.48,3.4,3.28,-       
0.8,-0.34,2.48,3.4,3.28,-       
0.85,-0.34,2.48,3.4,3.28,-       
0.9,-0.85,2.15,3.4,3.54,gaze fixated: p_1_2
0.95,-0.85,2.16,3.4,3.49,gaze started: p_2_1
1.0,-0.86,2.16,3.4,3.47,-       
1.05,-0.85,2.16,3.4,3.53,-       
1.1,-0.84,2.14,3.4,3.46,-       
1.15,-0.51,2.16,3.4,3.41,-       
1.2,-0.19,2.15,3.4,3.5,gaze started: p_2_2
1.25,-0.14,2.16,3.4,3.43,-       
1.3,-0.14,2.16,3.4,3.46,-       
1.35,-0.14,2.15,3.4,3.47,-       
1.4,-0.14,2.13,3.4,3.48,-       
1.45,-0.15,2.12,3.4,3.52,gaze fixated: p_2_2
1.5,-0.15,2.13,3.4,3.62,-       
1.55,-0.15,2.12,3.4,3.64,-       
1.6,-0.16,2.12,3.4,3.75,-       
1.65,-0.15,2.14,3.4,3.75,-       
1.7,0.69,0.55,-0.21,,-       
1.75,0.69,0.55,-0.21,,gaze ended: p_2_2
1.8,0.69,0.55,-0.21,,-       
1.85,-0.19,2.08,3.4,3.84,-       
1.9,-0.19,2.07,3.4,3.87,gaze started: p_2_2
1.95,-0.19,2.04,3.4,3.88,-       
2.0,-0.19,2.05,3.4,3.88,-       
2.05,-0.2,2.06,3.4,3.94,-       
2.1,-0.19,2.05,3.4,3.94,-       
2.15,-0.19,2.05,3.4,3.96,-       
2.2,-0.18,2.04,3.4,3.96,gaze fixated: p_2_2
2.25,-0.19,2.03,3.4,3.98,-       
2.3,0.28,1.84,3.4,3.99,-       
2.35,0.54,1.73,3.4,3.68,gaze started: p_2_3
2.4,0.43,1.73,3.4,3.33,gaze started: p_3_3
2.45,0.49,1.73,3.4,3.29,-       
2.5,0.49,1.72,3.4,3.13,-       
2.55,0.51,1.71,3.4,3.05,-       
2.6,0.52,1.72,3.4,2.99,-       
2.65,0.51,1.71,3.4,2.86,-       
2.7,0.52,1.72,3.4,2.8,gaze fixated: p_3_3
2.75,0.51,1.73,3.4,2.77,-       
2.8,0.52,1.73,3.4,2.75,-       
2.85,0.52,1.73,3.4,2.72,-       
2.9,0.51,1.72,3.4,2.7,-       
2.95,0.51,1.72,3.4,2.67,-       
3.0,0.5,1.72,3.4,2.68,-       
3.05,0.51,1.72,3.4,2.69,-       
3.1,0.5,1.72,3.4,2.7,-       
3.15,0.5,1.72,3.4,2.72,-       
3.2,0.51,1.72,3.4,2.73,-       
3.25,0.5,1.72,3.4,2.74,-       
3.3,0.5,1.72,3.4,2.76,-       
3.35,0.5,1.72,3.4,2.79,-       
3.4,0.49,1.73,3.4,2.82,-       
3.45,0.49,1.73,3.4,2.84,-       
3.5,0.48,1.73,3.4,2.87,-       
3.55,0.49,1.73,3.4,2.89,-       
3.6,0.49,1.73,3.4,2.92,-       
3.65,0.49,1.73,3.4,2.95,-       
3.7,0.48,1.72,3.4,2.98,-       
3.75,0.48,1.72,3.4,2.99,-       
3.8,0.48,1.72,3.4,3.01,-       
3.85,0.47,1.72,3.4,3.03,-       
3.9,0.47,1.73,3.4,3.03,-       
3.95,0.47,1.74,3.4,3.06,-       
4.0,0.47,1.73,3.4,3.06,-       
4.05,0.47,1.73,3.4,3.08,-       
4.1,0.46,1.73,3.4,3.12,-       
4.15,0.46,1.72,3.4,3.16,-       
4.2,0.45,1.72,3.4,3.19,-       
4.25,0.44,1.72,3.4,3.2,-       
4.3,0.45,1.72,3.4,3.2,-       
4.35,0.44,1.72,3.4,3.18,-       
4.4,0.44,1.71,3.4,3.16,-       
4.45,0.43,1.72,3.4,3.15,-       
4.5,0.39,1.78,3.4,3.19,-       
4.55,0.18,1.94,3.4,3.13,-       
4.6,0.16,1.93,3.4,3.12,gaze started: p_2_3
4.65,0.15,1.94,3.4,3.13,-       
4.7,0.15,1.94,3.4,3.16,-       
4.75,0.15,1.95,3.4,3.2,-       
4.8,0.15,1.95,3.4,3.22,-       
4.85,0.15,1.95,3.4,3.23,-       
4.9,0.15,1.95,3.4,3.24,gaze fixated: p_2_3
4.95,0.15,1.94,3.4,3.25,-       
5.0,0.16,1.94,3.4,3.26,-       
5.05,0.15,1.94,3.4,3.27,-       
5.1,0.16,1.94,3.4,3.28,-       
5.15,0.16,1.94,3.4,3.29,-       
5.2,0.15,1.94,3.4,3.32,-       
5.25,0.16,1.94,3.4,3.37,-       
5.3,0.15,1.94,3.4,3.42,-       
5.35,0.14,1.95,3.4,3.47,-       
5.4,0.14,1.95,3.4,3.47,-       
5.45,0.15,1.95,3.4,3.4,-       
5.5,0.15,1.95,3.4,3.4,-       
5.55,0.15,1.96,3.4,3.34,-       
5.6,0.14,1.96,3.4,3.29,-       
5.65,0.13,1.98,3.46,3.27,-       
5.7,0.13,1.98,3.46,3.27,gaze ended: p_2_3
5.75,0.14,1.98,3.46,3.31,-       
5.8,0.15,1.95,3.4,3.33,-       
5.85,0.15,1.95,3.4,3.34,gaze started: p_2_3
5.9,0.16,1.95,3.4,3.34,-       
5.95,0.15,1.96,3.4,3.34,-       
