time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.95,2.13,3.4,5.53,gaze ended: p_1_2
0.05,-0.88,2.09,3.4,5.57,gaze started: p_2_1
0.1,-0.92,2.09,3.4,5.57,-       
0.15,-0.93,2.09,3.4,5.57,-       
0.2,-0.93,2.09,3.4,5.57,-       
0.25,-0.93,2.09,3.4,5.57,-       
0.3,-0.93,2.09,3.4,5.57,-       
0.35,-0.93,2.09,3.4,5.57,-       
0.4,-0.93,2.09,3.4,5.57,-       
0.45,-0.93,2.09,3.4,5.57,-       
0.5,-0.93,2.09,3.4,5.57,-       
0.55,-0.93,2.09,3.4,5.57,-       
0.6,-0.93,2.09,3.4,5.57,-       
0.65,-0.71,2.16,3.4,5.56,gaze fixated: p_2_1
0.7,-0.71,2.16,3.4,5.56,gaze fixated: p_2_1
0.75,-0.71,2.16,3.4,5.56,gaze fixated: p_2_1
0.8,-0.38,2.25,3.4,5.6,-       
0.85,-0.46,2.18,3.4,5.61,gaze started: p_2_2
0.9,-0.47,2.16,3.4,5.59,-       
0.95,-0.48,2.18,3.4,5.6,-       
1.0,-0.47,2.18,3.4,5.63,-       
1.05,-0.47,2.18,3.4,5.63,-       
1.1,-0.47,2.17,3.4,5.61,gaze fixated: p_2_2
1.15,-0.48,2.16,3.4,5.59,-       
1.2,-0.48,2.16,3.4,5.59,-       
1.25,1.03,0.86,-0.54,,-       
1.3,1.03,0.86,-0.54,,-       
1.35,1.03,0.86,-0.54,,-       
1.4,1.03,0.86,-0.54,,-       
1.45,1.03,0.86,-0.54,,-       
1.5,1.03,0.86,-0.54,,-       
1.55,1.03,0.86,-0.54,,-       
1.6,-0.22,2.11,3.4,5.65,-       
1.65,-0.25,2.12,3.4,5.65,gaze started: p_2_2
1.7,0.03,2.07,3.4,5.6,-       
1.75,0.1,2.08,3.4,5.67,-       
1.8,0.09,1.97,3.4,5.63,-       
1.85,0.09,1.97,3.4,5.58,-       
1.9,0.1,1.97,3.4,5.59,gaze fixated: p_2_2
1.95,0.15,1.97,3.4,5.59,-       
2.0,0.13,1.95,3.4,5.58,gaze started: p_2_3
2.05,0.13,1.95,3.4,5.59,gaze started: p_2_2
2.1,0.13,1.95,3.4,5.56,-       
2.15,0.13,1.94,3.46,5.35,-       
2.2,0.13,1.93,3.4,5.21,-       
2.25,0.12,1.94,3.4,4.92,gaze started: p_2_2
2.3,0.12,1.93,3.4,4.76,-       
2.35,0.11,1.91,3.4,4.36,-       
2.4,0.12,1.9,3.4,4.19,-       
2.45,0.12,1.89,3.4,4.08,-       
2.5,0.11,1.87,3.4,3.92,gaze fixated: p_2_2
2.55,0.11,1.86,3.4,3.81,-       
2.6,0.11,1.88,3.4,3.76,-       
2.65,0.11,1.87,3.4,3.71,-       
2.7,0.11,1.86,3.4,3.64,-       
2.75,0.12,1.86,3.4,3.63,-       
2.8,0.12,1.85,3.4,3.56,-       
2.85,0.11,1.85,3.4,3.53,-       
2.9,0.18,1.83,3.4,3.5,-       
2.95,0.16,1.83,3.4,3.48,gaze started: p_2_3
3.0,0.11,1.85,3.4,3.47,-       
3.05,0.13,1.85,3.4,3.45,gaze started: p_2_2
3.1,0.13,1.85,3.4,3.45,-       
3.15,0.12,1.85,3.4,3.46,-       
3.2,0.12,1.85,3.4,3.48,-       
3.25,0.13,1.85,3.4,3.5,-       
3.3,0.12,1.85,3.4,3.53,gaze fixated: p_2_2
3.35,0.18,1.85,3.4,3.58,-       
3.4,0.18,1.84,3.4,3.62,gaze started: p_2_3
3.45,0.19,1.83,3.4,3.68,-       
3.5,0.15,1.84,3.4,3.76,-       
3.55,0.1,1.86,3.4,3.83,-       
3.6,0.18,1.83,3.4,3.9,gaze started: p_2_2
3.65,0.15,1.84,3.4,3.95,gaze started: p_2_3
3.7,0.11,1.87,3.4,4.06,-       
3.75,0.17,1.83,3.4,4.1,gaze started: p_2_2
3.8,0.17,1.83,3.4,4.17,gaze started: p_2_3
3.85,0.11,1.86,3.4,4.22,-       
3.9,0.11,1.87,3.4,4.27,gaze started: p_2_2
3.95,0.1,1.87,3.4,4.29,-       
4.0,0.1,1.87,3.4,4.37,-       
4.05,0.1,1.87,3.4,4.37,-       
4.1,0.09,1.88,3.4,4.4,-       
4.15,0.0,1.95,3.4,4.44,-       
4.2,0.01,1.95,3.4,4.46,-       
4.25,0.06,1.91,3.4,4.54,-       
4.3,-0.03,1.96,3.4,4.55,-       
4.35,-0.01,1.94,3.4,4.53,gaze fixated: p_2_2
4.4,-0.01,1.94,3.4,4.52,-       
4.45,-0.01,1.94,3.4,4.51,-       
4.5,-0.01,1.94,3.4,4.5,-       
4.55,-0.01,1.94,3.4,4.51,-       
4.6,-0.02,1.94,3.4,4.5,-       
4.65,-0.02,1.94,3.4,4.51,-       
4.7,-0.02,1.94,3.4,4.53,-       
4.75,-0.02,1.93,3.4,4.53,-       
4.8,-0.04,1.93,3.4,4.54,-       
4.85,-0.02,1.93,3.4,4.55,-       
4.9,-0.02,1.92,3.4,4.58,-       
4.95,-0.03,1.92,3.4,4.58,-       
5.0,-0.03,1.92,3.4,4.57,-       
5.05,-0.03,1.91,3.4,4.57,-       
5.1,-0.03,1.91,3.4,4.58,-       
5.15,-0.03,1.91,3.4,4.59,-       
5.2,0.07,1.9,3.4,4.46,-       
5.25,0.05,1.93,3.4,4.47,-       
5.3,0.1,1.87,3.4,4.38,-       
5.35,0.11,1.87,3.4,4.35,-       
5.4,0.11,1.87,3.4,4.28,-       
5.45,0.12,1.86,3.4,4.23,-       
5.5,0.13,1.85,3.4,4.2,-       
5.55,0.13,1.85,3.4,4.18,-       
5.6,0.22,1.86,3.4,4.19,-       
