time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.07,1.9,3.4,3.97,-       
0.05,0.07,1.9,3.4,3.98,-       
0.1,0.07,1.9,3.4,3.98,-       
0.15,0.05,1.87,3.4,3.96,-       
0.2,0.55,0.82,-0.37,,-       
0.25,0.07,1.94,3.4,4.06,gaze ended: p_2_2
0.3,0.07,1.94,3.4,4.06,gaze ended: p_2_2
0.35,0.07,1.94,3.4,4.06,gaze ended: p_2_2
0.4,0.07,1.94,3.4,4.06,gaze ended: p_2_2
0.45,0.07,1.94,3.4,4.06,gaze ended: p_2_2
0.5,0.07,1.94,3.4,4.06,gaze ended: p_2_2
0.55,0.07,1.94,3.4,4.06,gaze ended: p_2_2
0.6,0.07,1.94,3.4,4.06,gaze ended: p_2_2
0.65,0.07,1.94,3.4,4.06,gaze ended: p_2_2
0.7,0.07,1.94,3.4,4.06,gaze ended: p_2_2
0.75,0.17,1.77,3.4,3.3,gaze started: p_2_2
0.8,0.25,1.72,3.4,3.34,gaze started: p_3_3
0.85,0.25,1.72,3.4,3.34,gaze started: p_3_3
0.9,0.2,1.73,3.4,3.31,-       
0.95,0.21,1.72,3.4,3.28,-       
1.0,0.19,1.73,3.4,3.24,-       
1.05,0.19,1.73,3.4,3.21,-       
1.1,0.19,1.73,3.4,3.21,-       
1.15,0.21,1.73,3.4,3.17,gaze fixated: p_3_3
1.2,0.21,1.73,3.4,3.15,-       
1.25,0.22,1.74,3.4,3.13,-       
1.3,0.22,1.74,3.4,3.13,-       
1.35,0.21,1.74,3.4,3.2,-       
1.4,0.21,1.74,3.4,3.28,-       
1.45,0.21,1.72,3.4,3.35,-       
1.5,0.21,1.72,3.4,3.47,-       
1.55,0.21,1.72,3.4,3.47,-       
1.6,0.21,1.73,3.4,3.56,-       
1.65,0.21,1.73,3.4,3.62,-       
1.7,0.21,1.73,3.4,3.76,-       
1.75,0.21,1.73,3.4,3.84,-       
1.8,0.21,1.73,3.4,3.91,-       
1.85,0.2,1.73,3.4,4.01,-       
1.9,0.2,1.73,3.4,4.01,-       
1.95,0.21,1.73,3.4,4.09,-       
2.0,0.21,1.73,3.4,4.14,-       
2.05,0.21,1.73,3.4,4.2,-       
2.1,0.2,1.73,3.4,4.26,-       
2.15,0.21,1.73,3.4,4.3,-       
2.2,0.21,1.73,3.4,4.28,-       
2.25,0.21,1.73,3.4,4.28,-       
2.3,0.2,1.72,3.4,4.12,-       
2.35,0.2,1.71,3.4,3.88,-       
2.4,0.19,1.7,3.4,3.68,-       
2.45,0.19,1.71,3.4,3.47,-       
2.5,0.19,1.72,3.4,3.34,-       
2.55,0.2,1.73,3.4,3.28,-       
2.6,0.21,1.74,3.4,3.21,-       
2.65,0.21,1.74,3.4,3.21,-       
2.7,0.19,1.74,3.4,3.19,-       
2.75,0.19,1.75,3.4,3.17,-       
2.8,0.19,1.75,3.4,3.15,-       
2.85,0.19,1.74,3.4,3.14,-       
2.9,0.2,1.75,3.4,3.14,-       
2.95,0.2,1.75,3.4,3.13,-       
3.0,0.2,1.75,3.4,3.13,-       
3.05,0.2,1.75,3.4,3.13,-       
3.1,0.18,1.75,3.4,3.12,-       
3.15,0.18,1.75,3.4,3.13,-       
3.2,0.18,1.76,3.4,3.14,-       
3.25,0.19,1.75,3.4,3.15,-       
3.3,0.19,1.77,3.4,3.17,-       
3.35,0.18,1.77,3.4,3.19,-       
3.4,0.18,1.77,3.4,3.19,-       
3.45,0.18,1.77,3.4,3.24,-       
3.5,0.17,1.76,3.4,3.27,-       
3.55,0.18,1.75,3.4,3.3,-       
3.6,0.18,1.75,3.4,3.32,-       
3.65,0.17,1.75,3.4,3.33,-       
3.7,0.17,1.75,3.4,3.33,-       
3.75,0.17,1.74,3.4,3.36,-       
3.8,0.17,1.74,3.4,3.36,-       
3.85,0.18,1.74,3.4,3.37,-       
3.9,0.18,1.75,3.4,3.39,-       
3.95,0.18,1.76,3.4,3.4,-       
4.0,0.17,1.75,3.4,3.41,-       
4.05,0.18,1.74,3.4,3.41,-       
4.1,0.2,1.73,3.4,3.43,-       
4.15,0.21,1.72,3.4,3.43,-       
4.2,0.18,1.73,3.4,3.44,-       
4.25,0.18,1.73,3.4,3.44,-       
4.3,0.23,1.71,3.4,3.49,-       
4.35,0.15,1.75,3.4,3.51,-       
4.4,0.2,1.72,3.4,3.52,-       
4.45,0.1,1.79,3.4,3.52,-       
4.5,0.17,1.72,3.4,3.51,gaze started: p_3_2
4.55,0.18,1.72,3.4,3.52,gaze started: p_3_3
4.6,0.18,1.72,3.4,3.52,gaze started: p_3_3
4.65,0.19,1.71,3.4,3.54,-       
4.7,0.15,1.73,3.4,3.54,-       
4.75,0.14,1.74,3.4,3.54,-       
4.8,0.15,1.74,3.4,3.52,-       
4.85,0.16,1.74,3.4,3.51,gaze fixated: p_3_3
4.9,0.15,1.73,3.4,3.47,-       
4.95,0.15,1.74,3.4,3.44,-       
5.0,0.15,1.74,3.4,3.44,-       
5.05,0.14,1.74,3.4,3.43,-       
5.1,0.14,1.76,3.46,3.43,-       
5.15,0.19,1.71,3.4,3.43,gaze ended: p_3_3
5.2,0.13,1.76,3.4,3.44,gaze started: p_3_3
5.25,0.13,1.78,3.4,3.43,gaze started: p_3_2
5.3,0.13,1.77,3.4,3.39,-       
5.35,0.13,1.77,3.4,3.39,-       
5.4,0.13,1.77,3.46,3.33,-       
5.45,0.13,1.77,3.4,3.29,-       
5.5,0.14,1.78,3.46,3.27,gaze started: p_3_2
5.55,0.13,1.78,3.46,3.24,-       
5.6,0.13,1.78,3.4,3.23,-       
5.65,0.13,1.78,3.46,3.2,gaze started: p_3_2
5.7,0.12,1.78,3.4,3.21,-       
5.75,0.13,1.77,3.4,3.22,gaze started: p_3_2
5.8,0.13,1.77,3.4,3.22,gaze started: p_3_2
5.85,0.12,1.77,3.4,3.23,-       
5.9,0.12,1.78,3.4,3.24,-       
5.95,0.19,1.73,3.4,3.27,-       
6.0,0.16,1.75,3.4,3.27,gaze started: p_3_3
6.05,0.16,1.75,3.4,3.27,gaze started: p_3_3
6.1,0.16,1.75,3.4,3.29,-       
6.15,0.16,1.75,3.4,3.32,-       
6.2,0.16,1.74,3.4,3.32,-       
6.25,0.16,1.74,3.4,3.31,-       
6.3,0.15,1.75,3.4,3.32,gaze fixated: p_3_3
6.35,0.15,1.76,3.4,3.31,-       
6.4,0.15,1.76,3.4,3.31,-       
6.45,0.16,1.76,3.4,3.3,-       
6.5,0.16,1.77,3.4,3.31,-       
6.55,0.16,1.76,3.4,3.33,-       
