time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.65,0.83,-0.37,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_starbucks_30s_100.mp4
0.05,0.65,0.83,-0.37,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_starbucks_30s_100.mp4
0.1,0.62,0.84,-0.4,,-       
0.15,-0.71,1.82,3.4,2.79,-       
0.2,-0.71,1.82,3.4,2.79,-       
0.25,-0.64,1.76,3.4,2.65,gaze started: p_2_1
0.3,-0.39,1.71,3.4,2.67,gaze started: p_3_2
0.35,-0.49,1.68,3.4,2.68,-       
0.4,-0.49,1.68,3.4,2.68,-       
0.45,-0.46,1.67,3.4,2.67,-       
0.5,-0.43,1.71,3.4,2.68,-       
0.55,-0.36,1.74,3.4,2.81,gaze fixated: p_3_2
0.6,0.04,1.73,3.4,2.73,-       
0.65,0.02,1.81,3.4,2.69,-       
0.7,0.02,1.81,3.4,2.69,-       
0.75,0.7,0.77,-0.48,,gaze started: p_2_2
0.8,0.7,0.77,-0.48,,-       
0.85,0.7,0.77,-0.48,,-       
0.9,0.7,0.77,-0.48,,-       
0.95,-0.85,0.69,3.57,2.69,-       
1.0,-0.93,0.73,3.57,2.67,-       
1.05,-0.94,0.74,3.57,2.66,-       
1.1,-1.47,0.53,3.28,2.65,-       
1.15,-1.5,0.54,3.37,2.64,-       
1.2,-1.5,0.54,3.37,2.64,-       
1.25,-1.49,0.55,3.38,2.61,-       
1.3,-1.47,0.54,3.37,2.66,-       
1.35,-1.44,0.55,3.37,2.68,-       
1.4,-1.44,0.55,3.37,2.68,-       
1.45,-0.39,1.29,3.4,2.65,-       
1.5,0.11,1.74,3.4,2.75,gaze started: p_4_2
1.55,0.0,1.72,3.4,2.52,gaze started: p_3_2
1.6,0.06,1.69,3.4,2.43,-       
1.65,0.06,1.69,3.4,2.43,-       
1.7,0.01,1.69,3.4,2.31,-       
1.75,0.0,1.67,3.4,2.21,-       
1.8,0.06,1.66,3.4,2.1,gaze fixated: p_3_2
1.85,0.09,1.67,3.4,2.04,-       
1.9,0.09,1.67,3.4,2.04,-       
1.95,0.12,1.67,3.4,1.99,-       
2.0,0.08,1.67,3.4,1.94,-       
2.05,0.08,1.67,3.4,1.92,-       
2.1,0.06,1.66,3.4,1.93,-       
2.15,0.09,1.65,3.4,1.9,-       
2.2,0.09,1.65,3.4,1.89,-       
2.25,0.09,1.65,3.4,1.89,-       
2.3,0.11,1.64,3.4,1.91,-       
2.35,0.04,1.63,3.4,1.93,-       
2.4,0.04,1.63,3.4,1.93,-       
2.45,0.09,1.65,3.4,1.93,-       
2.5,-0.01,1.84,3.4,1.96,-       
