time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.19,1.4,3.4,3.6,-       
0.05,0.17,1.41,3.4,3.62,-       
0.1,0.18,1.4,3.4,3.62,-       
0.15,0.12,1.44,3.4,3.63,gaze fixated: p_3_3
0.2,0.18,1.4,3.4,3.66,gaze started: p_3_2
0.25,0.18,1.39,3.4,3.66,gaze started: p_3_3
0.3,0.16,1.39,3.4,3.63,-       
0.35,0.18,1.39,3.4,3.64,-       
0.4,0.19,1.4,3.4,3.68,-       
0.45,0.11,1.45,3.4,3.67,-       
0.5,0.11,1.44,3.4,3.68,gaze started: p_3_2
0.55,0.11,1.44,3.4,3.68,gaze started: p_3_2
0.6,0.11,1.44,3.4,3.68,gaze started: p_3_2
0.65,0.11,1.44,3.4,3.68,gaze started: p_3_2
0.7,0.11,1.44,3.4,3.68,gaze started: p_3_2
0.75,0.11,1.44,3.4,3.68,gaze started: p_3_2
0.8,0.11,1.44,3.4,3.68,gaze started: p_3_2
0.85,0.11,1.44,3.4,3.68,gaze started: p_3_2
0.9,0.11,1.44,3.4,3.68,gaze started: p_3_2
0.95,0.11,1.44,3.4,3.68,gaze started: p_3_2
1.0,0.11,1.44,3.4,3.68,gaze started: p_3_2
1.05,0.12,1.4,3.4,3.61,-       
1.1,0.12,1.4,3.4,3.59,-       
1.15,0.12,1.41,3.4,3.59,-       
1.2,0.12,1.42,3.4,3.59,-       
1.25,0.12,1.42,3.4,3.59,-       
1.3,0.1,1.46,3.4,3.61,-       
1.35,-0.22,1.18,3.4,3.73,-       
1.4,-0.35,0.88,3.4,3.68,gaze started: p_4_2
1.45,-0.36,0.9,3.4,3.68,-       
1.5,-0.38,0.92,3.4,3.7,-       
1.55,-0.35,0.64,3.57,3.79,-       
1.6,-0.24,0.55,3.57,3.76,-       
1.65,-0.28,0.56,3.57,3.78,-       
1.7,-0.27,0.55,3.57,3.8,-       
1.75,-0.25,0.55,3.57,3.8,-       
1.8,0.57,0.77,-0.3,,-       
1.85,0.57,0.77,-0.3,,-       
1.9,0.57,0.77,-0.3,,-       
1.95,0.56,0.77,-0.3,,-       
2.0,0.56,0.77,-0.3,,-       
2.05,-0.05,1.66,3.4,3.58,-       
2.1,-0.06,1.67,3.4,3.7,gaze started: p_3_2
2.15,-0.06,1.69,3.4,3.76,-       
2.2,-0.02,1.68,3.4,3.77,-       
2.25,0.07,1.65,3.4,3.78,-       
2.3,0.07,1.65,3.4,3.79,-       
2.35,0.1,1.64,3.4,3.8,gaze fixated: p_3_2
2.4,0.05,1.67,3.4,3.81,-       
2.45,0.05,1.67,3.4,3.81,-       
2.5,0.06,1.66,3.4,3.78,-       
2.55,0.04,1.67,3.4,3.46,-       
2.6,0.12,1.66,3.4,3.21,-       
2.65,0.1,1.66,3.4,3.06,-       
2.7,0.05,1.69,3.4,2.85,-       
2.75,0.05,1.7,3.4,2.72,-       
2.8,0.05,1.71,3.4,2.68,-       
2.85,0.04,1.7,3.4,2.59,-       
2.9,0.05,1.7,3.4,2.56,-       
2.95,0.06,1.7,3.4,2.55,-       
3.0,0.05,1.7,3.4,2.55,-       
3.05,0.05,1.71,3.4,2.54,-       
3.1,0.05,1.71,3.4,2.54,-       
3.15,0.06,1.71,3.4,2.53,-       
3.2,0.06,1.71,3.4,2.55,-       
3.25,0.06,1.71,3.4,2.55,-       
3.3,0.13,1.7,3.4,2.58,-       
3.35,0.13,1.7,3.4,2.6,-       
3.4,0.1,1.71,3.4,2.61,-       
3.45,0.09,1.71,3.4,2.62,-       
3.5,0.09,1.71,3.4,2.65,-       
3.55,0.09,1.71,3.4,2.69,-       
3.6,0.08,1.71,3.4,2.71,-       
3.65,0.07,1.72,3.4,2.73,-       
3.7,0.09,1.7,3.4,2.75,-       
3.75,0.09,1.7,3.4,2.76,-       
3.8,0.09,1.7,3.4,2.78,-       
3.85,0.08,1.71,3.4,2.8,-       
3.9,0.09,1.69,3.4,2.84,-       
3.95,0.03,1.72,3.4,2.85,-       
4.0,0.03,1.74,3.4,2.85,-       
4.05,0.11,1.68,3.4,2.88,-       
4.1,0.11,1.68,3.4,2.9,-       
4.15,0.08,1.71,3.4,2.91,-       
4.2,0.57,0.77,-0.3,,-       
4.25,0.57,0.77,-0.3,,-       
4.3,0.57,0.77,-0.3,,-       
4.35,0.57,0.77,-0.3,,-       
4.4,-0.39,1.58,3.4,2.93,-       
4.45,-0.38,1.62,3.4,2.96,gaze started: p_3_2
4.5,-0.39,1.62,3.4,3.0,-       
4.55,-0.39,1.62,3.4,3.0,-       
4.6,0.08,1.34,3.46,3.04,gaze started: p_4_2
4.65,0.04,1.34,3.46,3.03,-       
