time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.15,1.79,3.4,4.47,-       
0.05,0.15,1.79,3.4,4.47,-       
0.1,0.06,1.88,3.4,4.47,gaze started: p_3_3
0.15,0.13,1.84,3.4,4.48,gaze started: p_2_2
0.2,0.12,1.82,3.4,4.52,-       
0.25,0.12,1.82,3.4,4.52,-       
0.3,0.05,1.86,3.4,4.57,-       
0.35,0.6,0.85,-0.6,,-       
0.4,0.6,0.85,-0.6,,-       
0.45,0.59,0.86,-0.6,,-       
0.5,0.59,0.86,-0.6,,-       
0.55,0.59,0.86,-0.6,,-       
0.6,0.58,0.86,-0.6,,-       
0.65,0.18,1.87,3.4,4.67,-       
0.7,0.58,0.86,-0.6,,gaze started: p_2_3
0.75,0.58,0.86,-0.6,,gaze started: p_2_3
0.8,0.58,0.86,-0.6,,-       
0.85,0.58,0.86,-0.6,,-       
0.9,0.58,0.86,-0.6,,-       
0.95,0.58,0.86,-0.6,,-       
1.0,0.02,1.85,3.4,4.78,-       
1.05,0.06,1.81,3.4,4.73,gaze started: p_2_2
1.1,0.06,1.81,3.4,4.73,gaze started: p_2_2
1.15,0.05,1.87,3.4,4.68,-       
1.2,0.05,1.8,3.46,4.54,-       
1.25,0.05,1.8,3.46,4.54,-       
1.3,0.19,1.89,3.4,4.09,-       
1.35,0.2,1.89,3.4,4.04,gaze started: p_2_3
1.4,0.19,1.88,3.4,3.9,-       
1.45,0.19,1.88,3.4,3.9,-       
1.5,0.21,1.87,3.4,3.75,-       
1.55,0.23,1.85,3.4,3.52,-       
1.6,0.23,1.85,3.4,3.52,-       
1.65,0.24,1.84,3.4,3.39,gaze fixated: p_2_3
1.7,0.57,0.86,-0.6,,-       
1.75,0.57,0.86,-0.6,,gaze ended: p_2_3
1.8,0.57,0.86,-0.6,,gaze ended: p_2_3
1.85,0.58,0.86,-0.6,,-       
1.9,0.58,0.86,-0.6,,-       
1.95,0.14,1.93,3.46,3.1,-       
2.0,0.14,1.93,3.46,3.1,-       
2.05,0.25,1.93,3.4,3.09,-       
2.1,0.46,1.97,3.4,3.04,gaze started: p_2_3
2.15,0.37,1.98,3.4,3.08,-       
2.2,0.37,1.98,3.4,3.08,-       
2.25,0.38,1.98,3.4,3.13,-       
2.3,0.38,1.98,3.4,3.14,-       
2.35,0.38,1.98,3.4,3.14,-       
2.4,0.39,1.97,3.4,3.13,gaze fixated: p_2_3
2.45,0.59,0.86,-0.59,,-       
2.5,0.6,0.85,-0.6,,gaze ended: p_2_3
2.55,0.6,0.85,-0.6,,gaze ended: p_2_3
2.6,0.6,0.85,-0.6,,-       
2.65,0.6,0.85,-0.6,,-       
2.7,0.59,0.86,-0.59,,-       
2.75,0.52,1.93,3.4,3.36,-       
2.8,0.5,1.92,3.4,3.37,gaze started: p_2_3
2.85,0.5,1.92,3.4,3.37,gaze started: p_2_3
2.9,0.57,1.96,3.4,3.4,-       
2.95,0.6,2.02,3.4,3.57,-       
3.0,0.59,0.86,-0.59,,-       
3.05,0.59,0.86,-0.59,,-       
3.1,0.59,0.86,-0.59,,-       
3.15,0.58,0.86,-0.6,,-       
3.2,0.58,0.86,-0.6,,-       
3.25,0.58,0.86,-0.6,,-       
3.3,0.21,2.03,3.4,3.49,-       
3.35,0.24,2.05,3.4,3.53,gaze started: p_2_3
3.4,0.29,1.97,3.4,3.58,-       
3.45,0.29,1.97,3.4,3.58,-       
3.5,0.29,1.96,3.4,3.57,-       
3.55,0.35,1.93,3.4,3.63,-       
3.6,0.35,1.93,3.4,3.63,-       
3.65,0.58,0.86,-0.59,,gaze fixated: p_2_3
3.7,0.58,0.86,-0.59,,gaze ended: p_2_3
3.75,0.58,0.86,-0.59,,gaze ended: p_2_3
3.8,0.58,0.86,-0.59,,-       
3.85,0.58,0.86,-0.59,,-       
3.9,0.26,1.93,3.4,3.89,-       
3.95,0.26,1.93,3.4,3.89,-       
4.0,0.39,1.95,3.4,3.92,gaze started: p_2_3
4.05,0.24,1.91,3.4,3.91,-       
4.1,0.23,1.87,3.4,3.95,-       
4.15,0.23,1.87,3.4,3.95,-       
4.2,0.19,1.85,3.4,3.92,-       
4.25,0.28,1.83,3.4,3.85,gaze fixated: p_2_3
4.3,0.28,1.83,3.4,3.85,gaze fixated: p_2_3
4.35,0.2,1.82,3.4,3.73,-       
4.4,0.17,1.81,3.46,3.7,-       
4.45,0.18,1.81,3.46,3.66,gaze ended: p_2_3
4.5,0.18,1.81,3.46,3.66,gaze ended: p_2_3
4.55,0.18,1.8,3.46,3.61,-       
4.6,0.17,1.8,3.46,3.6,-       
4.65,0.18,1.81,3.4,3.61,-       
4.7,0.18,1.81,3.4,3.61,-       
4.75,0.17,1.81,3.4,3.65,gaze started: p_2_3
4.8,0.15,1.81,3.4,3.66,-       
4.85,0.15,1.81,3.4,3.66,-       
4.9,0.15,1.82,3.4,3.67,-       
4.95,0.58,0.86,-0.59,,-       
5.0,0.58,0.86,-0.59,,-       
5.05,0.59,0.86,-0.59,,-       
5.1,0.59,0.86,-0.59,,-       
5.15,0.59,0.86,-0.59,,-       
5.2,0.59,0.86,-0.59,,-       
5.25,0.17,1.81,3.46,3.62,-       
5.3,0.2,1.81,3.46,3.65,-       
5.35,0.2,1.81,3.46,3.65,-       
5.4,0.18,1.79,3.4,3.69,-       
