time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.48,2.39,3.4,3.63,-       
0.05,-0.47,2.39,3.4,3.68,-       
0.1,-0.47,2.39,3.4,3.72,-       
0.15,-0.41,2.4,3.4,3.82,-       
0.2,-0.45,2.41,3.4,3.91,-       
0.25,-0.49,2.44,3.4,4.0,-       
0.3,-0.47,2.42,3.4,3.94,-       
0.35,-0.48,2.4,3.4,3.94,-       
0.4,-0.47,2.42,3.4,3.95,-       
0.45,-0.48,2.42,3.4,3.96,-       
0.5,-0.48,2.42,3.4,3.95,-       
0.55,-0.48,2.43,3.4,3.94,-       
0.6,-0.48,2.43,3.4,3.93,-       
0.65,-0.48,2.43,3.4,3.93,-       
0.7,-0.48,2.43,3.4,3.93,-       
0.75,-0.48,2.43,3.4,3.93,-       
0.8,-0.48,2.43,3.4,3.93,-       
0.85,-0.48,2.43,3.4,3.93,-       
0.9,-0.48,2.43,3.4,3.93,-       
0.95,-0.48,2.43,3.4,3.93,-       
1.0,-0.48,2.43,3.4,3.93,-       
1.05,-0.48,2.43,3.4,3.93,-       
1.1,-0.65,2.16,3.4,4.08,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_starbucks_30s_50nd.mp4
1.15,-0.64,2.16,3.4,4.08,gaze started: p_2_2
1.2,-0.63,2.17,3.4,4.05,-       
1.25,-0.63,2.17,3.4,4.04,-       
1.3,-0.62,2.16,3.4,4.01,-       
1.35,-0.62,2.17,3.4,3.99,-       
1.4,-0.61,2.16,3.4,3.94,-       
1.45,-0.42,2.06,3.4,3.8,gaze fixated: p_2_2
1.5,-0.34,1.96,3.4,3.82,-       
1.55,-0.33,1.97,3.4,3.86,-       
1.6,-0.3,1.97,3.4,3.86,-       
1.65,-0.31,1.97,3.4,3.88,-       
1.7,-0.32,1.97,3.4,3.9,-       
1.75,-0.31,1.97,3.4,3.94,-       
1.8,-0.17,1.9,3.4,3.91,-       
1.85,0.01,1.81,3.46,3.96,-       
1.9,0.04,1.78,3.4,4.02,gaze ended: p_2_2
1.95,0.07,1.77,3.4,4.07,gaze started: p_3_2
2.0,0.06,1.75,3.4,4.01,-       
2.05,0.01,1.66,3.4,3.71,-       
2.1,0.68,0.59,-0.22,,-       
2.15,0.01,1.69,3.4,3.88,-       
2.2,0.11,1.76,3.4,4.13,gaze started: p_3_2
2.25,0.1,1.76,3.4,4.15,-       
2.3,0.12,1.74,3.4,4.13,-       
2.35,0.05,1.71,3.4,4.17,-       
2.4,0.05,1.7,3.4,4.2,-       
2.45,0.02,1.71,3.4,4.2,-       
2.5,0.04,1.7,3.4,4.19,gaze fixated: p_3_2
2.55,0.03,1.71,3.4,4.2,-       
2.6,0.04,1.7,3.4,4.08,-       
2.65,0.25,1.68,3.4,3.58,-       
2.7,0.51,1.59,3.4,3.37,gaze started: p_3_3
2.75,0.52,1.58,3.4,3.26,-       
2.8,0.53,1.58,3.4,3.07,-       
2.85,0.53,1.57,3.4,2.99,-       
2.9,0.57,1.58,3.4,2.91,-       
2.95,0.54,1.58,3.4,2.84,gaze fixated: p_3_3
3.0,0.56,1.6,3.4,2.82,-       
3.05,0.55,1.59,3.4,2.8,-       
3.1,0.56,1.6,3.4,2.79,-       
3.15,0.55,1.61,3.4,2.79,-       
3.2,0.54,1.62,3.4,2.8,-       
3.25,0.53,1.62,3.4,2.82,-       
3.3,0.53,1.62,3.4,2.83,-       
3.35,0.53,1.62,3.4,2.84,-       
3.4,0.53,1.62,3.4,2.88,-       
3.45,0.53,1.63,3.4,2.93,-       
3.5,0.53,1.63,3.4,2.98,-       
3.55,0.52,1.64,3.4,3.03,-       
3.6,0.36,1.75,3.4,3.08,-       
3.65,0.17,1.97,3.4,3.12,-       
3.7,0.08,1.98,3.4,3.12,gaze started: p_2_3
3.75,0.07,1.98,3.4,3.15,gaze started: p_2_2
3.8,0.08,1.98,3.4,3.18,-       
3.85,0.07,1.98,3.4,3.21,-       
3.9,0.12,1.98,3.4,3.29,-       
3.95,0.68,0.59,-0.22,,-       
4.0,0.68,0.59,-0.22,,-       
4.05,0.26,1.91,3.4,3.38,-       
4.1,0.27,1.89,3.4,3.46,gaze started: p_2_3
4.15,0.26,1.91,3.4,3.36,-       
4.2,0.25,1.89,3.4,3.28,-       
4.25,0.26,1.91,3.4,3.28,-       
4.3,0.26,1.91,3.4,3.28,-       
4.35,0.26,1.91,3.4,3.26,gaze fixated: p_2_3
4.4,0.26,1.91,3.4,3.23,-       
4.45,0.26,1.91,3.4,3.18,-       
4.5,0.25,1.91,3.4,3.15,-       
4.55,0.25,1.91,3.4,3.14,-       
4.6,0.25,1.92,3.4,3.15,-       
4.65,0.25,1.93,3.4,3.21,-       
4.7,0.25,1.93,3.4,3.26,-       
4.75,0.25,1.93,3.4,3.26,-       
4.8,0.25,1.94,3.4,3.32,-       
4.85,0.25,1.95,3.4,3.37,-       
4.9,0.24,1.94,3.4,3.44,-       
4.95,0.24,1.94,3.4,3.44,-       
5.0,0.24,1.95,3.4,3.47,-       
5.05,0.24,1.94,3.4,3.49,-       
5.1,0.25,1.94,3.4,3.49,-       
5.15,0.25,1.94,3.4,3.53,-       
5.2,0.25,1.95,3.4,3.55,-       
5.25,0.25,1.95,3.4,3.54,-       
5.3,0.25,1.96,3.4,3.53,-       
5.35,0.25,1.96,3.4,3.54,-       
5.4,0.24,1.96,3.4,3.54,-       
5.45,0.24,1.96,3.4,3.54,-       
5.5,0.24,1.96,3.4,3.56,-       
5.55,0.24,1.95,3.4,3.58,-       
5.6,0.23,1.95,3.4,3.61,-       
5.65,0.23,1.96,3.4,3.61,-       
5.7,0.23,1.96,3.4,3.57,-       
5.75,0.23,1.97,3.4,3.53,-       
5.8,0.24,1.97,3.4,3.49,-       
5.85,0.24,1.97,3.4,3.47,-       
5.9,0.24,1.98,3.4,3.47,-       
5.95,0.24,1.97,3.4,3.46,-       
6.0,0.24,1.97,3.4,3.46,-       
6.05,0.24,1.97,3.4,3.48,-       
6.1,0.24,1.97,3.4,3.51,-       
6.15,0.24,1.97,3.4,3.52,-       
6.2,0.24,1.96,3.4,3.52,-       
6.25,0.24,1.96,3.4,3.53,-       
6.3,0.24,1.96,3.4,3.52,-       
6.35,0.25,1.97,3.4,3.52,-       
6.4,0.24,1.97,3.4,3.52,-       
6.45,0.25,1.97,3.4,3.52,-       
6.5,0.25,1.97,3.4,3.5,-       
6.55,0.25,1.98,3.4,3.49,-       
6.6,0.25,1.99,3.4,3.48,-       
6.65,0.25,1.98,3.4,3.48,-       
6.7,0.26,1.97,3.4,3.49,-       
6.75,0.26,1.97,3.4,3.47,-       
6.8,0.26,1.97,3.4,3.45,-       
6.85,0.26,1.97,3.4,3.45,-       
6.9,0.25,1.97,3.4,3.47,-       
6.95,0.25,1.98,3.4,3.48,-       
7.0,0.25,1.98,3.4,3.47,-       
7.05,0.25,1.98,3.4,3.48,-       
7.1,0.24,1.98,3.4,3.47,-       
7.15,0.24,1.99,3.4,3.47,-       
