time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.25,0.93,3.4,4.96,-       
0.05,0.24,1.01,3.4,4.98,-       
0.1,0.27,0.89,3.4,4.98,-       
0.15,0.27,0.88,3.4,4.99,gaze fixated: p_4_3
0.2,0.24,0.96,3.4,5.01,-       
0.25,0.24,0.96,3.4,5.01,-       
0.3,0.25,0.93,3.4,5.01,-       
0.35,0.25,0.93,3.4,5.01,-       
0.4,0.25,0.93,3.4,5.01,-       
0.45,0.25,0.93,3.4,5.01,-       
0.5,0.25,0.93,3.4,5.01,-       
0.55,0.25,0.93,3.4,5.01,-       
0.6,0.25,0.93,3.4,5.01,-       
0.65,0.25,0.93,3.4,5.01,-       
0.7,0.25,0.93,3.4,5.01,-       
0.75,0.25,0.93,3.4,5.01,-       
0.8,0.05,0.38,2.94,4.92,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_starbucks_30s_50wd.mp4
0.85,0.05,0.38,2.94,4.92,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_starbucks_30s_50wd.mp4
0.9,0.05,0.38,2.94,4.92,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_starbucks_30s_50wd.mp4
0.95,0.33,0.53,3.28,4.86,gaze ended: p_4_3
1.0,0.31,0.53,3.08,4.76,-       
1.05,0.46,1.02,3.4,4.9,-       
1.1,0.48,1.01,3.4,4.91,gaze started: p_4_3
1.15,0.5,0.89,3.4,4.93,-       
1.2,0.53,0.86,3.46,4.96,-       
1.25,0.77,1.04,3.4,5.03,-       
1.3,2.07,0.63,3.57,5.08,gaze started: p_4_3
1.35,2.07,0.66,3.57,5.07,-       
1.4,2.03,0.72,3.57,5.11,-       
1.45,2.01,0.72,3.57,5.11,-       
1.5,2.0,0.72,3.57,5.13,-       
1.55,2.0,0.72,3.57,5.12,-       
1.6,2.5,0.57,3.57,5.25,-       
1.65,2.6,0.34,3.51,5.35,-       
1.7,2.45,0.38,3.57,5.11,-       
1.75,2.02,0.53,3.13,5.07,-       
1.8,2.33,0.47,3.57,5.09,-       
1.85,2.32,0.49,3.57,5.12,-       
1.9,2.28,0.49,3.57,5.13,-       
1.95,1.94,0.72,3.57,5.16,-       
2.0,1.65,0.59,3.26,4.98,-       
2.05,1.69,0.59,3.35,5.0,-       
2.1,1.59,0.53,2.93,5.02,-       
2.15,0.62,0.82,-0.35,,-       
2.2,0.62,0.82,-0.35,,-       
2.25,0.62,0.82,-0.35,,-       
2.3,0.62,0.82,-0.35,,-       
2.35,0.62,0.82,-0.35,,-       
2.4,0.24,1.75,3.4,4.28,-       
2.45,0.27,1.75,3.4,4.07,gaze started: p_3_3
2.5,0.26,1.52,3.4,3.96,-       
2.55,0.26,1.57,3.4,3.93,-       
2.6,0.26,1.58,3.4,3.86,-       
2.65,0.26,1.58,3.4,3.78,-       
2.7,0.26,1.54,3.4,3.69,gaze fixated: p_3_3
2.75,0.26,1.55,3.4,3.65,-       
2.8,0.27,1.53,3.4,3.59,-       
2.85,0.27,1.53,3.4,3.57,-       
2.9,0.27,1.53,3.4,3.57,-       
2.95,0.27,1.49,3.4,3.49,-       
3.0,0.28,1.49,3.4,3.47,-       
3.05,0.27,1.55,3.4,3.51,-       
3.1,0.27,1.54,3.4,3.48,-       
3.15,0.28,1.56,3.4,3.49,-       
3.2,0.29,1.55,3.4,3.49,-       
3.25,0.29,1.55,3.4,3.51,-       
3.3,0.29,1.53,3.4,3.5,-       
3.35,0.28,1.54,3.4,3.49,-       
3.4,0.29,1.58,3.4,3.59,-       
3.45,0.14,1.88,3.46,3.7,-       
3.5,0.16,1.86,3.4,3.7,gaze ended: p_3_3
3.55,0.16,1.84,3.4,3.74,gaze started: p_2_3
3.6,0.16,1.84,3.4,3.74,gaze started: p_2_3
3.65,0.17,1.91,3.4,3.91,-       
3.7,0.17,1.91,3.4,3.91,-       
3.75,0.17,1.86,3.4,4.01,-       
3.8,0.17,1.86,3.4,4.01,-       
3.85,0.2,1.85,3.4,4.08,-       
3.9,0.2,1.85,3.4,4.08,-       
3.95,0.18,1.88,3.4,4.16,-       
4.0,0.18,1.88,3.4,4.16,-       
4.05,0.19,1.89,3.4,4.26,-       
4.1,0.19,1.89,3.4,4.26,-       
4.15,0.21,1.89,3.4,4.31,-       
4.2,0.21,1.89,3.4,4.31,-       
4.25,0.19,1.88,3.4,4.33,-       
4.3,0.22,1.94,3.4,4.37,-       
4.35,0.28,1.98,3.4,4.39,-       
4.4,0.28,1.97,3.4,4.4,-       
4.45,0.28,2.08,3.4,4.44,-       
4.5,0.27,2.09,3.4,4.44,-       
4.55,0.27,2.04,3.4,4.42,-       
4.6,0.27,2.03,3.4,4.41,-       
4.65,0.28,2.07,3.4,4.42,-       
4.7,0.24,2.08,3.4,4.42,-       
4.75,0.62,0.82,-0.35,,-       
4.8,0.62,0.82,-0.35,,gaze ended: p_2_3
4.85,0.62,0.81,-0.35,,-       
4.9,0.63,0.81,-0.35,,-       
4.95,0.63,0.81,-0.35,,-       
5.0,0.25,1.85,3.4,4.37,-       
5.05,0.21,1.84,3.4,4.35,gaze started: p_2_3
5.1,0.2,1.86,3.4,4.37,-       
5.15,0.17,1.88,3.4,4.4,-       
5.2,0.15,1.86,3.4,4.39,-       
5.25,0.16,1.87,3.4,4.38,-       
5.3,0.17,1.87,3.4,4.38,-       
5.35,0.2,1.85,3.4,4.39,gaze fixated: p_2_3
5.4,0.18,1.88,3.4,4.38,-       
