time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.11,1.44,3.4,2.96,-       
0.05,-0.11,1.44,3.4,2.96,-       
0.1,0.59,0.84,-0.4,,-       
0.15,0.59,0.84,-0.4,,-       
0.2,0.59,0.84,-0.4,,-       
0.25,0.59,0.84,-0.4,,-       
0.3,0.07,1.57,3.4,2.84,-       
0.35,0.12,1.62,3.4,2.87,gaze started: p_3_2
0.4,0.11,1.69,3.4,2.88,-       
0.45,0.11,1.69,3.4,2.91,-       
0.5,0.11,1.69,3.4,2.91,-       
0.55,0.1,1.68,3.4,2.93,-       
0.6,0.09,1.7,3.4,2.95,gaze fixated: p_3_2
0.65,0.09,1.71,3.4,2.95,-       
0.7,0.09,1.71,3.4,2.95,-       
0.75,0.09,1.7,3.4,2.96,-       
0.8,0.08,1.72,3.4,2.99,-       
0.85,0.08,1.72,3.4,2.99,-       
0.9,0.09,1.71,3.4,2.99,-       
0.95,0.11,1.71,3.4,2.98,-       
1.0,0.09,1.72,3.4,2.97,-       
1.05,0.09,1.72,3.4,2.97,-       
1.1,0.1,1.7,3.4,3.0,-       
1.15,0.1,1.71,3.4,3.03,-       
1.2,0.09,1.71,3.4,3.03,-       
1.25,0.09,1.7,3.4,2.96,-       
1.3,0.09,1.7,3.4,2.96,-       
1.35,0.55,1.63,3.4,2.59,-       
1.4,0.54,1.63,3.4,2.51,gaze started: p_3_3
1.45,0.54,1.63,3.4,2.45,-       
1.5,0.52,1.65,3.4,2.36,-       
1.55,0.52,1.65,3.4,2.36,-       
1.6,0.53,1.66,3.4,2.25,-       
1.65,0.46,1.58,3.4,2.17,gaze fixated: p_3_3
1.7,0.59,0.84,-0.4,,-       
1.75,0.59,0.84,-0.4,,-       
1.8,0.59,0.84,-0.4,,gaze ended: p_3_3
1.85,-0.21,1.72,3.4,2.15,-       
1.9,-0.16,1.82,3.4,2.13,gaze started: p_3_2
1.95,-0.16,1.82,3.4,2.13,gaze started: p_3_2
2.0,-0.18,1.87,3.4,2.16,gaze started: p_2_2
2.05,-0.16,1.87,3.4,2.15,-       
2.1,-0.16,1.83,3.4,2.2,-       
2.15,-0.16,1.83,3.4,2.2,-       
2.2,-0.24,1.9,3.4,2.17,-       
2.25,-0.16,2.04,3.4,2.24,gaze fixated: p_2_2
2.3,0.02,2.07,3.4,2.25,-       
2.35,0.02,2.07,3.4,2.25,-       
2.4,0.59,0.84,-0.4,,-       
2.45,0.59,0.84,-0.4,,gaze ended: p_2_2
2.5,0.59,0.84,-0.4,,-       
2.55,0.59,0.84,-0.4,,-       
2.6,0.59,0.84,-0.4,,-       
2.65,0.15,1.53,3.4,2.38,-       
2.7,0.15,1.55,3.4,2.37,gaze started: p_3_3
2.75,0.14,1.48,3.4,2.41,-       
2.8,0.14,1.51,3.46,2.44,-       
2.85,0.14,1.51,3.46,2.44,-       
2.9,0.13,1.49,3.4,2.49,-       
2.95,0.1,1.52,3.4,2.52,gaze started: p_3_2
3.0,0.12,1.53,3.4,2.53,-       
3.05,0.12,1.53,3.4,2.53,-       
3.1,0.12,1.51,3.4,2.53,-       
3.15,0.12,1.5,3.4,2.48,-       
3.2,0.11,1.52,3.4,2.45,gaze fixated: p_3_2
3.25,0.11,1.52,3.4,2.45,gaze fixated: p_3_2
3.3,0.12,1.5,3.4,2.44,-       
3.35,0.12,1.52,3.4,2.42,-       
3.4,0.12,1.52,3.4,2.41,-       
3.45,0.12,1.51,3.4,2.38,-       
3.5,0.12,1.51,3.4,2.38,-       
3.55,0.14,1.52,3.46,2.35,-       
3.6,0.14,1.52,3.4,2.36,gaze ended: p_3_2
3.65,0.14,1.52,3.46,2.35,gaze started: p_3_3
3.7,0.13,1.49,3.4,2.33,-       
3.75,0.13,1.49,3.4,2.33,-       
3.8,0.11,1.52,3.4,2.32,gaze started: p_3_2
3.85,0.13,1.52,3.4,2.31,-       
3.9,0.13,1.5,3.4,2.34,-       
3.95,0.13,1.5,3.4,2.34,-       
4.0,0.14,1.51,3.46,2.36,-       
4.05,0.14,1.54,3.46,2.38,-       
4.1,0.14,1.54,3.46,2.39,-       
4.15,0.14,1.54,3.46,2.39,-       
4.2,0.14,1.54,3.4,2.38,-       
4.25,0.2,1.97,3.4,2.44,gaze started: p_3_3
4.3,0.2,1.94,3.4,2.37,gaze started: p_2_3
4.35,0.2,1.96,3.4,2.36,-       
4.4,0.2,1.96,3.4,2.36,-       
4.45,0.17,1.96,3.4,2.36,-       
4.5,0.2,1.89,3.4,2.31,-       
4.55,0.23,1.94,3.4,2.3,gaze fixated: p_2_3
4.6,0.23,1.92,3.4,2.3,-       
4.65,0.23,1.92,3.4,2.3,-       
4.7,0.21,1.92,3.4,2.3,-       
4.75,0.22,1.92,3.4,2.31,-       
4.8,0.22,1.92,3.4,2.35,-       
4.85,0.22,1.92,3.4,2.35,-       
4.9,0.23,1.9,3.4,2.38,-       
4.95,0.23,1.87,3.4,2.38,-       
5.0,0.22,1.86,3.4,2.41,-       
5.05,0.22,1.86,3.4,2.41,-       
5.1,0.18,1.82,3.4,2.41,-       
5.15,0.19,1.82,3.4,2.41,-       
5.2,0.2,1.78,3.4,2.42,-       
5.25,0.2,1.79,3.4,2.41,gaze started: p_3_3
5.3,0.2,1.79,3.4,2.41,gaze started: p_3_3
5.35,0.22,1.86,3.4,2.42,-       
5.4,0.21,1.87,3.4,2.41,gaze started: p_2_3
5.45,0.21,1.87,3.4,2.41,gaze started: p_2_3
5.5,0.21,1.85,3.4,2.4,-       
5.55,0.2,1.86,3.4,2.39,-       
5.6,0.19,1.86,3.4,2.38,-       
5.65,0.19,1.86,3.4,2.38,-       
5.7,0.19,1.85,3.4,2.39,gaze fixated: p_2_3
5.75,0.2,1.83,3.4,2.39,-       
5.8,0.23,1.84,3.4,2.41,-       
5.85,0.23,1.84,3.4,2.41,-       
5.9,0.23,1.86,3.4,2.42,-       
5.95,0.22,1.83,3.4,2.43,-       
6.0,0.19,1.77,3.4,2.44,-       
6.05,0.19,1.77,3.4,2.44,-       
6.1,0.19,1.77,3.4,2.42,gaze started: p_3_3
6.15,0.2,1.8,3.46,2.43,-       
6.2,0.19,1.79,3.4,2.43,-       
6.25,0.19,1.79,3.4,2.43,-       
6.3,0.2,1.77,3.4,2.44,gaze started: p_3_3
6.35,0.2,1.77,3.4,2.44,-       
6.4,0.2,1.79,3.4,2.45,-       
