time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.65,2.07,3.4,3.22,-       
0.05,-0.65,2.07,3.4,3.22,-       
0.1,-0.65,2.07,3.4,3.23,-       
0.15,-0.66,2.08,3.4,3.25,-       
0.2,-0.63,2.19,3.4,3.18,-       
0.25,-0.64,2.3,3.4,3.19,-       
0.3,-0.63,2.31,3.4,3.14,gaze started: p_1_2
0.35,-0.63,2.31,3.4,3.14,gaze started: p_1_2
0.4,-0.62,2.3,3.4,3.11,-       
0.45,-0.61,2.3,3.4,3.09,-       
0.5,-0.64,2.3,3.4,3.04,-       
0.55,-0.71,2.42,3.4,3.06,-       
0.6,-0.71,2.42,3.4,3.04,gaze started: p_1_1
0.65,-0.72,2.44,3.46,3.03,-       
0.7,-0.72,2.44,3.46,3.03,-       
0.75,-0.71,2.41,3.4,2.98,-       
0.8,-0.71,2.41,3.4,2.96,gaze started: p_1_1
0.85,-0.76,2.43,3.4,2.95,-       
0.9,-0.76,2.44,3.4,2.94,-       
0.95,-0.77,2.45,3.4,2.93,-       
1.0,-0.77,2.45,3.4,2.92,-       
1.05,-0.66,2.23,3.4,2.81,gaze fixated: p_1_1
1.1,-0.66,2.23,3.4,2.81,gaze fixated: p_1_1
1.15,-0.66,2.23,3.4,2.81,gaze fixated: p_1_1
1.2,-0.66,2.23,3.4,2.81,gaze fixated: p_1_1
1.25,-0.66,2.23,3.4,2.81,gaze fixated: p_1_1
1.3,-0.66,2.23,3.4,2.81,gaze fixated: p_1_1
1.35,-0.66,2.23,3.4,2.81,gaze fixated: p_1_1
1.4,-0.66,2.23,3.4,2.81,gaze fixated: p_1_1
1.45,-0.66,2.23,3.4,2.81,gaze fixated: p_1_1
1.5,-0.66,2.23,3.4,2.81,gaze fixated: p_1_1
1.55,-0.65,2.19,3.4,2.83,gaze started: p_2_2
1.6,-0.65,2.19,3.4,2.83,gaze started: p_2_2
1.65,-0.65,2.19,3.4,2.84,-       
1.7,-0.64,2.18,3.4,2.84,-       
1.75,-0.65,2.22,3.4,2.81,-       
1.8,-0.66,2.22,3.4,2.81,-       
1.85,-0.65,2.22,3.4,2.82,gaze fixated: p_2_2
1.9,-0.66,2.22,3.4,2.8,-       
1.95,1.1,0.84,-0.78,,-       
2.0,1.1,0.84,-0.78,,gaze ended: p_2_2
2.05,1.11,0.84,-0.79,,-       
2.1,1.11,0.84,-0.79,,-       
2.15,1.11,0.84,-0.79,,-       
2.2,1.11,0.84,-0.79,,-       
2.25,1.11,0.84,-0.79,,-       
2.3,1.11,0.84,-0.79,,-       
2.35,-0.09,2.09,3.4,3.11,-       
2.4,-0.09,2.09,3.4,3.11,-       
2.45,0.11,2.11,3.4,3.17,gaze started: p_2_2
2.5,0.13,2.09,3.46,3.17,-       
2.55,0.08,2.08,3.4,3.2,-       
2.6,0.37,2.08,3.4,3.31,gaze started: p_2_2
2.65,1.06,2.23,3.4,3.31,gaze started: p_2_3
2.7,0.99,2.22,3.4,3.28,gaze started: p_2_4
2.75,0.99,2.22,3.4,3.28,gaze started: p_2_4
2.8,1.0,2.22,3.4,3.29,-       
2.85,1.0,2.21,3.4,3.29,-       
2.9,1.0,2.2,3.4,3.3,-       
2.95,1.0,2.2,3.4,3.32,-       
3.0,0.52,1.97,3.4,3.27,gaze fixated: p_2_4
3.05,0.35,1.81,3.46,3.21,gaze started: p_2_3
3.1,0.3,1.84,3.4,3.15,-       
3.15,0.32,1.83,3.4,3.01,gaze started: p_2_3
3.2,0.33,1.83,3.4,2.77,-       
3.25,0.34,1.79,3.4,2.47,-       
3.3,1.11,0.84,-0.79,,gaze started: p_3_3
3.35,1.11,0.84,-0.79,,-       
3.4,1.11,0.84,-0.79,,-       
3.45,1.11,0.84,-0.79,,-       
3.5,1.11,0.84,-0.79,,-       
3.55,1.11,0.84,-0.79,,-       
3.6,1.11,0.84,-0.79,,-       
3.65,1.11,0.84,-0.79,,-       
3.7,0.31,1.92,3.4,2.35,-       
3.75,0.14,1.96,3.46,2.42,gaze started: p_2_3
3.8,0.33,1.93,3.4,2.46,-       
3.85,0.17,1.96,3.4,2.56,gaze started: p_2_3
3.9,0.2,1.96,3.4,2.63,-       
3.95,0.23,1.98,3.4,2.65,-       
4.0,0.23,1.98,3.4,2.65,-       
4.05,0.25,1.97,3.4,2.64,-       
4.1,0.25,2.0,3.4,2.61,-       
4.15,0.24,2.0,3.4,2.57,gaze fixated: p_2_3
4.2,0.15,1.9,3.4,2.39,-       
4.25,1.11,0.84,-0.79,,-       
4.3,1.11,0.84,-0.79,,gaze ended: p_2_3
4.35,1.11,0.84,-0.79,,-       
4.4,1.11,0.84,-0.8,,-       
4.45,1.11,0.84,-0.8,,-       
4.5,1.11,0.84,-0.8,,-       
4.55,1.11,0.84,-0.79,,-       
4.6,1.11,0.84,-0.8,,-       
4.65,1.11,0.84,-0.8,,-       
4.7,1.11,0.84,-0.79,,-       
4.75,1.11,0.84,-0.79,,-       
4.8,1.11,0.84,-0.79,,-       
4.85,1.11,0.84,-0.8,,-       
4.9,1.11,0.84,-0.8,,-       
4.95,0.24,2.1,3.4,2.98,-       
5.0,0.23,2.1,3.4,3.03,gaze started: p_2_3
5.05,0.27,2.09,3.4,3.0,-       
5.1,0.23,2.1,3.4,3.0,-       
5.15,0.23,2.1,3.4,3.0,-       
5.2,0.37,2.05,3.4,2.97,-       
5.25,0.15,2.03,3.4,2.71,-       
5.3,0.22,1.99,3.4,2.58,gaze fixated: p_2_3
5.35,0.12,1.97,3.4,2.56,-       
5.4,0.11,1.97,3.4,2.53,gaze started: p_2_2
5.45,0.19,1.98,3.4,2.49,-       
5.5,0.18,1.94,3.4,2.49,gaze started: p_2_3
5.55,0.18,1.94,3.4,2.49,gaze started: p_2_3
5.6,0.09,1.62,3.4,2.5,-       
5.65,0.13,1.61,3.4,2.56,gaze started: p_3_2
5.7,-0.04,1.61,3.4,2.6,-       
5.75,0.19,1.39,3.4,2.69,-       
5.8,0.24,1.13,3.4,2.68,gaze started: p_3_3
5.85,0.1,1.04,3.4,2.65,gaze started: p_4_3
5.9,0.23,1.05,3.4,2.63,gaze started: p_4_2
5.95,0.23,1.05,3.4,2.63,gaze started: p_4_2
6.0,-0.0,0.53,3.44,2.68,gaze started: p_4_3
6.05,-0.1,0.53,3.45,2.68,-       
6.1,-0.1,0.53,3.42,2.69,-       
6.15,-0.09,0.53,3.39,2.72,-       
6.2,-0.17,0.53,2.99,2.7,-       
6.25,-0.22,0.53,2.94,2.71,-       
6.3,-0.22,0.53,2.94,2.7,-       
6.35,-0.21,0.53,2.93,2.71,-       
6.4,-0.21,0.53,2.93,2.71,-       
6.45,-0.2,0.52,2.93,2.72,-       
6.5,-0.2,0.53,2.93,2.77,-       
6.55,0.27,0.29,2.94,2.82,-       
6.6,0.47,0.19,2.94,2.91,-       
6.65,0.47,0.19,2.94,2.91,-       
6.7,0.48,0.18,2.94,2.9,-       
6.75,0.48,0.18,2.94,2.9,-       
6.8,0.5,0.26,2.94,3.22,-       
6.85,1.13,0.82,-0.89,,-       
6.9,1.13,0.82,-0.89,,-       
6.95,1.12,0.82,-0.88,,-       
7.0,1.12,0.82,-0.88,,-       
7.05,1.11,0.82,-0.88,,-       
7.1,1.11,0.82,-0.88,,-       
7.15,1.12,0.82,-0.87,,-       
7.2,0.12,2.04,3.4,3.05,-       
7.25,0.13,2.02,3.46,3.11,gaze started: p_2_2
7.3,0.22,2.02,3.4,3.21,-       
7.35,0.21,2.02,3.4,3.21,gaze started: p_2_3
7.4,0.23,2.02,3.4,3.18,-       
7.45,0.26,1.9,3.4,2.89,-       
7.5,0.26,1.9,3.4,2.89,-       
7.55,0.2,1.9,3.4,2.8,-       
7.6,0.23,1.89,3.4,2.74,-       
7.65,0.22,1.88,3.4,2.67,gaze fixated: p_2_3
7.7,0.22,1.83,3.4,2.61,-       
