time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.36,2.16,3.4,4.31,-       
0.05,0.36,2.16,3.4,4.31,-       
0.1,0.36,2.16,3.4,4.31,-       
0.15,0.36,2.16,3.4,4.31,-       
0.2,0.36,2.16,3.4,4.31,-       
0.25,0.36,2.16,3.4,4.31,-       
0.3,0.36,2.16,3.4,4.31,-       
0.35,0.36,2.16,3.4,4.31,-       
0.4,0.36,2.16,3.4,4.31,-       
0.45,0.36,2.16,3.4,4.31,-       
0.5,0.36,2.16,3.4,4.31,-       
0.55,0.36,2.16,3.4,4.31,-       
0.6,0.36,2.16,3.4,4.31,-       
0.65,0.73,1.59,3.4,4.32,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_under_armour_30s_100.mp4
0.7,0.73,1.59,3.4,4.32,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_under_armour_30s_100.mp4
0.75,0.73,1.59,3.4,4.32,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_under_armour_30s_100.mp4
0.8,1.26,1.2,3.4,4.34,gaze started: p_3_3
0.85,1.26,1.2,3.4,4.34,gaze started: p_3_3
0.9,1.24,1.2,3.4,4.34,gaze started: p_4_4
0.95,1.25,1.22,3.4,4.32,-       
1.0,1.27,1.24,3.4,4.3,-       
1.05,1.27,1.25,3.4,4.28,-       
1.1,0.73,1.59,3.4,4.36,-       
1.15,0.34,1.77,3.4,4.3,gaze started: p_3_3
1.2,0.96,0.84,-0.71,,-       
1.25,0.96,0.84,-0.71,,-       
1.3,0.96,0.84,-0.71,,-       
1.35,0.96,0.84,-0.71,,-       
1.4,0.96,0.84,-0.71,,-       
1.45,-0.14,1.93,3.4,4.77,-       
1.5,-0.14,1.93,3.4,4.77,-       
1.55,-0.12,1.91,3.4,4.83,gaze started: p_2_2
1.6,-0.05,1.93,3.4,4.81,-       
1.65,-0.04,1.94,3.4,4.84,-       
1.7,-0.08,1.21,3.4,4.71,-       
1.75,0.04,1.22,3.4,4.74,gaze started: p_4_2
1.8,-0.06,1.22,3.4,4.76,-       
1.85,-0.06,1.22,3.4,4.76,-       
1.9,-0.7,0.73,3.57,4.87,-       
1.95,-0.84,0.66,3.57,4.91,-       
2.0,-0.78,0.66,3.57,4.88,-       
2.05,-0.65,0.9,3.4,4.99,-       
2.1,0.06,2.04,3.4,5.1,gaze started: p_4_2
2.15,0.27,2.08,3.4,4.83,gaze started: p_2_2
2.2,0.32,1.99,3.4,4.45,gaze started: p_2_3
2.25,0.33,2.01,3.4,4.31,-       
2.3,0.33,1.98,3.4,4.2,-       
2.35,0.33,1.98,3.4,4.1,-       
2.4,0.32,1.96,3.4,3.87,gaze fixated: p_2_3
2.45,0.32,1.96,3.4,3.87,gaze fixated: p_2_3
2.5,0.08,1.77,3.4,3.68,-       
2.55,0.08,1.72,3.4,3.66,gaze started: p_3_2
2.6,0.1,1.77,3.4,3.66,-       
2.65,0.12,1.77,3.4,3.67,-       
2.7,0.11,1.77,3.4,3.69,-       
2.75,0.09,1.78,3.4,3.72,-       
2.8,0.09,1.78,3.4,3.72,-       
2.85,0.09,1.78,3.4,3.72,gaze fixated: p_3_2
2.9,0.09,1.77,3.4,3.72,-       
2.95,0.1,1.77,3.4,3.71,-       
3.0,0.06,1.92,3.4,3.74,-       
3.05,0.04,2.11,3.4,3.83,gaze started: p_2_2
3.1,0.05,2.11,3.4,3.79,-       
3.15,0.04,2.1,3.4,3.79,-       
3.2,0.03,2.09,3.4,3.79,-       
3.25,0.06,2.11,3.4,3.8,-       
3.3,0.97,0.84,-0.72,,gaze fixated: p_2_2
3.35,0.97,0.84,-0.72,,gaze ended: p_2_2
3.4,0.97,0.84,-0.72,,-       
3.45,0.97,0.84,-0.73,,-       
3.5,0.97,0.84,-0.73,,-       
3.55,-0.05,2.29,3.46,4.11,-       
3.6,-0.12,2.15,3.4,4.2,-       
3.65,-0.12,2.15,3.4,4.2,-       
3.7,-0.11,2.16,3.4,4.19,gaze started: p_2_2
3.75,-0.04,2.2,3.4,4.33,-       
3.8,0.49,2.2,3.4,4.33,-       
3.85,0.47,2.22,3.4,4.38,gaze started: p_2_3
3.9,0.45,2.21,3.4,4.35,-       
3.95,0.45,2.2,3.4,4.33,-       
4.0,0.45,2.2,3.4,4.32,-       
4.05,0.25,2.18,3.4,4.28,-       
4.1,-0.3,2.1,3.4,4.24,gaze fixated: p_2_3
4.15,-0.32,2.11,3.4,4.22,gaze started: p_2_2
4.2,-0.3,2.13,3.4,4.22,-       
4.25,-0.33,2.11,3.4,4.25,-       
4.3,-0.32,2.11,3.4,4.28,-       
4.35,-0.31,2.11,3.4,4.31,-       
4.4,-0.33,2.1,3.4,4.3,-       
4.45,-0.12,2.11,3.4,4.28,gaze fixated: p_2_2
4.5,-0.17,2.08,3.4,4.29,-       
4.55,-0.16,2.07,3.4,4.28,-       
4.6,-0.17,2.08,3.4,4.3,-       
